timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769480281.5303593,CREATED,22b6e7cd-149d-4207-a96c-ecf8f0ced4a8,58f4486b-77c3-4e4c-9039-e98914d604bf,c1,c4,27,?,?,surb={'id': '7865e09b-9cac-41c6-83b2-5f8140770f72', 'route': ['p1', 'e3', 'i1', 'x8', 'p1', 'c1']}
1769480281.5359027,RECEIVED,a55378ff-0046-4174-8433-113f4592e95c,f26c6418-c3f5-4908-9f5c-a904447feabe,c4,c1,27,p1,?,surb={'id': '0753256d-b80d-487d-955e-a0e439000178', 'route': ['p1', 'e11', 'i2', 'x1', 'p1', 'c4']}
1769480281.8138413,SENT,2b624103-f84c-4e8e-b3e1-07476aeffcc9,57e63e75-d6f1-4c65-9127-c10a76501a50,c1,c4,3381,?,p1,
1769480281.813993,CREATED,e6aa2d6f-03c7-4a17-b919-2d277a9b9b3e,3540cef2-fb96-4141-99d1-a9ef118c086f,c1,c4,27,?,?,surb={'id': 'f1c13607-6971-434a-b8da-92c7ff3a841c', 'route': ['p1', 'e3', 'i9', 'x12', 'p1', 'c1']}
1769480281.8228247,RECEIVED,a07c797e-a087-4a38-bc59-454b210aecce,6c833da2-e12b-4435-9a17-7e9a205219ea,c4,c1,27,p1,?,surb={'id': 'a578129c-8804-4fae-9f37-0d3f841697b2', 'route': ['p1', 'e10', 'i7', 'x11', 'p1', 'c4']}
1769480281.8283656,RECEIVED,af88ca4b-d34b-404f-8a9c-fae162dbdea6,87e8c49c-5684-46b5-bbd8-8c0335bba165,c3,c1,27,p1,?,surb={'id': '194eb08c-0105-45a3-aad6-d2743c0b30b1', 'route': ['p1', 'e2', 'i4', 'x3', 'p3', 'c3']}
1769480281.8582299,SENT,62324b85-1836-4347-b85d-0a52df007f93,09ea81f7-2269-4115-90c1-f47dff1239db,c1,c4,3376,?,p1,
1769480281.8583784,CREATED,e331e3fd-870b-4a9e-ad39-5831728f9902,cd5ede6b-2003-46be-b697-855aaadcf88b,c1,c4,27,?,?,surb={'id': '87c7d8e8-f10d-4876-a600-348c99cbb25a', 'route': ['p1', 'e5', 'i3', 'x4', 'p1', 'c1']}
1769480281.8688622,RECEIVED,f4aa0d17-703a-4653-93ca-ef9bd3ce4b4b,b97d5546-8574-426e-b07d-203dab6b2d74,c4,c1,27,p1,?,surb={'id': '5c35381a-328c-4014-93f1-3575061684da', 'route': ['p1', 'e1', 'i10', 'x6', 'p1', 'c4']}
1769480281.939045,RECEIVED,6805646f-aba9-4d8b-a75f-0c94cf09b3ef,7386c0ac-7844-459d-9b2a-b13d5f85e28f,c4,c1,27,p1,?,surb={'id': '949d4b2c-cb3f-4872-8357-3a9094280592', 'route': ['p1', 'e3', 'i4', 'x1', 'p1', 'c4']}
1769480282.021894,RECEIVED,676d17fe-e88e-4068-820a-41734554a956,28f549a5-1729-420d-8836-ce5ed69e9980,c5,c1,27,p1,?,surb={'id': 'd62c11b9-8461-4abb-9355-1e3bdb358eb4', 'route': ['p1', 'e7', 'i11', 'x4', 'p2', 'c5']}
1769480282.1915226,RECEIVED,8755f4e6-14c4-47b1-9eec-395787800e94,f43e148c-8f3f-42f0-b68c-6079ccee109f,c2,c1,27,p1,?,surb={'id': '78a7fe19-cd32-4028-ba26-ac08aa33a1ab', 'route': ['p1', 'e6', 'i9', 'x9', 'p2', 'c2']}
1769480282.203329,RECEIVED,aa80551f-f472-4add-89f6-0af1a5f4debd,fcba7bec-5301-4a0b-91d3-7bb931e951c1,c5,c1,27,p1,?,surb={'id': '2db002fd-a76c-47ca-856c-f52dd9c4237e', 'route': ['p1', 'e8', 'i6', 'x11', 'p2', 'c5']}
1769480282.2696152,RECEIVED,c0d88932-3cae-42b3-b145-4651639fadef,6298bad8-95d0-4c16-8595-715e325703f3,c4,c1,27,p1,?,surb={'id': '22f4fb7d-037b-49d7-a281-1c52887af3e8', 'route': ['p1', 'e4', 'i5', 'x1', 'p1', 'c4']}
