timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741138.9939659,RECEIVED,e5cc6f59-e5c9-41c0-a332-8648c0cb1541,91945ecb-a9c0-46f3-ab98-3e67d6ea1cea,c5,c1,27,p1,?,surb={'id': '23c5c4e0-f265-4056-9b58-928f64874c67', 'route': ['p1', 'e1', 'i8', 'x2', 'p2', 'c5']}
1769741139.1035173,SENT,3e4954b1-1695-4d7d-88e1-1d9a241b49c5,b99454cb-6ca0-4b04-b9d4-9f0e401ee3ac,c1,c2,3365,?,p1,
1769741139.1036627,CREATED,34c99d30-f203-4018-b6f1-1078809feab7,fb400cb4-e4c7-4082-a79f-a0c79590751d,c1,c2,26,?,?,surb={'id': 'be4f79f0-33ee-41a9-8940-7f208fbc0b9e', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c1']}
1769741139.1482806,RECEIVED,b5457d91-3f9e-4ff3-9130-f96b4d37f826,e6e80820-d8c3-4724-abc6-faa1129a9733,c5,c1,27,p1,?,surb={'id': 'e19ba71c-4f5c-4f52-a53c-f732a692bb00', 'route': ['p1', 'e5', 'i6', 'x7', 'p2', 'c5']}
1769741139.1825879,SENT,f5a8f836-8c72-422f-8536-cf91c513dfbd,4bafe055-ba0a-4ba3-a57b-d53961bfdbca,c1,c2,3385,?,p1,
1769741139.1827202,CREATED,bbd52875-a218-46de-9b88-e5a5568ba56c,e9c64928-7144-45e6-9efd-578ba6af353d,c1,c2,27,?,?,surb={'id': '35eeecc6-745c-43d9-9b5c-1716e21290a8', 'route': ['p2', 'e9', 'i6', 'x5', 'p1', 'c1']}
1769741139.5072663,SENT,d68251e1-274f-43d1-b499-7af211eb1963,c2b130a8-022b-4a50-b2f1-757be1beb0a5,c1,c2,3379,?,p1,
1769741139.507401,CREATED,2953547a-4669-4218-87b9-de5a6ced0c5d,97e1d700-788c-4f09-905a-4b9991640cb9,c1,c2,27,?,?,surb={'id': 'f0e0478e-60b3-4ba6-8e4b-32a6fd4d7d12', 'route': ['p2', 'e3', 'i10', 'x2', 'p1', 'c1']}
1769741139.6011221,RECEIVED,54f3fc20-7549-4906-b0ae-d354f043e7c9,0536c105-51bb-42f7-9fa4-c0e0d81cb28a,c4,c1,27,p1,?,surb={'id': '6284a572-75a5-4620-8f77-ee26dd6de230', 'route': ['p1', 'e6', 'i2', 'x10', 'p1', 'c4']}
1769741139.7154338,RECEIVED,4bbf5f61-d795-477c-975b-604faef3dabe,6afed92c-316d-4033-a493-72a81fb73334,c3,c1,27,p1,?,surb={'id': 'a2433ddc-7899-4599-aff4-368aa38dbc5a', 'route': ['p1', 'e10', 'i7', 'x3', 'p3', 'c3']}
1769741139.8163385,RECEIVED,94c94614-0989-463e-9a4f-3b2e61bf7527,a5527d63-cbdb-4baf-8308-a29911352845,c3,c1,27,p1,?,surb={'id': 'ab008cfa-7c5a-4857-b8ad-86c52e080204', 'route': ['p1', 'e11', 'i2', 'x12', 'p3', 'c3']}
1769741139.9229565,RECEIVED,bc93fc33-1200-4a0b-80c8-c8da8e997a20,8a646f3d-de57-4424-93d7-e0e983fe866d,c3,c1,26,p1,?,surb={'id': 'e700359a-fea5-4821-88c6-1374433a4cbe', 'route': ['p1', 'e9', 'i5', 'x2', 'p3', 'c3']}
1769741139.996756,SENT,5a7766e2-84a8-4c87-a236-476dc0bf145d,5d6fedf3-9b1d-4709-8af4-94682cd844db,c1,DROP,2028,?,p1,
1769741139.9968734,CREATED,af2382d7-7727-4b22-9f75-1e0324fc1231,5b073bf6-66e9-40ce-8d76-61bda09fedc6,c1,DROP,27,?,?,
1769741140.0033698,RECEIVED,c1c66e57-ba40-40d9-baa7-49db6455f4e6,b21d38dd-34cd-4221-81e9-311c12250abf,c4,c1,27,p1,?,surb={'id': '81defcef-ce90-4fdc-ab0a-43f56537b89f', 'route': ['p1', 'e4', 'i11', 'x4', 'p1', 'c4']}
1769741140.3075426,RECEIVED,8f37bb70-a308-4912-a7f0-0e367fc40919,ab9d9bab-4eb0-4d4a-b893-5b4b13e98797,c3,c1,26,p1,?,surb={'id': 'bad19518-fdd9-487f-bbc5-1cf172bf41b6', 'route': ['p1', 'e9', 'i9', 'x4', 'p3', 'c3']}
1769741140.3990293,RECEIVED,d8cda07d-d4fd-4f3a-8783-2a49db4690a3,ca39477b-1103-4bbf-a94e-58c3fa1e168f,c3,c1,27,p1,?,surb={'id': '3943dcb4-492c-41cd-b851-2d422209e9cf', 'route': ['p1', 'e1', 'i12', 'x9', 'p3', 'c3']}
1769741140.419108,RECEIVED,dff51724-a82a-4064-8d3e-fa7a5f0f4155,8f4fbf0b-5c49-4766-9938-1302bf293684,c5,c1,26,p1,?,surb={'id': '756e6eee-ee1d-46ab-af9c-c6ee669ac4f8', 'route': ['p1', 'e2', 'i5', 'x3', 'p2', 'c5']}
1769741140.5564663,RECEIVED,e269760a-52d5-4282-984e-17213c5b43e2,5dc1e6fe-9ca4-479b-8e9e-9fcfaea9ac98,c5,c1,27,p1,?,surb={'id': '62cda911-dc8a-4a2d-8574-1dd9c535f0b7', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c5']}
