timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483366.8482156,RECEIVED,10755980-146d-4469-96ef-5491c45126d1,15e3d2d6-d127-4ac7-9a40-d303643a8d70,c4,c2,27,p2,?,surb={'id': 'be7ce1a8-8955-445c-a3fb-af338cc87387', 'route': ['p2', 'e6', 'i5', 'x2', 'p1', 'c4']}
1769483366.95519,SENT,501ac883-addf-49bb-ad40-8b2911d35f25,187fb534-7ca1-464d-81d9-38f24a7c06f0,c2,DROP,2027,?,p2,
1769483366.9553363,CREATED,c2ba6436-ff12-4663-8b88-96d3eb526dd6,8ce33cf6-9ef1-44ce-ba75-ee15bd859665,c2,DROP,27,?,?,
1769483367.4526262,RECEIVED,2c190a0d-88cc-4960-bb55-adb50d90db24,e4765cc5-e86d-4ab1-a779-46bda0dccb3a,c1,c2,26,p2,?,surb={'id': 'de02f40b-e81a-47a0-8aa8-25f9735d0978', 'route': ['p2', 'e5', 'i11', 'x6', 'p1', 'c1']}
1769483367.5203447,RECEIVED,9b7f426e-27f5-4713-b888-58c27b0d9a99,0ea53e2e-4898-482f-98b0-a6dbd0222735,c4,c2,27,p2,?,surb={'id': '5e014797-f2e8-4d92-a967-396fbcff5244', 'route': ['p2', 'e12', 'i3', 'x9', 'p1', 'c4']}
1769483367.6175754,RECEIVED,ee2080a2-aab2-4416-b4d2-28dde7b42c9f,10697e30-2030-475e-9b66-61bb1b8abd81,c1,c2,27,p2,?,surb={'id': 'f407b0ba-aa29-41fc-9d46-4b45edd87d13', 'route': ['p2', 'e7', 'i2', 'x5', 'p1', 'c1']}
1769483367.6797066,SENT,8d2299fc-a6c1-4460-a2d7-4477785259a0,2f3dbc9a-fd6c-45ef-8211-785ef92cd5e3,c2,c4,3391,?,p2,
1769483367.6797676,CREATED,975cc567-996e-4523-ac95-d0ff4d27e346,56721066-855b-4ea9-81f7-40dd341fbdb6,c2,c4,27,?,?,surb={'id': '024da7fe-6491-488b-ab3d-48ec051e32a8', 'route': ['p1', 'e7', 'i6', 'x9', 'p2', 'c2']}
1769483367.7329066,RECEIVED,4afbd18f-ffcf-4918-9f82-a3f5479005a9,8524fac6-f0be-48be-8483-814e4386555a,c1,c2,27,p2,?,surb={'id': 'a8d50892-aee7-48f7-bd7f-57f3c2226aef', 'route': ['p2', 'e5', 'i2', 'x7', 'p1', 'c1']}
1769483367.7569478,RECEIVED,1a1cb0e7-3960-4fe3-a9b8-55bf7061379a,74121dc5-dd7b-4a06-a85b-d433aba53470,c1,c2,27,p2,?,surb={'id': 'fa42f935-7d74-41fb-897b-a2b9269caac9', 'route': ['p2', 'e9', 'i8', 'x1', 'p1', 'c1']}
1769483367.7673526,RECEIVED,86f7094d-9626-440d-a455-6612e7b41775,27772ace-5055-43f5-9f36-0783a55ab182,c4,c2,27,p2,?,surb={'id': '748e0494-e096-401f-bd56-a0316d1b7607', 'route': ['p2', 'e9', 'i10', 'x3', 'p1', 'c4']}
1769483367.7703307,SENT,454022ca-36a2-4157-9e79-9f2ec8af43b7,d83b1b47-0283-4083-ae2c-d0a0f3444a6e,c2,DROP,2043,?,p2,
1769483367.7704742,CREATED,3edf35af-6e18-4579-9954-89734ea8ed76,619e331c-cb64-427c-a177-2f830a3b370d,c2,DROP,27,?,?,
1769483367.795622,RECEIVED,6449f8cb-a8c7-4a7a-afc0-295c93eaa6a5,50cbd2f4-580c-4f45-b00b-3fa07bb2dda1,c1,c2,27,p2,?,surb={'id': 'c88e02ec-972b-4b8f-af1b-9bf48b30dae1', 'route': ['p2', 'e5', 'i6', 'x7', 'p1', 'c1']}
1769483367.9034731,RECEIVED,5e94584c-a397-43fc-abe3-26aec469fead,76dd2424-421c-40ce-ad12-a420c561b160,c4,c2,27,p2,?,surb={'id': '03d5a01b-2599-44b1-b555-b0adebd401b8', 'route': ['p2', 'e5', 'i9', 'x3', 'p1', 'c4']}
1769483367.919089,RECEIVED,325ad1e7-769e-457d-ba3f-a89680239308,3e0b41da-cee7-484f-b503-7cd53f3c6f26,c1,c2,27,p2,?,surb={'id': '44ecb2b2-e5f9-4133-b4c3-37c75d5c543d', 'route': ['p2', 'e6', 'i1', 'x11', 'p1', 'c1']}
1769483368.0335474,SENT,8f9ebcae-99e1-492b-9a75-81aa564c43cc,c64e5a40-2eec-43fb-89ee-bb5adcd55481,c2,DROP,2027,?,p2,
1769483368.0337095,CREATED,caae9ea5-e25e-41ee-ae70-cf4c095abe5c,80413295-7c5b-4cb4-b490-36f44708a041,c2,DROP,27,?,?,
1769483368.0939233,RECEIVED,47ef55e9-df85-4821-b5da-1917ad1a477b,18069fcb-1c20-4e52-9992-b4583261c65a,c4,c2,27,p2,?,surb={'id': '51993042-6cba-4693-ae61-90dad00f3cc3', 'route': ['p2', 'e2', 'i12', 'x8', 'p1', 'c4']}
1769483368.3775852,RECEIVED,867138e7-07a4-4c2a-8a68-a54aba58fc71,a4dce866-4d32-4821-9d5c-4cfe5a956df5,c1,c2,27,p2,?,surb={'id': 'fc7b5619-5014-437c-9b0e-f661d9e94c45', 'route': ['p2', 'e3', 'i12', 'x10', 'p1', 'c1']}
1769483368.6256168,SENT,f0cec87a-68a9-47ea-805b-4a965119f39c,625213ba-2f51-4a40-a1a5-90f401825e08,c2,c4,3379,?,p2,
1769483368.6258023,CREATED,c36dd37b-f7cc-4065-b705-8e9a96e011e5,7381c535-0980-4187-8416-22b5b71b6847,c2,c4,27,?,?,surb={'id': '180591b6-b288-4da5-a580-14eb12ae8898', 'route': ['p1', 'e7', 'i9', 'x4', 'p2', 'c2']}
1769483368.7410142,RECEIVED,a89b87db-9065-44de-b71a-7e5ba6da4456,71e0fe34-2104-49d8-878c-45f9ea3ebbab,c1,c2,27,p2,?,surb={'id': 'c4bdab67-42c6-4fbc-b8e9-1112904bf54b', 'route': ['p2', 'e4', 'i11', 'x12', 'p1', 'c1']}
1769483368.7583516,SENT,9bcf29df-48b8-4356-a58d-0bc081e746a3,f57f60b9-07e2-47ee-8547-5fa0ce5bc9a1,c2,c4,3391,?,p2,
1769483368.7584302,CREATED,3ae061d0-e4a9-4039-9d25-faa42710c4c2,054eb81d-0b9a-48bc-8d90-eb8012d67bde,c2,c4,27,?,?,surb={'id': 'e5b4ed2a-b4a4-4cb2-aa1a-a8b0b09fe01f', 'route': ['p1', 'e10', 'i12', 'x11', 'p2', 'c2']}
1769483368.7921462,SENT,5c1a85f7-63a4-4c66-b25a-f3c32db03ca2,9006453b-f08c-451e-bd71-4fe86ec6bf8f,c2,c4,3375,?,p2,
1769483368.7922223,CREATED,4740331b-6f62-4298-8478-65b541642649,42ca1db2-0911-47a4-baa8-e3b38b2b7f03,c2,c4,27,?,?,surb={'id': 'ee228324-54ba-4f9e-a44e-35a2079263f1', 'route': ['p1', 'e1', 'i7', 'x8', 'p2', 'c2']}
1769483369.0029354,RECEIVED,f9751965-80a7-4ffc-9919-1834884556f2,1b90adc9-96eb-4ee1-8fb7-cbebc6bba2c5,c1,c2,27,p2,?,surb={'id': '30118b42-6669-4431-aea1-33ed8aabc619', 'route': ['p2', 'e8', 'i1', 'x7', 'p1', 'c1']}
1769483369.048875,RECEIVED,bdc0bc0e-7fa0-43a0-a6ce-d829239ae173,09f51f27-0987-44cc-a70b-068d5ddfe5e5,c1,c2,27,p2,?,surb={'id': 'ee12ff48-8855-43d5-8125-7d3c763f7f32', 'route': ['p2', 'e4', 'i7', 'x5', 'p1', 'c1']}
