timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745454.0969687,SENT,f5709704-44c2-4298-aa07-901718c2251c,ca619b37-a534-4082-a1b3-68cd320616fc,c3,c2,3360,?,p3,
1769745454.0975394,CREATED,c60f9414-7327-4163-aa9d-488c5cf1a08c,73964ed4-f9f7-4429-b9ca-e210550dcd97,c3,c2,26,?,?,surb={'id': '8cce668c-019d-4989-abe4-74f9937934e2', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
1769745454.218152,RECEIVED,e478dbba-792f-4bef-b1c0-2afd3b1eb581,5c21bed9-8fa5-4c6c-9d8b-0e14a34c2ade,c1,c3,27,p3,?,surb={'id': 'bde0a514-438b-404a-8cf7-d634882d0bf4', 'route': ['p3', 'e7', 'i5', 'x9', 'p1', 'c1']}
1769745454.3344953,RECEIVED,46849dc0-9cee-4487-8735-60b9928ee633,0295f0e3-4ca0-4ef5-a97f-3bf1576031b4,c2,c3,27,p3,?,surb={'id': '9ad8c96f-849e-4d40-904d-05b754a1c482', 'route': ['p3', 'e6', 'i10', 'x4', 'p2', 'c2']}
1769745454.3709552,SENT,aac86878-cd3a-4d51-975e-893fa6ea7f01,a0e837b9-065f-40d5-aa33-165f76fcc783,c3,DROP,2031,?,p3,
1769745454.3711095,CREATED,f2169c15-87d1-4023-9fc9-a2c2ed10088d,0e9e0b33-8806-470f-afa0-9b6d3e992a36,c3,DROP,26,?,?,
1769745454.403348,SENT,2b5bf4fd-5da7-4a0e-894f-194cde069cf8,27fa06e9-7c42-49d2-b302-a8a07ad2dfcb,c3,DROP,2016,?,p3,
1769745454.4034681,CREATED,400bbe8a-0c88-4cde-be6d-9369a7599d87,fb9e7512-d701-43ef-9142-9e52171161a1,c3,DROP,27,?,?,
1769745454.44091,SENT,f6f881a2-b644-4bf4-9372-255598909751,baf5fe25-ea63-45c0-bfbf-7daee7678b1b,c3,DROP,2023,?,p3,
1769745454.441031,CREATED,58e24231-c13e-4fcf-9006-3f7f7c159683,0786ba9e-700e-4169-aeaf-afb70687c05c,c3,DROP,27,?,?,
