timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745455.151602,RECEIVED,1ce2f861-8c07-441b-ac3e-cef5b09169b4,6088b918-c509-4cab-a6d3-708ef8199c6f,c5,c2,26,p2,?,surb={'id': '4677c08a-7631-4981-b05f-dbd4df439e12', 'route': ['p2', 'e3', 'i9', 'x5', 'p2', 'c5']}
1769745455.1555722,RECEIVED,6bd01615-5203-4220-a7fa-0d85ce3015ca,9347fdfd-4539-4e26-8ed8-6cedb1b25c19,c5,c2,27,p2,?,surb={'id': '5449d2b8-737a-441e-9d8b-71ae85a1c566', 'route': ['p2', 'e10', 'i12', 'x7', 'p2', 'c5']}
1769745455.2584703,RECEIVED,876de6b8-fa44-4931-9906-3b6e24f17378,ea0a7988-ee26-498b-a74f-4cf4ae5b1088,c4,c2,26,p2,?,surb={'id': '63af62b0-1366-451a-b2a3-0720aab82d48', 'route': ['p2', 'e9', 'i1', 'x5', 'p1', 'c4']}
1769745455.3294811,RECEIVED,86870a8c-55bc-432b-b76c-b964b868f549,2643c8bf-ee6c-4bae-84c4-588b980e29d8,c4,c2,26,p2,?,surb={'id': 'c15df7cb-3991-4981-9e69-cdd72db950f3', 'route': ['p2', 'e6', 'i2', 'x2', 'p1', 'c4']}
1769745455.423669,RECEIVED,1d6e6b72-40d7-4277-a03e-1e68fd8d3293,4fb8a857-fb44-4c3f-9f15-bbe5a9744db4,c3,c2,27,p2,?,surb={'id': 'bc59a73a-73bb-402d-ba92-9c8c8f8d417e', 'route': ['p2', 'e3', 'i8', 'x4', 'p3', 'c3']}
1769745455.4975903,RECEIVED,72461b71-1dae-47cb-87e4-08a06125d6f1,90b30898-9ef8-4e5e-9ec1-bde0cc3addfe,c5,c2,27,p2,?,surb={'id': 'dc421d88-c064-4194-a38b-93d122c33301', 'route': ['p2', 'e3', 'i9', 'x2', 'p2', 'c5']}
1769745455.5210724,RECEIVED,47e5fba7-5009-4071-861e-3a640437272a,4768c1e1-1352-415a-83cf-dd6c654d4eac,c4,c2,26,p2,?,surb={'id': '9fe752a9-bf8f-4fc3-9165-e981f2fc640a', 'route': ['p2', 'e9', 'i6', 'x10', 'p1', 'c4']}
1769745455.588875,SENT,26627032-8890-432e-a4a1-ba3c1cbfc4a4,6c78c0e1-43c4-4519-9009-c21d9858d8b6,c2,c3,3367,?,p2,
1769745455.5890043,CREATED,3eafc306-0d86-4e01-beff-e9605e97d71b,5fcb2a8e-d2fc-4368-b0fd-700fbc9af92a,c2,c3,27,?,?,surb={'id': 'd04a9597-eaca-43c1-86c5-dd9e98d14298', 'route': ['p3', 'e10', 'i1', 'x1', 'p2', 'c2']}
1769745455.713251,SENT,237447ba-0cec-4e86-acfe-1b471a47cd38,9e42a3dc-39f2-4369-8745-6c9cf22df4e6,c2,DROP,2040,?,p2,
