timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391959.777648,CREATED,d40f061f-294c-42b3-a75f-a805acc576fc,59e5ca59-25a2-4745-9cf6-9b18c09ff7dc,c5,c4,27,?,?,surb={'id': '3ef3d452-948d-45e5-ad83-c776e58b86b2', 'route': ['p1', 'e4', 'i2', 'x2', 'p2', 'c5']}
1769391960.057533,RECEIVED,57c39a01-3bf8-4a92-bc49-1c9733cb91a1,9e610d0a-272a-4f87-8e9d-ab6d1dfbd5cb,c2,c5,27,p2,?,surb={'id': '6124d02f-2533-40c9-898f-faf78cf18d4b', 'route': ['p2', 'e11', 'i11', 'x10', 'p2', 'c2']}
1769391960.0685484,RECEIVED,987e0856-3e3c-4699-a60a-09d8f047227a,4819c6e3-e73c-4362-bd83-7b4bc3f3b9fa,c2,c5,26,p2,?,surb={'id': '53700056-5763-432c-be51-4e356dec80d6', 'route': ['p2', 'e8', 'i8', 'x5', 'p2', 'c2']}
1769391960.5570908,SENT,47c10895-4153-40e1-b8f9-b62a7a1b5d44,33233692-8868-4cab-a8e6-617b574aa5f0,c5,c4,3395,?,p2,
1769391960.5572426,CREATED,1580c8bf-f0a8-49fe-aa1c-bc105f715419,c2fcbcb0-e3c2-48f7-b596-bc7d6f966336,c5,c4,27,?,?,surb={'id': 'e2a1da8b-3fbf-4cb2-a0ef-490716f98080', 'route': ['p1', 'e9', 'i6', 'x10', 'p2', 'c5']}
1769391960.723878,RECEIVED,a4422841-f0b6-444e-84a4-6d3e9ec1638a,10c89387-351b-4cf9-85f9-a667c1e88dbb,c1,c5,27,p2,?,surb={'id': 'e3dec4ea-6842-4138-ad03-80a66d1eccc2', 'route': ['p2', 'e12', 'i6', 'x11', 'p1', 'c1']}
1769391960.7975125,SENT,0a2b9110-025a-4bcf-ac41-22cfb59a20ec,4ff28117-0949-4590-895e-0142b4d6013c,c5,c4,3364,?,p2,
1769391960.798247,CREATED,ef4657ab-2390-42bb-92e4-7cfb3c11696e,57c0b3a3-5a3b-4214-a958-3bfb0426691f,c5,c4,27,?,?,surb={'id': '529a62a8-1177-4a58-80fb-500ef329184d', 'route': ['p1', 'e1', 'i11', 'x8', 'p2', 'c5']}
1769391960.881575,SENT,73e447b7-365e-416a-b07d-3f44761ece03,4b2755b0-3b83-40fa-841b-4a3c3f9d1913,c5,c4,3389,?,p2,
1769391960.8817246,CREATED,d5f9a456-0783-4866-8ef7-fbe1b337cf45,6f1d41eb-6f7e-4e73-9048-46f56da7d08e,c5,c4,27,?,?,surb={'id': '2d7c6973-5391-4ec4-b2e4-2d9b682e8da2', 'route': ['p1', 'e12', 'i11', 'x6', 'p2', 'c5']}
1769391961.3524554,RECEIVED,c9405e96-fe06-42a0-9b03-700fe655c92c,96bdb0cc-d3ff-4fbd-ae04-dbe09ea18bff,c1,c5,27,p2,?,surb={'id': 'd9b4dc5d-a438-4fb3-b861-c0072077f077', 'route': ['p2', 'e10', 'i8', 'x6', 'p1', 'c1']}
1769391961.3594356,RECEIVED,d8d80067-e6e7-4d76-8d5e-afc44ea0deb4,a5b0756d-bf22-40a5-9816-1f77ea9063f8,c2,c5,27,p2,?,surb={'id': '0886b918-a9fd-454a-9625-d21bc3c263d8', 'route': ['p2', 'e10', 'i12', 'x1', 'p2', 'c2']}
1769391961.6484137,RECEIVED,05165c1f-97ca-4b26-b09d-859c1415b5d0,0a1fe497-ce29-437c-afad-1ef9b1a03c21,c1,c5,27,p2,?,surb={'id': '6ca097f0-328e-4c57-b940-a703cd0e41ed', 'route': ['p2', 'e9', 'i8', 'x7', 'p1', 'c1']}
1769391961.8568602,RECEIVED,077209a6-faf8-4498-85c7-62fd44f80f56,b82e5772-0520-4ee3-8836-f5b8b3bf9fc1,c1,c5,27,p2,?,surb={'id': '2528f890-ecd1-4436-a42b-5b9cf60c3a78', 'route': ['p2', 'e11', 'i5', 'x9', 'p1', 'c1']}
1769391962.3691406,RECEIVED,e81c2b26-0bdd-408c-9063-6c8ba86aec68,34df762e-0c9e-421b-8613-c88d34e8aef2,c1,c5,27,p2,?,surb={'id': 'a2854680-9e7b-482a-8a7d-23a23a01bc05', 'route': ['p2', 'e12', 'i3', 'x11', 'p1', 'c1']}
1769391962.4478784,SENT,a5e3363d-16c4-4430-95cb-ad38c01bccb2,8b09574e-152c-4b3d-b525-fd692ada113a,c5,c4,3380,?,p2,
