timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762731.6716235,CREATED,84b5615e-e49c-4fb1-8146-4026a6eb6264,ad63eddc-695d-4e09-b6d4-2230ca9b151c,c3,c2,27,?,?,surb={'id': 'b0631671-e0b2-4e34-9b18-b2fcd6cac164', 'route': ['p2', 'e5', 'i5', 'x10', 'p3', 'c3']}
1769762731.7113674,RECEIVED,7ecf26c0-cf86-4168-935b-a1b196722d3c,3ae718d1-0cd1-45ac-a37d-f1d76f8d5625,c2,c3,27,p3,?,surb={'id': '651fc4ca-0539-4f02-8205-14a9621eb335', 'route': ['p3', 'e10', 'i9', 'x10', 'p2', 'c2']}
1769762731.9731812,RECEIVED,a74da4be-5556-4343-885d-01455140d2ad,7177a58a-d952-42b6-86cb-81c2ffd9a195,c2,c3,27,p3,?,surb={'id': 'b30b8a9b-c2f9-478b-a3a9-d489bd590739', 'route': ['p3', 'e2', 'i1', 'x1', 'p2', 'c2']}
1769762732.0141087,SENT,c2096f6d-4bce-4e06-953b-447591a06474,0b821f59-5d93-473c-b1e1-ea215cf76672,c3,c2,3379,?,p3,
1769762732.014246,CREATED,7d8cd3f1-838d-4067-990f-c1a6b2257049,66ba96f0-44a0-4784-b990-2aa1bda6961b,c3,c2,27,?,?,surb={'id': '6f38d813-4f71-4ec3-9fd0-dd8794d629f3', 'route': ['p2', 'e2', 'i10', 'x6', 'p3', 'c3']}
1769762732.462314,RECEIVED,94025388-9c4b-4a08-986f-8f63d95a0cd0,03d56932-db02-4eb6-b308-ab2d8b5411be,c2,c3,27,p3,?,surb={'id': '224d2dec-5624-43f1-9550-71cf46d43eaf', 'route': ['p3', 'e10', 'i8', 'x8', 'p2', 'c2']}
1769762732.748342,RECEIVED,6529b6db-9dc7-4f89-afcb-edbdc421e22d,7177a58a-d952-42b6-86cb-81c2ffd9a195,c2,c3,27,p3,?,surb={'id': 'b30b8a9b-c2f9-478b-a3a9-d489bd590739', 'route': ['p3', 'e2', 'i1', 'x1', 'p2', 'c2']}
1769762732.8436298,RECEIVED,5fcb4651-5046-422d-b3f4-0bd3c401048d,24a777ed-b75b-4490-b136-b1829d3ade53,c2,c3,27,p3,?,surb={'id': '5df34d23-0e7c-4496-8d76-04222311d207', 'route': ['p3', 'e11', 'i11', 'x2', 'p2', 'c2']}
1769762732.9205413,SENT,13421cb0-b526-4922-9e19-9dd9eec02025,550dbf16-f6c6-446e-be75-7e1f93ac6242,c3,c2,3383,?,p3,
1769762732.9207032,CREATED,9cd89840-47e0-4381-9e7e-837d72e11988,66ba96f0-44a0-4784-b990-2aa1bda6961b,c3,c2,27,?,?,surb={'id': '6f38d813-4f71-4ec3-9fd0-dd8794d629f3', 'route': ['p2', 'e2', 'i10', 'x6', 'p3', 'c3']}
1769762733.087643,SENT,f5cac631-a03a-4167-bee7-e4c8673f788c,13dfad90-0aa1-4047-ace6-7653be61350a,c3,c2,3355,?,p3,
1769762733.0879676,CREATED,2d529e22-a104-457e-8ade-43e720951b41,d1d4cd78-d5ff-47a2-b64f-e86ac8200050,c3,c2,26,?,?,surb={'id': 'c0ca7679-7b4f-48a3-93ef-2bfcddec345a', 'route': ['p2', 'e3', 'i4', 'x2', 'p3', 'c3']}
1769762733.1099014,SENT,43ff4dc4-7cf1-4089-bb09-d8ceac4e2044,c2d06afd-5038-4dd3-8196-eea3b339cc29,c3,c2,3381,?,p3,
1769762733.1100647,CREATED,2d92bf22-d845-41f0-add9-4b6e39695338,d1d4cd78-d5ff-47a2-b64f-e86ac8200050,c3,c2,26,?,?,surb={'id': 'c0ca7679-7b4f-48a3-93ef-2bfcddec345a', 'route': ['p2', 'e3', 'i4', 'x2', 'p3', 'c3']}
