timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458076.236776,RECEIVED,c2dc82fb-b22b-4966-a042-1baa648e0273,4316e415-82b7-42bd-bb86-053c29ea1016,c4,c1,26,p1,?,surb={'id': 'e54aa5f6-ee58-4c85-954a-b5342d571893', 'route': ['p1', 'e6', 'i10', 'x12', 'p1', 'c4']}
1769458076.3870282,SENT,2d01d682-10ce-413e-8328-22ace4fe1fea,f36a8267-47eb-4c00-ac77-4da4903e2b1c,c1,c5,3361,?,p1,
1769458076.3872073,CREATED,e0e3a8bc-bc6c-40fb-a660-538cffdb8242,c9d4ba5d-ac13-44ea-9787-6950576d0c35,c1,c5,26,?,?,surb={'id': '71691eb5-36a1-416e-9578-e4ced481eed3', 'route': ['p2', 'e1', 'i7', 'x3', 'p1', 'c1']}
1769458076.4755023,RECEIVED,15a9b509-027a-42e4-a280-5afd5a7071a6,bfbbc9cb-1c1c-4378-ae40-1b2244f92433,c4,c1,27,p1,?,surb={'id': '7fc6f196-672c-48cf-94fc-3c8c71384e04', 'route': ['p1', 'e3', 'i2', 'x9', 'p1', 'c4']}
1769458076.5457764,RECEIVED,dc429799-43e0-447b-b5f1-d436ed0f7164,a0b23547-bbe2-4e07-87f8-c4cba995273f,c4,c1,26,p1,?,surb={'id': '1846f47e-f788-4819-991e-2aa1743ed81d', 'route': ['p1', 'e1', 'i12', 'x1', 'p1', 'c4']}
1769458076.579765,SENT,a98ed607-3e1e-4cc2-9b0e-9df97228b63a,310e24da-cff2-4b5e-aa56-4ebb10122f69,c1,c5,3396,?,p1,
1769458076.579892,CREATED,a849b721-0f34-41a5-b3ad-5ad7f8394d74,c1017182-a51f-469f-91e0-3ac1dad9f494,c1,c5,27,?,?,surb={'id': '4db60f6e-e2a7-47d3-b954-f9015ae88edf', 'route': ['p2', 'e6', 'i11', 'x5', 'p1', 'c1']}
1769458076.5853577,SENT,deab61e6-4fdd-4ab8-9345-67fddacc0a14,a785dc0c-8b6a-4b81-a4d4-0a06d6b91bdb,c1,c5,3380,?,p1,
1769458076.5854867,CREATED,97590abc-e757-44db-a729-e8d4c1597557,06309142-79ca-4fea-9880-f31995205a9b,c1,c5,26,?,?,surb={'id': 'ddf46097-ac1d-4d32-afaf-78b74866c1de', 'route': ['p2', 'e12', 'i6', 'x10', 'p1', 'c1']}
1769458076.6496582,RECEIVED,be3128ef-b7e7-4d01-9c76-85f65605d51c,a8c418d7-3ba2-426f-bac5-9a664d592ad8,c4,c1,27,p1,?,surb={'id': '8a0510da-1b0d-42ea-8215-068db9807c0e', 'route': ['p1', 'e10', 'i3', 'x2', 'p1', 'c4']}
1769458076.7188647,RECEIVED,9b4423bc-8e3b-4b4a-9744-17b8fb44d735,63417eab-be8c-456e-b77e-3c49861f61cb,c2,c1,27,p1,?,surb={'id': '716c9544-72c6-48c8-94e1-fbf7521a5434', 'route': ['p1', 'e8', 'i1', 'x2', 'p2', 'c2']}
1769458077.143653,SENT,3c51677d-5579-46c6-adbb-9b2fac3cecdf,488e3ca9-4f87-4447-a310-f21532086834,c1,c5,3385,?,p1,
1769458077.1437972,CREATED,758b25f1-5bd2-4aec-9d0d-7fed0745e6dd,911854fc-480f-4598-bc72-f533924da99b,c1,c5,27,?,?,surb={'id': 'c455d213-a041-4432-aa12-52bd086eec84', 'route': ['p2', 'e3', 'i8', 'x11', 'p1', 'c1']}
1769458077.2341597,RECEIVED,500e2f12-f95e-4607-83c2-a47c62ee3352,32b0bcc5-4969-4b4c-a7d4-88639e761bed,c2,c1,27,p1,?,surb={'id': '0d92f0bb-c6aa-4c95-995e-063c65b66072', 'route': ['p1', 'e10', 'i3', 'x1', 'p2', 'c2']}
1769458077.7023432,SENT,66016c68-b85f-4c43-87ca-8307296cef5b,facd344f-ebdf-44bc-90d5-ac5a8a728438,c1,c5,3375,?,p1,
1769458077.7024739,CREATED,5b4b6349-0674-4029-89d3-a6da1f3f82e6,a118f1c6-cf15-41b1-8300-7aac50ed0146,c1,c5,27,?,?,surb={'id': '6a962524-66b2-40f7-b92e-36cb747b1f1e', 'route': ['p2', 'e11', 'i2', 'x1', 'p1', 'c1']}
1769458077.791524,SENT,493f47cf-119e-440b-980b-7013477b3f6a,ae5e5a7b-03ac-4335-8ff4-cf074a2e58c1,c1,c5,3391,?,p1,
