timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759024.7062633,RECEIVED,b7a7f5be-55f8-477c-aa5f-8f3cb8616039,0e534da6-0834-491c-b594-636709fd9e53,c1,c5,27,p2,?,surb={'id': '2d11ff0f-3853-4e69-bac4-77a3d359caff', 'route': ['p2', 'e6', 'i11', 'x4', 'p1', 'c1']}
1769759024.8516183,SENT,d5ba511a-8edc-43da-8078-ede79ebdf8e7,8420fdda-4359-4429-a385-68a09965002a,c5,c3,3379,?,p2,
1769759024.85177,CREATED,54bd4174-ce4f-41d4-9a52-5dc33c4bd2a3,657be077-f4f4-469d-9eb8-e9d2aa046563,c5,c3,27,?,?,surb={'id': 'd5c6d15b-4493-4082-8681-8ac55eaa1633', 'route': ['p3', 'e10', 'i7', 'x3', 'p2', 'c5']}
1769759024.9637206,RECEIVED,8599af5f-c82c-4a1a-ad76-f26fe82f62e0,5248aa17-bceb-46d9-89cc-b19aea039168,c3,c5,27,p2,?,surb={'id': '649f8f53-764b-4734-b5da-bf371f4dfc8d', 'route': ['p2', 'e11', 'i5', 'x2', 'p3', 'c3']}
1769759025.159185,RECEIVED,623be1d0-3a31-405c-9d6f-b892bd529fff,b3b3dc5d-b683-4d02-ac99-ea54f346dff3,c3,c5,27,p2,?,surb={'id': 'dcedc08d-b4c7-4b28-b43d-abc2e24af8f1', 'route': ['p2', 'e7', 'i12', 'x1', 'p3', 'c3']}
1769759025.6762,RECEIVED,d54777da-7793-47ee-ad1b-0f7c313e82ba,e3b110d7-0ef9-46a3-b6b2-ffe994b9b0b2,c3,c5,26,p2,?,surb={'id': 'e68657cf-404a-44cb-82a2-cfd0ef6edffe', 'route': ['p2', 'e12', 'i10', 'x4', 'p3', 'c3']}
1769759025.7145991,RECEIVED,f76e2578-0427-43d2-9557-f0f4a27604d7,29690906-f895-4f92-bfde-741ea1335fb6,c1,c5,26,p2,?,surb={'id': '3bcac10d-0486-450a-9e78-9e055075985d', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c1']}
1769759025.7683806,RECEIVED,b9274e5f-d4d1-4112-9c33-a1165aa9ca5a,0e5496cb-53d7-468b-a8d0-ceaa5938ef3e,c1,c5,27,p2,?,surb={'id': '8921d29a-295a-4fc4-8674-67b4bfecf366', 'route': ['p2', 'e5', 'i4', 'x7', 'p1', 'c1']}
1769759025.880623,RECEIVED,2f2ec420-33cb-4129-8bc3-37cf26067e8c,29690906-f895-4f92-bfde-741ea1335fb6,c1,c5,26,p2,?,surb={'id': '3bcac10d-0486-450a-9e78-9e055075985d', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c1']}
1769759025.9689405,RECEIVED,3d60b04a-431e-4220-a519-4fe81a5072be,bdeb25e3-05ce-4a68-a681-36370379c24d,c3,c5,27,p2,?,surb={'id': '5614180e-8b93-42db-b4a1-92a61c317db0', 'route': ['p2', 'e2', 'i6', 'x10', 'p3', 'c3']}
