timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475345.974565,SENT,bf272f4a-9335-444f-82f4-22023112777b,c89c7856-f037-47e3-9874-8d3fbe700b4e,c1,c4,3396,?,p1,
1769475345.974713,CREATED,8d2b6bef-420a-4ee0-a9b3-415129a3e60a,632b56d8-d300-410a-9294-f865417c1914,c1,c4,27,?,?,surb={'id': '20584593-e228-4f0c-8e7e-4b932e4b008b', 'route': ['p1', 'e6', 'i12', 'x11', 'p1', 'c1']}
1769475346.404012,SENT,15f9a6c7-51ed-42d6-94b8-cbf2e01edd36,ef8f2c46-0821-40b7-9ba5-d79c61bd79ac,c1,c4,3376,?,p1,
1769475346.4042122,CREATED,4e762979-44ed-4c99-b02b-100db3cde17f,239cd14e-3af8-4c54-862d-faabc886fbea,c1,c4,27,?,?,surb={'id': '7c7a164b-0091-4edd-a876-a61282ed1d5a', 'route': ['p1', 'e10', 'i2', 'x8', 'p1', 'c1']}
1769475346.4894483,SENT,8d6f8198-ce7f-4c26-bd28-1a8cda074f76,a4ce80c6-1465-4747-bbea-ed086a214c05,c1,c4,3376,?,p1,
1769475346.4895997,CREATED,de1a7eaa-a9be-43ef-8616-4be8162efb9d,239cd14e-3af8-4c54-862d-faabc886fbea,c1,c4,27,?,?,surb={'id': '7c7a164b-0091-4edd-a876-a61282ed1d5a', 'route': ['p1', 'e10', 'i2', 'x8', 'p1', 'c1']}
1769475346.6067538,SENT,5459e9d8-e0ff-4406-9afd-13d2a0f3ac0d,bbdd0fd1-f5ae-4870-97ca-41a050e625fc,c1,c4,3360,?,p1,
1769475346.6069074,CREATED,524623b8-2674-4163-8772-1579097d5b57,c0e527ae-c2c9-4fa5-bc2f-9a74fa898e06,c1,c4,27,?,?,surb={'id': '22d9e59f-c700-4eea-8489-9f5ff9ef090d', 'route': ['p1', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769475346.7865503,SENT,527c9268-c6f4-4a57-9685-139170100d7f,9207a610-3c8e-4cd6-9a46-cd54af983cdc,c1,c4,3381,?,p1,
1769475346.7866962,CREATED,335470bd-fa71-4dd4-be20-22295149d615,c0e527ae-c2c9-4fa5-bc2f-9a74fa898e06,c1,c4,27,?,?,surb={'id': '22d9e59f-c700-4eea-8489-9f5ff9ef090d', 'route': ['p1', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769475346.8510237,RECEIVED,1fa0960d-2c71-4b85-b3bd-af296e672e5e,983ff656-0bac-487f-ae1c-e912353f64ee,c4,c1,27,p1,?,surb={'id': 'e4f671c5-f327-4d5e-ab6b-5cf8489b1ff0', 'route': ['p1', 'e12', 'i4', 'x12', 'p1', 'c4']}
1769475346.8815908,SENT,f766ebb0-e30f-4a15-9ca5-d4188573a79a,854a07fd-1d20-4d12-a008-7e8603ab665d,c1,c4,3359,?,p1,
1769475346.8817418,CREATED,f2ccb044-6432-4aa8-ae75-783e68b6b3f2,93aa7fcf-ad8e-49e8-9903-29b4468c8b6e,c1,c4,27,?,?,surb={'id': '97fd7355-3f9f-42d4-964a-8c6e5b92a633', 'route': ['p1', 'e4', 'i11', 'x4', 'p1', 'c1']}
1769475347.012634,SENT,f391654c-13db-4d1b-b759-9c1a88128e98,07a0d1a1-7fb5-46f8-b0a0-ca38e08f9edf,c1,c4,3374,?,p1,
1769475347.0127838,CREATED,48ee8ca2-16fd-46cb-8248-fd006b41691f,93aa7fcf-ad8e-49e8-9903-29b4468c8b6e,c1,c4,27,?,?,surb={'id': '97fd7355-3f9f-42d4-964a-8c6e5b92a633', 'route': ['p1', 'e4', 'i11', 'x4', 'p1', 'c1']}
1769475347.0936737,RECEIVED,4e946264-d2f7-4540-93ad-41cb9294bd4e,d4b426b4-3db8-48ba-81b0-e7990a3cfe0b,c4,c1,27,p1,?,surb={'id': '495e0355-f032-4e38-bf1a-d5a069c81dcb', 'route': ['p1', 'e5', 'i11', 'x5', 'p1', 'c4']}
1769475347.2315605,RECEIVED,5c2591e7-650d-4cb3-b830-f9b0299605ad,ba7a1070-7f0d-4f86-9e49-db7a70c7b304,c4,c1,27,p1,?,surb={'id': 'a1d1d431-fd49-4bf9-8694-d9a56532f15b', 'route': ['p1', 'e8', 'i3', 'x2', 'p1', 'c4']}
