timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488300.8673265,SENT,ad78f66b-5355-4615-ba03-aafb87e413a0,a3072e91-6065-462e-96cd-92854ac0c6a9,c5,c3,3359,?,p2,
1769488300.8674743,CREATED,da858c93-e88e-4aa8-ad01-f131a89b3edb,1b990675-663b-4342-b70c-4f683bec60b8,c5,c3,26,?,?,surb={'id': '187f20a2-ed18-4446-b63f-36fe51f16e62', 'route': ['p3', 'e1', 'i3', 'x1', 'p2', 'c5']}
1769488300.9286826,SENT,b245e798-5e94-4829-9074-540a9ef52312,26770301-f7a2-44eb-a140-668731588b30,c5,c3,3359,?,p2,
1769488300.9288316,CREATED,55d01616-e551-4c7a-87b3-e0f620a84db9,7400612d-2553-47ee-b36e-54f43d2924a0,c5,c3,26,?,?,surb={'id': '88d1c6f5-331b-4d9c-a766-9273dbfe9b1e', 'route': ['p3', 'e6', 'i7', 'x2', 'p2', 'c5']}
1769488301.2080383,RECEIVED,ecb12d39-9adf-48e1-b30e-feaca6542b99,6703fb99-3cd7-4585-8d23-c38248eb7073,c1,c5,27,p2,?,surb={'id': 'b6686bbd-d0af-4485-8dbd-ec4d6a50a38a', 'route': ['p2', 'e2', 'i3', 'x4', 'p1', 'c1']}
1769488301.3065393,SENT,6c8304e1-5a0c-4898-a6d2-57e785e0e286,931bd6db-8a71-4708-beab-01ba740c204a,c5,c3,3377,?,p2,
1769488301.3066878,CREATED,07daafc4-16b3-47b8-ab00-2d6114db74c9,35a89d76-f5fa-4dbb-a4c8-5f04e9d12890,c5,c3,26,?,?,surb={'id': '69c037ff-e72e-46aa-987d-63be873aeb80', 'route': ['p3', 'e7', 'i9', 'x5', 'p2', 'c5']}
1769488301.5918987,SENT,f6bb9e0a-f552-4f42-b5dc-f98ae2a637ff,cd3c1530-232e-4a66-af7e-d1e58858f9f7,c5,c3,3374,?,p2,
1769488301.592137,CREATED,e6136db2-bfe6-48b2-ad7c-2b002ab8139b,ca44daa3-6135-4b7e-888a-5dac9c87aa5a,c5,c3,27,?,?,surb={'id': 'cd41a380-c9ee-4370-95dd-4f44d86d8999', 'route': ['p3', 'e11', 'i6', 'x6', 'p2', 'c5']}
1769488301.9954376,RECEIVED,02983be7-5a83-4a6b-abe5-3ea6beae1aa3,91be914d-3d87-4a30-add3-538f57221e56,c1,c5,26,p2,?,surb={'id': 'aaf311be-44ec-4640-8207-bba798be1a1e', 'route': ['p2', 'e9', 'i8', 'x12', 'p1', 'c1']}
1769488302.116422,RECEIVED,00e8c4c7-64c0-4427-ae96-bb3f58fbf9dd,0084db0e-eab8-40f2-bc4a-a0ce7d6bf2ac,c1,c5,26,p2,?,surb={'id': 'a6b6f37f-7417-4682-a3d6-deb03cd8eb6f', 'route': ['p2', 'e5', 'i3', 'x12', 'p1', 'c1']}
1769488302.2318459,RECEIVED,2b16c0dc-595e-43a4-84bb-f23f6a402286,86ca0d3b-89b1-40e8-b782-d9abde4cb293,c1,c5,27,p2,?,surb={'id': '2ccc5f9d-a103-4ec7-bce2-9e558716bd3a', 'route': ['p2', 'e6', 'i8', 'x2', 'p1', 'c1']}
1769488302.3038526,SENT,5918439f-c1d0-464f-8996-a19a05702274,6dc2e5a9-b3c7-4721-9872-5fafa6cf59bb,c5,c3,3360,?,p2,
1769488302.3040345,CREATED,6304e5c3-9dac-4df5-bbc1-97879c5fc318,d4cc5592-a977-42df-8b18-61cd11b97f5c,c5,c3,26,?,?,surb={'id': 'fda4a9de-1cb3-4220-9ff2-3cd807f17bea', 'route': ['p3', 'e6', 'i12', 'x9', 'p2', 'c5']}
1769488302.5287905,SENT,c9865f51-9e73-4aad-949d-f94b9345c57d,e0fabd49-e51e-4a20-b5f3-f32ad1594b7f,c5,c3,3376,?,p2,
1769488302.5289364,CREATED,52ca5c13-55f3-4b87-919f-8d0bfd3bd1d7,b3b11143-b310-438a-9b62-ba4342545e45,c5,c3,27,?,?,surb={'id': '64d14886-6bc9-4990-b0e8-a47db73a54fc', 'route': ['p3', 'e7', 'i9', 'x9', 'p2', 'c5']}
1769488302.7051191,RECEIVED,b483b22a-d62c-44d5-88c3-1f90711bc9ea,e9bd752c-d7b0-4eb3-83ed-d34bac3fb2ea,c1,c5,27,p2,?,surb={'id': 'be32d9c2-62d9-4167-88e0-a908fa62b013', 'route': ['p2', 'e9', 'i8', 'x4', 'p1', 'c1']}
