timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769498169.7729514,RECEIVED,063bf1e7-2728-47ea-a3d4-47715cc3b0ea,75c6bc23-caf1-493e-957b-827b2fb8e521,c2,c4,27,p1,?,surb={'id': '3dfacb5a-1776-405e-b9f5-1248ca3bb74a', 'route': ['p1', 'e6', 'i6', 'x2', 'p2', 'c2']}
1769498170.0698433,SENT,4e6f4add-a9ba-41af-9159-6a6b2a14f29b,9f5720fd-4bf5-4fac-81a1-dcb0446f76bd,c4,c1,3376,?,p1,
1769498170.069991,CREATED,5aa73ef0-028c-4c9f-962f-a3fdd379fd6a,689ec594-01d0-46a1-afe5-95f0b903ddd3,c4,c1,27,?,?,surb={'id': '63c59837-737f-402a-b3d8-1be3d4dce29b', 'route': ['p1', 'e9', 'i10', 'x3', 'p1', 'c4']}
1769498170.166823,RECEIVED,8845983a-6583-4c59-9026-03fe3e9ed95e,0d591814-c5f4-4de0-8fdc-737d4a97e7d3,c3,c4,27,p1,?,surb={'id': '581b2ae3-ceca-451d-b2ac-7c4e83d111e7', 'route': ['p1', 'e11', 'i1', 'x5', 'p3', 'c3']}
1769498170.32861,SENT,ee247ec5-2de0-4c16-b43a-1f356627b2d1,a62c80ed-af31-4c34-a96f-6b904f863159,c4,c1,3399,?,p1,
1769498170.3287601,CREATED,7d1bbd3e-9400-4000-9702-12a795df9ef6,57b08cc7-ad4f-4fed-a53b-41acb79f043c,c4,c1,27,?,?,surb={'id': '7bed9491-4908-4c2f-a87f-f4dec1043f3e', 'route': ['p1', 'e10', 'i8', 'x11', 'p1', 'c4']}
1769498170.410393,SENT,aaa46ccc-defd-4719-9f20-3f5370139266,b4492663-a8bc-47a5-9633-6324704a46e4,c4,c1,3376,?,p1,
1769498170.410562,CREATED,2d900f62-a902-4293-bb55-5166b5bfbbb3,5a4aadde-c439-4f52-9761-08e26645fcf2,c4,c1,26,?,?,surb={'id': 'd655f30b-3632-48b9-8cf3-0de974adb359', 'route': ['p1', 'e12', 'i10', 'x4', 'p1', 'c4']}
1769498170.479885,RECEIVED,1223a278-e02d-490a-8723-7d97c18ce84f,f9e8e901-a512-4b82-8049-5a251b7d4585,c3,c4,27,p1,?,surb={'id': '1a81ad99-3428-4fe9-9d94-c99968ac1744', 'route': ['p1', 'e5', 'i9', 'x6', 'p3', 'c3']}
1769498170.6707003,SENT,1ffdf732-c530-446c-9eee-6ac3a691cad9,d4a3c42a-7963-4728-bad8-8c588fbf095a,c4,c1,3357,?,p1,
1769498170.670845,CREATED,a14ec472-6081-42ba-8cb7-ddfda7a9ee8b,be3686d2-c5d1-4409-b34e-59f6284dc3c1,c4,c1,26,?,?,surb={'id': 'f37aec95-8551-4604-994b-82a55e3280a2', 'route': ['p1', 'e11', 'i3', 'x1', 'p1', 'c4']}
1769498170.6737874,RECEIVED,b5f1c250-f8df-4b3f-925b-3111d8a9bdad,bdf838d3-e08b-4deb-925a-549903cf78bb,c2,c4,27,p1,?,surb={'id': 'f970f6ab-4d83-4efb-b9b1-4aa0d37669fd', 'route': ['p1', 'e2', 'i7', 'x2', 'p2', 'c2']}
1769498170.7201107,RECEIVED,771e0b9a-8ee8-4849-8c39-b59156a49bf2,b6e43c9c-044c-4ce3-a2ff-9b74d3e8f252,c3,c4,27,p1,?,surb={'id': 'b89ca6e0-8deb-4d9b-854d-05081c02331b', 'route': ['p1', 'e12', 'i11', 'x8', 'p3', 'c3']}
1769498171.004844,RECEIVED,505a7d20-7955-4822-8285-22ff3b5ed1c6,0941c2ad-5735-4d1b-8986-168d806591da,c3,c4,25,p1,?,surb={'id': '8b70ab0a-0c54-4bbe-ab1c-0dd212bc73e6', 'route': ['p1', 'e10', 'i4', 'x10', 'p3', 'c3']}
1769498171.0765486,SENT,f5c20bf4-f269-4460-9a14-a2e93044b036,d7ef10e4-91a0-4093-a5bf-5ee456633f59,c4,c1,3373,?,p1,
