timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733119.8676856,CREATED,9911e14e-c13a-4d78-acd3-c53a4401216d,c8d07a59-e67c-43bc-8040-8103499e198a,c4,c2,26,?,?,surb={'id': '61257ca2-c337-4101-88eb-05c9846e25e5', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769733120.143864,SENT,3aed05db-d307-40d6-a0c5-df2dc19bc30d,e9856c3e-4abd-411c-acbc-4cb95c69c788,c4,c2,3400,?,p1,
1769733120.143995,CREATED,3f4443bc-0693-4a67-81eb-cdfeb6582e8c,c8d07a59-e67c-43bc-8040-8103499e198a,c4,c2,26,?,?,surb={'id': '61257ca2-c337-4101-88eb-05c9846e25e5', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769733120.1989393,RECEIVED,d5775de9-a7a7-4cc1-a64e-26652e74de32,b0e0094e-3494-416f-86bf-a3a530ccefe9,c5,c4,27,p1,?,surb={'id': '66370c6b-ca39-4ace-8c02-774d828b8093', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c5']}
1769733120.2133255,RECEIVED,b6166bb2-377a-458b-a433-3496bd9c4498,cda1b7e2-baa3-4a98-ae88-40274453b49d,c5,c4,26,p1,?,surb={'id': 'c0923370-cfcc-41df-ab92-d60e4c99d7e8', 'route': ['p1', 'e2', 'i3', 'x6', 'p2', 'c5']}
1769733120.2964275,SENT,a2fcf101-e35a-4b60-b878-aa593a73838b,515cc234-cc5c-4c15-8757-ced1308d8d07,c4,c2,3383,?,p1,
1769733120.2965777,CREATED,e2bc9e07-73ec-4126-8556-0efc8d0a06fd,5f951dbc-1efc-4055-bfa7-fa4cbc2a230d,c4,c2,27,?,?,surb={'id': 'c7a9e306-4686-4b4c-b63d-ce7cf0bb56f8', 'route': ['p2', 'e7', 'i8', 'x4', 'p1', 'c4']}
1769733120.4774964,RECEIVED,8dd70d7b-ffcc-4b80-a472-1545552ce45d,feaf695d-2eea-41d3-a4c0-cf3172a6316f,c2,c4,27,p1,?,surb={'id': '5a0f2f9c-af43-4c2d-9f85-4fcfe99293c3', 'route': ['p1', 'e2', 'i7', 'x1', 'p2', 'c2']}
1769733120.629565,RECEIVED,c97b42bd-cb25-416d-a88b-7fb4635dac60,2b8fe158-4ef6-44eb-adf4-2f0c8782b9fb,c2,c4,27,p1,?,surb={'id': '2ce643ec-3fbd-43ed-9578-e3ec5b50b6c9', 'route': ['p1', 'e4', 'i4', 'x3', 'p2', 'c2']}
1769733120.7863865,RECEIVED,2f3372dd-c976-4eda-94ee-a0b66de33349,70a36c43-6413-47a1-b55e-1888c53a22d5,c5,c4,27,p1,?,surb={'id': 'bfa6e3da-6578-4715-961c-70f301c50ba4', 'route': ['p1', 'e7', 'i3', 'x6', 'p2', 'c5']}
1769733120.8643062,RECEIVED,850ef472-bffd-48a3-b4e7-cf2dd65c41ed,973c101b-ca77-46d0-866d-ecf47befa166,c2,c4,27,p1,?,surb={'id': '6614bc51-c880-4bce-870f-bccdff9971ce', 'route': ['p1', 'e5', 'i11', 'x3', 'p2', 'c2']}
1769733120.872271,RECEIVED,b8ac0f08-a7db-45ab-a458-80739f2385c0,b02b5c63-7885-4463-a443-528965b8f03a,c5,c4,27,p1,?,surb={'id': '1b1aa3d2-33a9-4d4b-9ad5-dac992049022', 'route': ['p1', 'e8', 'i11', 'x5', 'p2', 'c5']}
1769733120.9764848,RECEIVED,392ebbce-98ca-46c0-b61f-83b107151782,d743ed25-19ec-4cf5-9ab7-e498a16b5a4d,c2,c4,26,p1,?,surb={'id': '6226bffa-9041-4713-8e98-391cd55af8a3', 'route': ['p1', 'e7', 'i12', 'x12', 'p2', 'c2']}
1769733121.2393072,RECEIVED,e8cde5b2-7a91-47e2-a20f-2992214018ba,0e0ab48f-a5a6-49cc-ac7d-ce428780805f,c5,c4,27,p1,?,surb={'id': 'cc417880-40ea-4117-a674-cb4c56c90e38', 'route': ['p1', 'e9', 'i8', 'x10', 'p2', 'c5']}
