timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497553.7261112,CREATED,0d76d3c5-8e70-447c-84f7-ef6f00128690,3fdffc7b-6f84-4a80-aa62-36c6fa36b884,c5,c2,26,?,?,surb={'id': '8e7b038a-b8df-417a-b207-fdf492a320b1', 'route': ['p2', 'e8', 'i6', 'x12', 'p2', 'c5']}
1769497553.7521794,SENT,34187752-3e16-4b32-af1a-cb34ef00e56a,c3c06c96-d8f7-43c2-a3fc-34f9cd3f479a,c5,c2,3392,?,p2,
1769497553.752328,CREATED,011f9c7d-550b-469e-b1c7-0f2d66b21eb8,3fdffc7b-6f84-4a80-aa62-36c6fa36b884,c5,c2,26,?,?,surb={'id': '8e7b038a-b8df-417a-b207-fdf492a320b1', 'route': ['p2', 'e8', 'i6', 'x12', 'p2', 'c5']}
1769497553.9003956,SENT,38af77a8-f03d-41da-b548-04885b30f982,b4e1e1f4-4e2e-4c86-8f41-577df029f9a1,c5,c2,3392,?,p2,
1769497553.9005425,CREATED,e91adbd8-4ab8-4535-beca-59e760e538c0,8f715c46-d576-4df8-97ee-bc0932416bb5,c5,c2,26,?,?,surb={'id': '34be3a3e-6473-4052-b262-d9e710337707', 'route': ['p2', 'e12', 'i1', 'x12', 'p2', 'c5']}
1769497554.172305,RECEIVED,652ee4b8-2c11-48fd-a43b-9a4aa2fd0c6b,3b0c860c-b584-433c-8a64-a3c1e9c8c89e,c1,c5,27,p2,?,surb={'id': 'c4f56ed5-d954-46a6-9a2b-717932d4afce', 'route': ['p2', 'e4', 'i1', 'x9', 'p1', 'c1']}
1769497554.424364,RECEIVED,6e338cfb-3e81-4044-a486-093fe4a36a1c,43f3dcbf-bed7-4496-a812-9fb0834a93af,c1,c5,27,p2,?,surb={'id': 'e0b65b28-e400-456f-a84e-eef9efba13e1', 'route': ['p2', 'e7', 'i2', 'x2', 'p1', 'c1']}
1769497554.4907804,RECEIVED,c44bc707-8d56-4f4c-8e1a-f8eb4f63d1eb,ed28c7fd-c22a-491c-a2d5-f70314c339c7,c1,c5,27,p2,?,surb={'id': '201ad097-963e-4d4e-9225-485acf9ac6ef', 'route': ['p2', 'e5', 'i8', 'x12', 'p1', 'c1']}
1769497554.6583135,SENT,e244c41a-6984-4dd5-ba60-2a1a154cd0b9,f79872ed-e082-4048-861e-184b21a4d9f6,c5,c2,3384,?,p2,
1769497554.6584854,CREATED,8d626322-0491-46cd-a6cb-571af2a6353c,8f715c46-d576-4df8-97ee-bc0932416bb5,c5,c2,26,?,?,surb={'id': '34be3a3e-6473-4052-b262-d9e710337707', 'route': ['p2', 'e12', 'i1', 'x12', 'p2', 'c5']}
1769497554.702351,RECEIVED,f967773e-d86d-43bd-8659-f459e1659425,3b0c860c-b584-433c-8a64-a3c1e9c8c89e,c1,c5,27,p2,?,surb={'id': 'c4f56ed5-d954-46a6-9a2b-717932d4afce', 'route': ['p2', 'e4', 'i1', 'x9', 'p1', 'c1']}
1769497554.7985282,SENT,4c2cc0ac-4a5f-47ee-b4eb-ebc18ddf4d65,094c7136-beb5-4c6d-91ba-9dd6bf5db25a,c5,c2,3399,?,p2,
1769497554.7986727,CREATED,d52dfac2-7327-462a-8a43-eb343463c13b,348aaf19-03c7-45d8-b723-1aa525eada24,c5,c2,27,?,?,surb={'id': 'c9254e88-2b8b-4e66-9865-f2bcad5b3a55', 'route': ['p2', 'e9', 'i10', 'x11', 'p2', 'c5']}
1769497555.2468133,SENT,c5a3c5a1-4cc2-4532-bb3f-f314bf066d7c,d48cbe80-1141-4fb2-a0bd-18c3c65bf3d5,c5,c2,3397,?,p2,
1769497555.2469535,CREATED,bf24a408-bbef-4b29-a1a3-bbddae63322f,348aaf19-03c7-45d8-b723-1aa525eada24,c5,c2,27,?,?,surb={'id': 'c9254e88-2b8b-4e66-9865-f2bcad5b3a55', 'route': ['p2', 'e9', 'i10', 'x11', 'p2', 'c5']}
1769497555.3256435,RECEIVED,cbba646f-43cf-40d8-9c18-69042ca7ca7b,43f3dcbf-bed7-4496-a812-9fb0834a93af,c1,c5,27,p2,?,surb={'id': 'e0b65b28-e400-456f-a84e-eef9efba13e1', 'route': ['p2', 'e7', 'i2', 'x2', 'p1', 'c1']}
1769497555.4288015,RECEIVED,6062d386-2cd4-4a3b-a38e-b7f5f3cbf420,7bb23e84-b543-44f4-83e1-413d9f6ffeb5,c1,c5,27,p2,?,surb={'id': 'fd5ddb70-274d-4144-a72b-e87a596a2f33', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c1']}
1769497555.5516303,SENT,c396f87a-f408-4163-a5d3-0ae5b2b5d6bc,0632789d-7d36-4ce6-b75b-e96b74d95621,c5,c2,3396,?,p2,
1769497555.5517776,CREATED,6f331059-1676-401d-8cc7-5330b61992e1,a4560ed9-4d84-4dea-8918-8648a70b4a0b,c5,c2,27,?,?,surb={'id': '770e158e-db28-4c18-94af-bc2a0845b623', 'route': ['p2', 'e12', 'i1', 'x11', 'p2', 'c5']}
1769497555.6933887,RECEIVED,50188ccc-022f-41de-b8c5-ba10c22614e4,7bb23e84-b543-44f4-83e1-413d9f6ffeb5,c1,c5,27,p2,?,surb={'id': 'fd5ddb70-274d-4144-a72b-e87a596a2f33', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c1']}
1769497555.797392,RECEIVED,bec43483-49f1-43d7-8c0c-0f3305fedf57,772d5209-101b-434c-922e-ddd055799434,c1,c5,26,p2,?,surb={'id': '3cd763b1-4d5c-4b9e-bc09-b085fd4fe981', 'route': ['p2', 'e6', 'i1', 'x5', 'p1', 'c1']}
1769497555.8242,SENT,0d17bdb0-270b-4f22-a29c-51091687623d,984a08c9-32b5-4fb8-a22a-8e332a53dbbc,c5,c2,3401,?,p2,
1769497555.8243463,CREATED,364aaa1e-9adc-4592-8112-1b6533b2d2ab,a4560ed9-4d84-4dea-8918-8648a70b4a0b,c5,c2,27,?,?,surb={'id': '770e158e-db28-4c18-94af-bc2a0845b623', 'route': ['p2', 'e12', 'i1', 'x11', 'p2', 'c5']}
1769497556.0739994,SENT,10ac85ac-77a1-4e68-b7dc-617cf27694c1,13b7b36f-a923-4d41-98f2-782ba35008a2,c5,c2,3356,?,p2,
1769497556.074346,CREATED,6884528a-7af7-4d63-b1ae-f011c5b6d1fe,3fc287f9-4f5d-42b0-a0eb-204ea6cf4481,c5,c2,26,?,?,surb={'id': 'ec631736-d59d-45c4-bbac-17652ffbd024', 'route': ['p2', 'e1', 'i1', 'x4', 'p2', 'c5']}
1769497556.8348594,SENT,239d7ac0-66d7-4cbe-8012-f6d35ffb683e,66bc7edf-4a03-4f91-8178-4938d34c1346,c5,c2,3359,?,p2,
1769497556.8350065,CREATED,c3133edc-452f-49ca-8847-aa254cd13508,3fc287f9-4f5d-42b0-a0eb-204ea6cf4481,c5,c2,26,?,?,surb={'id': 'ec631736-d59d-45c4-bbac-17652ffbd024', 'route': ['p2', 'e1', 'i1', 'x4', 'p2', 'c5']}
1769497557.3173711,SENT,432439cc-529b-4460-813e-5de99f76b394,08469a63-9786-4db6-ae0a-4e52a204bf36,c5,c2,3400,?,p2,
1769497557.3175206,CREATED,19a180a8-59f5-4280-b391-eaf2b8b675ab,97e6c133-44ed-4a46-9fe6-ca2a60b8f81b,c5,c2,27,?,?,surb={'id': '3f9a0de7-a588-49b4-80e2-10c625165e97', 'route': ['p2', 'e2', 'i12', 'x7', 'p2', 'c5']}
1769497557.4184976,RECEIVED,3c668540-e904-4da0-8f59-ad5e8b58a267,9a442947-87e8-467c-af49-b9d466c81980,c1,c5,27,p2,?,surb={'id': 'bea7788e-9cdd-4ab9-81ce-9f076a57f705', 'route': ['p2', 'e9', 'i7', 'x9', 'p1', 'c1']}
1769497557.7194042,RECEIVED,9f4aba4c-3656-465b-8748-839f435adf83,b6c5b3bd-acc0-47c1-ba59-dbdb389bed20,c1,c5,27,p2,?,surb={'id': '910b27bb-e055-440d-9bf9-138f2f9885af', 'route': ['p2', 'e2', 'i10', 'x7', 'p1', 'c1']}
1769497558.113472,SENT,6e628a54-05c9-452c-bef5-708f2f55f5ce,29a1303e-1d97-49c0-bbcb-97367586dadf,c5,c2,3384,?,p2,
1769497558.1136205,CREATED,2e9af129-5e48-4b48-a2e4-fb5da140dabe,97e6c133-44ed-4a46-9fe6-ca2a60b8f81b,c5,c2,27,?,?,surb={'id': '3f9a0de7-a588-49b4-80e2-10c625165e97', 'route': ['p2', 'e2', 'i12', 'x7', 'p2', 'c5']}
1769497558.2968264,SENT,0e4a34b1-dced-426c-8c25-bdd314446a0e,cc4c3617-b3bd-4960-94cc-bebde7cd0268,c5,c2,3377,?,p2,
1769497558.296928,CREATED,3b21082f-8a6d-4540-8661-a7e09cb81e9c,06a9c079-423f-4eef-8bea-84106144e125,c5,c2,27,?,?,surb={'id': '868495fa-0af5-454d-b539-a0f5f1e088cb', 'route': ['p2', 'e7', 'i10', 'x8', 'p2', 'c5']}
1769497558.4593363,RECEIVED,7b8f71eb-28c5-4fc8-90d5-f34591aa1607,cdbeae85-b9f6-449d-8758-2dc51b2dc6ee,c1,c5,27,p2,?,surb={'id': '03f88b8d-e565-4828-84cc-2d89d1d74a2f', 'route': ['p2', 'e11', 'i6', 'x5', 'p1', 'c1']}
1769497558.4987497,SENT,f214eb67-9ab3-4407-b6f3-f7bcf6d1df44,b19f26db-52f2-4638-a0d3-e771226afd16,c5,c2,3388,?,p2,
1769497558.4988465,CREATED,039af4f9-6f04-4269-9587-4abd461a75e8,06a9c079-423f-4eef-8bea-84106144e125,c5,c2,27,?,?,surb={'id': '868495fa-0af5-454d-b539-a0f5f1e088cb', 'route': ['p2', 'e7', 'i10', 'x8', 'p2', 'c5']}
1769497558.7533805,RECEIVED,c395a73a-8efd-4eaf-ab18-09ae7bedc5b8,772d5209-101b-434c-922e-ddd055799434,c1,c5,26,p2,?,surb={'id': '3cd763b1-4d5c-4b9e-bc09-b085fd4fe981', 'route': ['p2', 'e6', 'i1', 'x5', 'p1', 'c1']}
1769497558.755113,RECEIVED,e86a1f33-3261-43d0-a896-b4e342922212,ca56e0ed-1f20-4eb3-8209-7c722dae59b5,c1,c5,27,p2,?,surb={'id': '0b65219a-a41b-43e0-a0ac-baa0f5a15a3a', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c1']}
1769497559.1255553,RECEIVED,36d996dd-d3e3-41d0-aa87-75b9df2fa644,ca56e0ed-1f20-4eb3-8209-7c722dae59b5,c1,c5,27,p2,?,surb={'id': '0b65219a-a41b-43e0-a0ac-baa0f5a15a3a', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c1']}
1769497559.1896472,RECEIVED,c16b817c-0f49-4691-9810-1c3e19a046d7,cdbeae85-b9f6-449d-8758-2dc51b2dc6ee,c1,c5,27,p2,?,surb={'id': '03f88b8d-e565-4828-84cc-2d89d1d74a2f', 'route': ['p2', 'e11', 'i6', 'x5', 'p1', 'c1']}
1769497559.3005795,RECEIVED,9f657a28-b3c7-4793-b037-be4316416524,9a442947-87e8-467c-af49-b9d466c81980,c1,c5,27,p2,?,surb={'id': 'bea7788e-9cdd-4ab9-81ce-9f076a57f705', 'route': ['p2', 'e9', 'i7', 'x9', 'p1', 'c1']}
1769497559.5882473,SENT,b871b03f-edd1-4243-bb43-0f65bbda9b23,4c5d695a-8013-4aa7-bae5-02c21e3dc8dc,c5,c2,3383,?,p2,
1769497559.5883942,CREATED,806bb2db-cc4b-465d-b812-70d0516b5b85,151a86fc-6b5a-41f8-b867-86a0d2b2d571,c5,c2,27,?,?,surb={'id': 'e3be1409-1946-40a6-aaa2-761ddc254331', 'route': ['p2', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769497559.7405283,RECEIVED,976a26f8-f13a-4aa6-8dc8-1584665c36a8,50294e07-9167-43f0-b5bc-76b77141e51c,c1,c5,27,p2,?,surb={'id': '22fafae5-95e5-42e4-98e8-1c9b03afaf90', 'route': ['p2', 'e8', 'i5', 'x3', 'p1', 'c1']}
1769497559.774455,RECEIVED,2a9d1174-7895-40f7-9423-580cb1ae24d6,f148eb21-2a79-4486-b49b-da0ae553c4f2,c1,c5,27,p2,?,surb={'id': 'd98c1112-ab72-427f-ba2f-660fe7ecd2f0', 'route': ['p2', 'e5', 'i5', 'x6', 'p1', 'c1']}
1769497560.0383258,SENT,2f96fa32-871e-44d9-a6c7-d53e4367fc8c,a23c3f15-7449-40b8-bed3-af3f65bdb2e3,c5,c2,3374,?,p2,
1769497560.0384688,CREATED,0611d0ee-99b3-4b41-a41d-2602f3847bcd,151a86fc-6b5a-41f8-b867-86a0d2b2d571,c5,c2,27,?,?,surb={'id': 'e3be1409-1946-40a6-aaa2-761ddc254331', 'route': ['p2', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769497560.138229,SENT,1144b4ad-e848-475c-a655-575cce1444ce,052a0efb-f8b9-475f-be8f-3b33b6639ca3,c5,c2,3380,?,p2,
1769497560.138377,CREATED,82dbe93b-8be0-4e57-a4d5-8acb2b9bf3f2,f1b5458c-a775-4a49-b539-95c66a30df4e,c5,c2,27,?,?,surb={'id': '54176755-1ccd-400d-ade6-a0fce07b6907', 'route': ['p2', 'e10', 'i7', 'x7', 'p2', 'c5']}
1769497560.2838266,SENT,e695e92e-f29b-4cfa-be54-11be438090df,7130f12a-137b-42ee-9fb0-c6a1b2943050,c5,c2,3391,?,p2,
1769497560.2839704,CREATED,e6a4bd68-357a-4816-b778-e14877134c78,f1b5458c-a775-4a49-b539-95c66a30df4e,c5,c2,27,?,?,surb={'id': '54176755-1ccd-400d-ade6-a0fce07b6907', 'route': ['p2', 'e10', 'i7', 'x7', 'p2', 'c5']}
1769497560.2888381,RECEIVED,983a258e-6dda-473e-a9a7-a9da7558cd2d,847deaa6-c0a3-4c1b-93b6-56bac83c73f1,c1,c5,27,p2,?,surb={'id': 'd092eca2-3172-4d3a-91ff-f2c629ca920e', 'route': ['p2', 'e12', 'i8', 'x4', 'p1', 'c1']}
1769497560.3146698,RECEIVED,2b822b56-071f-498c-aca2-4c7c06da4731,f148eb21-2a79-4486-b49b-da0ae553c4f2,c1,c5,27,p2,?,surb={'id': 'd98c1112-ab72-427f-ba2f-660fe7ecd2f0', 'route': ['p2', 'e5', 'i5', 'x6', 'p1', 'c1']}
1769497560.6137989,SENT,23fb2a24-9190-456f-a62e-e92d7656292d,7f55b251-ecb2-49b1-b111-8a9396b9bf6c,c5,c2,3384,?,p2,
1769497560.613947,CREATED,114045a9-ec45-4ba7-a889-f7f928353322,6403b212-bd7e-4aae-94ef-adf64449a80b,c5,c2,25,?,?,surb={'id': '43870c49-551f-4773-aac3-43604d0617d6', 'route': ['p2', 'e4', 'i5', 'x7', 'p2', 'c5']}
1769497561.1433485,RECEIVED,8b63ce36-ee8a-4ef2-bffa-a135050aee99,50294e07-9167-43f0-b5bc-76b77141e51c,c1,c5,27,p2,?,surb={'id': '22fafae5-95e5-42e4-98e8-1c9b03afaf90', 'route': ['p2', 'e8', 'i5', 'x3', 'p1', 'c1']}
1769497561.1703277,RECEIVED,bdcbfad9-573e-4888-b24c-5bbc0ecd5624,b6c5b3bd-acc0-47c1-ba59-dbdb389bed20,c1,c5,27,p2,?,surb={'id': '910b27bb-e055-440d-9bf9-138f2f9885af', 'route': ['p2', 'e2', 'i10', 'x7', 'p1', 'c1']}
1769497561.273146,RECEIVED,045fc631-4485-4685-9aec-cc4071c8e420,f600b0a1-220b-4740-acd2-a028476de4af,c1,c5,27,p2,?,surb={'id': '83a50347-f0b4-4ad3-9fdc-c1d381fc3319', 'route': ['p2', 'e1', 'i7', 'x5', 'p1', 'c1']}
1769497561.331002,RECEIVED,227c0a67-dd1b-4d2a-a9b5-4b8be4225352,f600b0a1-220b-4740-acd2-a028476de4af,c1,c5,27,p2,?,surb={'id': '83a50347-f0b4-4ad3-9fdc-c1d381fc3319', 'route': ['p2', 'e1', 'i7', 'x5', 'p1', 'c1']}
1769497561.4480014,RECEIVED,b852cacd-df52-4b51-a715-856c46a5223f,847deaa6-c0a3-4c1b-93b6-56bac83c73f1,c1,c5,27,p2,?,surb={'id': 'd092eca2-3172-4d3a-91ff-f2c629ca920e', 'route': ['p2', 'e12', 'i8', 'x4', 'p1', 'c1']}
1769497561.8929305,SENT,0781c233-9c37-4055-bff9-db923218a7c6,44d0d10d-1bdf-4a80-90ba-68ff2d1b8ff9,c5,c2,3383,?,p2,
1769497561.893855,CREATED,1a9d7ef8-0ec5-4276-b1ac-23a91e988ac0,6403b212-bd7e-4aae-94ef-adf64449a80b,c5,c2,25,?,?,surb={'id': '43870c49-551f-4773-aac3-43604d0617d6', 'route': ['p2', 'e4', 'i5', 'x7', 'p2', 'c5']}
1769497561.976448,SENT,54c59791-254e-4f11-bc41-e7c5b491ff27,66e552ce-328d-4b1d-a792-b556f0240ded,c5,c2,3363,?,p2,
1769497561.976516,CREATED,3d254dbc-fd42-4a71-9474-4eeb833ef1dc,a60799f5-6c5f-4ff3-b7c5-4c716d409812,c5,c2,27,?,?,surb={'id': '651e652e-de2b-4fe7-a946-e3118b36a32a', 'route': ['p2', 'e5', 'i8', 'x7', 'p2', 'c5']}
1769497562.4447157,SENT,547af0e0-eec5-4e3f-82db-1e2b1cf5e809,e1ccf173-88a1-48d4-9d43-ded1c5533309,c5,c2,3376,?,p2,
