timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460541.8327045,RECEIVED,b6a5c55e-b34a-453e-95a2-259f48c4db9b,aee9e8d1-f8fd-467c-8578-13232f44c8fc,c1,c3,27,p3,?,surb={'id': '8e7c5c6f-bd2c-4abb-aa52-53a74dd48125', 'route': ['p3', 'e1', 'i3', 'x11', 'p1', 'c1']}
1769460541.8385696,SENT,9587b02f-fb60-4799-b1b8-07bb5a870019,998b487c-8773-42eb-a4b5-473a5f922481,c3,c2,3364,?,p3,
1769460541.838717,CREATED,85b83121-19cd-455a-8c9b-6f5b6cbb4d46,fa0344ef-4a70-45de-871d-e91589bb3891,c3,c2,26,?,?,surb={'id': '882e14e0-0560-476a-b6d7-d9c43aa2fb4f', 'route': ['p2', 'e12', 'i7', 'x8', 'p3', 'c3']}
1769460541.887435,RECEIVED,7657202e-74b6-45fb-b4bc-a8e4dfa80286,aa9a8401-eee1-450a-ad38-6ef2ee5928a5,c4,c3,26,p3,?,surb={'id': '319cec09-eca0-448b-9e2e-6e19b11014d6', 'route': ['p3', 'e3', 'i10', 'x4', 'p1', 'c4']}
1769460542.0163414,RECEIVED,07eb53c9-68f7-4cc0-9331-22577dc8f1a0,920e4148-80c2-49c8-a77a-b67c59f4e058,c1,c3,27,p3,?,surb={'id': '7023a457-ebf8-48ee-a13d-856d8aebe712', 'route': ['p3', 'e7', 'i8', 'x5', 'p1', 'c1']}
1769460542.357102,SENT,532177d8-2c12-4941-93d1-3b9a95c32a82,f1d23bc4-aa85-4657-b55f-145d90554917,c3,c2,3363,?,p3,
1769460542.3572495,CREATED,936632a7-8b6d-4709-b517-8ac6d2e47e1c,9e1cb845-df70-431a-8fa5-255c5d72aec2,c3,c2,27,?,?,surb={'id': 'd5cc7fc0-ccf5-4780-8ca2-ae833c4501fc', 'route': ['p2', 'e4', 'i10', 'x3', 'p3', 'c3']}
1769460542.4579449,RECEIVED,5d56a4f6-17d2-441b-babb-915a74f814f7,aa01df21-7f94-4e1a-bee8-4ac56477bec2,c5,c3,27,p3,?,surb={'id': '30439234-d656-4ac6-80c5-0c022b7b5b27', 'route': ['p3', 'e8', 'i11', 'x1', 'p2', 'c5']}
1769460542.470479,RECEIVED,4831faca-0447-4586-82bd-8f4c5f531052,aa01df21-7f94-4e1a-bee8-4ac56477bec2,c5,c3,27,p3,?,surb={'id': '30439234-d656-4ac6-80c5-0c022b7b5b27', 'route': ['p3', 'e8', 'i11', 'x1', 'p2', 'c5']}
1769460542.4877038,RECEIVED,448889a5-1eeb-46cc-8984-8df8889e4755,b60e4d1b-0e57-4a8a-813a-2e689a9d3b5e,c5,c3,27,p3,?,surb={'id': 'ad4c8dea-5541-4092-b431-0aef6be33252', 'route': ['p3', 'e5', 'i8', 'x5', 'p2', 'c5']}
1769460542.5031295,RECEIVED,718bb3cb-3cbc-429f-b31c-85f4a656794c,4247df6a-c876-4190-84a9-d4e974d49c4b,c4,c3,27,p3,?,surb={'id': '6dabb812-cde9-464a-aab1-e92e5e87a161', 'route': ['p3', 'e12', 'i6', 'x2', 'p1', 'c4']}
1769460542.5307245,SENT,9c1f83d3-5822-4281-be5a-2f753565f686,e532c85b-ef96-4f6a-b13b-de895e5900f4,c3,c2,3388,?,p3,
1769460542.5308783,CREATED,474cdd10-fa0d-48b2-bb80-26c6716bf7db,9e1cb845-df70-431a-8fa5-255c5d72aec2,c3,c2,27,?,?,surb={'id': 'd5cc7fc0-ccf5-4780-8ca2-ae833c4501fc', 'route': ['p2', 'e4', 'i10', 'x3', 'p3', 'c3']}
1769460542.620247,SENT,6b0d9783-1890-4c5d-8fb6-0171f1503be3,fac82b41-9744-4f08-b368-2b7e7b4128fe,c3,c2,3390,?,p3,
1769460542.620377,CREATED,a9a9153b-6515-49fd-90c0-666ba4abee53,b0d8d581-61c7-43ad-8488-89415806e2a2,c3,c2,27,?,?,surb={'id': 'b507549a-0e44-4ea5-b7bf-35dd8fd09433', 'route': ['p2', 'e7', 'i8', 'x11', 'p3', 'c3']}
1769460542.824457,RECEIVED,8950a7f9-846d-4b87-b443-5e16ec8d6ae9,00741e42-92a4-4ba0-a866-dcab574d8e8f,c5,c3,27,p3,?,surb={'id': 'dc02fa28-c603-4f86-b9a7-cf61bbdb7eb6', 'route': ['p3', 'e9', 'i8', 'x3', 'p2', 'c5']}
1769460542.8296857,RECEIVED,9dba8348-486f-4ecb-9d9d-b621e916ee39,b60e4d1b-0e57-4a8a-813a-2e689a9d3b5e,c5,c3,27,p3,?,surb={'id': 'ad4c8dea-5541-4092-b431-0aef6be33252', 'route': ['p3', 'e5', 'i8', 'x5', 'p2', 'c5']}
1769460542.9557195,RECEIVED,d7489542-3109-4a95-b635-2a7cb54c8e10,aa9a8401-eee1-450a-ad38-6ef2ee5928a5,c4,c3,26,p3,?,surb={'id': '319cec09-eca0-448b-9e2e-6e19b11014d6', 'route': ['p3', 'e3', 'i10', 'x4', 'p1', 'c4']}
1769460542.962177,RECEIVED,1442e0bc-dcc6-4242-8315-b9e88339996c,35814f8f-4a84-4e81-8d09-d9b79197b388,c1,c3,27,p3,?,surb={'id': '33f76f47-d007-49f3-90fe-49b4e2c4d523', 'route': ['p3', 'e2', 'i7', 'x12', 'p1', 'c1']}
1769460543.0125985,RECEIVED,954dcfea-3f2c-498c-89fe-a57672f20ab2,d9bfd639-ad0f-4318-8cad-92d867dc5f0a,c5,c3,26,p3,?,surb={'id': '93d8c90e-a9cc-4e49-ad72-798d44948803', 'route': ['p3', 'e9', 'i10', 'x7', 'p2', 'c5']}
1769460543.0249054,RECEIVED,559d551f-daa7-4276-b68b-09b62e1b0cd6,d9bfd639-ad0f-4318-8cad-92d867dc5f0a,c5,c3,26,p3,?,surb={'id': '93d8c90e-a9cc-4e49-ad72-798d44948803', 'route': ['p3', 'e9', 'i10', 'x7', 'p2', 'c5']}
1769460543.03116,RECEIVED,3fd917dd-d893-4296-b2a3-5780592731b1,b2c5f527-3de6-4891-bd5b-bb980c1364a6,c1,c3,26,p3,?,surb={'id': '283244ed-3cb6-4756-a52d-32e03d2c06bb', 'route': ['p3', 'e3', 'i11', 'x12', 'p1', 'c1']}
1769460543.0618596,RECEIVED,a81e8674-900f-4615-b5d7-58f968e8e162,4247df6a-c876-4190-84a9-d4e974d49c4b,c4,c3,27,p3,?,surb={'id': '6dabb812-cde9-464a-aab1-e92e5e87a161', 'route': ['p3', 'e12', 'i6', 'x2', 'p1', 'c4']}
1769460543.1681707,RECEIVED,b856ab68-3711-4e03-96fb-2c907261fa4a,3cf08841-373b-4790-8cdd-762a421b26f5,c5,c3,26,p3,?,surb={'id': '41a950a5-cec4-484f-821b-bb293f9676a8', 'route': ['p3', 'e12', 'i11', 'x1', 'p2', 'c5']}
1769460543.2228014,RECEIVED,27958b02-e8d1-4dee-a07d-9e3853f49bac,3d3c5929-42ec-482f-b170-b018c6fbd6cc,c5,c3,25,p3,?,surb={'id': '2198c2b1-68ba-4bb5-8d1c-1dc7d2ea276e', 'route': ['p3', 'e8', 'i12', 'x1', 'p2', 'c5']}
1769460543.2803462,RECEIVED,e32af7ae-9651-471a-ace7-87659adf56c0,43464111-92b0-4638-931d-6badc609e661,c5,c3,27,p3,?,surb={'id': '69d85535-d650-419f-bb88-2e1979f5733e', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
