timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744845.7599826,CREATED,1bf6a314-c298-40e8-919c-876f48ba8b0a,6df62e26-d3d9-41c2-b8ac-af0608c33e01,c4,c2,25,?,?,surb={'id': 'f086eccf-8fbd-4bd1-a3bf-89e22e7f497d', 'route': ['p2', 'e1', 'i1', 'x1', 'p1', 'c4']}
1769744845.9276805,RECEIVED,df184ef3-60e0-485e-b0f2-db981e81200f,ba3bb067-347a-4fbc-a221-24feed16f3b4,c1,c4,27,p1,?,surb={'id': '1da637fd-1e23-4cb5-9a0c-0b75bd91607b', 'route': ['p1', 'e8', 'i1', 'x4', 'p1', 'c1']}
1769744846.3236063,SENT,5474cd30-78fa-4415-9fce-ce3030ec160d,a69f1a45-c446-4adb-8ca8-b35ee3ee52c9,c4,c2,3364,?,p1,
1769744846.323739,CREATED,f7411cc7-958b-447d-843e-4af8d18ced29,0fb61846-5557-420b-8f7b-ad2134a7912c,c4,c2,27,?,?,surb={'id': 'fc0cf895-d09c-47bc-9b2a-07fb6ec7e5ab', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769744846.5498724,RECEIVED,ff21688e-aa9e-4bf9-b7d1-61c4c3e8ff30,214722f0-3a66-4a02-b9cd-25d6e9f79694,c1,c4,26,p1,?,surb={'id': '161f4bdd-fa85-41c5-9cb1-a0da895982b9', 'route': ['p1', 'e2', 'i9', 'x11', 'p1', 'c1']}
1769744846.6262674,SENT,b7a7d551-7b3c-4340-850c-808248dc2025,feb51e99-407a-46f1-96de-006f0b564f1a,c4,c2,3392,?,p1,
1769744846.6264062,CREATED,5e7ec239-de05-42ea-89ba-3777d8d1d42b,194de0c4-0eb5-4478-b231-8d9a82e1e1f7,c4,c2,27,?,?,surb={'id': '8ad53595-a7dd-484f-b9a0-bb77f10a74b5', 'route': ['p2', 'e8', 'i8', 'x1', 'p1', 'c4']}
1769744846.8007548,SENT,b09a79ed-29b1-48a2-9e00-712cf4a72805,09598b24-afbb-4446-aa85-ac05c5c40c34,c4,c2,3392,?,p1,
1769744846.8008885,CREATED,670a6517-f8de-4ca6-9cfc-6aafad8e6502,91c101fb-08d4-41fb-844d-6b162009aacf,c4,c2,27,?,?,surb={'id': '5d485455-fbb6-4d2e-816e-cf6618277c27', 'route': ['p2', 'e10', 'i5', 'x9', 'p1', 'c4']}
1769744846.8578758,RECEIVED,9a5eb180-abda-4e14-a80b-baf99c852e5d,e7c06cb3-eb15-4f5e-8d0a-0966198c0119,c1,c4,27,p1,?,surb={'id': '8a7db347-455a-4892-a197-6cff8600086e', 'route': ['p1', 'e7', 'i4', 'x2', 'p1', 'c1']}
1769744846.9958436,RECEIVED,64eb9fdc-3789-4096-a1e7-d54fa06f0204,6f34666f-284d-4245-b765-b2c6c2212e36,c1,c4,27,p1,?,surb={'id': '8a27729a-f771-4501-a1e1-007d8403b34d', 'route': ['p1', 'e4', 'i3', 'x11', 'p1', 'c1']}
1769744847.1287947,SENT,b7a0e372-a2f8-4f5f-a542-0c2f5491ed37,2222b8e6-94f9-4a5c-ae67-bba223b22d58,c4,c2,3377,?,p1,
1769744847.1289494,CREATED,77f1f9ff-0466-4663-b5b2-9c7f3e52efae,48dd8c4f-8720-4cb7-83af-8aab3bd2bd8b,c4,c2,27,?,?,surb={'id': 'af356fb3-ea2a-477a-81ea-aed45e704a9a', 'route': ['p2', 'e9', 'i9', 'x1', 'p1', 'c4']}
1769744847.161897,SENT,844b466c-fe62-482b-a629-685bd3558d15,b5cf9d59-09cb-4d09-b1f2-ee7063911896,c4,c2,3387,?,p1,
1769744847.1620185,CREATED,9a45fadd-fbb4-412a-864f-416763008227,a85543d1-c8d5-4eb3-9843-8c8b0e200c7f,c4,c2,26,?,?,surb={'id': 'fb3f7748-4af4-4a60-903c-480f6022267c', 'route': ['p2', 'e7', 'i10', 'x12', 'p1', 'c4']}
1769744847.235105,RECEIVED,997d84b0-aea5-4991-ba6f-30cad455930b,cef36bf0-49ed-4bb4-908e-959b90916b85,c1,c4,27,p1,?,surb={'id': 'a484ce7d-c543-4346-aa6c-a20dcf433904', 'route': ['p1', 'e9', 'i7', 'x9', 'p1', 'c1']}
1769744847.3908827,RECEIVED,6b447142-5022-4ec5-9674-ec12586819b8,c2f54afc-b87d-42c4-b94a-b0047cdca4fb,c1,c4,27,p1,?,surb={'id': 'bb3dd625-4b87-46e0-a936-4eed075066ec', 'route': ['p1', 'e5', 'i11', 'x2', 'p1', 'c1']}
1769744847.6793654,SENT,564ee8b2-1ae4-471f-945a-3c650579395a,3561fa4e-58a4-4003-8821-7cbddf527e00,c4,c2,3376,?,p1,
