timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744843.6118875,RECEIVED,8c146118-ea70-437c-b02c-b8b160626e27,dd9f68a2-de79-44f9-a140-1ac0ae4f392e,c4,c2,26,p2,?,surb={'id': 'b996ef7a-8941-4aba-b438-34c0dcac0b57', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c4']}
1769744843.6671817,SENT,227a6c29-0123-412a-9bbd-ae5e2a5cc6f5,9058a162-2227-43c9-99e9-b0ec6262c2db,c2,c5,3386,?,p2,
1769744843.6672816,CREATED,b18181b0-196e-41b9-90a3-ba9455538576,411e53fa-3296-4dd1-b098-675e8d5de81a,c2,c5,27,?,?,surb={'id': '1df365c8-0376-4e11-90e3-a859068a1786', 'route': ['p2', 'e12', 'i11', 'x1', 'p2', 'c2']}
1769744843.838449,SENT,c55da717-2117-44bf-958c-8751c8f94d27,b57d9a53-8993-4612-b854-40b194da66be,c2,c5,3374,?,p2,
1769744843.8386211,CREATED,3b3888f6-4d77-400a-b5a2-ac7f96b84144,53edbec0-0fd1-4527-8339-20ac9079c2d7,c2,c5,26,?,?,surb={'id': '023c2007-5fb8-41d5-acec-1fb2d9eb3d41', 'route': ['p2', 'e4', 'i9', 'x5', 'p2', 'c2']}
1769744843.9061759,RECEIVED,19e82dac-58e5-4495-8031-0d3b451b7759,f06d1f10-e318-4045-bb4b-c3af0cc539a7,c4,c2,27,p2,?,surb={'id': 'a159a735-b1f3-4213-b42e-b3ce62cff82d', 'route': ['p2', 'e10', 'i5', 'x4', 'p1', 'c4']}
1769744844.3427703,RECEIVED,071ce309-37dd-4aec-94eb-686915d8018f,3054ccf0-3632-400b-a872-3884c93cf3b5,c4,c2,27,p2,?,surb={'id': '2c8bed10-d6e2-419d-bd19-b261e4eb5649', 'route': ['p2', 'e12', 'i1', 'x9', 'p1', 'c4']}
1769744844.605498,SENT,d8d9a3b2-a441-4672-a709-58fb04e00b55,5090a692-7140-451b-b95b-adf4a717e1a1,c2,c5,3396,?,p2,
1769744844.60563,CREATED,8b489ad0-36eb-4546-9f2e-f56aeb0977d5,ccfeb108-5054-4893-a754-219dd3982bcf,c2,c5,27,?,?,surb={'id': '66810707-399c-4144-a4ce-b0b345936b9e', 'route': ['p2', 'e11', 'i6', 'x5', 'p2', 'c2']}
1769744844.7516394,SENT,808411ab-490f-4811-aa2d-4dfaf51f08e4,c5f818aa-d145-4a4e-a8c5-bd06c4bfb204,c2,c5,3359,?,p2,
1769744844.7517715,CREATED,7f401e0c-bc92-4e16-a06b-d00828d88384,d453b7ac-6aa1-4d6f-af1e-6512b02f1272,c2,c5,27,?,?,surb={'id': '141e8ef1-f8d7-42e6-af1d-731a461b472a', 'route': ['p2', 'e1', 'i8', 'x9', 'p2', 'c2']}
1769744844.929466,SENT,822f1a62-b2f9-4953-a343-6664d210e897,a9c4c838-2c65-4fd6-ab01-5110588dbe9f,c2,c5,3388,?,p2,
1769744844.9295967,CREATED,b6724797-5501-433f-914b-93b6e567bce7,a09e3f43-5867-451a-9c4a-d9ba6e218b07,c2,c5,27,?,?,surb={'id': '2c1758de-2199-4e6d-ae8c-8b57fa40f722', 'route': ['p2', 'e7', 'i10', 'x4', 'p2', 'c2']}
1769744845.0048435,RECEIVED,5a5a99df-4e40-4f90-ae46-eebdbed3c696,651a81cd-1b6d-4003-b7c0-12743fcde0c9,c4,c2,26,p2,?,surb={'id': '16226902-b9f8-415d-9afd-add5f429fbf4', 'route': ['p2', 'e4', 'i7', 'x6', 'p1', 'c4']}
1769744845.321652,RECEIVED,65d419f2-2c89-4acf-833a-7e3993b32435,a92add83-6dce-4ca3-9028-8e0c945dc434,c4,c2,27,p2,?,surb={'id': 'f08b1b38-7867-4324-855c-b85268e0085e', 'route': ['p2', 'e2', 'i6', 'x6', 'p1', 'c4']}
1769744845.3768182,RECEIVED,320dc890-9263-405f-854b-86726ccd3f37,f8b3a9fc-5004-46ad-8b55-3b7d6d778881,c4,c2,26,p2,?,surb={'id': 'c38b35a3-4d62-4dd6-87c8-89ec18dd4f47', 'route': ['p2', 'e12', 'i11', 'x10', 'p1', 'c4']}
1769744845.3802333,SENT,e8316ab2-5665-440e-ad56-50060b754367,30f68cc5-6d52-4349-929e-12da7ef486d6,c2,c5,3387,?,p2,
1769744845.3803647,CREATED,8093ad21-27ee-48a7-b40b-106a2b6ddfad,38400249-c4fa-42cb-8d30-3606335d4727,c2,c5,27,?,?,surb={'id': '5e72b783-8b0d-43b2-a7c5-ac48850dfb96', 'route': ['p2', 'e8', 'i3', 'x7', 'p2', 'c2']}
1769744845.777091,SENT,0d3e74e3-ad9e-4275-bf14-d8dcdd3bde3d,7d1a7904-9b56-40e7-b778-78228640fe91,c2,c5,3379,?,p2,
1769744845.7772253,CREATED,3914b693-e185-4302-88f8-9be8dd3f8ad7,07af78f2-208c-47ab-87d7-27d9d4988636,c2,c5,27,?,?,surb={'id': 'ccdb3eb5-fe42-44dd-8a5b-51eff7b7a381', 'route': ['p2', 'e12', 'i6', 'x11', 'p2', 'c2']}
1769744845.9511263,SENT,fbfb3371-2e98-4745-b018-8a22be2cad91,67640de9-69f8-431e-8c9d-17bc66388975,c2,c5,3373,?,p2,
1769744845.951252,CREATED,a75b4eb8-e718-407d-b77b-669a61716ad4,d4d395de-6a54-48bc-928f-16c064994af0,c2,c5,27,?,?,surb={'id': 'f54d150c-57d6-4dea-ba5c-fa4c3e5513f2', 'route': ['p2', 'e1', 'i1', 'x9', 'p2', 'c2']}
1769744846.287072,SENT,1e30c779-7e1f-4109-a2d6-7e283f3ecb8c,28552ac8-3365-430d-b97a-b2bee608c36a,c2,c5,3363,?,p2,
1769744846.2872086,CREATED,f854ca90-1c29-43f9-87ad-f51685e5d3e2,c89d52f4-a0aa-481f-86fe-0ba1cf8bf06a,c2,c5,27,?,?,surb={'id': 'f36f5c35-aabb-470c-87b1-125aba109ad0', 'route': ['p2', 'e1', 'i5', 'x5', 'p2', 'c2']}
1769744846.35492,RECEIVED,fa5e7201-873b-475b-bfac-2b960e1307c0,0666cbde-160f-4be2-8d66-c46d5a785e48,c4,c2,27,p2,?,surb={'id': 'a3ab3840-1ad6-4278-b4db-77605a589ee0', 'route': ['p2', 'e9', 'i4', 'x9', 'p1', 'c4']}
1769744846.4342673,RECEIVED,d9236a90-bc9f-4e52-87f2-497a83ed67c4,5a2727a6-eefd-48b9-9b60-81ca78e9c9c8,c4,c2,27,p2,?,surb={'id': '8b03bf0e-0bf2-4269-a3cb-40f61ed0cb14', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769744846.4468007,RECEIVED,cc2162fd-0aa6-4e21-b135-1ec3fdb8c17a,9cd1bcf5-b80b-40dd-a8a3-58a735891bed,c4,c2,27,p2,?,surb={'id': '9bc1dc49-e2c5-499c-8811-bdd6acd9890d', 'route': ['p2', 'e8', 'i5', 'x5', 'p1', 'c4']}
1769744846.564079,RECEIVED,327277e0-2453-456d-8986-3fbf6c345e47,36d47c56-0020-4a88-8e94-ce5cbf0d7e93,c4,c2,27,p2,?,surb={'id': '857cc02c-c29a-454b-9902-af671a308ae5', 'route': ['p2', 'e3', 'i7', 'x10', 'p1', 'c4']}
1769744846.5825634,SENT,93fc12a1-4a24-4265-a6a6-bf2976bb0be5,99db4bb6-f5f6-4133-8c10-ebebee3b5246,c2,c5,3383,?,p2,
1769744846.5826957,CREATED,4f8ac209-2a82-4770-a899-cbc1f0de9b3f,1945eb13-4808-40e7-b9ac-1a576f495dbd,c2,c5,27,?,?,surb={'id': '073a0847-37f5-4841-8271-7b7b49a27b4a', 'route': ['p2', 'e7', 'i11', 'x4', 'p2', 'c2']}
1769744846.6392574,SENT,9f49593d-fd69-479c-8d4d-0e1d594eb2d8,9cbd3312-bc5f-4c59-b016-e5dfc89a5abb,c2,c5,3376,?,p2,
1769744846.6393907,CREATED,693eb567-aded-439a-a21c-b224563fc2ba,f7270576-b84f-4c1d-aa0d-fc8744965c0e,c2,c5,27,?,?,surb={'id': 'd5415e03-481c-429f-a4fe-91dfbaa794a9', 'route': ['p2', 'e10', 'i6', 'x9', 'p2', 'c2']}
1769744847.1222734,SENT,f520ed3c-a802-4ce3-b614-58eb4e0c2bb7,d82505f9-081f-4e65-8608-84b9634b3050,c2,c5,3359,?,p2,
1769744847.122404,CREATED,af65e78a-0bc1-4f77-b754-8ff09bdfe346,2d82455f-4297-478a-a358-9d144cdf7e76,c2,c5,27,?,?,surb={'id': '35bed320-0dc4-49e6-aeb8-0bbc155e0027', 'route': ['p2', 'e9', 'i9', 'x8', 'p2', 'c2']}
1769744847.3851185,SENT,8429c261-9a4a-49f9-b520-c99af9caea97,78f72818-1862-4d3e-a2a2-381430f3daba,c2,c5,3383,?,p2,
1769744847.3852527,CREATED,bd66ffa9-5435-4e03-b8ca-ce1336390a6b,4af2831b-aede-4994-a0bf-bf8150aac2fb,c2,c5,27,?,?,surb={'id': '426f6b43-ef19-4ebc-9374-eba92a3edaf0', 'route': ['p2', 'e9', 'i9', 'x9', 'p2', 'c2']}
1769744847.6424522,RECEIVED,1bf6a314-c298-40e8-919c-876f48ba8b0a,6df62e26-d3d9-41c2-b8ac-af0608c33e01,c4,c2,25,p2,?,surb={'id': 'f086eccf-8fbd-4bd1-a3bf-89e22e7f497d', 'route': ['p2', 'e1', 'i1', 'x1', 'p1', 'c4']}
1769744847.7383854,SENT,dd3c44e3-9c4e-4570-b140-2714b2150fa5,e0fc218f-0010-4abd-80ca-0ba0f0a8c1c7,c2,c5,3359,?,p2,
1769744847.7385218,CREATED,8301648e-91dd-4131-9d2b-75e282b79852,22b5d024-5861-49e7-b8be-771f0f32c020,c2,c5,26,?,?,surb={'id': 'be6aae62-23d3-4192-a1fd-5a5c326d4924', 'route': ['p2', 'e2', 'i1', 'x7', 'p2', 'c2']}
1769744847.9145806,SENT,cae9c278-f6b1-4904-b513-939490352866,4cc68e57-c8b4-4995-b01e-aabd271c77ff,c2,c5,3400,?,p2,
1769744847.914714,CREATED,0c269534-f77d-4356-b74f-e3e8ef4bf5a7,1109ff77-27b8-4097-b18d-b6dc62269831,c2,c5,26,?,?,surb={'id': 'abaaa310-cc85-46f2-912d-3cda7ddef985', 'route': ['p2', 'e9', 'i11', 'x10', 'p2', 'c2']}
1769744847.938366,RECEIVED,6a03422b-8c18-4bcd-a84a-a16bbfff9d1f,5efb8441-e77f-45da-ab4d-2d6a96ca850f,c4,c2,26,p2,?,surb={'id': 'fe77ec50-e30d-4ae1-b733-2eb3142bc77e', 'route': ['p2', 'e8', 'i1', 'x2', 'p1', 'c4']}
1769744848.2268128,RECEIVED,77f1f9ff-0466-4663-b5b2-9c7f3e52efae,48dd8c4f-8720-4cb7-83af-8aab3bd2bd8b,c4,c2,27,p2,?,surb={'id': 'af356fb3-ea2a-477a-81ea-aed45e704a9a', 'route': ['p2', 'e9', 'i9', 'x1', 'p1', 'c4']}
1769744848.3010283,SENT,a96ec629-fa67-48ec-b52b-8fa65af11f4a,04cb5260-81ef-4815-887c-adb8a6f56d73,c2,c5,3393,?,p2,
1769744848.3011973,CREATED,95acc5b9-c8e5-4c86-ac04-c57a25444d49,7e2d4955-cd79-4245-9c91-cd99ba5342cd,c2,c5,27,?,?,surb={'id': 'd933b772-b54c-4cc1-8f33-5777fe3b4c3f', 'route': ['p2', 'e1', 'i12', 'x9', 'p2', 'c2']}
1769744848.3287308,SENT,1aa9269c-27fc-4fe0-86a1-14d19813d8bb,2eba8226-39a7-4ef5-bf49-d41f38743640,c2,c5,3396,?,p2,
1769744848.328862,CREATED,802c9c00-63a9-4b9b-ba80-41e3dfe9de42,1ada3d72-4c2d-4076-bd05-17281d522e30,c2,c5,27,?,?,surb={'id': 'ceb321a2-2e76-4403-85a3-f5d8991740ff', 'route': ['p2', 'e11', 'i9', 'x11', 'p2', 'c2']}
1769744848.3368526,RECEIVED,5e7ec239-de05-42ea-89ba-3777d8d1d42b,194de0c4-0eb5-4478-b231-8d9a82e1e1f7,c4,c2,27,p2,?,surb={'id': '8ad53595-a7dd-484f-b9a0-bb77f10a74b5', 'route': ['p2', 'e8', 'i8', 'x1', 'p1', 'c4']}
1769744848.4319682,RECEIVED,f7411cc7-958b-447d-843e-4af8d18ced29,0fb61846-5557-420b-8f7b-ad2134a7912c,c4,c2,27,p2,?,surb={'id': 'fc0cf895-d09c-47bc-9b2a-07fb6ec7e5ab', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769744848.7008038,SENT,10486cff-fd0f-458d-9792-4c4bb3885aea,2680634e-602d-4b25-ae6e-a2d1370ae0f5,c2,c5,3380,?,p2,
1769744848.70095,CREATED,9bf057bd-d6bf-4b2c-893b-600d94c50ad4,35913692-e586-4d8b-9e9d-be369fd9309a,c2,c5,27,?,?,surb={'id': 'ffd39f38-0592-40a0-9d2d-5259274499ff', 'route': ['p2', 'e5', 'i2', 'x11', 'p2', 'c2']}
1769744849.0326035,RECEIVED,670a6517-f8de-4ca6-9cfc-6aafad8e6502,91c101fb-08d4-41fb-844d-6b162009aacf,c4,c2,27,p2,?,surb={'id': '5d485455-fbb6-4d2e-816e-cf6618277c27', 'route': ['p2', 'e10', 'i5', 'x9', 'p1', 'c4']}
