timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487683.2710109,CREATED,677c242e-9f2a-481c-98b0-eb023c59ae00,af4e194d-7114-4be3-b748-243ef3ee4b7c,c1,c5,27,?,?,surb={'id': '24dc757f-6302-4b0f-8964-2fd31c92cc77', 'route': ['p2', 'e9', 'i5', 'x11', 'p1', 'c1']}
1769487683.3827949,RECEIVED,88c2b206-74f0-44d5-a8cd-f2c2b739ef87,e8fa2362-5679-4002-90d8-1866da08a31c,c2,c1,27,p1,?,surb={'id': '4544b684-54a0-4c9d-acc4-d220de8ada2e', 'route': ['p1', 'e12', 'i9', 'x1', 'p2', 'c2']}
1769487683.4039857,RECEIVED,54def8f3-9fef-42df-9a79-328c8b0bfd7d,f75101d1-57b8-4eb5-9835-e7bdb70653da,c2,c1,27,p1,?,surb={'id': 'b4cb7baa-598b-47c9-a9a3-16798af3bbf2', 'route': ['p1', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769487683.5689251,RECEIVED,93a19761-e382-47d3-8e57-94094aceac9a,0cb9b2f6-10cd-4269-892b-9af315b40f0a,c2,c1,27,p1,?,surb={'id': 'ed3d9157-d141-4d3b-8921-57f090392364', 'route': ['p1', 'e12', 'i5', 'x2', 'p2', 'c2']}
1769487683.6810737,RECEIVED,e67dc5aa-051a-4a9c-930c-8f70dac9bada,f4c5d714-f37e-4b37-8045-98fda70a9d23,c2,c1,27,p1,?,surb={'id': '0d6b075b-d5c8-4306-b7e0-91cd1be24900', 'route': ['p1', 'e3', 'i3', 'x10', 'p2', 'c2']}
1769487683.7534592,RECEIVED,b06b0845-8f80-43d9-a225-8ac5ece02e9a,c5740fcc-15d7-4ca6-92a1-a189a1edf040,c2,c1,26,p1,?,surb={'id': '271ee835-545d-4814-beb7-b75abe4c01b0', 'route': ['p1', 'e12', 'i9', 'x10', 'p2', 'c2']}
1769487683.8722146,RECEIVED,118389a1-326f-4bfd-a9e6-7c74f17cd8f8,120c98f2-07de-4e19-9488-6f34cf00e355,c2,c1,27,p1,?,surb={'id': '3ff32508-3a7a-4bef-896c-73e6fea9105c', 'route': ['p1', 'e11', 'i7', 'x1', 'p2', 'c2']}
1769487683.8916233,SENT,63e56982-dd85-44bb-8c11-0388e493dfb0,fc8866c6-c874-4e43-b394-e4daec5f9bd4,c1,c5,3386,?,p1,
1769487683.8917265,CREATED,202f5e0b-323a-4bd8-ad62-e270261961ce,95cdbba8-ab08-4e66-b57f-0f3aba5cbabb,c1,c5,27,?,?,surb={'id': 'a4114a67-4fff-411f-a329-34a7ca34890c', 'route': ['p2', 'e4', 'i1', 'x3', 'p1', 'c1']}
1769487684.5210452,SENT,fe5fabd1-8e11-4997-99ac-dacaa4e3309e,619ecf1a-1d3f-4b99-a255-a4df55f3b95a,c1,c5,3400,?,p1,
