timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769446347.1693497,SENT,6ba0913f-5690-410d-a4c2-aaebb2b09f22,9c7d091d-7e0e-448c-ba16-0a55b1cab289,c5,c4,3397,?,p2,
1769446347.169508,CREATED,8ec91f99-e34c-4fb6-9f09-111d2eb987c2,bb13c6ca-e9ea-4264-8ec2-4ef7e8aa6f35,c5,c4,27,?,?,surb={'id': '5a7d9fb4-5d7d-4877-ae1a-42c67b92d975', 'route': ['p1', 'e11', 'i12', 'x9', 'p2', 'c5']}
1769446467.2041447,RECEIVED,f2f2dfcf-43cc-43b9-a287-93b8cc5820f8,6a18667a-e3af-443d-8479-808a26168f31,c1,c5,27,p2,?,surb={'id': '982aeee5-ba45-42bb-b05f-51cf42b96249', 'route': ['p2', 'e2', 'i7', 'x3', 'p1', 'c1']}
1769446467.432973,RECEIVED,c219368e-324e-4bec-b55c-363bcbefe190,780ad027-9153-4538-896b-3ec038328102,c4,c5,27,p2,?,surb={'id': '1a458ef2-2fc5-49d0-afe5-31071a1fe91a', 'route': ['p2', 'e4', 'i4', 'x12', 'p1', 'c4']}
1769446467.6096153,SENT,eec34bc1-5048-481e-a5ad-244a80b3499f,37efb105-c834-41e2-b7ab-17abf0b90a61,c5,c4,3377,?,p2,
1769446467.6096947,CREATED,0cc5b662-686d-447c-b55e-b0b9ecc95b04,e7fbd177-86d2-480e-904f-cc5942556f1a,c5,c4,27,?,?,surb={'id': 'ba391434-504b-46d7-b50f-5e7f150a8d0f', 'route': ['p1', 'e9', 'i12', 'x4', 'p2', 'c5']}
1769446467.9212842,RECEIVED,bd12eda9-1f38-4cde-8484-259eb16d5f5a,5f330ff1-3e5e-4f48-8cfe-01a945934048,c1,c5,27,p2,?,surb={'id': 'e922a640-a425-4e43-baf5-01d94144d1a2', 'route': ['p2', 'e6', 'i11', 'x12', 'p1', 'c1']}
1769446468.13466,SENT,5eb0e976-c636-4f2c-8e50-21bf9e368289,64e5e8c8-5d69-4a0f-b8fa-9ef7e745b5c7,c5,c4,3359,?,p2,
1769446468.1348188,CREATED,1b636d80-da0f-4900-a8dd-a574a9f611bc,176ba5d5-91be-4e3d-b4ee-3834c4cf1b45,c5,c4,27,?,?,surb={'id': 'a7d3f40e-6d15-43f2-86b2-5447ff0cf6b6', 'route': ['p1', 'e4', 'i4', 'x6', 'p2', 'c5']}
1769446468.3245428,SENT,271470db-51a5-4b92-9ddf-36df86eee898,e1d4ca3b-5475-455b-8be9-746fc166afe8,c5,c4,3379,?,p2,
1769446468.3246932,CREATED,91211572-fedb-437a-8dfa-0db674f56f1c,7ace2c3a-6210-4b67-bd90-53e05b056768,c5,c4,27,?,?,surb={'id': 'b69fae54-07b7-45ce-8852-aaac13a56315', 'route': ['p1', 'e9', 'i3', 'x11', 'p2', 'c5']}
1769446468.8764563,SENT,e9cdcea7-1d4d-4572-8325-eb31989e5e4d,7f999b5d-7236-4136-a031-d702f0fbf372,c5,c4,3392,?,p2,
1769446468.876604,CREATED,5229b0c2-9dd8-4e8b-9caa-809479ed3d5d,e133f853-b1c4-4b82-9902-7899fd2485ce,c5,c4,27,?,?,surb={'id': '73d1d48f-ea2a-4f2f-8399-521270d91fce', 'route': ['p1', 'e3', 'i1', 'x6', 'p2', 'c5']}
1769446469.040343,RECEIVED,b4107e75-3048-4d4a-acc9-c6bd913c1108,7d54bef9-fd6d-40f3-b2c1-8d4e9888ba44,c4,c5,27,p2,?,surb={'id': 'ee64aa6d-c46e-42cc-90d2-0e182888a189', 'route': ['p2', 'e2', 'i5', 'x12', 'p1', 'c4']}
1769446469.127196,RECEIVED,0f1bb425-f21f-4e91-9bf0-55cc89a29367,c4e9e04e-9793-49bb-8b14-efe1e092964f,c1,c5,27,p2,?,surb={'id': '2be505cc-31df-4606-a3ea-b5067643909b', 'route': ['p2', 'e9', 'i3', 'x11', 'p1', 'c1']}
1769446469.4595077,RECEIVED,1349940e-837a-4d36-8f75-f09ec1ec8a80,18b5a845-4d02-4caa-9f58-55ae9e001587,c1,c5,27,p2,?,surb={'id': '2c285e9f-8287-438e-8d75-662523ea6466', 'route': ['p2', 'e1', 'i10', 'x11', 'p1', 'c1']}
1769446469.4666648,RECEIVED,a78942db-7bcb-4a84-9f57-832690d57330,d87f411f-7241-41a4-a98c-725e6385d609,c1,c5,26,p2,?,surb={'id': 'ce2c7477-f9d1-42d9-b8a3-370f7bd12168', 'route': ['p2', 'e7', 'i2', 'x10', 'p1', 'c1']}
1769446469.5003119,SENT,4190a2ed-2ffa-4ef0-a1eb-9dfc7efd14e8,9e0ef9c4-1aed-4249-85c4-2e492207e02c,c5,c4,3395,?,p2,
1769446469.500458,CREATED,93d9c14c-fbb8-4b1f-8b89-ca95f22c2530,882498b2-b3a1-4d11-8710-0ef2a05b5184,c5,c4,27,?,?,surb={'id': '4438f839-51c1-4964-89cf-64a2aac86895', 'route': ['p1', 'e10', 'i2', 'x12', 'p2', 'c5']}
1769446469.5432498,RECEIVED,898c5ea9-9754-4065-b699-305738c7ec52,104088ba-7365-472b-b487-db1beddf1f75,c4,c5,26,p2,?,surb={'id': '47879d8b-cc4d-4220-95d4-9e20700ef2d4', 'route': ['p2', 'e4', 'i8', 'x10', 'p1', 'c4']}
1769446469.6514695,SENT,80a67c88-15e1-473e-baac-3d5729a2b80f,ed517860-57b2-4c4c-a691-655d83890cf7,c5,c4,3388,?,p2,
1769446469.6516194,CREATED,1650833f-d8e7-4aea-8c31-7bdd1655592d,8b1cadd0-f333-4026-9311-03cf5ca3298d,c5,c4,27,?,?,surb={'id': '9b83e1d7-0a23-4d59-8fb4-e11e1b8bcada', 'route': ['p1', 'e10', 'i10', 'x6', 'p2', 'c5']}
1769446469.8668032,SENT,e0f119af-6306-461b-8548-f82ff1fd473d,c73ba1c8-7cf6-4885-8a1d-82d6ca665946,c5,c4,3376,?,p2,
1769446469.8669488,CREATED,0bf9952a-d938-4c58-a9e2-ccd566f508f6,f2e623c1-c90d-4e00-8974-9eeae5dc76dc,c5,c4,27,?,?,surb={'id': '23164bee-91eb-48a0-a776-9ace5ffdb690', 'route': ['p1', 'e8', 'i6', 'x2', 'p2', 'c5']}
1769446469.8795476,RECEIVED,847bb34b-c8f8-4fec-8c1b-6ec88d4d7996,3652f45d-5a05-4029-8779-222f0f4f6ed9,c4,c5,27,p2,?,surb={'id': 'b2a1e7df-f4bb-4bfe-9977-a9645f37cc28', 'route': ['p2', 'e3', 'i1', 'x8', 'p1', 'c4']}
1769446469.9505925,SENT,1d802ffe-5b49-46df-b417-4f94e272345a,1ad0bda5-154c-4927-8e08-248dc5a26a15,c5,c4,3383,?,p2,
1769446469.9506943,CREATED,06ac820d-9e04-4bde-b35c-f7aa587453d2,f36f5827-a2f8-4fcb-9a8e-a637ab64e1da,c5,c4,27,?,?,surb={'id': '38401fb0-5e96-41f0-95c7-111029247aa6', 'route': ['p1', 'e5', 'i1', 'x8', 'p2', 'c5']}
1769446470.3827293,RECEIVED,cc3ee78c-2065-455c-b6ae-60751bf93855,87510869-9778-4460-8a93-10bb3b9cefa4,c4,c5,27,p2,?,surb={'id': '16d32916-86eb-48bf-9442-0122b744b28a', 'route': ['p2', 'e8', 'i2', 'x10', 'p1', 'c4']}
1769446470.400839,RECEIVED,c0af0085-9991-4a08-a0bc-bc141c4c397c,5783433e-d155-4d0e-b4b5-ac7ca3aaa4d3,c4,c5,26,p2,?,surb={'id': '3ddaa137-f99e-41f5-8e28-bb886eaf81fd', 'route': ['p2', 'e8', 'i4', 'x6', 'p1', 'c4']}
1769446470.8269506,SENT,a780a007-5e4d-4a59-96ce-b355cde475ef,85a4d193-5c97-4b94-a91c-1b2b462388e6,c5,c4,3374,?,p2,
1769446470.827074,CREATED,3f1d3c39-8aa6-4e29-8ae3-c4223bd7adaf,0b1b1c97-ee0c-4f5c-a13e-08e51b89e557,c5,c4,27,?,?,surb={'id': '1b6d372d-5098-433f-b1e1-54753a2e5a5d', 'route': ['p1', 'e3', 'i6', 'x3', 'p2', 'c5']}
1769446470.9807878,RECEIVED,88a98248-826f-40c8-ac9b-b07b9622ddcb,b86d49c2-d90f-4dd3-a19b-71cba1835e8e,c4,c5,27,p2,?,surb={'id': '60ce89c2-27e2-43c2-963d-68cc56f393e4', 'route': ['p2', 'e1', 'i6', 'x7', 'p1', 'c4']}
1769446470.9925838,RECEIVED,d3aeb1d6-631d-422d-b528-38f44cd0c32c,4d3cb3c3-e9ef-42c3-8a5c-764f4ba92349,c1,c5,27,p2,?,surb={'id': '16aa4b86-f56d-4dfb-9b35-60252b121856', 'route': ['p2', 'e3', 'i12', 'x4', 'p1', 'c1']}
1769446471.2141724,SENT,e1516456-71bc-4af7-90c5-731b4a757f3d,c3d25a16-a7a6-450e-b401-c39a449527f4,c5,c4,3372,?,p2,
1769446471.2143164,CREATED,4479a72c-f336-49dc-87cf-9d2967a64080,d22ef052-8245-4c02-9f19-969d4b87f958,c5,c4,26,?,?,surb={'id': '764e8b0d-c0c6-490f-a135-64d6d02d105c', 'route': ['p1', 'e2', 'i6', 'x9', 'p2', 'c5']}
1769446471.2472138,SENT,d14bc555-e4af-468c-b2a7-3c4d9cfed7f6,ecc4a55c-3739-4e54-a0c5-f3e3a6946d71,c5,c4,3383,?,p2,
1769446471.2473605,CREATED,5a335089-cf47-4e77-8a91-f5e7f0cfd298,f0729a98-ef12-48c5-b053-581651014f57,c5,c4,27,?,?,surb={'id': 'a2f6e477-fed1-4064-9cb5-9e52234822be', 'route': ['p1', 'e6', 'i1', 'x5', 'p2', 'c5']}
1769446471.4883575,SENT,66df8567-ba12-4527-bc31-6aff5f6a0e9d,e5b2bdbc-1534-413a-a9f8-9dba7e2efabd,c5,c4,3381,?,p2,
1769446471.4885104,CREATED,d67fbabf-ce76-4596-b5ab-fbe53e9c5afb,4ba53c36-cc5a-4792-b5ce-f66d038fd545,c5,c4,26,?,?,surb={'id': '52e45c6e-2609-4454-8862-493d11848eb5', 'route': ['p1', 'e8', 'i3', 'x4', 'p2', 'c5']}
1769446471.6064389,RECEIVED,b0ebda03-c11b-439a-adf6-5ddc7b7d1fc2,075185fd-ffd2-45a4-bf78-4f7d0b71b2e1,c1,c5,26,p2,?,surb={'id': 'edabae4b-de2e-4f57-9683-e644be3f829a', 'route': ['p2', 'e6', 'i2', 'x3', 'p1', 'c1']}
1769446471.6198132,SENT,b21fbbc6-3706-4bcb-b943-dfc8927eb839,bff9a840-3338-4404-af7e-392d64aa56a4,c5,c4,3388,?,p2,
1769446471.6199903,CREATED,f9da7acc-79be-4c20-909f-5e91e42f5990,689fbb23-b152-415a-a191-3ba7b5dd9575,c5,c4,27,?,?,surb={'id': 'f97ba995-3296-4924-97aa-e6161a50969e', 'route': ['p1', 'e7', 'i3', 'x11', 'p2', 'c5']}
1769446471.8104303,RECEIVED,0216eedd-a94e-4f68-b873-c2969bb987fd,eaf2bab6-9a6a-40c3-9988-91e0dafabdca,c4,c5,27,p2,?,surb={'id': '0c6f3cda-b54c-4f1a-8a17-737aa2a03dba', 'route': ['p2', 'e12', 'i2', 'x12', 'p1', 'c4']}
1769446471.9214685,SENT,a0d20724-28c8-43a5-b869-415e825b6cac,d499f9c0-6788-431a-894f-a2a3365048cc,c5,c4,3383,?,p2,
1769446471.921584,CREATED,e2f84ca2-0ba3-477f-8d3b-96cafebd4948,2c4cc204-d317-43d8-a6a4-c50275725dc4,c5,c4,26,?,?,surb={'id': '7ab3a8eb-06a7-430a-af59-9a231090ac16', 'route': ['p1', 'e7', 'i11', 'x12', 'p2', 'c5']}
1769446471.9677455,SENT,aed84622-17ea-4f9b-a867-a28ee3f95911,7ea1c229-226c-4bfe-a419-01a68d09e6b7,c5,c4,3380,?,p2,
1769446471.9678457,CREATED,c7800028-6b5e-40c3-b1e1-7c8d4e69df32,343afeaa-b66b-49f9-8ae9-95eb311c0c26,c5,c4,27,?,?,surb={'id': 'd65e039e-ffc2-4665-b8e4-fb85afce8acf', 'route': ['p1', 'e3', 'i8', 'x12', 'p2', 'c5']}
1769446472.0613008,RECEIVED,b4abd5ad-f1e7-482a-a945-ebd6138f90be,58c98faa-4d42-4c35-b846-85d49128d6d9,c4,c5,26,p2,?,surb={'id': '89e48a14-2c8c-48de-bfe6-c48856cd7508', 'route': ['p2', 'e9', 'i2', 'x8', 'p1', 'c4']}
1769446472.1294806,RECEIVED,b6308837-9e47-4cba-b679-416b335d6207,8433bca2-4353-40b6-9465-12b74ab25cdd,c4,c5,27,p2,?,surb={'id': '059e9e08-24fc-4536-8669-24f8b695fef4', 'route': ['p2', 'e6', 'i2', 'x3', 'p1', 'c4']}
1769446472.171851,SENT,2262ca23-0df5-486f-bf6c-f90a03966fa4,48f823b5-377b-422d-97e7-bb8c910ed2c2,c5,c4,3376,?,p2,
1769446472.171982,CREATED,47b3bd5e-f800-43c0-b741-80eadcfd9edf,77d2a794-2480-4386-b775-abda56464151,c5,c4,27,?,?,surb={'id': 'a4cd6bd9-f694-40f5-94a8-9dc209b6db72', 'route': ['p1', 'e7', 'i2', 'x5', 'p2', 'c5']}
1769446472.3223324,RECEIVED,00c84aba-227e-4480-a8e3-235ea4a5798d,46a5207a-75db-4b53-982d-71a94b8bf281,c1,c5,26,p2,?,surb={'id': '9a1e8f29-fca0-4c85-bf45-4afaa42a9241', 'route': ['p2', 'e8', 'i7', 'x6', 'p1', 'c1']}
1769446472.4823272,RECEIVED,d03a43bd-a280-4d0c-8b02-f1d932ae2b9b,6c6e3e1b-7b77-46bd-8b2c-7b1fe8b0e8b5,c4,c5,27,p2,?,surb={'id': '45e885d1-6e5f-464e-9be0-375bd04d2e8b', 'route': ['p2', 'e4', 'i12', 'x12', 'p1', 'c4']}
1769446472.5726833,RECEIVED,896cfbab-5a77-4e49-9285-2f05b435d272,e573e901-b358-4af0-94cc-353a52c5605c,c1,c5,27,p2,?,surb={'id': '4ea79b9d-07d9-421a-8eeb-5b0f2f7df3e5', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c1']}
1769446473.1146362,RECEIVED,c93d5277-1f49-4a5e-965a-44444c6614d4,4d0c1b00-05de-4e27-9f6f-d14f73ea36a2,c1,c5,27,p2,?,surb={'id': '51bfc328-1b2b-45bf-ab35-8c2571f08957', 'route': ['p2', 'e11', 'i9', 'x8', 'p1', 'c1']}
1769446473.1560001,RECEIVED,d28773e7-9b5f-4773-a237-5c33bf0630e3,c8009098-494a-4bef-8fe0-f085aea57ccb,c1,c5,27,p2,?,surb={'id': 'd794efa1-6278-4c62-9f50-d3da2409f9f4', 'route': ['p2', 'e6', 'i3', 'x1', 'p1', 'c1']}
1769446473.173205,RECEIVED,f9f6387a-15b1-4574-8c51-e84f76c6a327,c6f232b5-0b51-467d-a996-ec767a6235f0,c4,c5,27,p2,?,surb={'id': '967a1b3a-81c8-4eed-af2c-41f3f80517e2', 'route': ['p2', 'e4', 'i12', 'x10', 'p1', 'c4']}
1769446473.2145693,RECEIVED,0932058e-7a38-45ca-bf5f-cc58bafcb573,4103b750-8cda-4285-bea3-b7a1922afbd6,c4,c5,27,p2,?,surb={'id': '0d73fde2-6ee5-4f4b-acef-aad568cca26e', 'route': ['p2', 'e12', 'i6', 'x12', 'p1', 'c4']}
1769446473.2683203,SENT,087b18aa-6018-443f-89bd-1be5c7e3dc4e,eef1c8ae-2979-4306-8196-8d723a9c9feb,c5,c4,3399,?,p2,
1769446473.268471,CREATED,684bc510-29d5-44c7-a215-1906ae20b883,f5d76865-4533-4956-b8af-b8509652a26a,c5,c4,27,?,?,surb={'id': 'bcf6ae64-5a64-4b01-85f5-50db8f6dde4b', 'route': ['p1', 'e2', 'i6', 'x10', 'p2', 'c5']}
1769446473.4785583,SENT,84395bfc-9a15-4bb2-bf9a-cf863df3e0ca,c04e3249-ac00-40bb-b7c9-c40ad7f04368,c5,c4,3384,?,p2,
1769446473.478673,CREATED,c841aa74-e25e-4fcb-9b77-6f85e9682982,f6f2fbb4-c17b-4dbd-bff1-58c03cf67451,c5,c4,27,?,?,surb={'id': '6576576d-cdaa-4b6e-aeee-1b73bf4ff318', 'route': ['p1', 'e8', 'i2', 'x4', 'p2', 'c5']}
1769446473.565318,RECEIVED,74921118-b7c7-4cf8-abd9-486ab611fd7a,9880ee87-412e-4690-b19f-ffc37108f3c6,c4,c5,27,p2,?,surb={'id': 'e5613cc8-5c55-44f2-b134-5477b64a7442', 'route': ['p2', 'e3', 'i3', 'x12', 'p1', 'c4']}
1769446473.6026928,RECEIVED,ededaa74-a166-4f53-bde6-79aefa014e5b,25dce3d2-43f8-4fa0-a18b-ff3d3695ee74,c4,c5,27,p2,?,surb={'id': 'bdf8e7c1-12b7-44b0-9f2e-05deb2adc001', 'route': ['p2', 'e6', 'i10', 'x8', 'p1', 'c4']}
1769446473.742128,RECEIVED,df4a4274-2ae1-41a2-a542-751c47f8e109,e410d078-7faa-47ed-ba83-637ec1fd3ef3,c1,c5,27,p2,?,surb={'id': '5f5e956b-bfd4-4308-98ee-1e3864f61480', 'route': ['p2', 'e6', 'i11', 'x9', 'p1', 'c1']}
1769446473.900733,RECEIVED,812273a6-ec63-4c8e-9273-b80008f617bd,15b79013-ca82-4778-830a-70ef42c3d62a,c1,c5,27,p2,?,surb={'id': '8460506e-f34d-4c59-8aeb-bb5b0bd7add8', 'route': ['p2', 'e2', 'i4', 'x8', 'p1', 'c1']}
1769446474.0517993,SENT,9fa65c95-e356-4096-950a-8581fdbd9858,d33674f7-c18c-440d-b06b-06cab3d116ed,c5,c4,3400,?,p2,
1769446474.051954,CREATED,59f77826-3586-4519-b03c-1c59542e233f,e4d9ed6c-0f20-436f-9a5f-7e892338a3e5,c5,c4,27,?,?,surb={'id': 'c25d382e-e34a-4bc7-9783-b9d09faf411f', 'route': ['p1', 'e2', 'i6', 'x12', 'p2', 'c5']}
1769446474.1334937,RECEIVED,6e80bb91-3c88-4a8f-a8b7-9281ee078450,7e34cdb8-c316-4e69-b843-e05ca38e062b,c4,c5,26,p2,?,surb={'id': '116f2e92-c7f1-4038-8059-80392547a5f8', 'route': ['p2', 'e6', 'i6', 'x4', 'p1', 'c4']}
1769446474.436433,SENT,25a5b0e0-4359-4630-9f4b-42f34d58af1c,cc722dba-7429-410b-b2db-7fa1cc0dc99e,c5,c4,3389,?,p2,
1769446474.4365783,CREATED,119bd24a-44ec-4be2-b14d-f667c701f2b8,bcc1aa3d-fbf3-4888-b0f3-c72684062a0f,c5,c4,27,?,?,surb={'id': '5435df3e-9a28-4482-904e-8732ff2ee0eb', 'route': ['p1', 'e12', 'i11', 'x5', 'p2', 'c5']}
1769446474.4698827,SENT,95ea884b-e7d3-4db8-9504-3e6ccbbfbcca,c36c1bc0-1d63-42a6-9d35-42e8d074a0cb,c5,c4,3374,?,p2,
1769446474.4700334,CREATED,f19f9b00-8a34-4360-b00b-11ac4d3783dd,c0966891-a717-4ece-ad3d-39c2e46aa4c2,c5,c4,27,?,?,surb={'id': 'fb9b6f6e-ecda-49fb-af94-41c5e7ca8791', 'route': ['p1', 'e7', 'i3', 'x10', 'p2', 'c5']}
1769446474.5042524,RECEIVED,ba47f8f9-a8cc-46cb-a517-2ad99990d867,0ade6d82-6cbf-47f9-9662-f3e8e4a22d96,c1,c5,26,p2,?,surb={'id': 'fdc3489e-276c-4286-a604-4ba17dd30704', 'route': ['p2', 'e12', 'i4', 'x11', 'p1', 'c1']}
1769446474.5269291,SENT,c4df1bb4-c87b-4085-96f0-4b51e7f7af98,037e2203-d95d-48e8-8155-a3a7a6acbaff,c5,c4,3380,?,p2,
1769446474.5271032,CREATED,79ae7160-3206-4fed-88a0-b2c80a511ae9,231887a5-d47b-435e-9b5f-f534b4303dde,c5,c4,26,?,?,surb={'id': 'e38310a6-c521-4e10-9db4-aaa52935b2f0', 'route': ['p1', 'e8', 'i10', 'x11', 'p2', 'c5']}
1769446475.2036989,SENT,b70078be-e81b-4bf4-b028-b303b5ca7fae,79f25bff-b604-4300-a73a-58a73dd650a9,c5,c4,3376,?,p2,
1769446475.2038534,CREATED,a63c1f5f-c15c-4c3b-97a6-7f84f86631f8,610cb6b4-0d1d-47fc-8591-952d7a3e7b74,c5,c4,27,?,?,surb={'id': '719f28a0-4faf-4313-bf36-cdc558c921d6', 'route': ['p1', 'e8', 'i6', 'x4', 'p2', 'c5']}
1769446475.3716152,RECEIVED,dc035c34-18fb-4fb5-bd94-a00995d86ae6,32091741-0517-4ed4-a061-664c2a52ed27,c4,c5,26,p2,?,surb={'id': '633a7c0c-bbed-4b0e-8e6e-25ca56f278c1', 'route': ['p2', 'e4', 'i5', 'x12', 'p1', 'c4']}
1769446475.6113787,RECEIVED,93c6859e-f0d5-46ef-9798-5dfd3208d949,0231e7a3-8313-4854-831b-aafb29e3004f,c1,c5,27,p2,?,surb={'id': 'f187a2b1-521a-4add-9be2-3433d469beb8', 'route': ['p2', 'e7', 'i12', 'x8', 'p1', 'c1']}
1769446475.9851298,RECEIVED,46196c3f-bb51-42bc-abd2-d9fbdfc0df4f,564cf4e4-9926-4d12-91a8-52c4048fb340,c4,c5,26,p2,?,surb={'id': 'd8bc17fa-7a22-4c1e-b9b6-dc9126f46495', 'route': ['p2', 'e12', 'i2', 'x2', 'p1', 'c4']}
1769446476.0212717,RECEIVED,7861f9d6-9edf-4510-94a5-ecc0b83ea83d,a8806a63-a5cf-4f16-affa-129a21b04cfe,c1,c5,27,p2,?,surb={'id': 'fba59488-9363-455a-ac16-b11d068275d3', 'route': ['p2', 'e1', 'i6', 'x2', 'p1', 'c1']}
1769446476.527542,SENT,ab484ff7-7e81-459b-9fc1-d986945656dd,283804aa-0c78-48c7-ab00-ca3fdc742ae6,c5,c4,3388,?,p2,
1769446476.527747,CREATED,409dcd98-d4dd-4d11-af1d-f370666df14e,366b51d7-da02-41a6-8635-bf4528f9e4c2,c5,c4,26,?,?,surb={'id': '6b62a79f-746c-454a-9bf3-80209bfd65f2', 'route': ['p1', 'e10', 'i9', 'x11', 'p2', 'c5']}
1769446476.5661263,SENT,f8185fe9-3d51-464a-95e4-cc0bbe8a6546,4668fc6b-2023-4cd5-8cca-425c6739b7e9,c5,c4,3396,?,p2,
1769446476.56623,CREATED,a0da158d-22a5-4a44-bf39-b45af9d41bc9,3ac9f6c4-8fec-449e-8ac6-793f93869c23,c5,c4,26,?,?,surb={'id': 'f8a84a4b-e8ad-4fa7-805d-286d681f5390', 'route': ['p1', 'e12', 'i11', 'x12', 'p2', 'c5']}
1769446476.6939209,RECEIVED,0914e3f9-53c2-4c9e-a546-35f14381e4c9,f1545ff5-ed19-49a7-8a91-64d50eb73069,c4,c5,27,p2,?,surb={'id': 'fe184122-efdf-49ab-b32a-1af7df9da8a9', 'route': ['p2', 'e8', 'i6', 'x4', 'p1', 'c4']}
1769446476.7569652,RECEIVED,fa8235b4-070e-48bb-b010-f9686b5c278c,270ad2bb-0674-427e-a0b8-b7f5bf15cd07,c1,c5,27,p2,?,surb={'id': '100128e2-d9ca-4e2d-bf2d-682c5782b81c', 'route': ['p2', 'e2', 'i1', 'x7', 'p1', 'c1']}
1769446476.8211887,RECEIVED,326ff189-03ec-4217-9130-46a3ec68ea2d,f355985d-29d6-4b5b-b198-a57ffa5c73ae,c4,c5,27,p2,?,surb={'id': '5d56c956-76a5-4315-82e6-5c03c07b8b09', 'route': ['p2', 'e4', 'i11', 'x11', 'p1', 'c4']}
1769446477.0998144,SENT,7a0987b5-623b-4798-a0e9-1c2e03dc10b5,88a14edc-a493-4ae8-a9c8-165f7cdfc777,c5,c4,3383,?,p2,
1769446477.0998964,CREATED,9618fec1-a850-41d8-9992-a5e0bbb702d0,52874a72-4e45-4f67-b98e-c2a4f6403547,c5,c4,27,?,?,surb={'id': '34db72d0-77c2-4377-8230-8262a01f70b9', 'route': ['p1', 'e7', 'i9', 'x1', 'p2', 'c5']}
1769446477.1890004,RECEIVED,11a8cddb-1f46-4632-9137-6349beac0b8d,ea369ac1-4f0b-43fd-947c-1e7751048874,c1,c5,27,p2,?,surb={'id': '2845e457-0790-4e0f-baa4-89e661627b9c', 'route': ['p2', 'e5', 'i12', 'x8', 'p1', 'c1']}
1769446477.5619256,RECEIVED,098bf174-65c2-46df-ad9a-06089abf749b,c18fc740-6323-427c-a026-586a4cfee631,c4,c5,26,p2,?,surb={'id': 'f37870aa-7ce7-404a-af7b-d5c2aac80605', 'route': ['p2', 'e10', 'i1', 'x7', 'p1', 'c4']}
1769446477.910594,RECEIVED,1e8d0553-f9a8-47fb-be6c-a5c9633cb1ff,93a2efeb-b718-47d9-a72a-bb94af182a05,c4,c5,27,p2,?,surb={'id': 'f0b5c815-204a-465d-9764-9d1139f70b74', 'route': ['p2', 'e3', 'i1', 'x9', 'p1', 'c4']}
1769446478.0837593,RECEIVED,9856bef3-1d86-4568-8926-0607d23bff47,11c67457-c2c4-46bd-8727-13a8391ac206,c4,c5,26,p2,?,surb={'id': 'f6706dee-1542-4ea1-8dab-f403d82af1b0', 'route': ['p2', 'e2', 'i7', 'x11', 'p1', 'c4']}
1769446478.12194,RECEIVED,acc47133-6026-41ca-8b4e-503e812336ea,c9105346-478b-4138-8910-bae98aaecaf5,c4,c5,26,p2,?,surb={'id': '3f91ab0d-f63c-4dd7-82d9-e500ce8497d8', 'route': ['p2', 'e9', 'i5', 'x6', 'p1', 'c4']}
1769446478.2383292,RECEIVED,b6e42bda-45a0-4bde-ac7c-7228b174db34,5fe3d260-1806-4573-b594-781f707c9122,c4,c5,26,p2,?,surb={'id': '1a54b0c3-9311-4d6e-88dd-2695d65ec34e', 'route': ['p2', 'e10', 'i12', 'x1', 'p1', 'c4']}
1769446478.2395244,SENT,a7c332f0-9767-4b75-8689-103fc23b3dfb,fbd7c2ea-e0b4-474d-be69-d87c57c3c730,c5,c4,3360,?,p2,
1769446478.2396307,CREATED,fab695a5-f5dd-4848-8e7f-d1d59fc67cfa,cb0f6e1a-2d4f-493b-8d5b-e84b1ca29088,c5,c4,27,?,?,surb={'id': '7c428f27-9b77-4b5c-9c7c-7ab66ff86f1d', 'route': ['p1', 'e9', 'i10', 'x9', 'p2', 'c5']}
1769446478.379921,RECEIVED,fb07efd6-0aca-4fec-8316-3e61005b3169,d4451714-0db8-444c-8973-c16d6f81c33e,c4,c5,27,p2,?,surb={'id': '43cd5881-69a1-4c05-81aa-4a09c1836e8e', 'route': ['p2', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769446478.392589,RECEIVED,689aef14-acf5-49bb-9840-f3e1d41629e0,dce82d3f-2d7a-4a9b-bec4-a001315dd258,c4,c5,27,p2,?,surb={'id': 'dc04e714-1f12-42d1-9451-d53b25185651', 'route': ['p2', 'e6', 'i12', 'x3', 'p1', 'c4']}
1769446478.4058876,RECEIVED,b266f623-f814-4423-b973-f461ab64be70,e017ecbe-dd71-4d51-90cf-de39d994ce0c,c4,c5,27,p2,?,surb={'id': 'a751ed07-ae48-46e4-922b-b19d65fedfdc', 'route': ['p2', 'e11', 'i1', 'x2', 'p1', 'c4']}
1769446478.5654995,RECEIVED,2c5519e4-6c8b-4d31-8ae4-34d6dce0c86e,534c8d58-1f31-44c2-85e3-f0dbc0e5a5d1,c4,c5,27,p2,?,surb={'id': 'e09099a6-e106-4d55-9242-9c34e0afcc89', 'route': ['p2', 'e1', 'i12', 'x3', 'p1', 'c4']}
1769446478.6705158,RECEIVED,cd42a28a-c3d9-4866-8d0b-b3297deb960a,2a9c3add-50c5-4cfe-915f-fc3a80df24ea,c1,c5,26,p2,?,surb={'id': '78330481-3a6e-4496-b6ef-3c7d9bdddfa0', 'route': ['p2', 'e8', 'i1', 'x10', 'p1', 'c1']}
