timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490154.270304,CREATED,38ba389d-3f57-4d6d-a159-868e06389395,67eafcf4-de3d-42e1-ac96-7f982cabae91,c2,c1,26,?,?,surb={'id': 'a01bf51f-ef42-47b5-8afc-4d8b5cf6eadd', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769490154.3595352,RECEIVED,9f7e6fc7-0301-4805-9cca-6a35c4b0d2d0,88efa5b5-8815-4624-b5e6-d463d930f44f,c1,c2,27,p2,?,surb={'id': '47c3d41c-37c5-4e9d-b1dd-79cfabf42555', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c1']}
1769490154.7019334,SENT,2f2f85ec-64a2-422f-a58a-5d677cbe3cf2,6d1d1fac-2fdd-4de3-9c7b-f86f134f7c67,c2,c1,3360,?,p2,
1769490154.7021112,CREATED,78bb2dce-7e29-4299-8b16-a646c816cb94,646a0277-4e30-4c17-8d77-04b028bef6cb,c2,c1,27,?,?,surb={'id': '1418f096-c6a5-4ecf-a245-711d43198397', 'route': ['p1', 'e5', 'i10', 'x8', 'p2', 'c2']}
1769490154.723993,SENT,da6507d6-d805-4bba-ae96-665a0c5a8a03,9d0a6abf-e710-48ea-b9c5-1af5b8758eac,c2,c1,3379,?,p2,
1769490154.7241766,CREATED,b22675a8-6960-4c7e-9357-9a63d6bfd669,646a0277-4e30-4c17-8d77-04b028bef6cb,c2,c1,27,?,?,surb={'id': '1418f096-c6a5-4ecf-a245-711d43198397', 'route': ['p1', 'e5', 'i10', 'x8', 'p2', 'c2']}
1769490154.7297523,RECEIVED,36d6777e-7fd8-4252-a532-da22f2229997,2b0aed80-2735-44e5-b6b3-efbe80b88023,c1,c2,27,p2,?,surb={'id': '36ee3be9-6fde-4630-bcaf-c692889a6a2a', 'route': ['p2', 'e1', 'i7', 'x9', 'p1', 'c1']}
1769490154.933889,RECEIVED,1b4fcebf-f487-402c-a559-84abfa8d1319,8f2a0ab9-5d88-4424-b3cd-ac9dc6ccf8e4,c1,c2,27,p2,?,surb={'id': 'e58220a6-8809-4bb0-a776-f70c36aad462', 'route': ['p2', 'e3', 'i9', 'x7', 'p1', 'c1']}
1769490155.0790005,RECEIVED,592b3ba2-1630-4d21-b124-c3f1c0522ac5,1529b2d8-5fe4-4ebd-a27f-c1dc377c673c,c1,c2,26,p2,?,surb={'id': 'e9784e53-76d1-4225-8b9d-f1b43f2f1c73', 'route': ['p2', 'e11', 'i5', 'x9', 'p1', 'c1']}
1769490155.0901198,SENT,7fbc3583-72f6-42ab-b070-e3078b471925,ba0ac7c0-f868-4d8e-99ec-ba42eb67b9b4,c2,c1,3367,?,p2,
1769490155.090269,CREATED,45abbd5e-1e1c-4930-a994-f6a03cadbb04,915ce2aa-c4e2-429a-8963-d75c83058f95,c2,c1,27,?,?,surb={'id': '9451c453-e28c-4fad-aeb6-9cc49d3eaf78', 'route': ['p1', 'e3', 'i9', 'x11', 'p2', 'c2']}
1769490155.2425098,RECEIVED,712e293c-87a9-4a48-8f68-2364b0b92123,763cc22c-5b71-40dd-85ff-54ca1851da57,c1,c2,27,p2,?,surb={'id': '37003e20-1749-4cc9-8c2e-2fd4259ccc05', 'route': ['p2', 'e4', 'i11', 'x1', 'p1', 'c1']}
1769490155.927714,RECEIVED,11f5bf7f-9461-47a8-8acd-9e6772cbec97,cff6505a-2065-40ac-bbc5-c35cdf180a49,c1,c2,27,p2,?,surb={'id': 'eaea75de-e81a-4b47-8975-1523f08c5cd9', 'route': ['p2', 'e8', 'i6', 'x2', 'p1', 'c1']}
1769490156.4817975,SENT,abd1fd9a-5240-4648-9485-ffcf6e13246e,50a7dc3f-ff83-46f4-a32d-c836e4d24532,c2,c1,3380,?,p2,
1769490156.4819615,CREATED,06fff02b-602a-4a04-86ad-9aa67dcc0086,915ce2aa-c4e2-429a-8963-d75c83058f95,c2,c1,27,?,?,surb={'id': '9451c453-e28c-4fad-aeb6-9cc49d3eaf78', 'route': ['p1', 'e3', 'i9', 'x11', 'p2', 'c2']}
1769490156.6402977,SENT,d842549a-159f-477f-9157-76e4a52f517b,463a8927-472f-4098-b396-98f0d2558ece,c2,c1,3401,?,p2,
1769490156.640449,CREATED,fe38a651-090f-46e0-914f-63c724a4e4a4,787ee8b0-6acb-4b16-aee1-540336666ead,c2,c1,27,?,?,surb={'id': 'c6d3f992-99b6-4bd7-bfc7-00363de3d546', 'route': ['p1', 'e4', 'i10', 'x10', 'p2', 'c2']}
1769490156.8089943,SENT,77f29cd0-8d4a-4db4-b33b-959742973cae,ebe620ff-bc38-45ae-b9e3-5ea12a6ceb8d,c2,c1,3387,?,p2,
1769490156.8091686,CREATED,bcb66263-6b93-4976-b050-f80b26d9a8d2,787ee8b0-6acb-4b16-aee1-540336666ead,c2,c1,27,?,?,surb={'id': 'c6d3f992-99b6-4bd7-bfc7-00363de3d546', 'route': ['p1', 'e4', 'i10', 'x10', 'p2', 'c2']}
1769490156.8323016,SENT,681858e0-5d8a-43dc-9748-2df5c17e2160,c1042a1c-78e6-4c3d-bd97-d5339fb4b567,c2,c1,3380,?,p2,
1769490156.8324575,CREATED,24eadd5d-35fe-4b02-8179-e99bb4be1039,919b96f3-327e-4c65-91e1-8d8de8f1b2bd,c2,c1,27,?,?,surb={'id': '051e294c-42d2-4b13-a5e9-74491635025e', 'route': ['p1', 'e2', 'i12', 'x2', 'p2', 'c2']}
1769490156.8995054,RECEIVED,9a85bc18-defa-4807-9c75-805faacfccd0,1c892c83-9543-41cf-a2ac-fe7bb911a9b3,c1,c2,26,p2,?,surb={'id': 'c4da3a70-1115-4fa4-b19c-4a95940f80b2', 'route': ['p2', 'e9', 'i2', 'x1', 'p1', 'c1']}
1769490156.9206376,SENT,e89f9156-3126-4fc3-a034-6d0b21e1c2b7,f0ff1cca-c04d-49f3-b532-2ceee35c9a57,c2,c1,3376,?,p2,
1769490156.9207845,CREATED,e4e9b048-d038-4072-9a72-5b3521f7ec37,919b96f3-327e-4c65-91e1-8d8de8f1b2bd,c2,c1,27,?,?,surb={'id': '051e294c-42d2-4b13-a5e9-74491635025e', 'route': ['p1', 'e2', 'i12', 'x2', 'p2', 'c2']}
1769490157.0347085,RECEIVED,7e52c50b-d789-4379-846a-d43aea0205ad,8f2a0ab9-5d88-4424-b3cd-ac9dc6ccf8e4,c1,c2,27,p2,?,surb={'id': 'e58220a6-8809-4bb0-a776-f70c36aad462', 'route': ['p2', 'e3', 'i9', 'x7', 'p1', 'c1']}
1769490157.1158578,RECEIVED,2a883a02-200a-42a7-9d01-bc2e702ca70d,1b281a60-91a1-48e0-84a3-86ac18bd80cd,c1,c2,27,p2,?,surb={'id': 'c983d0ca-7dca-464a-9c24-d5b7bc3d057c', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c1']}
1769490157.207108,RECEIVED,d1ba5a24-57b3-4580-a988-67a62b262126,2b0aed80-2735-44e5-b6b3-efbe80b88023,c1,c2,27,p2,?,surb={'id': '36ee3be9-6fde-4630-bcaf-c692889a6a2a', 'route': ['p2', 'e1', 'i7', 'x9', 'p1', 'c1']}
1769490157.2777438,SENT,b4151b30-826b-4d53-b6ac-77ee8b1cdc85,18207463-6252-4964-9406-b2e5efbfa7f8,c2,c1,3380,?,p2,
1769490157.2778926,CREATED,c172b938-a10d-4007-9abb-3ff69dd91e11,f78a1359-9cca-4a7c-84a7-761579c555ee,c2,c1,27,?,?,surb={'id': '698d50b4-afac-4903-9942-ec72e65b7752', 'route': ['p1', 'e10', 'i9', 'x1', 'p2', 'c2']}
1769490157.2888207,SENT,faf3123b-f6a6-4e3c-90e6-99870ce42079,0cd68e95-ee4a-4a0b-b9fa-f20ef6a59abf,c2,c1,3391,?,p2,
1769490157.2889616,CREATED,c3d6b301-1c17-491a-8c90-9e0f5ec0dd45,f78a1359-9cca-4a7c-84a7-761579c555ee,c2,c1,27,?,?,surb={'id': '698d50b4-afac-4903-9942-ec72e65b7752', 'route': ['p1', 'e10', 'i9', 'x1', 'p2', 'c2']}
1769490157.4739947,RECEIVED,d679bd12-c1c7-4a69-9c70-321aba8dbda9,1b281a60-91a1-48e0-84a3-86ac18bd80cd,c1,c2,27,p2,?,surb={'id': 'c983d0ca-7dca-464a-9c24-d5b7bc3d057c', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c1']}
1769490157.5288172,RECEIVED,1ebf18e6-e9df-42f1-94b3-34b07776c289,1c892c83-9543-41cf-a2ac-fe7bb911a9b3,c1,c2,26,p2,?,surb={'id': 'c4da3a70-1115-4fa4-b19c-4a95940f80b2', 'route': ['p2', 'e9', 'i2', 'x1', 'p1', 'c1']}
1769490157.6627936,RECEIVED,b03fd312-630f-4365-886e-e839960af838,1529b2d8-5fe4-4ebd-a27f-c1dc377c673c,c1,c2,26,p2,?,surb={'id': 'e9784e53-76d1-4225-8b9d-f1b43f2f1c73', 'route': ['p2', 'e11', 'i5', 'x9', 'p1', 'c1']}
1769490157.8842063,SENT,7937deb7-7793-40ba-91ed-79fa2585328c,d1feee9e-6a54-4f9d-8a21-ba503145a029,c2,c1,3371,?,p2,
1769490157.88434,CREATED,1faea2c0-abab-4983-bac3-40cb8e85ae9d,ddd07dcc-230b-4236-9321-db310c4fd953,c2,c1,27,?,?,surb={'id': '9b4dab05-3a2a-4182-939f-d15046104d35', 'route': ['p1', 'e1', 'i1', 'x8', 'p2', 'c2']}
1769490158.503407,SENT,d36b5e64-b43f-4bfe-b1ea-337093b54f08,f717b4c9-e5fa-41c9-bb62-955b0086e474,c2,c1,3383,?,p2,
1769490158.5035312,CREATED,79f864a3-9edd-468b-838d-7b13894b7ec5,ddd07dcc-230b-4236-9321-db310c4fd953,c2,c1,27,?,?,surb={'id': '9b4dab05-3a2a-4182-939f-d15046104d35', 'route': ['p1', 'e1', 'i1', 'x8', 'p2', 'c2']}
