timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769461157.2956722,RECEIVED,16ec8d2a-095f-4040-b7ef-075d55a63963,069d931f-632a-4c83-8c20-52b0e7772d92,c3,c4,26,p1,?,surb={'id': 'd744b8bc-a96d-4270-b500-89718b071df2', 'route': ['p1', 'e11', 'i8', 'x9', 'p3', 'c3']}
1769461157.5869372,RECEIVED,5623deb4-9990-4749-92f1-c6ac394386a2,24651a7f-023f-4bf8-8752-a9950330ee4b,c5,c4,27,p1,?,surb={'id': '4601e5b9-ae46-448c-8eb4-006d16367c22', 'route': ['p1', 'e1', 'i2', 'x8', 'p2', 'c5']}
1769461157.6244001,RECEIVED,0da00033-9fb1-4f5c-bb7c-c0ec3756bb88,6a7e66d9-e0c8-4355-9add-4d4480ff55bd,c3,c4,27,p1,?,surb={'id': '0a46f47b-622d-4fe7-82e5-5292be2a01ab', 'route': ['p1', 'e11', 'i3', 'x8', 'p3', 'c3']}
1769461157.6593378,SENT,d210b6d6-af1d-4c95-9f7a-4e3e3aec2844,ad1804fe-cff6-4665-986b-e0e128b6556d,c4,c5,3388,?,p1,
1769461157.6595495,CREATED,f364fdfa-8693-4210-a060-62c25390768c,9f554190-422f-4f6d-9c97-37fb4d2aeb28,c4,c5,27,?,?,surb={'id': 'ab1871c8-4d7b-41fe-9270-cf56b408bba5', 'route': ['p2', 'e10', 'i10', 'x4', 'p1', 'c4']}
1769461158.2438018,RECEIVED,d91109df-c006-45a1-ba64-13a82458297a,b7a488e1-3394-4da1-bc3f-576406bc0e0a,c5,c4,27,p1,?,surb={'id': '9db9ff37-81c7-458c-b24e-167ce2f803a9', 'route': ['p1', 'e2', 'i2', 'x10', 'p2', 'c5']}
1769461158.298457,SENT,271cfd4c-3b38-4848-8a45-90f7cde2903d,6469a0b3-be76-4c5e-b59a-7ade7a3908ac,c4,c5,3367,?,p1,
1769461158.2985463,CREATED,b4bc3b15-dc01-46b9-aa7a-f10830388759,b11a3da8-7276-4873-bc69-5d4357f56af3,c4,c5,27,?,?,surb={'id': 'af3cc081-9828-443a-b291-4613c69625ee', 'route': ['p2', 'e3', 'i8', 'x9', 'p1', 'c4']}
1769461158.3951492,RECEIVED,b970c024-d91a-41a9-bd39-a3974b0ee200,89e2f10b-5f42-4252-a663-60646b621d30,c3,c4,27,p1,?,surb={'id': 'd1e74ac5-8380-40a3-aff6-9ff181ae3148', 'route': ['p1', 'e12', 'i11', 'x11', 'p3', 'c3']}
1769461158.4694505,RECEIVED,f63cc40c-f18a-4153-8279-3274f4c2eb0d,20a22af2-8960-47c2-b95d-ddbcaf4fcd90,c3,c4,27,p1,?,surb={'id': '4a8e19b9-fef8-470f-bf1d-a283ac8be20c', 'route': ['p1', 'e1', 'i6', 'x12', 'p3', 'c3']}
1769461158.570456,SENT,34904b73-5858-4f59-8044-77a4c205ca76,c9a48d4b-9f9c-476f-9707-e6cc760541bf,c4,c5,3403,?,p1,
1769461158.5706015,CREATED,fe9fc233-e918-401f-a908-25679575346f,922a5b1d-45f7-4e20-bcc5-31eeb1619ffe,c4,c5,27,?,?,surb={'id': 'b4e4bb2b-2259-4abd-98da-00525fa9f20e', 'route': ['p2', 'e7', 'i5', 'x12', 'p1', 'c4']}
1769461158.633365,RECEIVED,b6fa1e79-8633-4d6d-b967-bb7463ace477,da5b82b7-6cc2-441e-b51c-adca72c36a6f,c3,c4,27,p1,?,surb={'id': 'b9a4c4f8-e86a-4cdd-8c3b-9d7082b8ea89', 'route': ['p1', 'e2', 'i8', 'x1', 'p3', 'c3']}
1769461158.8279183,SENT,c8ca1944-d6f3-4fe9-981e-084fce0f1397,3f1ecafc-3e36-4d67-bca8-0719607d2b31,c4,c5,3388,?,p1,
1769461158.8281825,CREATED,e79767d1-bbe8-478f-8209-494c0405bc92,d68f282c-5c63-4f09-aa56-b98e549454c0,c4,c5,27,?,?,surb={'id': '4935f450-a071-41b4-a1bf-7c16a0d8c3b9', 'route': ['p2', 'e10', 'i10', 'x9', 'p1', 'c4']}
1769461158.879583,RECEIVED,6d229802-4368-43fb-9757-9deec4814d34,0b1b03c5-9224-49e7-bf6a-5f6e6f00b362,c5,c4,27,p1,?,surb={'id': '498e4c71-bef1-4015-bbe5-0081fbb355d1', 'route': ['p1', 'e6', 'i10', 'x9', 'p2', 'c5']}
1769461158.9112105,RECEIVED,6578a4a8-bc3a-40d8-8704-a33b83c74d23,b873fc14-4c29-439e-b154-77258ce1fb13,c3,c4,27,p1,?,surb={'id': 'a602d0a3-65d0-4613-b607-3ea1ef23db88', 'route': ['p1', 'e10', 'i1', 'x5', 'p3', 'c3']}
1769461159.215224,SENT,f9bbf47c-69d9-4ff4-a42a-f6789c906585,a84083fe-98e5-4787-a624-5a7c8672cb5b,c4,DROP,2032,?,p1,
1769461159.2153566,CREATED,f021808f-b3f5-467e-9c9c-7a9c6c4977d7,c30b0bf9-6d10-47be-bf57-3614743b370e,c4,DROP,27,?,?,
1769461159.6153407,RECEIVED,6d46a94c-e761-441a-865c-a5a0eb79149e,f7265728-a997-4bf4-b3d1-0afdcf4fd715,c3,c4,27,p1,?,surb={'id': '14bf298f-0df7-4250-88eb-9c3ad39eccdd', 'route': ['p1', 'e11', 'i4', 'x9', 'p3', 'c3']}
1769461159.7766113,RECEIVED,f217d7f1-dfb6-4dcc-b387-105523e8fbb4,2b10e0e3-3c48-4e11-88ae-378318b31045,c5,c4,27,p1,?,surb={'id': '7e08e9fd-8bb4-4ff3-bac5-c6cf7dccae93', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c5']}
1769461159.9694493,RECEIVED,b743f294-ad0e-4489-9d14-e8093f638c8f,59940a6d-012f-4bf7-bba4-135149abdd74,c3,c4,27,p1,?,surb={'id': '78363daf-4cb9-4886-9d4d-b6384ad90f10', 'route': ['p1', 'e11', 'i12', 'x3', 'p3', 'c3']}
1769461159.9833186,RECEIVED,6d8bdb72-1963-47a1-b4b9-393076ba23e3,d95b08cb-7ff4-47ad-9523-566f5f055cab,c3,c4,27,p1,?,surb={'id': '0d8580d8-9688-4ee2-9a91-78970f7042f8', 'route': ['p1', 'e4', 'i7', 'x7', 'p3', 'c3']}
1769461160.0706754,RECEIVED,b2472236-69ec-4bc8-b39f-89f09dfa4266,c8fd0c7f-949e-4cd6-9ad2-c9543e3b8728,c3,c4,27,p1,?,surb={'id': 'c5c9d50f-9de4-40f6-9e4b-83bb9ccd5b1e', 'route': ['p1', 'e12', 'i8', 'x12', 'p3', 'c3']}
1769461160.4004357,SENT,cf3ee857-23d1-4db9-945d-3787bc34a8a9,733636f9-d872-4d6d-ae69-d4c28b6f2b27,c4,c5,3387,?,p1,
1769461160.4005823,CREATED,06f506c6-d2c4-464e-a2fc-1fac0102572b,53ecc1b2-c0b9-49fa-b31a-a85f07400b97,c4,c5,27,?,?,surb={'id': '0ff9f4e4-362a-47f3-84f3-096ccb12e307', 'route': ['p2', 'e11', 'i8', 'x8', 'p1', 'c4']}
1769461160.428475,SENT,bf15ad02-41f4-4450-b03f-1a219625bd91,13afe28a-a675-4170-bdc9-c45cfbdd0e7c,c4,c5,3391,?,p1,
1769461160.4286704,CREATED,167d8d16-eafb-4338-9d92-c1bc2d08a238,d10a24b0-07de-4b6a-9d6b-c1a840604167,c4,c5,27,?,?,surb={'id': '7e243f12-f45e-46d8-8784-f0188d9c24b1', 'route': ['p2', 'e5', 'i3', 'x10', 'p1', 'c4']}
1769461160.5005097,RECEIVED,65307a55-be10-4c20-a668-97393665f28e,60f2154c-e63e-4f09-b550-bee999e3cb52,c3,c4,27,p1,?,surb={'id': 'fab2cfb7-fdc2-4bfb-9baf-6e88265ea639', 'route': ['p1', 'e11', 'i5', 'x11', 'p3', 'c3']}
1769461160.5463927,RECEIVED,4ba830bc-f761-48b7-8580-e4e99d625f4f,a0bc3a49-0e9f-40bb-a8f1-4601e3f890a1,c5,c4,27,p1,?,surb={'id': '62ecd773-abe0-48b9-8d2c-5d44b21c6edb', 'route': ['p1', 'e4', 'i1', 'x2', 'p2', 'c5']}
1769461160.641149,RECEIVED,7891452c-feb9-4cae-979d-f5d10272e3dc,d2a8819c-208f-4999-8856-5f1c9a04a09b,c3,c4,27,p1,?,surb={'id': 'c9d0354c-6e3b-44f6-bcd9-278b2a66e7f6', 'route': ['p1', 'e8', 'i10', 'x2', 'p3', 'c3']}
1769461160.6727052,SENT,6c2d5f9b-eafb-46b2-b478-d0e51c5197b8,956ce436-3f70-4c62-b08f-ded74abc1b29,c4,c5,3376,?,p1,
1769461160.6728554,CREATED,8ce36b77-bf4b-4442-b01f-faad20298ad3,f9560898-3424-4bfe-9091-8e388d1251f5,c4,c5,27,?,?,surb={'id': 'c74a382b-bf50-4bd9-9432-4028c6d3fa1f', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c4']}
1769461160.6910028,RECEIVED,a4b1aead-c465-4a9f-86e8-0b9bcb65dbd2,33a58795-45db-4e59-8f32-d373e48a9b37,c3,c4,27,p1,?,surb={'id': '045c08c0-bca5-4413-a4f7-0a5e16ee2a26', 'route': ['p1', 'e1', 'i1', 'x11', 'p3', 'c3']}
