timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475963.3616939,RECEIVED,559f16bb-98a0-41c8-aece-fd3e3c0d1160,afaeebcf-df6d-4f71-9bf8-9521fc65bee3,c4,c2,27,p2,?,surb={'id': '30f52879-f768-465a-95dd-0b3b91434456', 'route': ['p2', 'e10', 'i6', 'x9', 'p1', 'c4']}
1769475963.5630832,RECEIVED,775e9dba-6a29-4abb-97ea-3a3cb91c40ac,eb9af72a-710d-4cfa-9a97-3a61aab36144,c1,c2,26,p2,?,surb={'id': '945196aa-d8d8-40c6-9e03-510373edd69e', 'route': ['p2', 'e3', 'i8', 'x9', 'p1', 'c1']}
1769475963.5763617,RECEIVED,3904cb47-c65d-48fe-b62f-1550e387ba0e,6f44268d-7ed6-431e-b4b9-1b411037c5a1,c1,c2,27,p2,?,surb={'id': '43b0cd44-06e6-45ee-8385-0cb6de0cc8e3', 'route': ['p2', 'e2', 'i11', 'x4', 'p1', 'c1']}
1769475963.6680133,RECEIVED,4f1096b1-a272-4086-9483-5d251d736c75,385e1b6e-e32a-4bd2-bddb-cdf62308e7a1,c1,c2,27,p2,?,surb={'id': '110aac12-2d46-4d3d-b42a-a577a2145886', 'route': ['p2', 'e9', 'i10', 'x12', 'p1', 'c1']}
1769475963.8926692,RECEIVED,09ccb1b6-ef29-4bb4-aef4-71ccf9f7b381,34bf7def-a8de-416a-810d-7336dee5d418,c3,c2,27,p2,?,surb={'id': '95c340f7-5b9b-4b74-80cd-ff01d03df7a3', 'route': ['p2', 'e10', 'i5', 'x7', 'p3', 'c3']}
1769475963.9638846,RECEIVED,2cbbfb1c-2563-40ce-98d8-e73645b6e66f,89b7e4ef-0ead-478c-b337-4b9e9f8336ec,c3,c2,27,p2,?,surb={'id': '5b9e72d7-30a4-407e-8190-32feefe54ccf', 'route': ['p2', 'e5', 'i8', 'x9', 'p3', 'c3']}
1769475964.092527,SENT,4564e55e-84b9-42d6-9066-51f779c07275,38289e61-f9f9-47a7-9102-f728cad05b44,c2,c1,3384,?,p2,
1769475964.0926766,CREATED,14a70fc1-d778-403d-bdef-84311b862201,dc3b05ff-2446-46bd-b55a-0ce604c9a55d,c2,c1,26,?,?,surb={'id': 'c8796de5-656b-423d-a1ec-1f0b507dd0c6', 'route': ['p1', 'e12', 'i11', 'x8', 'p2', 'c2']}
1769475964.104936,RECEIVED,90a823b9-c4ba-43a2-83d5-874f3711280a,13ac8603-cc62-40ce-92ee-79ba984ec502,c1,c2,27,p2,?,surb={'id': '542e6d7c-c1dd-442b-b04e-58badb505163', 'route': ['p2', 'e10', 'i12', 'x9', 'p1', 'c1']}
1769475964.2289793,RECEIVED,1a9aee3f-b93d-4a3e-b84f-7c202d27d099,128ca493-6bb1-48ee-9878-aaccb5a2b6a3,c4,c2,27,p2,?,surb={'id': '9248356c-6841-4a18-a29b-a993ac630d0d', 'route': ['p2', 'e12', 'i5', 'x6', 'p1', 'c4']}
1769475964.3388016,RECEIVED,44825211-a266-4ed7-8c22-aa15b5208163,25eb4366-724f-482f-a12b-ef25c5e59f86,c3,c2,27,p2,?,surb={'id': '91a10ffd-963c-476c-8283-47b9df696390', 'route': ['p2', 'e3', 'i4', 'x5', 'p3', 'c3']}
1769475964.3527253,SENT,ada1678b-7a4f-4cdf-8d1f-36032690be73,f96554d0-174e-40a5-84bf-1c567fb5f13f,c2,c1,3381,?,p2,
1769475964.3528714,CREATED,c8600fc0-4e65-489d-95ee-a62f557741ae,4c9cd2e9-ed2a-4fbb-baaa-2ea2f0acc30e,c2,c1,27,?,?,surb={'id': 'f3dce47a-21b0-4e6f-afb3-b805674dc239', 'route': ['p1', 'e4', 'i10', 'x7', 'p2', 'c2']}
1769475964.4004295,RECEIVED,2165a22d-1b12-44ef-a20f-ea97a567a271,4c916acc-5978-4630-b004-524e8930f8a6,c1,c2,27,p2,?,surb={'id': 'bf149c9c-2f7f-4a0c-8a0f-1317ce724eb0', 'route': ['p2', 'e8', 'i7', 'x10', 'p1', 'c1']}
1769475964.6288412,RECEIVED,041086e4-a8ec-48fc-a660-f8c0158c3a04,7abcc8d8-bd7d-407d-a0f0-644c3ad3d0b0,c1,c2,27,p2,?,surb={'id': '6dcf4b55-f079-4fce-a74b-010d00141692', 'route': ['p2', 'e12', 'i8', 'x11', 'p1', 'c1']}
1769475964.6803014,RECEIVED,f820f427-84dd-4497-b8d7-4a2495222884,2d637b92-aa35-4f32-a455-0881fad2075e,c4,c2,27,p2,?,surb={'id': '7d0526cd-6770-4e5f-b1b7-7936541a9dc7', 'route': ['p2', 'e2', 'i6', 'x10', 'p1', 'c4']}
1769475965.0704355,RECEIVED,3161613c-6787-415c-82d6-a696ddfd8f20,3ab05c3b-b84e-444f-8e72-e0c081414851,c4,c2,27,p2,?,surb={'id': '0ec5c2a1-bd31-44e5-8e0d-0b4266d0af3e', 'route': ['p2', 'e2', 'i8', 'x3', 'p1', 'c4']}
1769475965.082118,RECEIVED,95536b7f-35eb-4376-a981-da2d75ab5378,321d372d-04cf-4d0c-a84e-404c87d3d7f4,c3,c2,26,p2,?,surb={'id': '50c4b54a-9999-4776-8626-1b5e74f27fa9', 'route': ['p2', 'e8', 'i12', 'x3', 'p3', 'c3']}
1769475965.1493433,SENT,a6fb08c5-c7aa-4f87-b9b0-f5eaa264f80d,c1fd1e96-f91f-42fe-8c8b-8d01e84ce82a,c2,c1,3383,?,p2,
1769475965.149487,CREATED,b3660536-0531-47a3-a388-bcf2c7b82f97,7f60eed6-913d-4e65-9759-9f31560db068,c2,c1,27,?,?,surb={'id': '5b818002-f3d3-4e76-b09b-e25d87783af0', 'route': ['p1', 'e5', 'i1', 'x2', 'p2', 'c2']}
1769475965.210342,SENT,94537a39-db21-4e89-a148-b1c3833b0ba9,0c464311-4dae-4b77-b10a-506a6945cf2b,c2,c1,3380,?,p2,
1769475965.2104907,CREATED,adc5e73c-25ca-4163-92af-30961c89de44,b89da9c6-9dea-49a6-8bba-b29c25cc698b,c2,c1,27,?,?,surb={'id': '8e564ec3-0ad2-45e3-ba4e-1918a5d5fd6c', 'route': ['p1', 'e6', 'i5', 'x12', 'p2', 'c2']}
1769475965.28191,RECEIVED,0d300c20-2211-4c09-873c-d4f14c881b10,6365159c-1908-4e56-8e56-845c5c8c4cef,c4,c2,27,p2,?,surb={'id': '7b527f35-3e04-43a0-b5c4-782dfb12df16', 'route': ['p2', 'e12', 'i12', 'x2', 'p1', 'c4']}
1769475965.4097059,RECEIVED,2200d8cd-43fe-4ce3-a94a-2b2abbfc11bb,6399a377-1e16-4428-9d76-1c2800658b44,c1,c2,27,p2,?,surb={'id': 'b08c028f-b91f-4cf2-a0d1-7b9c9e3b439f', 'route': ['p2', 'e6', 'i6', 'x10', 'p1', 'c1']}
1769475965.433894,SENT,748bec3a-80ea-4e7f-9a0e-df5d97ffe23b,2ead20df-3179-4784-9dcf-2e572a92c6ad,c2,c1,3396,?,p2,
1769475965.43404,CREATED,3e258e3f-f3c2-49d2-91e2-772ddb26d7d4,79c4061e-a953-4bb5-bcf6-e21ec0a3d1d3,c2,c1,27,?,?,surb={'id': '51294425-9b2d-4a26-913a-37b2c42537a0', 'route': ['p1', 'e1', 'i8', 'x7', 'p2', 'c2']}
1769475965.442533,RECEIVED,d2d33578-c835-491d-bfd5-585b65d5939c,f08f4f71-59d2-4b10-88fc-64fe5290654e,c4,c2,27,p2,?,surb={'id': '714ea1dd-670d-4489-9e83-500fbe8ad83c', 'route': ['p2', 'e9', 'i4', 'x8', 'p1', 'c4']}
1769475965.5403175,RECEIVED,c0c9af88-3c59-47e4-9aad-c798eb29b0fc,744a8dee-b2bb-4185-91ee-c8bb688faca1,c4,c2,27,p2,?,surb={'id': '5f2b2dfd-5a25-4a53-8ed0-1b62ac1208ce', 'route': ['p2', 'e4', 'i10', 'x9', 'p1', 'c4']}
1769475965.5555,RECEIVED,e56e5a00-eb01-4408-87f8-ba697d183d4e,311acc30-44ef-45a6-864b-9263b1ab6aa1,c4,c2,26,p2,?,surb={'id': '98604ecd-1b12-441e-aeee-98612a515844', 'route': ['p2', 'e11', 'i7', 'x9', 'p1', 'c4']}
1769475965.6208098,RECEIVED,94d58ec1-e077-4877-bfd2-df72672465cd,37f9a238-4215-41b4-8fda-e26aab0c992e,c1,c2,27,p2,?,surb={'id': 'abb013f9-f5ee-4b6e-895f-37fc1825906e', 'route': ['p2', 'e4', 'i2', 'x5', 'p1', 'c1']}
1769475965.6498134,RECEIVED,c5b22f11-cc27-4995-a731-9d719b6ccdd0,8bb4ae9c-492b-4ed2-8310-f8c7e9fceb61,c3,c2,27,p2,?,surb={'id': '8b4a77b0-b2ee-4483-9cf5-f9aec263e110', 'route': ['p2', 'e5', 'i6', 'x6', 'p3', 'c3']}
1769475965.6500232,SENT,d76b3086-4da7-4ce6-9854-7b5d2c1aaac6,72775279-ab8a-4110-b906-86d0d3845f70,c2,c1,3383,?,p2,
1769475965.6505065,CREATED,c9aed368-1f8e-4d6a-abf2-9293d78d4762,d3ba3e28-3ed6-4c2a-bdfc-32e3259b3ae0,c2,c1,27,?,?,surb={'id': 'bb47d728-e7b5-4579-9ef1-2ecd4054fc7a', 'route': ['p1', 'e5', 'i5', 'x2', 'p2', 'c2']}
1769475965.837275,RECEIVED,0b5bf3a8-a2f2-45ec-bda2-ba7250373480,5994e898-a6c9-4900-892b-8f10f62a62f6,c3,c2,27,p2,?,surb={'id': '4a992073-41f7-4a5b-8d42-a6152468b122', 'route': ['p2', 'e7', 'i11', 'x5', 'p3', 'c3']}
1769475965.9762003,RECEIVED,1479d098-058c-4588-a289-38745703aa65,a245dddd-a5b9-4734-b01a-06998243d598,c4,c2,25,p2,?,surb={'id': '67c43459-0cb6-4960-bc14-de2332f1c7b9', 'route': ['p2', 'e10', 'i8', 'x9', 'p1', 'c4']}
1769475966.1773205,SENT,324e8955-fe88-4e6c-8ec3-bd6f3bdb3880,7943f4ae-6513-4fa3-a1d1-d98ce35ed3e8,c2,c1,3393,?,p2,
1769475966.177468,CREATED,1ac563ba-2e25-4cc2-a738-791a96c1f295,0923d46b-4b62-4860-9308-47d372c9d540,c2,c1,27,?,?,surb={'id': 'f17a89c1-da64-4552-af92-bea8ddc22ad6', 'route': ['p1', 'e10', 'i4', 'x5', 'p2', 'c2']}
1769475966.2343142,RECEIVED,99857a59-b491-457b-b0c0-6abcacbb0e7f,cc02ff9e-b7c7-4caa-928e-484451fb1877,c4,c2,26,p2,?,surb={'id': '651a0545-7bac-4e7e-bf24-6662f8883806', 'route': ['p2', 'e3', 'i2', 'x11', 'p1', 'c4']}
1769475966.3769283,SENT,b7b241ff-78a8-4e9e-91f7-4b5670a6a139,5feae872-793f-4fb9-9e0f-f26af39bfca1,c2,c1,3376,?,p2,
1769475966.3770974,CREATED,9e4d952c-ccff-43f5-b5f4-79c3c6cc7f98,7ac92f7a-91f5-4542-845e-6b68dd2f4478,c2,c1,27,?,?,surb={'id': 'a7902768-0962-4fda-8187-176ce0b51593', 'route': ['p1', 'e9', 'i3', 'x8', 'p2', 'c2']}
1769475966.5038438,SENT,8baa8402-ff24-405b-bb29-449a55a16d39,43faa3b4-f9c4-4c00-b2fe-87a89b0ecf7c,c2,c1,3384,?,p2,
1769475966.5039914,CREATED,3ae4b61c-f161-4551-88ed-36d27727dafe,a1217aaf-32ca-4b85-b9b4-f22a841436fd,c2,c1,27,?,?,surb={'id': '91e5795c-dc40-4f83-a4ae-5dcec4e17930', 'route': ['p1', 'e4', 'i3', 'x1', 'p2', 'c2']}
1769475966.6817992,RECEIVED,ce581715-df8e-4b8d-819b-ea19746a7fde,e590a162-ddc8-483b-a6a4-cd757ff677cf,c1,c2,27,p2,?,surb={'id': 'c0291c62-a00c-4221-95b4-54cad2bb924e', 'route': ['p2', 'e3', 'i10', 'x6', 'p1', 'c1']}
1769475966.694866,RECEIVED,45d79c6c-21e8-499e-b128-c61519ac75f0,36e7f1c7-c71a-4313-a167-a4e35e07b339,c3,c2,27,p2,?,surb={'id': 'b3c6d807-ff4a-4169-99ef-2bd6d06bfda9', 'route': ['p2', 'e12', 'i8', 'x11', 'p3', 'c3']}
1769475967.287115,RECEIVED,4fa7a127-84d3-467b-afae-e128d400c42a,a2ae93ff-b8ee-409e-9276-d6a545120c0d,c3,c2,27,p2,?,surb={'id': '5368b619-eb6f-40fc-bc99-9dc8fd075a95', 'route': ['p2', 'e2', 'i12', 'x12', 'p3', 'c3']}
1769475967.4320405,SENT,8fe21919-d35f-4363-8a90-499964afe698,9f97ce75-c722-4b45-958b-72b6bbe475ee,c2,c1,3375,?,p2,
1769475967.4322166,CREATED,d6cb4858-77a1-4ec7-9e0f-7599137bab8e,6cb53afb-eba5-4e3e-8e70-b6904575e361,c2,c1,27,?,?,surb={'id': 'df4d7ab9-081f-42a4-8d0c-7a66627ed8e1', 'route': ['p1', 'e10', 'i7', 'x8', 'p2', 'c2']}
1769475967.4866633,SENT,7b220553-64d5-4177-b13f-60e87c700671,1c038834-eaec-45c9-a270-120896930a3c,c2,c1,3376,?,p2,
