timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734973.8372924,CREATED,3b5dcdb1-1b7e-4a5c-9534-0c73d9b07472,39189859-843a-4d4e-a66e-2d947455c98d,c2,c3,27,?,?,surb={'id': 'f0f5ae5a-2942-4f52-b863-339dba64f44f', 'route': ['p3', 'e5', 'i2', 'x9', 'p2', 'c2']}
1769734974.1714585,SENT,3f5bff4c-870a-42ed-b230-bc89d3f821c7,13d2d367-e04b-454f-ba87-6949e0aa4901,c2,c3,3391,?,p2,
1769734974.1716058,CREATED,d0bf725f-0e74-4b70-8f61-a86f2c0ed5d1,c48e3fb5-4aed-454c-8fc4-7d8af7cb3009,c2,c3,27,?,?,surb={'id': '2635897c-d2d6-4bd0-87b2-631a9c45a8a3', 'route': ['p3', 'e12', 'i8', 'x9', 'p2', 'c2']}
1769734974.3634353,RECEIVED,0714f0ec-6ae4-4deb-8686-c5ecc1e123f4,0069be92-4b6a-409d-b129-ac6c7b698f54,c3,c2,27,p2,?,surb={'id': '7c242f2a-b5a4-4fd6-8b97-723dd4926e1c', 'route': ['p2', 'e10', 'i10', 'x1', 'p3', 'c3']}
1769734974.995373,RECEIVED,35b961f7-5225-4991-9429-33f18212b3d3,f471b5ae-42ff-4a9d-b325-e455730f15fc,c3,c2,27,p2,?,surb={'id': '36dc29bf-35fd-427d-a73a-18fcac91b542', 'route': ['p2', 'e10', 'i5', 'x3', 'p3', 'c3']}
1769734975.1895297,SENT,7994f089-68d3-4536-94bd-49f519406629,ad83af77-94a4-4a3d-8a5b-0d4aa96a5abe,c2,c3,3387,?,p2,
1769734975.1896775,CREATED,23e7ddb2-20fc-459e-a700-22b0a552cfd3,5561002a-a36f-45a2-b5d0-87fe7190ceaa,c2,c3,27,?,?,surb={'id': 'ee5f7bf3-d99d-4d88-a8e2-751749950371', 'route': ['p3', 'e11', 'i2', 'x9', 'p2', 'c2']}
1769734975.2912984,RECEIVED,35e0d534-af7b-4f09-bd1b-04e2ac02dd0e,b0370233-22e5-4c85-b99d-04f09170cfc0,c3,c2,26,p2,?,surb={'id': '86c7318c-aab5-4d47-b3ce-3e8fe1fa7c85', 'route': ['p2', 'e9', 'i12', 'x10', 'p3', 'c3']}
1769734975.3422372,RECEIVED,28ae83fa-4ede-4bf8-a460-e2697bbcd6a1,3380d100-9f7c-4f0c-8ccf-721bc20685e0,c3,c2,26,p2,?,surb={'id': '4efefc64-eb4e-4d44-b37d-e79a1724c6dd', 'route': ['p2', 'e11', 'i2', 'x8', 'p3', 'c3']}
1769734975.550722,SENT,ad5e4d2f-b136-456c-9ed0-7b130d8212e1,1408db05-5ebe-485b-8a95-102b81ef4b27,c2,c3,3384,?,p2,
1769734975.550857,CREATED,563ca24f-40ef-41d2-970d-89d973270f2b,511c304e-6c0a-4886-b76b-479f39c97988,c2,c3,25,?,?,surb={'id': '95474fbb-477b-4633-99a4-2225ea49fa8b', 'route': ['p3', 'e4', 'i10', 'x4', 'p2', 'c2']}
1769734975.6463509,SENT,6656e465-fdea-4789-80f7-f6866c2354d4,0e56e688-5f5b-44cc-8c7b-9fd4896834e5,c2,c3,3360,?,p2,
