timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747921.87329,RECEIVED,86a84851-c6b7-44d7-9e9a-8a4b2d99f2d2,787a40ee-0ac6-462d-b729-1b3e3176800c,c2,c1,26,p1,?,surb={'id': 'b741f15f-5a80-42d0-bc20-a799267c3844', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769747922.3401136,RECEIVED,afa65c0e-6b91-485a-b458-6622c733dae3,a13defd0-f504-47aa-a406-e7119339e0b5,c2,c1,27,p1,?,surb={'id': '020467af-23d9-4713-94cd-0dcc59b16f39', 'route': ['p1', 'e8', 'i7', 'x9', 'p2', 'c2']}
1769747922.4003458,RECEIVED,2c161082-f1ec-4a8d-8952-1a0fed64475d,58c49b5d-4602-406c-8c6d-7950b823bb79,c2,c1,26,p1,?,surb={'id': 'c9ee3672-e3e2-4685-9c0a-fb477b0a1c7f', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769747922.4336023,SENT,4f8683e1-ac95-4ebf-acea-acd4cf6de006,13ed312c-c0c9-4241-8306-1c1af5133fe3,c1,c5,3380,?,p1,
1769747922.4337342,CREATED,0c7a1280-ba6b-4b8d-b993-c7e3c904e105,6169616e-76b7-490d-945f-ef45526a432f,c1,c5,27,?,?,surb={'id': 'e663a7e3-a81b-4448-b47f-6d7bfd91b277', 'route': ['p2', 'e5', 'i3', 'x3', 'p1', 'c1']}
1769747922.580712,SENT,7694936d-a1b4-4729-9b53-f185de185228,68d8dbee-471f-4c35-a394-6058907b8fa2,c1,c5,3369,?,p1,
1769747922.5808415,CREATED,9725d971-bc2a-4159-ab27-330a9c62bd34,6169616e-76b7-490d-945f-ef45526a432f,c1,c5,27,?,?,surb={'id': 'e663a7e3-a81b-4448-b47f-6d7bfd91b277', 'route': ['p2', 'e5', 'i3', 'x3', 'p1', 'c1']}
1769747922.602666,SENT,81cc760b-ff6c-402f-8ee2-febb21b8fa56,8e40062f-7e8d-4eb9-8e02-9eb6097c37bf,c1,c5,3359,?,p1,
1769747922.6028001,CREATED,6e0ca635-907d-437d-80ea-6c4c251dcc18,e07ff5a6-fd1b-4369-bce0-f9cc8784be27,c1,c5,27,?,?,surb={'id': '929bd35d-0129-4cba-b00d-ab2f96c83ba3', 'route': ['p2', 'e5', 'i6', 'x4', 'p1', 'c1']}
1769747922.692742,RECEIVED,c713ccb9-081a-40ed-9ec4-47aac13bc3f3,2658bca9-39da-4a7c-b3ac-836612701a80,c2,c1,27,p1,?,surb={'id': 'b3af7ec9-cac5-4987-8c68-64ee2f2f5185', 'route': ['p1', 'e3', 'i8', 'x7', 'p2', 'c2']}
1769747922.7538736,SENT,8bfeac71-1838-4038-a506-9d1946446705,47670479-8f82-4d9c-884a-1f6ff02a0321,c1,c5,3359,?,p1,
1769747922.754005,CREATED,649834d5-4b7a-46f9-b09c-9542cbc5399f,e07ff5a6-fd1b-4369-bce0-f9cc8784be27,c1,c5,27,?,?,surb={'id': '929bd35d-0129-4cba-b00d-ab2f96c83ba3', 'route': ['p2', 'e5', 'i6', 'x4', 'p1', 'c1']}
1769747922.7611876,RECEIVED,973dfbe7-34d6-4d0d-9d85-094ecb329432,58c49b5d-4602-406c-8c6d-7950b823bb79,c2,c1,26,p1,?,surb={'id': 'c9ee3672-e3e2-4685-9c0a-fb477b0a1c7f', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769747922.806071,RECEIVED,033699b3-9637-4387-8bb8-e7dabbeb1d93,2658bca9-39da-4a7c-b3ac-836612701a80,c2,c1,27,p1,?,surb={'id': 'b3af7ec9-cac5-4987-8c68-64ee2f2f5185', 'route': ['p1', 'e3', 'i8', 'x7', 'p2', 'c2']}
1769747922.980824,SENT,726faced-8122-497f-99bc-21eb3edb0e20,b5f0bf89-d0cb-4719-b047-214086e42d3b,c1,c5,3383,?,p1,
1769747922.9809675,CREATED,9ab9ec02-d202-44fa-a3d5-78d035a46320,ec9a75e8-8690-4bce-8b95-a11b297085e2,c1,c5,27,?,?,surb={'id': '0d660f56-f034-4014-a914-179784c83ed5', 'route': ['p2', 'e4', 'i5', 'x9', 'p1', 'c1']}
1769747923.2148154,RECEIVED,3818f793-05e7-46e4-8099-1d64db845f9e,91ba30d0-f3df-4a91-8c23-45b76743de50,c3,c1,26,p1,?,surb={'id': '5bf628b7-422b-4a85-b4c7-8ba6d65a3f73', 'route': ['p1', 'e4', 'i1', 'x1', 'p3', 'c3']}
1769747923.2551062,SENT,53af8f70-4610-4b88-9b33-6e51fed7cc23,c47a5497-907e-4e3f-a1d1-dc2715fc85d3,c1,c5,3376,?,p1,
1769747923.255247,CREATED,da5a7bdc-9736-4236-91c0-7dcaead5b4d5,ec9a75e8-8690-4bce-8b95-a11b297085e2,c1,c5,27,?,?,surb={'id': '0d660f56-f034-4014-a914-179784c83ed5', 'route': ['p2', 'e4', 'i5', 'x9', 'p1', 'c1']}
1769747923.3441448,RECEIVED,7689f26f-f98c-4bd7-9f0d-0205d8591b24,8a8b58c8-52db-484e-9787-136d9755d7b0,c3,c1,27,p1,?,surb={'id': 'd8e602c2-78d9-4dde-a12d-c64cefc2baf9', 'route': ['p1', 'e10', 'i2', 'x11', 'p3', 'c3']}
1769747924.0602398,RECEIVED,ddadf5ce-ceeb-48fd-887c-0e87f52dfdb3,fa181288-fc21-4537-b87c-f86bcd74f58d,c3,c1,27,p1,?,surb={'id': 'da9566d6-5c4f-4f71-8d04-23a8291f49b4', 'route': ['p1', 'e12', 'i11', 'x8', 'p3', 'c3']}
1769747924.2525299,RECEIVED,0f87b79b-5a4b-4430-ab2b-5896de6360c8,256755fa-d928-4ff3-bf10-7821ce62ff14,c3,c1,27,p1,?,surb={'id': '3e02af82-b6ee-4b4b-a599-abfa1ddea437', 'route': ['p1', 'e2', 'i2', 'x12', 'p3', 'c3']}
1769747924.3152046,RECEIVED,93c7a8a9-c829-4929-b6fc-66777da266ff,a3144f9c-e372-4a40-beb7-e998c5d71433,c3,c1,27,p1,?,surb={'id': 'bfb41fde-d6e0-4a3e-ac8f-ad05aa88f7d3', 'route': ['p1', 'e8', 'i2', 'x8', 'p3', 'c3']}
1769747924.4182441,RECEIVED,f1eec5e5-bf4c-49e5-b1cb-9bf4259f500d,96fda84d-91e8-432e-8860-55e69bdbde33,c2,c1,27,p1,?,surb={'id': '2dfd3b29-b3a2-4519-b960-8705b3d446c2', 'route': ['p1', 'e5', 'i3', 'x6', 'p2', 'c2']}
1769747924.4395156,RECEIVED,a99e509e-4447-47a1-8a1d-a5eba78f6ac7,7b94e1d6-7bcc-4600-9eb0-1e53b715ae4f,c2,c1,26,p1,?,surb={'id': 'e627f3aa-b741-49c2-825d-5f6f7cba19b2', 'route': ['p1', 'e1', 'i5', 'x10', 'p2', 'c2']}
1769747924.4503565,RECEIVED,520f5758-6cd6-4b38-8296-ad2242e724d3,fe822cf4-d96a-4eab-8da3-0badba2a7926,c3,c1,27,p1,?,surb={'id': '3fb4ac5e-d550-4aba-9321-5f8390cfbaa9', 'route': ['p1', 'e2', 'i7', 'x1', 'p3', 'c3']}
1769747924.5272753,RECEIVED,16d8d560-aa86-470e-9a2e-9c078b6d11ab,a3144f9c-e372-4a40-beb7-e998c5d71433,c3,c1,27,p1,?,surb={'id': 'bfb41fde-d6e0-4a3e-ac8f-ad05aa88f7d3', 'route': ['p1', 'e8', 'i2', 'x8', 'p3', 'c3']}
1769747924.7156618,RECEIVED,36ae7936-d6eb-48d8-8ac0-20dd28dfde26,8a8b58c8-52db-484e-9787-136d9755d7b0,c3,c1,27,p1,?,surb={'id': 'd8e602c2-78d9-4dde-a12d-c64cefc2baf9', 'route': ['p1', 'e10', 'i2', 'x11', 'p3', 'c3']}
1769747924.867748,RECEIVED,0b6042b8-d0f4-45b4-84a5-30bf2959c1b7,96fda84d-91e8-432e-8860-55e69bdbde33,c2,c1,27,p1,?,surb={'id': '2dfd3b29-b3a2-4519-b960-8705b3d446c2', 'route': ['p1', 'e5', 'i3', 'x6', 'p2', 'c2']}
1769747924.9022744,RECEIVED,6af45655-da5f-4c6c-b3ba-54a38eb9558f,787dd085-45ea-4680-9f3a-d4071c8b7e25,c3,c1,27,p1,?,surb={'id': '15e1b658-7a05-4e25-bb0e-eff5472f5cbe', 'route': ['p1', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769747925.1658876,RECEIVED,23bcbecc-730d-4013-a1a8-b553cd11d110,a8e23701-4184-43c7-b1b6-0b9a01d9d106,c2,c1,26,p1,?,surb={'id': 'e93a1552-4d4c-4033-92f2-2e1064f0596e', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c2']}
1769747925.4687233,RECEIVED,a325dcfb-ea1b-4821-969e-480f7b26dee1,fe822cf4-d96a-4eab-8da3-0badba2a7926,c3,c1,27,p1,?,surb={'id': '3fb4ac5e-d550-4aba-9321-5f8390cfbaa9', 'route': ['p1', 'e2', 'i7', 'x1', 'p3', 'c3']}
1769747925.543245,RECEIVED,dd903974-12c0-4a5b-ac09-9f0570425ace,dc8e849a-63af-4aa5-b72f-1d676a195e53,c3,c1,27,p1,?,surb={'id': '3f63cb91-2ed3-480b-967c-616bf6924975', 'route': ['p1', 'e8', 'i10', 'x6', 'p3', 'c3']}
1769747925.5629525,RECEIVED,c635a7ec-35ed-4210-9c0e-c7c97fb2d9d1,787dd085-45ea-4680-9f3a-d4071c8b7e25,c3,c1,27,p1,?,surb={'id': '15e1b658-7a05-4e25-bb0e-eff5472f5cbe', 'route': ['p1', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769747925.6939752,SENT,b30ad62a-49fc-408e-914d-b00f0e8068a0,f490d9ba-d7e0-4f09-aabb-9dfa990298f1,c1,c5,3383,?,p1,
1769747925.6941655,CREATED,0d351852-62eb-4168-8d17-3aa30058073e,3e504c61-7051-4739-a694-c6cd2a5ee4ba,c1,c5,27,?,?,surb={'id': 'a6b35966-912c-433c-95d1-cfa141c1ee6e', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c1']}
1769747925.7749271,RECEIVED,1e81397a-feda-4e62-8461-f0c2558650d2,64b26db1-dcc6-4b0e-8341-2e2b7ff0d646,c3,c1,27,p1,?,surb={'id': '91b2c417-7769-4bca-86fc-afd7a017fc64', 'route': ['p1', 'e4', 'i2', 'x9', 'p3', 'c3']}
1769747925.7892535,RECEIVED,a32e06b2-e2eb-4033-afad-fbf91c9b2490,dc8e849a-63af-4aa5-b72f-1d676a195e53,c3,c1,27,p1,?,surb={'id': '3f63cb91-2ed3-480b-967c-616bf6924975', 'route': ['p1', 'e8', 'i10', 'x6', 'p3', 'c3']}
