timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747925.1266937,RECEIVED,9b9b0cbb-1ebd-4ec2-b0a6-8082ffd73e33,0d2e890d-81f8-4bf8-9f3a-fecf4c73609f,c4,c3,26,p3,?,surb={'id': '200b55b5-352e-4f17-9f07-932d6bf1ab49', 'route': ['p3', 'e5', 'i9', 'x3', 'p1', 'c4']}
1769747925.1335256,RECEIVED,8a0cdc7e-768f-4bdd-93c1-196a83c0f808,c421085e-c96e-4427-be06-185501e89528,c4,c3,26,p3,?,surb={'id': 'acb947f3-240a-4f6e-ab75-b6d7ab74307a', 'route': ['p3', 'e3', 'i5', 'x1', 'p1', 'c4']}
1769747925.5465186,RECEIVED,0128fefd-2699-47bc-852e-2ca12354344b,0d2e890d-81f8-4bf8-9f3a-fecf4c73609f,c4,c3,26,p3,?,surb={'id': '200b55b5-352e-4f17-9f07-932d6bf1ab49', 'route': ['p3', 'e5', 'i9', 'x3', 'p1', 'c4']}
1769747925.6037507,SENT,4c85698b-82de-4a6f-9e22-761a95aabdda,38256672-ffda-4a49-a04b-cef40b6e00e2,c3,c1,3397,?,p3,
1769747925.6038764,CREATED,007c6256-ac68-44a2-a5e6-f1fd281c7bcb,49335abe-141d-4941-9edd-999274ac0b31,c3,c1,27,?,?,surb={'id': 'bcf2eb8d-6a7a-4760-b069-e5b2575b985b', 'route': ['p1', 'e9', 'i3', 'x9', 'p3', 'c3']}
1769747925.6559153,RECEIVED,0b31fd8b-c888-4f00-b984-0d2775f2e139,c421085e-c96e-4427-be06-185501e89528,c4,c3,26,p3,?,surb={'id': 'acb947f3-240a-4f6e-ab75-b6d7ab74307a', 'route': ['p3', 'e3', 'i5', 'x1', 'p1', 'c4']}
1769747925.7554321,RECEIVED,a6d7dfc2-cbc7-49ad-8f83-24c596ade727,ee31dcd0-4028-45de-91d5-11d8d91ff23b,c4,c3,26,p3,?,surb={'id': 'cb5ac131-3af6-4677-8402-38f0633f88e6', 'route': ['p3', 'e3', 'i2', 'x4', 'p1', 'c4']}
1769747925.8088944,SENT,9db26535-2f48-4083-88d8-eecf9b958bec,a03034f2-3f3a-4312-b07a-7932ee60039a,c3,c1,3376,?,p3,
1769747925.8090267,CREATED,638468aa-8577-4db9-b5d1-11f0badb8730,49335abe-141d-4941-9edd-999274ac0b31,c3,c1,27,?,?,surb={'id': 'bcf2eb8d-6a7a-4760-b069-e5b2575b985b', 'route': ['p1', 'e9', 'i3', 'x9', 'p3', 'c3']}
1769747926.061875,SENT,acaec1f8-f150-426f-ae5a-6d8cd528cc08,d40e6b33-2566-4804-86da-01081920541c,c3,c1,3377,?,p3,
1769747926.0620053,CREATED,57d23f03-93d4-4b37-8192-3c068694878c,5541ad36-2da2-475c-95b2-ed7e15ab4d43,c3,c1,25,?,?,surb={'id': 'c1cb73f8-0e2f-4276-8c9d-ae230e493b20', 'route': ['p1', 'e4', 'i10', 'x12', 'p3', 'c3']}
1769747926.1474345,RECEIVED,c6aa4f0f-9f77-4416-93cc-c2dbd6544bc3,b6c765cd-80ca-43a6-a57e-c7a67843d2b9,c4,c3,27,p3,?,surb={'id': '32f467ee-5bb4-4f58-b010-bec0e9278fd5', 'route': ['p3', 'e4', 'i5', 'x8', 'p1', 'c4']}
1769747926.35895,RECEIVED,b37a1931-253e-44ec-9e56-61422fefb5a5,b6c765cd-80ca-43a6-a57e-c7a67843d2b9,c4,c3,27,p3,?,surb={'id': '32f467ee-5bb4-4f58-b010-bec0e9278fd5', 'route': ['p3', 'e4', 'i5', 'x8', 'p1', 'c4']}
1769747926.3634272,RECEIVED,fdc014c1-12ea-474a-81ff-a2d760bc5662,f187d17c-629e-4ef6-abd5-0a61ee1916b2,c4,c3,27,p3,?,surb={'id': 'eca1d700-eea5-44db-bcfd-18be65679ae7', 'route': ['p3', 'e10', 'i7', 'x7', 'p1', 'c4']}
1769747926.3718653,SENT,34d8be65-179b-4dca-b69a-256af7cb50ec,510809ed-10ac-46dd-b097-86e81bd83891,c3,c1,3384,?,p3,
1769747926.3720155,CREATED,7e02e9d6-5a24-4935-805b-2945159c6c5d,5541ad36-2da2-475c-95b2-ed7e15ab4d43,c3,c1,25,?,?,surb={'id': 'c1cb73f8-0e2f-4276-8c9d-ae230e493b20', 'route': ['p1', 'e4', 'i10', 'x12', 'p3', 'c3']}
1769747926.5805047,SENT,bd9b1c22-d965-49e6-a01f-b1904ce6004f,cf9abdb2-be89-4a3c-b694-ef12eef67140,c3,c1,3369,?,p3,
1769747926.5806384,CREATED,4a4cbfde-bdff-4d70-a6f3-b50a7fe85bc4,830ff609-dc39-4fb5-ad84-dc1ef8b804d7,c3,c1,27,?,?,surb={'id': '217661b8-747c-42b6-854d-924e9a065735', 'route': ['p1', 'e2', 'i4', 'x1', 'p3', 'c3']}
1769747926.9138098,RECEIVED,9473cefa-286c-426f-a120-402d0189dee0,f187d17c-629e-4ef6-abd5-0a61ee1916b2,c4,c3,27,p3,?,surb={'id': 'eca1d700-eea5-44db-bcfd-18be65679ae7', 'route': ['p3', 'e10', 'i7', 'x7', 'p1', 'c4']}
1769747927.0864782,SENT,2f71ee11-75e2-4251-8e2a-b68c1be89013,45395f5b-d873-4cc3-9c1d-97c15548f69e,c3,c1,3360,?,p3,
1769747927.0866117,CREATED,56348a06-a92a-472d-98d3-01d2799403b9,830ff609-dc39-4fb5-ad84-dc1ef8b804d7,c3,c1,27,?,?,surb={'id': '217661b8-747c-42b6-854d-924e9a065735', 'route': ['p1', 'e2', 'i4', 'x1', 'p3', 'c3']}
1769747927.0998726,SENT,b38d5069-3d05-465f-8cd8-f8ef28ff8997,57d5a8cb-f472-43d0-8cba-1a461289dcad,c3,c1,3384,?,p3,
