timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468565.2315567,CREATED,8fa8a2ce-1305-4afb-994a-2ff5de4f45d5,a86d2214-af78-4d47-b390-dd9455fc7296,c1,c4,26,?,?,surb={'id': 'd10368ec-d9d1-40ee-80ac-9ed049119886', 'route': ['p1', 'e8', 'i1', 'x7', 'p1', 'c1']}
1769468565.3175023,RECEIVED,7e00d8b4-5d90-4807-912f-8ba4850db866,f22e957b-2990-4fe4-98f8-9eef1cfd0509,c3,c1,27,p1,?,surb={'id': 'd2ad23b4-5a11-44e2-9e30-322a21adeb71', 'route': ['p1', 'e11', 'i4', 'x11', 'p3', 'c3']}
1769468565.5255537,SENT,70e2abfd-7dc9-412e-a30d-b300c0a064d8,696ad3ad-549e-4be3-96b1-56e7547e103e,c1,c4,3380,?,p1,
1769468565.5256534,CREATED,1bbaadac-243d-429e-afa6-e8cf7e54f732,762ce797-e2cc-484d-8ffb-c0daa876f7ea,c1,c4,27,?,?,surb={'id': 'cb92b4ea-638c-4216-a714-c361d8d2f35c', 'route': ['p1', 'e7', 'i7', 'x9', 'p1', 'c1']}
1769468565.6756985,SENT,5491bf58-c32e-4dcc-9b26-cabbcfdf4eb9,ee9312aa-e7f1-4632-9f46-a62a57e462fd,c1,c4,3376,?,p1,
1769468565.6757975,CREATED,7ace3976-e6fd-44b0-98f8-46efe937be36,dbc19687-6cb8-47a2-b6d6-b402546fd209,c1,c4,26,?,?,surb={'id': '9625e71e-6b00-4579-9b23-f8f4845a73ae', 'route': ['p1', 'e2', 'i10', 'x8', 'p1', 'c1']}
1769468566.7301164,SENT,b35c40a5-784a-48f9-abcb-dcb50ca34da3,0c3075e6-3ce1-4266-8a5e-df2966e09a21,c1,c4,3395,?,p1,
1769468566.7302678,CREATED,d2b8f414-c49c-4b69-bced-12cc268bc2c1,f37f8383-e941-478a-87ae-e5dc81f992fd,c1,c4,27,?,?,surb={'id': 'a105a7a6-8875-4bc7-8631-736800b1af88', 'route': ['p1', 'e1', 'i10', 'x3', 'p1', 'c1']}
1769468567.4605846,SENT,1268332b-b2b8-4d57-8e57-031be34b7620,b15b5200-8a15-4676-8256-8e4f7d59c3d7,c1,c4,3383,?,p1,
1769468567.4607327,CREATED,356503a0-7c1a-48f6-b99d-c23ec16d3021,4d019d74-f68e-43b9-bcfa-488ab84167a1,c1,c4,26,?,?,surb={'id': '637f3f41-5adf-4cbb-a9e1-22ad5ed5a4fe', 'route': ['p1', 'e8', 'i10', 'x4', 'p1', 'c1']}
