timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453759.493847,CREATED,f6599a15-eb7e-4db9-a52a-d5d1e5655bc1,7e3de37d-9a3c-448c-928b-b04c3a58d0dd,c4,c1,27,?,?,surb={'id': 'e9656aa6-7814-4357-b56c-00d5a8a8969d', 'route': ['p1', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453759.5256884,SENT,12262333-7033-4742-839f-827d15331c7f,9fe8da0d-7956-4b94-b5c6-cee2cc99f572,c4,c1,3358,?,p1,
1769453759.5258348,CREATED,e938eb2a-37e4-43f0-b5ef-87e295c3d8e3,7f9d995a-47d9-47e5-8138-3a454b89bd31,c4,c1,27,?,?,surb={'id': 'e92a2b15-5d36-48da-8982-d6376f4fd83c', 'route': ['p1', 'e11', 'i7', 'x3', 'p1', 'c4']}
1769453759.7333786,SENT,f11d4206-d2eb-4b6e-ae8b-996ab5e35e54,3e783990-07fa-450e-ac7f-6e60aa776a12,c4,c1,3379,?,p1,
1769453759.7335646,CREATED,f50e8ec3-7f93-4f88-b8a9-d02b46b613cc,807cfc9c-f1e7-41e1-8261-f3870fba2065,c4,c1,26,?,?,surb={'id': '3c9a9549-7fe7-419a-b1e2-452930c80a11', 'route': ['p1', 'e7', 'i11', 'x10', 'p1', 'c4']}
1769453760.1335137,SENT,48c81c0d-6342-4301-a349-fd77f109fc3d,61f20913-904b-453c-bca3-1b9b32c84246,c4,c1,3384,?,p1,
1769453760.13367,CREATED,872bc3b8-ab8a-46ca-a1f9-b0784bb9d15b,5b42f5bd-d3ee-4b7c-9456-6ecaead1621f,c4,c1,27,?,?,surb={'id': 'baec8684-3406-45fa-bbb2-5c958db56c0e', 'route': ['p1', 'e8', 'i2', 'x7', 'p1', 'c4']}
1769453760.181004,RECEIVED,4a484529-566d-49ab-ba26-29b50bae7b13,77984f65-8a01-494d-a5b4-bdfd6253e344,c2,c4,26,p1,?,surb={'id': 'f448ab61-dbe0-4701-bca2-a2e7c0ea3ae9', 'route': ['p1', 'e1', 'i10', 'x9', 'p2', 'c2']}
1769453760.2367973,RECEIVED,08a338e9-9ff2-48cd-9583-1395e2d4d3d1,1eadc946-8a6b-474b-9c16-95fcc18160c7,c2,c4,26,p1,?,surb={'id': 'f4c24445-5d89-4766-85f8-0501099ae8c5', 'route': ['p1', 'e12', 'i8', 'x11', 'p2', 'c2']}
1769453760.2462971,SENT,a0a90b71-f00e-46eb-ba02-5fece639fc95,a0146c77-1c7a-4787-abed-9b7910ff0788,c4,c1,3387,?,p1,
