timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453757.3764844,RECEIVED,9712a0ea-24ac-41e3-8ff5-2cd8cd9fedf2,63949a48-db4a-4613-8fce-aa81c9b8c0e6,c5,c2,27,p2,?,surb={'id': '86a5cd37-fc1b-4977-9206-b903c22990f3', 'route': ['p2', 'e6', 'i5', 'x3', 'p2', 'c5']}
1769453757.4026282,RECEIVED,570e4cad-357e-429d-b5cc-599d6f1a0f04,ac5b08dd-90f5-4f4d-8511-a2d1092df69c,c3,c2,27,p2,?,surb={'id': 'b5087ef9-df33-4303-8320-ae2bbdc5119a', 'route': ['p2', 'e6', 'i1', 'x2', 'p3', 'c3']}
1769453757.4298623,RECEIVED,d74ff955-577e-4c5d-8a3e-bc2ac2a61efa,9da37c33-7a29-4161-839c-934960375e58,c1,c2,27,p2,?,surb={'id': '992d8859-f2fd-448f-88e2-f52f3ffbe144', 'route': ['p2', 'e7', 'i11', 'x12', 'p1', 'c1']}
1769453757.5738056,RECEIVED,5e7fd104-07cc-4b53-a9cc-7544c0fea00c,1f304320-0110-43d5-b442-8db7c340ebb2,c5,c2,27,p2,?,surb={'id': '735bec06-4f10-4925-b663-3b1aa69156c2', 'route': ['p2', 'e6', 'i4', 'x9', 'p2', 'c5']}
1769453757.640691,RECEIVED,4728b88e-690e-4284-aaac-0fbaa6ebfd85,0f444f2d-52c3-416e-aea2-888128494c37,c5,c2,26,p2,?,surb={'id': '82ac184a-71e4-45b1-9585-51f8006dec28', 'route': ['p2', 'e7', 'i2', 'x12', 'p2', 'c5']}
1769453757.6755598,RECEIVED,1610382f-8958-4836-8df6-471fb3d4942f,c909bb39-e517-4674-8d27-cf79df08cf33,c1,c2,27,p2,?,surb={'id': '0bf1814c-4604-4f3c-89f9-6a726377ba5f', 'route': ['p2', 'e7', 'i12', 'x4', 'p1', 'c1']}
1769453757.7830362,RECEIVED,3b429a60-ae69-44cd-b76a-d56115b89c53,a7970a25-605b-4242-94f1-969223c5ac7f,c1,c2,27,p2,?,surb={'id': 'b4890373-c7aa-451b-b815-abbbc9b5c58a', 'route': ['p2', 'e3', 'i2', 'x10', 'p1', 'c1']}
1769453757.8768566,SENT,1d714828-5cff-4ee8-ad13-5ada463ecab5,9df6a922-6384-4e31-92bc-3c3eff73e435,c2,c4,3400,?,p2,
1769453757.8770065,CREATED,0a86ff93-4742-4e86-bf60-4c741241bfad,e67587d9-58af-4f17-9a56-95d8e069d858,c2,c4,27,?,?,surb={'id': '71c82117-a7d4-4543-a73e-7250c14d1b47', 'route': ['p1', 'e10', 'i11', 'x2', 'p2', 'c2']}
1769453758.0716395,SENT,65039132-34ae-4dbd-bddb-f5f95cdea9c1,4ef78639-8e92-4ce6-9e8e-0371ec1aebfe,c2,c4,3388,?,p2,
1769453758.0717878,CREATED,08a338e9-9ff2-48cd-9583-1395e2d4d3d1,1eadc946-8a6b-474b-9c16-95fcc18160c7,c2,c4,26,?,?,surb={'id': 'f4c24445-5d89-4766-85f8-0501099ae8c5', 'route': ['p1', 'e12', 'i8', 'x11', 'p2', 'c2']}
1769453758.1612275,RECEIVED,849bc9f2-bba5-40fa-a01a-69031a3f15cc,4cbccc80-ef5e-4688-ba58-3aafcbdf3dbe,c5,c2,27,p2,?,surb={'id': '49607bf4-96e1-4d59-a1fd-dfe57cec99a9', 'route': ['p2', 'e12', 'i7', 'x6', 'p2', 'c5']}
1769453758.228474,RECEIVED,7cb4679e-f7a4-479a-a0b6-9dbf149b09b4,0db59789-a6db-4c6f-b954-e5d68436d404,c5,c2,26,p2,?,surb={'id': 'e27e58c8-84ee-468e-8721-98bb79d5218f', 'route': ['p2', 'e5', 'i6', 'x5', 'p2', 'c5']}
