timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453749.0925543,SENT,5bd315cb-10a1-4da8-b2e1-7f5deb2ddb6c,02e25c0b-dd58-47f3-bb18-82198f020487,c1,c2,3392,?,p1,
1769453749.092715,CREATED,1901e35b-7cc0-4582-8d96-2dc9401a7ee2,0224350b-3777-47c4-ba44-24b140549830,c1,c2,27,?,?,surb={'id': '373c2b9c-fa85-4bed-b1f8-c4baabdf967d', 'route': ['p2', 'e11', 'i10', 'x12', 'p1', 'c1']}
1769453935.8992016,SENT,d8da9721-28d3-4b7f-82d2-ad5e6424058d,15a50e05-8053-47a3-a0d0-5a13aa83e2c0,c1,c2,3391,?,p1,
1769453935.8993394,CREATED,83555edf-dee6-43d1-8efa-ebcb87f69ec6,c07235e3-dfa3-4c4c-b8d9-8e4966e7c8cb,c1,c2,27,?,?,surb={'id': 'fb5b0515-c6ed-459e-9039-7ffaf60c2422', 'route': ['p2', 'e5', 'i7', 'x10', 'p1', 'c1']}
1769453936.2379405,SENT,01c4d9b0-abbb-4f57-b88a-b5090a1c1282,2d3915e2-0940-4156-9804-7043bbf57257,c1,c2,3365,?,p1,
1769453936.2380698,CREATED,096c9733-a98d-4db4-bc90-af8d1ad114cf,7db67bc8-ef32-4bd2-becb-7e4a37d1a326,c1,c2,27,?,?,surb={'id': 'f1d8cb1b-0b53-44f5-9019-12e06dd67132', 'route': ['p2', 'e1', 'i8', 'x5', 'p1', 'c1']}
1769453936.2606313,SENT,3b13c0b4-f48e-4de9-acad-66190315058f,e4dde560-48e7-4290-8a7b-d3ec0e9afb27,c1,c2,3384,?,p1,
1769453936.2607374,CREATED,706b3bee-1aea-40a5-986f-29a487455780,7455ce9a-c570-4ecc-87ef-a4021bbd9530,c1,c2,27,?,?,surb={'id': 'cc386db6-ebf3-4d76-9529-4f0b20d7c336', 'route': ['p2', 'e2', 'i4', 'x6', 'p1', 'c1']}
1769453936.4294336,SENT,9c0ca582-27c4-4258-98fd-2102e5aba1e1,74726172-4913-45ad-82a6-abad64d411a4,c1,c2,3396,?,p1,
1769453936.4295363,CREATED,e8ddac70-7c4c-4850-a5c0-061ea662c47d,ccabc5a2-117f-491f-9f91-339c90af6256,c1,c2,27,?,?,surb={'id': '6861b603-3a34-401e-b53b-37b6a8a44b69', 'route': ['p2', 'e10', 'i3', 'x6', 'p1', 'c1']}
1769453936.4435928,SENT,8c94ffe7-b7ad-4c6f-ab43-0f7d6939368f,e4a13dbe-a354-4db5-952b-af95817074b1,c1,c2,3375,?,p1,
1769453936.4437003,CREATED,40eb54b2-d083-4d31-b3d5-8fbc12327d0b,fb59569f-8fb3-460e-bdeb-e0fde3445596,c1,c2,27,?,?,surb={'id': 'b7c82591-424b-4526-bd29-c967296fb4ab', 'route': ['p2', 'e12', 'i1', 'x12', 'p1', 'c1']}
1769453936.517712,SENT,527aefa0-b337-4632-8f93-a90432d5c6f6,240c298e-b7ff-49ae-b2b3-987103985f7b,c1,c2,3385,?,p1,
1769453936.5178244,CREATED,0ee90947-d190-40f6-9c1e-99a645d43588,d8d042ee-310a-48c2-b025-b4d72742c1cd,c1,c2,27,?,?,surb={'id': 'fdffeb93-b5aa-4138-8978-d0a06ae86adc', 'route': ['p2', 'e4', 'i9', 'x1', 'p1', 'c1']}
1769453936.563702,SENT,077e81cd-ef14-418a-990e-34ebb534d93d,681ee322-40eb-44c5-9cb1-9cd6af8844e7,c1,c2,3379,?,p1,
1769453936.5638585,CREATED,1a7e3767-5c3d-4dcf-80dd-73dcf6386e37,75c0ba32-1199-4cd9-a844-9aeef68f9e69,c1,c2,26,?,?,surb={'id': '2d15fd5f-3158-4f41-8d7b-7c8d91822ca9', 'route': ['p2', 'e6', 'i4', 'x7', 'p1', 'c1']}
1769453937.0023215,SENT,313904c0-be4f-4131-8dfe-2f0679330e85,8d832121-a1de-4b32-8882-b6df582616c4,c1,c2,3375,?,p1,
1769453937.002409,CREATED,2dec127f-69ae-4590-a17a-af222ad7b9d8,acd253ba-3f12-47ee-8742-a8b3e2256d9d,c1,c2,27,?,?,surb={'id': '558bc6a9-40e4-48fd-9f40-e9a8582336ee', 'route': ['p2', 'e8', 'i9', 'x6', 'p1', 'c1']}
1769453937.1889079,RECEIVED,192507f0-0836-4e61-9aab-886a21fae75a,10455db9-60cf-4cb9-af7b-7782be28c43e,c4,c1,27,p1,?,surb={'id': '80c46366-cc90-4506-849c-cfea1e2758ed', 'route': ['p1', 'e7', 'i1', 'x9', 'p1', 'c4']}
1769453937.3647132,RECEIVED,e28da90a-f2ee-46c9-8b97-c30591b4a3a0,4cfdc7f9-a8ab-4d52-80c3-a0d9f06ec842,c4,c1,27,p1,?,surb={'id': 'c15e8950-1d53-4f75-bce3-a6d8b13e3063', 'route': ['p1', 'e12', 'i10', 'x9', 'p1', 'c4']}
1769453937.6285617,SENT,182e7aca-b1fa-4d3f-a5dc-7aa9b2e91fd2,937994f3-3201-4d3b-b956-cf07ef4ad5bc,c1,c2,3387,?,p1,
1769453937.6286392,CREATED,a4f8885f-44e6-4bd7-8618-7781c81d9250,4c80405d-3246-425e-a209-e423c49ca0c2,c1,c2,26,?,?,surb={'id': '59ab1075-40b6-4d16-a0cb-7fa77b539c28', 'route': ['p2', 'e2', 'i2', 'x9', 'p1', 'c1']}
1769453937.875899,SENT,a66c3dae-7157-4967-a1f7-19a8559b9616,d6ef11ff-0d41-49d5-b1e0-56249f04569a,c1,c2,3359,?,p1,
1769453937.8760183,CREATED,4d3e652e-be64-4038-9392-3b78ad63036b,dff6ad3d-408d-464a-bc59-c3f0d3be0c4e,c1,c2,27,?,?,surb={'id': '53f39977-bb7f-40fd-acd7-eb56e94998b1', 'route': ['p2', 'e10', 'i4', 'x12', 'p1', 'c1']}
1769453937.909032,RECEIVED,f7867f9f-7048-4c07-b12e-dd1c5ad454bf,4cc7f3c2-147a-4586-ab5c-0f6449a93544,c4,c1,25,p1,?,surb={'id': 'c64b9a94-306e-4745-81dc-25b42c33886f', 'route': ['p1', 'e2', 'i7', 'x2', 'p1', 'c4']}
1769453938.0856202,SENT,41cd2694-b9d4-4680-8c03-e92399687204,93d7a235-186e-448b-b2ac-b699baafcacd,c1,c2,3364,?,p1,
1769453938.0857053,CREATED,004465ad-2bc8-4704-b4e9-04afdac2d954,731e4842-a572-4578-b9cf-10a2f018cd7e,c1,c2,27,?,?,surb={'id': 'f1d28783-fa8c-4af3-a90d-21ff5d1d89a0', 'route': ['p2', 'e6', 'i8', 'x11', 'p1', 'c1']}
1769453938.13353,SENT,f092baf4-6d02-4f4b-9106-e02f05cee2c3,0e00763d-848e-41e9-aa71-fda6b16a80a5,c1,c2,3396,?,p1,
1769453938.1336112,CREATED,9bd7b50c-c752-4975-a624-9fc644ce403f,51df102d-cfec-4550-8503-af2eb9437079,c1,c2,27,?,?,surb={'id': '07d0e3bc-8938-4510-8ec2-b3294e27686f', 'route': ['p2', 'e12', 'i9', 'x3', 'p1', 'c1']}
1769453938.2304304,SENT,61c13cb0-09b4-4510-9079-4fb81b9346ff,1686720b-6648-46f6-9891-3c0c3bd6e98b,c1,c2,3383,?,p1,
1769453938.2305808,CREATED,74f562dd-ebad-46f8-8e46-533e822a9177,6a5645de-5c16-4d0a-b8ba-86d00630d62a,c1,c2,27,?,?,surb={'id': 'aec08be6-b094-49d7-b955-c9234af45ca7', 'route': ['p2', 'e2', 'i10', 'x7', 'p1', 'c1']}
1769453938.5616257,RECEIVED,fd497df0-24d1-4399-8c89-e5602e0e35b1,17a23620-e104-47a0-bd78-60a27ebff525,c4,c1,27,p1,?,surb={'id': '88d0bf10-b259-4a62-b172-1f60768be845', 'route': ['p1', 'e12', 'i2', 'x9', 'p1', 'c4']}
1769453939.14775,SENT,e4b38a57-a4b7-44b9-8ac3-5e5b68529a0c,0a92f453-a175-4beb-a417-e8d081414f07,c1,c2,3359,?,p1,
1769453939.1478965,CREATED,a2b9349e-9989-466d-b0e0-56563a839c20,eb6640f7-1b84-44c0-a2ce-dc4ac160fb8c,c1,c2,26,?,?,surb={'id': '27bb2056-d40b-4d77-894d-8b06ae44e020', 'route': ['p2', 'e6', 'i7', 'x1', 'p1', 'c1']}
1769453939.5391588,SENT,4cb74356-9a00-4ba0-b8c9-1b5b6220848b,f45cf531-b099-408f-8e9d-c010fd8e939b,c1,c2,3379,?,p1,
1769453939.5392108,CREATED,2b6c64cd-b0c2-49e1-b181-b2ebc06c337c,40743dcd-1bbc-479d-b0ef-e08c0700ed92,c1,c2,27,?,?,surb={'id': 'f2d37349-68e9-4bd5-94b6-57bb5e327f21', 'route': ['p2', 'e8', 'i7', 'x8', 'p1', 'c1']}
1769453939.9062812,SENT,f55831cb-9623-40ea-8264-74c3b2294577,636eb19f-f845-4b2e-a908-7ab53c216755,c1,c2,3361,?,p1,
1769453939.906364,CREATED,395d30c9-4139-468b-adf9-2ea4c01160fc,c8b55e16-909c-45e5-a626-51ff054958d5,c1,c2,27,?,?,surb={'id': '26824514-1003-46dd-9955-29c373989e64', 'route': ['p2', 'e6', 'i7', 'x3', 'p1', 'c1']}
1769453940.1065555,SENT,d422a425-5ab3-4257-a084-04dfe04a10dc,ee1c5bce-564a-4485-b92e-c6a72f5625f3,c1,c2,3401,?,p1,
1769453940.1066442,CREATED,35769b74-6add-4a2a-904a-9466c4a993dd,8f24e7e1-39b2-4f25-8276-c0c772830e38,c1,c2,27,?,?,surb={'id': '7b32dfe4-bb3d-4bfe-af95-420d6164fcb3', 'route': ['p2', 'e1', 'i11', 'x10', 'p1', 'c1']}
1769453940.1891117,RECEIVED,514e5236-2055-41b5-8987-86933b283580,3236279a-f581-47c4-aaa9-311f2bef2536,c4,c1,27,p1,?,surb={'id': 'af40f783-f24f-4ec0-a235-ad8f401b60c6', 'route': ['p1', 'e7', 'i9', 'x9', 'p1', 'c4']}
1769453940.2217715,SENT,8257ca7e-3d93-46a4-84c3-0be21c02697f,eb3fd2dc-2c33-49b8-9aea-97a546a4522e,c1,c2,3400,?,p1,
1769453940.2218518,CREATED,3fbacb9c-18d0-4e47-a8c4-2b3f86be9b9e,ccda0cda-b43d-4d41-bbee-969d8b309826,c1,c2,27,?,?,surb={'id': '9ed5a36a-0c18-428b-91e5-937b9f555424', 'route': ['p2', 'e3', 'i3', 'x11', 'p1', 'c1']}
1769453940.4998717,RECEIVED,a5efdc27-3219-43d0-b964-d48f3f84a008,2410704f-6f0e-419c-9c4f-7698c0266fda,c4,c1,27,p1,?,surb={'id': '25a6e249-3717-4772-8727-1435195e7cfc', 'route': ['p1', 'e9', 'i9', 'x1', 'p1', 'c4']}
1769453940.526218,SENT,52576100-430c-49b9-be06-775afd0e377d,f05e07c5-70ef-4136-b468-913dc05344a2,c1,c2,3391,?,p1,
1769453940.526364,CREATED,bd61e5a1-9759-4bee-81b5-f7a140a7fd70,82378c79-b129-4a61-8100-c9d1d239539d,c1,c2,27,?,?,surb={'id': '6dd71dc2-fc81-4372-a819-9d216a1f972a', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c1']}
1769453941.0960631,RECEIVED,0e6bc470-f46d-4338-9e54-10354c5f4a5b,b569cb76-074e-4423-8702-ad59d16976bf,c4,c1,27,p1,?,surb={'id': '907ea5b1-c8ef-4710-ad0b-1e755fc22423', 'route': ['p1', 'e1', 'i10', 'x2', 'p1', 'c4']}
1769453941.12364,RECEIVED,876b4edc-d004-4c27-b674-e92ca47ceda1,3455b320-86f4-4721-bbb7-ad1e27a210fd,c4,c1,27,p1,?,surb={'id': '0e5e700e-8a17-4bc7-81fe-275c4fd78566', 'route': ['p1', 'e8', 'i8', 'x2', 'p1', 'c4']}
1769453941.3261776,RECEIVED,e64c961e-cd14-41b2-a48a-d5a796570615,89f0fa4c-5e74-491c-9137-37fc464289b6,c4,c1,26,p1,?,surb={'id': '717cac0e-0617-4178-baad-f80e236e20da', 'route': ['p1', 'e2', 'i9', 'x6', 'p1', 'c4']}
1769453941.7487235,SENT,117698d4-ee15-4ded-9c66-04e43a2c04ce,1869a6a8-b7eb-4688-86a6-f8f6e5e3f099,c1,c2,3358,?,p1,
1769453941.7488096,CREATED,e10cb4b2-d206-4829-90b2-35f0fa64e83b,6fd8dcd8-b04a-4144-8262-80544c0b4a32,c1,c2,27,?,?,surb={'id': '30f7c75c-1bc0-42ea-a7cd-358775c0b3b9', 'route': ['p2', 'e12', 'i2', 'x7', 'p1', 'c1']}
1769453942.317452,RECEIVED,ffc202f6-7081-4a30-91e5-289016341b5f,d6b5b415-1f4c-425b-8f7c-484694f1e858,c4,c1,26,p1,?,surb={'id': 'd40124e1-9485-4921-ba66-0e6ab30edfb5', 'route': ['p1', 'e6', 'i11', 'x9', 'p1', 'c4']}
1769453942.368115,RECEIVED,518d8953-41b7-40ad-a6f1-c49939712d65,819c530c-68d7-4744-8f70-da50132e6d3c,c4,c1,26,p1,?,surb={'id': '300b2dee-0734-4305-9ed9-fae4890805ec', 'route': ['p1', 'e9', 'i9', 'x9', 'p1', 'c4']}
1769453942.4016669,SENT,76d067bd-3ef1-402b-9069-8fd4813740a1,de05fe18-aa8e-4774-9b14-fad01464b06f,c1,c2,3383,?,p1,
1769453942.4017756,CREATED,7bc6dfc5-6caa-42c1-b207-6462eeb41642,cfe423f4-a8af-4cac-8760-29d577b19e46,c1,c2,27,?,?,surb={'id': 'd6e2b36f-605f-44ad-8b69-86eb0834d562', 'route': ['p2', 'e5', 'i3', 'x6', 'p1', 'c1']}
1769453942.5127778,RECEIVED,7297bd31-baf8-4a3b-95e1-415ad8daa75b,8c554d14-259a-44b6-be6b-d24fb6edcc47,c4,c1,27,p1,?,surb={'id': 'b03fa34e-ae32-4974-a781-23826f321189', 'route': ['p1', 'e5', 'i9', 'x3', 'p1', 'c4']}
1769453942.5671604,SENT,2b2ebc17-d348-4c6a-9539-7bc6a896f52a,5e20b115-37b9-4dbf-99a4-c5d6e69082e2,c1,c2,3387,?,p1,
1769453942.5672803,CREATED,4f0c8a64-373c-409e-bdb3-8191fa1cc183,c63c5c8b-7590-418f-b8d7-015a138dc24e,c1,c2,27,?,?,surb={'id': '06aeb005-7761-42d2-ac52-797cb98dc900', 'route': ['p2', 'e10', 'i5', 'x2', 'p1', 'c1']}
1769453942.7017794,SENT,1a02cbe5-efab-4d62-bd5a-1a2ed0a556f1,58aabdf3-d9db-4dc9-9fbb-b7444ab35654,c1,c2,3379,?,p1,
1769453942.702683,CREATED,9e9c9eeb-afae-4c4c-b8d6-5a807ee41edb,edbd4d8a-4d5c-4538-876c-41825b6232be,c1,c2,27,?,?,surb={'id': 'c0d86344-df56-49c7-a565-6df379ca9835', 'route': ['p2', 'e5', 'i3', 'x7', 'p1', 'c1']}
1769453942.723008,SENT,57d0c9be-b909-4ace-8260-a0c28e531b56,244ee900-c6a2-47e5-844f-b902e74e776e,c1,c2,3374,?,p1,
1769453942.7231946,CREATED,919f08bb-a9d5-4bf2-a64a-2f2c75342ba0,4df3b7ce-86ec-4b25-bc3e-3d6cc01823eb,c1,c2,27,?,?,surb={'id': '2e6c1913-991f-4846-835c-ba3ff1ef4cd2', 'route': ['p2', 'e2', 'i6', 'x8', 'p1', 'c1']}
1769453943.0360336,RECEIVED,f2d9b4a7-c02c-4f2b-8516-ffe968114546,66d2fe0c-ac4e-4ae3-ae18-473803a2d2cd,c4,c1,27,p1,?,surb={'id': '97dc1cb9-41b3-4298-a129-6a2fc3f3f466', 'route': ['p1', 'e3', 'i12', 'x12', 'p1', 'c4']}
1769453943.3140795,RECEIVED,28090196-61e5-48fb-b174-8bcc75706a06,794fb33c-6bb0-41f6-8d42-2215d0a67a79,c4,c1,27,p1,?,surb={'id': '33e6d38d-f613-4810-a942-e3a6869dae05', 'route': ['p1', 'e1', 'i2', 'x5', 'p1', 'c4']}
1769453943.8324835,RECEIVED,e5c99fd4-2ab0-4ba2-8867-61257a3fdc13,426b3872-3bff-46a4-8d52-87b0e81ca3d8,c4,c1,27,p1,?,surb={'id': 'e7c76096-ae84-498d-8d29-58d08b932dd7', 'route': ['p1', 'e9', 'i4', 'x7', 'p1', 'c4']}
1769453943.9227324,RECEIVED,ee7c1a76-461a-422e-8e57-7ea95fd69fa8,a0548416-6ede-4def-aa93-1a1511997623,c4,c1,25,p1,?,surb={'id': 'ae2b9869-69f7-4dd9-bf24-074fe405de93', 'route': ['p1', 'e5', 'i5', 'x12', 'p1', 'c4']}
1769453944.1608717,SENT,616b89bc-6096-4603-b037-0e6f69304551,a4abe5d8-798a-402c-a94e-7c7d6d07d85b,c1,c2,3364,?,p1,
1769453944.1609805,CREATED,8e8ea14b-f2f2-48ce-a93c-9447880e8740,e27742e1-134c-4680-94c7-764f4b482932,c1,c2,27,?,?,surb={'id': '14121abe-cb1d-4fa9-9de3-540a490481eb', 'route': ['p2', 'e2', 'i9', 'x10', 'p1', 'c1']}
1769453944.2712095,RECEIVED,b85051c5-77ed-4e2a-b66b-c928c575c1f8,f2c1921c-af57-4a2b-b026-5ced128ac6eb,c4,c1,27,p1,?,surb={'id': '7effe5dd-23f5-4f40-9731-ba8350776008', 'route': ['p1', 'e2', 'i9', 'x2', 'p1', 'c4']}
1769453944.2942998,RECEIVED,fce8d93e-fe03-44c4-a24c-42c08170a62c,949737bf-d7f4-422a-b6fc-b7f795ec2e2e,c4,c1,26,p1,?,surb={'id': '569e137e-f9cb-49ee-8da7-03b8b0c74c1b', 'route': ['p1', 'e9', 'i12', 'x10', 'p1', 'c4']}
1769453944.6138098,SENT,7fee7861-e85e-4fae-aca6-4ba0a57468b7,31738a50-9433-4244-93d8-8032c2665fd2,c1,c2,3384,?,p1,
1769453944.613916,CREATED,fcdd87ec-1c7a-4193-a536-4bed73b548d7,72662aa9-9038-40e9-9e88-a326e0f08a4a,c1,c2,27,?,?,surb={'id': '30b57582-b195-4abe-ab87-af9905a0b778', 'route': ['p2', 'e5', 'i8', 'x9', 'p1', 'c1']}
1769453944.657717,RECEIVED,31ce66e6-e610-4b2d-98a9-8131b0a45d10,6ab75ddc-78da-43b1-94b6-1819eba95c33,c4,c1,27,p1,?,surb={'id': '70a1a773-0c63-4e96-b863-b70660c28848', 'route': ['p1', 'e2', 'i12', 'x6', 'p1', 'c4']}
1769453944.6745803,RECEIVED,6851572d-281f-44e9-9881-ea035cf8d26f,81c29534-233f-4500-a10f-007a86047fd9,c4,c1,26,p1,?,surb={'id': 'a4c364cd-2ee6-40a3-85cc-979eb69e359b', 'route': ['p1', 'e4', 'i7', 'x1', 'p1', 'c4']}
1769453945.0752685,RECEIVED,99e60438-9ca0-4648-8408-746d600ebaa2,6518ddd5-fcd8-466b-aa36-c7ca4e61a5d8,c4,c1,27,p1,?,surb={'id': 'a93a254c-92a5-4331-8284-927b2263be46', 'route': ['p1', 'e10', 'i2', 'x7', 'p1', 'c4']}
1769453945.465343,SENT,5c0da9ea-6b05-4555-8d72-9573bab2dcce,5068cbcb-8c38-492f-b02d-6bd80698566e,c1,c2,3392,?,p1,
1769453945.4654937,CREATED,f92c0f65-9be7-4abb-83e6-021b605b49fa,853fbe77-eab3-437e-80f9-7ea1b05fcfb4,c1,c2,27,?,?,surb={'id': 'c734e7bb-0726-4d7c-a3ba-bd548b3fdb39', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c1']}
1769453945.4862933,RECEIVED,379cc0b3-7229-4ff4-9767-63a3bb573657,0ac7b55f-9d15-4da0-afe8-0cc37a2ba3ff,c4,c1,27,p1,?,surb={'id': 'daf82307-8f0e-4100-ae79-b473da2762ca', 'route': ['p1', 'e8', 'i12', 'x1', 'p1', 'c4']}
1769453945.6803377,SENT,beb48f58-e7d7-496c-9cc5-66eea5305857,d4cfef6e-6719-49e3-832f-2c22a16830c2,c1,c2,3400,?,p1,
1769453945.6804318,CREATED,d4adcde4-6574-469b-8be5-9fdf2c5e4a4d,2d91e942-c0f0-4975-a12b-b00627303a2b,c1,c2,26,?,?,surb={'id': '4a9d41ca-9534-484d-9af9-d38a0d6306e7', 'route': ['p2', 'e3', 'i10', 'x10', 'p1', 'c1']}
1769453945.8811266,RECEIVED,fc27ac75-d129-4b89-8f32-229c6db78ede,6d160547-3f1d-43e0-98ec-ba17c685fc97,c4,c1,27,p1,?,surb={'id': '1500d89b-d6f2-4881-804f-4f3a511e99ae', 'route': ['p1', 'e2', 'i12', 'x1', 'p1', 'c4']}
1769453946.0020075,SENT,4e39902b-9c6a-4a77-ad5b-83ef188d4813,b50de0b4-ce03-40f7-8741-d55f5ede5f56,c1,c2,3375,?,p1,
1769453946.0021327,CREATED,36de1605-f8e0-4882-9f7c-7bae2fac516f,e132112a-69d6-4c69-ba82-c2c175ca51af,c1,c2,27,?,?,surb={'id': 'e20e96d9-28a3-4f88-82ba-3b187c5206cf', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c1']}
1769453946.036324,SENT,a1f0f959-0981-40cd-9d3e-78a85766d66a,aeeb009d-b9eb-4dd5-ad24-90e157d21e56,c1,c2,3375,?,p1,
1769453946.0364704,CREATED,28e2cb60-3bf9-4c55-ab68-a76336ccbfd7,869c7028-f51d-4d9c-8ac5-ae7828b6a732,c1,c2,27,?,?,surb={'id': 'e6ab2f73-6e0d-4268-9c1f-5da7ce6ba5c0', 'route': ['p2', 'e12', 'i3', 'x6', 'p1', 'c1']}
1769453946.2863576,RECEIVED,e1ad3e6e-f4e0-410d-9cce-4e484a39979e,1d2a7511-3dd4-4581-8050-30536df0157e,c4,c1,26,p1,?,surb={'id': '914a76f0-6b2a-48bb-8cb5-2cae93e6e96d', 'route': ['p1', 'e12', 'i8', 'x8', 'p1', 'c4']}
1769453946.3023832,RECEIVED,12fd37aa-940c-4d92-93b8-e63dff8a02d4,30e62e7b-3bd1-4ea5-b668-088b94676c3e,c4,c1,24,p1,?,surb={'id': '9aa9274a-ea99-4203-8125-2bad1a0f4d40', 'route': ['p1', 'e5', 'i8', 'x11', 'p1', 'c4']}
1769453946.4098816,RECEIVED,359c994e-90c5-472b-b417-9d0337c1bb6f,fecc9992-4baa-438d-b631-d2c4fbc2911a,c4,c1,27,p1,?,surb={'id': '33e9d811-6ced-4aad-805f-cc2361a1c680', 'route': ['p1', 'e1', 'i3', 'x4', 'p1', 'c4']}
1769453946.576798,SENT,c54ba2ee-8858-4a5b-b00e-7d4a1394625c,374bba4d-6802-411a-87b6-60f830819f86,c1,c2,3393,?,p1,
1769453946.5769458,CREATED,e182ab1b-54c7-4dc5-bb9a-c94584de95e9,a9fca8cf-f65d-43a1-ba72-fe54fb815e4f,c1,c2,27,?,?,surb={'id': 'ddd4a8bc-5ea7-456b-81ef-42234ae9abe8', 'route': ['p2', 'e6', 'i1', 'x6', 'p1', 'c1']}
1769453946.6800082,RECEIVED,36cea6b5-00b4-4402-9db2-fd3429cf8db0,e88702e2-b92b-4ac4-9062-f75663f98450,c4,c1,26,p1,?,surb={'id': 'ee214637-0e82-4955-b240-1d5a09cfbaa7', 'route': ['p1', 'e6', 'i12', 'x11', 'p1', 'c4']}
1769453946.7019699,RECEIVED,40bc7048-001d-4385-a48c-54c12ad6b5df,e2030778-6e0b-4777-9344-d76c4949fe43,c4,c1,27,p1,?,surb={'id': 'fd71c239-aa33-401f-8911-f4d2baf80bee', 'route': ['p1', 'e10', 'i5', 'x4', 'p1', 'c4']}
1769453946.7189484,SENT,1b37bbd0-3de9-4485-a361-23faa914e0f9,b34f17a2-faf9-4fc9-9504-34f49e4b9b90,c1,c2,3361,?,p1,
1769453946.7191436,CREATED,c8b2c837-8ecb-4ce0-ba05-92d46f8ede86,61afb385-a60d-4ab0-a63c-1533dbedea90,c1,c2,27,?,?,surb={'id': '2382ca88-fce3-43d1-97b9-6b93c34b3a7d', 'route': ['p2', 'e10', 'i4', 'x1', 'p1', 'c1']}
1769453947.0239177,RECEIVED,fa67585e-7b09-4bde-b567-fa2af769d5ee,07c2eeff-28a6-4214-8b48-95a0ee16a54e,c4,c1,27,p1,?,surb={'id': 'b3372e7c-098f-4581-920c-d232d8cbfe47', 'route': ['p1', 'e12', 'i11', 'x12', 'p1', 'c4']}
1769453947.994361,RECEIVED,75997690-6382-4bce-b911-f552aa6f3ec4,7701cc26-4ab4-4316-937c-255af0e46f7d,c4,c1,27,p1,?,surb={'id': 'a2a9b608-568f-48a9-b4c5-59e7c4fa6db8', 'route': ['p1', 'e9', 'i1', 'x9', 'p1', 'c4']}
1769453948.5786653,RECEIVED,ebe551e2-73f2-4975-a283-08f6f1b72cd0,e43b4e51-c42b-44aa-b7a2-f0869708e187,c4,c1,27,p1,?,surb={'id': '2bd64384-b511-4e5e-89ca-c97f9a905cb0', 'route': ['p1', 'e8', 'i3', 'x2', 'p1', 'c4']}
1769453948.6070294,RECEIVED,3bea604a-6f1a-4f90-82c4-24b32ffa2853,62187e9b-b543-4472-831b-36d3d208ba7b,c4,c1,27,p1,?,surb={'id': '6dc4f4ae-b040-40cf-8b59-8c908ecc34bb', 'route': ['p1', 'e7', 'i10', 'x12', 'p1', 'c4']}
1769453948.9770179,RECEIVED,67d864df-2102-45b9-95aa-1921ac817fef,8cae8526-4877-43fd-b9e9-584459b422d8,c4,c1,27,p1,?,surb={'id': '58150b3e-beed-41be-b9b1-c599bcf476b2', 'route': ['p1', 'e10', 'i6', 'x12', 'p1', 'c4']}
1769453949.7266192,SENT,bdd977f1-f1f0-49d0-b6dd-314bdfaab5b2,b8dfa63f-f34c-4aa1-aecd-2e1720f353ef,c1,c2,3384,?,p1,
1769453949.7267668,CREATED,b36a71f6-f649-4f1a-841d-fb6fd40cfda0,d38bca23-4752-40ee-bf18-14382ee1505d,c1,c2,27,?,?,surb={'id': '5dfff937-557e-4989-ba06-e2cc54f5c96d', 'route': ['p2', 'e10', 'i12', 'x7', 'p1', 'c1']}
1769453949.8323069,SENT,bb17744f-80d9-4568-abd8-70e1805d86e0,3678849f-0eda-4e68-a20c-a51ddac768c6,c1,c2,3392,?,p1,
1769453949.832381,CREATED,909ac9d5-c57d-476b-8574-e66912e29820,2c512b41-2cee-4945-b21c-d54389439a9b,c1,c2,27,?,?,surb={'id': '8bbbdfc2-8736-4c5f-a369-cef36585e28b', 'route': ['p2', 'e10', 'i9', 'x12', 'p1', 'c1']}
1769453950.1664124,SENT,a7e3812f-9a77-41d4-afdf-2c6e56b87a0c,5cec9483-9579-4d23-a3d3-14e6316557c1,c1,c2,3379,?,p1,
1769453950.1665602,CREATED,3efbacfc-6f48-488a-a794-19352c8a4292,32fa1fbf-4e2a-4add-af1a-d4994e70918d,c1,c2,27,?,?,surb={'id': '45a74948-53d7-4ff3-ab8c-8f07f2f3d54a', 'route': ['p2', 'e1', 'i8', 'x2', 'p1', 'c1']}
1769453950.3368168,SENT,f71e5b76-1755-49c3-a90b-95eb621cf74b,173d1ad6-1eba-4abf-ab7c-36f45ef7c470,c1,c2,3407,?,p1,
1769453950.3370743,CREATED,f8499875-92d1-4e4d-af59-69bf82d2bef2,c6ab45b3-151c-461a-916e-ee2733d0c614,c1,c2,27,?,?,surb={'id': '9b3f6da2-4585-4d65-9a74-e328175784bf', 'route': ['p2', 'e12', 'i3', 'x3', 'p1', 'c1']}
1769453950.540555,SENT,c4e50a99-398f-4d4b-a751-f55df4f5fb46,b7552ee9-6516-4b95-86ca-4e934975c903,c1,c2,3376,?,p1,
1769453950.5407043,CREATED,bcc707cb-4dda-4bce-bda4-f7c451da6eba,f86c6f93-f2ab-42bf-a9ad-7d9017a88476,c1,c2,27,?,?,surb={'id': '6d7e6dee-5413-4d75-aacf-9a53f9a261dd', 'route': ['p2', 'e4', 'i2', 'x7', 'p1', 'c1']}
