timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394428.5333169,SENT,8424410f-f218-4981-902b-8303ff71a31d,08e7b563-3256-4cbb-9019-c26d88e5e347,c4,c2,3371,?,p1,
1769394428.5335877,CREATED,1c1e9678-6e77-44f4-bf17-f7cb578d45b6,f0fd94c5-3a39-49a9-bfc8-7db3bdfdba05,c4,c2,26,?,?,surb={'id': '49e4977f-a70d-45fe-9620-a145d6c854a5', 'route': ['p2', 'e9', 'i8', 'x8', 'p1', 'c4']}
1769394428.5430233,RECEIVED,104e2f08-bea5-4b8c-bbef-c656f3d3452c,e138df79-4799-4c2d-b5e1-11ff15b7d740,c5,c4,27,p1,?,surb={'id': '104a3347-9694-4b69-ad49-6287d2d96306', 'route': ['p1', 'e1', 'i9', 'x5', 'p2', 'c5']}
1769394428.6284642,SENT,0f605ab0-7784-446f-9212-6e49b6727e8c,d2df093c-e760-45cf-a5aa-a31a290defe7,c4,c2,3389,?,p1,
1769394428.6288188,CREATED,1cafe521-d6b1-4f38-9cee-c7fa3bab6533,5e52a499-14f0-4611-8245-e901f3ad2ac1,c4,c2,27,?,?,surb={'id': 'cd90c23b-06e4-466c-b17a-8acafb87ec33', 'route': ['p2', 'e10', 'i9', 'x5', 'p1', 'c4']}
1769394429.1172628,RECEIVED,a52ba36e-540a-4a1b-a42c-e076493231e4,fab1b4da-35d5-4418-b208-4351368663f7,c5,c4,27,p1,?,surb={'id': '4ab53120-8ad4-4ac5-9076-39daa451da77', 'route': ['p1', 'e11', 'i1', 'x12', 'p2', 'c5']}
1769394429.2457097,SENT,5a433c57-4733-41de-9159-90309c6f1b38,6c0dcef2-ab51-40b2-b60d-e1b548fb2e5b,c4,c2,3387,?,p1,
1769394429.24587,CREATED,e2ef3c59-9537-4027-85dc-d53dbde3f734,c19f926f-5f66-4582-8739-98b3e0881886,c4,c2,27,?,?,surb={'id': '26a1ea38-6e2b-454b-82a9-158128c6f2b2', 'route': ['p2', 'e12', 'i11', 'x4', 'p1', 'c4']}
1769394429.5185807,SENT,2b7de524-7b56-488c-814a-1b7c9bdbe19b,1a64d06f-9612-4526-b975-d7bfdea935b5,c4,c2,3391,?,p1,
1769394429.5187566,CREATED,22830666-de40-416d-b48e-44b1d184cf71,6619c325-26b6-4865-a57a-034e938745a8,c4,c2,27,?,?,surb={'id': '0f2a821e-8e4d-4dcc-be8d-d1dbf8042b68', 'route': ['p2', 'e3', 'i11', 'x5', 'p1', 'c4']}
1769394429.794822,RECEIVED,3835866e-23b8-4d61-9601-03a7f934466d,e4c25408-c228-40be-9bc2-faf6a63afce0,c5,c4,27,p1,?,surb={'id': '9e002a00-a4ec-485c-ba01-353ecef42763', 'route': ['p1', 'e4', 'i11', 'x1', 'p2', 'c5']}
1769394429.8917305,RECEIVED,5e444fc0-3dfd-48ac-be61-e8fb1f6e584d,065c2fcc-5f63-452c-961c-5b1c57fdfad3,c5,c4,27,p1,?,surb={'id': 'e2446fa8-9f0b-4348-bea7-ff3fb4759e77', 'route': ['p1', 'e2', 'i4', 'x6', 'p2', 'c5']}
1769394430.0066872,RECEIVED,0e9c15db-cf5d-4381-ad9a-241f2c6f28e7,c4c22451-cab1-47cd-9b9b-2259b2681f31,c5,c4,27,p1,?,surb={'id': 'a344f518-39da-4a3f-8dfe-cec49f8f03a6', 'route': ['p1', 'e11', 'i5', 'x6', 'p2', 'c5']}
1769394430.2795763,SENT,f68838e2-515c-4fa0-82ca-074c493322f7,03df8790-129b-4221-8911-34bf45c7da15,c4,c2,3385,?,p1,
1769394430.2797174,CREATED,37a2e14a-80cc-4c2a-a2cb-219d76e28b26,9f8f9498-2e12-420c-9252-f5f34d037b40,c4,c2,26,?,?,surb={'id': 'a022373a-e161-4cdb-8ff8-23f789a3050c', 'route': ['p2', 'e12', 'i8', 'x9', 'p1', 'c4']}
1769394430.5010738,RECEIVED,4b9fbcc5-abbb-455a-b011-6fc649a50784,c20662aa-9d57-4cec-ab1f-40b7029cf30c,c5,c4,27,p1,?,surb={'id': 'ca846804-09d1-4729-8c6a-7fd2fef036b9', 'route': ['p1', 'e9', 'i6', 'x10', 'p2', 'c5']}
1769394430.961096,SENT,92048c07-db8b-47e7-9eff-bea7ee4e2626,9723fd4b-c9e4-4bb5-9405-b77ad23d8b88,c4,c2,3379,?,p1,
1769394430.9612503,CREATED,17dd308f-bcc1-41da-b227-e51a8659e170,e979c548-138e-4341-82cd-93b4394451da,c4,c2,27,?,?,surb={'id': 'cf9f538d-8ba6-4083-9847-bf9c8fdd0f95', 'route': ['p2', 'e4', 'i5', 'x5', 'p1', 'c4']}
1769394431.0137556,RECEIVED,af43d126-09d5-496a-be16-abf535d1d75b,28e11791-0006-445c-be84-d9a214b3d467,c5,c4,27,p1,?,surb={'id': '00c9a7a1-788d-4667-8016-431e0188e2b8', 'route': ['p1', 'e5', 'i2', 'x3', 'p2', 'c5']}
1769394431.2638419,SENT,502aac95-5397-4311-9307-02a2d0853b93,c06f197e-5de5-4731-8eed-162ab6f61acc,c4,c2,3388,?,p1,
1769394431.2639935,CREATED,d5f9a98e-e545-4a08-9065-58443c75c771,3414ffdc-c581-4290-ad38-bf73ed7fecba,c4,c2,27,?,?,surb={'id': 'e33a70d6-0a9b-471a-b180-88babe6dee7a', 'route': ['p2', 'e12', 'i10', 'x12', 'p1', 'c4']}
1769394431.4215739,RECEIVED,983d2624-8dc9-4afe-94a0-23fbe2bc0e9b,3ace2e6a-dfba-4fbe-ba3f-f7477ec3c612,c5,c4,27,p1,?,surb={'id': '6cde08ea-f5c5-4a36-b047-0c5f0045159e', 'route': ['p1', 'e12', 'i1', 'x12', 'p2', 'c5']}
1769394431.5837018,SENT,74d1fca3-845e-47ba-94e1-3dd277c0e643,bd449c42-b181-4dce-8c77-7bb9ee741605,c4,c2,3380,?,p1,
1769394431.5838816,CREATED,493e1fe5-d610-4ead-a57e-82012d33d23c,170b2631-8cfa-4225-bac9-2849a53c7b56,c4,c2,27,?,?,surb={'id': '62790335-f331-41cd-b197-4f979a2fa90c', 'route': ['p2', 'e2', 'i6', 'x2', 'p1', 'c4']}
1769394431.6751378,RECEIVED,b497f7f8-bc5f-43fa-9141-ab1d95c44ee5,5b10fece-b8c9-4ca8-bf9f-2298cd7bfeef,c5,c4,27,p1,?,surb={'id': '51b718a1-70d2-4bd2-ac1d-d245fac6d406', 'route': ['p1', 'e2', 'i3', 'x9', 'p2', 'c5']}
1769394431.9071016,SENT,a52f92f6-5e09-4dc2-b08d-2c6a6e7fe4eb,8ee39ff3-eab1-4834-8807-157360d2ceb6,c4,c2,3388,?,p1,
1769394431.907255,CREATED,95e9defd-310a-405b-a26f-59677209636c,1cdfcdc4-d383-4716-a165-88e8444cdb74,c4,c2,27,?,?,surb={'id': '4bce2803-1ee0-415f-a006-933460ab6a00', 'route': ['p2', 'e7', 'i12', 'x10', 'p1', 'c4']}
1769394431.9162962,SENT,332ae120-c802-479c-8055-7db684eb01f4,c2c92dc0-9ad7-42f5-8f1e-393335a3589f,c4,c2,3378,?,p1,
1769394431.9163926,CREATED,f06a9e8b-b087-48f7-80c5-79ab97155354,91dbd4ff-ac89-4eed-8589-0bfc452b0992,c4,c2,27,?,?,surb={'id': 'c8959f39-cfab-477d-89f0-3a25e3355590', 'route': ['p2', 'e6', 'i8', 'x7', 'p1', 'c4']}
1769394431.9889657,SENT,a0a78a13-c24a-4e7c-83ea-875c09953752,34e8377c-b3fa-4b0d-b0d1-43b85861e461,c4,c2,3387,?,p1,
1769394431.98903,CREATED,3280ee5a-57bb-4f6f-89a2-d0ae1d2f8528,2e3fd8da-5b34-4cdb-b79c-be9033b875ec,c4,c2,26,?,?,surb={'id': '76332e75-6a74-4488-9a4e-9e13cc023fc7', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c4']}
1769394432.4269967,SENT,bb76d18f-6f94-4008-8bbe-82b4a4575506,5801575b-6393-4590-9bd3-078229109bed,c4,c2,3387,?,p1,
1769394432.4271758,CREATED,04bdf512-74e0-4c11-b239-62dcfcf83000,75981352-9558-4f24-b8e2-14da11299237,c4,c2,26,?,?,surb={'id': 'd368d6a4-029d-46af-9896-10187a9779c6', 'route': ['p2', 'e3', 'i7', 'x3', 'p1', 'c4']}
1769394432.692353,SENT,98d57106-f089-4120-a476-a038a5255b9f,a10b5677-a3e3-41f5-9d83-13ae1445b1c1,c4,c2,3379,?,p1,
1769394432.692494,CREATED,8bb06e41-21ff-4d02-bdb1-c6ff02acae81,40bca4c7-e385-4015-a97a-6c0b6dfcad1b,c4,c2,27,?,?,surb={'id': '578325b0-552b-40ab-81b5-7df6968cbd9f', 'route': ['p2', 'e9', 'i7', 'x2', 'p1', 'c4']}
1769394432.7795823,SENT,69b17665-70d1-4689-a646-e703cbe0782f,93cd0aa1-5036-4997-84cf-78079a0ecda2,c4,c2,3376,?,p1,
