timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495089.4117239,RECEIVED,6c2b8fbc-d66c-4662-8052-0ae42a3ea2d3,bed0d64a-a028-40f9-ac82-25f587b0f1bd,c4,c3,27,p3,?,surb={'id': '8e5001a7-98f4-4878-8bc6-29df24b48bd8', 'route': ['p3', 'e12', 'i3', 'x1', 'p1', 'c4']}
1769495089.5650287,SENT,c52d2d8b-194d-45f2-91ce-6747b0ce8b6e,6d9a9787-0199-4e80-9962-2627e1f3173c,c3,c4,3356,?,p3,
1769495089.5656989,CREATED,e7d19e1b-58b3-473c-8986-d0dcb3cba50c,d8e3edde-aaf0-40f9-8e86-634ad3650536,c3,c4,26,?,?,surb={'id': '22cb56a8-d07b-45b7-ac23-d8fb47028bd2', 'route': ['p1', 'e1', 'i1', 'x6', 'p3', 'c3']}
1769495089.82364,RECEIVED,1ed0bc6f-c15b-497b-b894-a9a9c35c8afb,a09285ff-a26c-4688-98c1-fa6ba108301e,c4,c3,27,p3,?,surb={'id': '214aef20-706c-4bd7-970e-ed5e7cfcebc2', 'route': ['p3', 'e9', 'i1', 'x6', 'p1', 'c4']}
1769495089.8569624,RECEIVED,caf4fe0c-8a24-4a8d-8c47-1e1494a15391,6f30e3e3-a560-4e5d-a911-9afafb727993,c2,c3,27,p3,?,surb={'id': '254b1c51-8a11-49c4-bf2b-24a7de8cd03a', 'route': ['p3', 'e1', 'i1', 'x3', 'p2', 'c2']}
1769495090.1781292,RECEIVED,c4efa989-39fc-46af-8fa2-1f777860984f,df7084bc-7493-41e7-add6-7515653c1fee,c4,c3,27,p3,?,surb={'id': '060e33a0-7425-41dc-924c-8f8b0e4aa208', 'route': ['p3', 'e7', 'i5', 'x2', 'p1', 'c4']}
1769495090.3302896,SENT,288fa62c-56b8-4002-9d02-b7539b2a40fd,90e69880-3503-4820-8c03-d1b69bfe6030,c3,c4,3384,?,p3,
1769495090.3304439,CREATED,ec0a1dbc-3c42-47cb-a643-ee5f54d80ccd,a3bb4125-56f9-430a-93cf-8097f60f9d5b,c3,c4,27,?,?,surb={'id': '22d0fe18-8a8c-4d3b-9789-07a08828217a', 'route': ['p1', 'e10', 'i2', 'x1', 'p3', 'c3']}
1769495090.4598622,RECEIVED,f47a6557-11fd-4d66-b7de-29531577a027,30367bb5-6c19-4f22-a04a-0e471f715580,c2,c3,25,p3,?,surb={'id': '2df44554-834b-4e53-9447-3021265c82cd', 'route': ['p3', 'e3', 'i11', 'x7', 'p2', 'c2']}
1769495090.572512,RECEIVED,8b61350f-6385-4a56-949f-dcda55291026,9c6544a1-0d2f-45f6-a68c-d6a499ef1886,c4,c3,27,p3,?,surb={'id': '3946dd44-b76f-405a-b959-c08cd9eaa118', 'route': ['p3', 'e2', 'i7', 'x2', 'p1', 'c4']}
1769495090.8474104,RECEIVED,aa73a9f6-24b2-4b69-8b48-b8f63fc59787,6bb61817-5190-417f-ae44-93cf39fe923b,c4,c3,27,p3,?,surb={'id': 'e5111a1f-31b2-47d3-bb99-d37c5688d4ed', 'route': ['p3', 'e10', 'i5', 'x11', 'p1', 'c4']}
1769495090.9006393,RECEIVED,ea72b331-83bf-40c0-a714-5fc8f76e9c8e,31661204-f7a4-46dc-82de-2458e43b7fd5,c4,c3,27,p3,?,surb={'id': '2e868184-b253-48f4-a510-decd4655e5e7', 'route': ['p3', 'e7', 'i3', 'x4', 'p1', 'c4']}
1769495091.0052443,SENT,fbbb8cee-d3c9-400d-983e-eeadd2f90eef,58816ed4-9ec8-4a4d-bf4f-82ece4df42a0,c3,c4,3383,?,p3,
1769495091.0053887,CREATED,df0ae0f2-f35d-443b-8a7a-541f6292a997,d7a572f3-8651-4de9-9851-6ba11d09c525,c3,c4,27,?,?,surb={'id': '973ff242-3d10-4374-bf9d-2a024f88af36', 'route': ['p1', 'e2', 'i2', 'x5', 'p3', 'c3']}
1769495091.2077153,SENT,0fddca02-4c42-4122-83a8-99310e99a411,a767a32b-0cc3-442c-abea-999da718743a,c3,c4,3399,?,p3,
1769495091.20786,CREATED,6ef79a5c-db44-4f1e-bf12-2449cfa69a5b,a663cb43-52fa-4ffe-aa33-994fa25383d7,c3,c4,27,?,?,surb={'id': '888f637b-18fa-4457-97ec-44aaa0e0c6f4', 'route': ['p1', 'e9', 'i11', 'x4', 'p3', 'c3']}
1769495091.2283237,RECEIVED,13587aa6-4f03-49e1-a455-60598b416e4f,d8f2d865-8edc-4711-b540-4a130801811b,c2,c3,27,p3,?,surb={'id': '1d39e537-22cf-4169-8ae8-a02d63db3765', 'route': ['p3', 'e8', 'i9', 'x1', 'p2', 'c2']}
1769495091.352951,SENT,35268a72-df17-41ed-8072-588b572c6622,53179471-3855-4013-a222-eaaeb60d2efd,c3,c4,3392,?,p3,
