timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742374.2338805,RECEIVED,d3d36ea4-dc34-4cee-92e3-1d00a525a86d,acba1e95-07f1-4370-bfb0-e1390d6b6d86,c2,c5,27,p2,?,surb={'id': '5a1b7802-df25-408e-a1c1-5ad41cda849d', 'route': ['p2', 'e9', 'i3', 'x9', 'p2', 'c2']}
1769742374.2753444,RECEIVED,b4f90e79-a49b-43a6-9543-e5a51a66fbac,50051924-ce3b-4b3a-a146-e1ad8d5600c1,c1,c5,27,p2,?,surb={'id': '44b1d134-8fa0-4e0a-8828-491be018980b', 'route': ['p2', 'e2', 'i9', 'x6', 'p1', 'c1']}
1769742374.315287,RECEIVED,b16acbd6-dc3a-486c-b406-501768175b55,085ee28b-0047-482a-b818-f2e38b1aefd1,c1,c5,27,p2,?,surb={'id': '4dc11818-6234-42fd-a22d-6197a6db6f3c', 'route': ['p2', 'e2', 'i8', 'x2', 'p1', 'c1']}
1769742374.3592796,SENT,6cd08eed-a596-4160-93c5-01e54e456b9e,b8173f1f-432a-44fd-8ba2-216380c24ef3,c5,c3,3382,?,p2,
1769742374.359408,CREATED,793b4b8a-8007-4427-8fe5-567504c39782,46b14fa0-efe3-47cd-bf24-3b64a27a292f,c5,c3,26,?,?,surb={'id': '24d8d724-659a-491d-9d68-907d46fafd22', 'route': ['p3', 'e7', 'i3', 'x8', 'p2', 'c5']}
1769742374.5758374,RECEIVED,ed7bab77-fb4c-40a5-8e9b-b2587f74a0ac,de94999f-725b-4bb1-bdcd-21926a3fede3,c2,c5,27,p2,?,surb={'id': 'ea586d71-2931-481a-aeaa-7e08ebbf2e0d', 'route': ['p2', 'e10', 'i6', 'x7', 'p2', 'c2']}
1769742374.6786335,RECEIVED,091d395a-482a-4ba9-ba87-97775e820a9c,be7c9e53-9b62-4220-8ce4-dd8facb26b1b,c1,c5,27,p2,?,surb={'id': 'c10c1581-967f-429d-afdb-ef627ab6b5f0', 'route': ['p2', 'e3', 'i10', 'x10', 'p1', 'c1']}
1769742374.7618186,RECEIVED,75bcdff9-6a04-4780-a324-f15c95b76ccb,74c2d41b-f91b-478e-a2ba-a62a573109ea,c2,c5,27,p2,?,surb={'id': '23bccce6-0e13-4fb8-aac8-6b833d7a8847', 'route': ['p2', 'e8', 'i4', 'x10', 'p2', 'c2']}
1769742374.8184001,SENT,f254d9dc-e6ab-4850-9435-3aa3c581e8f3,3d70829f-04f5-4ada-a6d5-b91af0f41b12,c5,c3,3393,?,p2,
1769742374.8185313,CREATED,cc683371-65d8-470a-9f6e-387144c54c15,5215fc35-3f90-470b-b7be-2adb69a1053d,c5,c3,27,?,?,surb={'id': '25bde90a-0322-4bea-8adc-edca75bab87f', 'route': ['p3', 'e8', 'i12', 'x11', 'p2', 'c5']}
1769742374.8376768,SENT,f652a054-87de-4d20-88c3-9c524ab8fc00,8d07d469-b10d-4249-93bd-64d0208b48b1,c5,c3,3370,?,p2,
1769742374.837808,CREATED,40f57c39-bad4-490c-a7df-3abed3959d90,e32c5575-85a6-4fa1-bcb8-9a67e8fe4f84,c5,c3,27,?,?,surb={'id': '340d402d-d450-43d3-a916-de60013307d2', 'route': ['p3', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769742374.8761199,RECEIVED,6b18e54f-fe04-48bd-87d3-45692a8af9e8,81e163eb-0aea-4598-9a6e-57077e013b62,c2,c5,27,p2,?,surb={'id': 'e3b56d78-c0aa-4d48-86c7-0627ba333977', 'route': ['p2', 'e12', 'i9', 'x2', 'p2', 'c2']}
1769742374.9434273,RECEIVED,080ab330-2597-4f51-8299-122e28454d3b,394d608c-eaca-4b33-af63-7bfecc1c83bf,c1,c5,27,p2,?,surb={'id': '26cef530-d5e0-48f6-b611-0eed55e96d3f', 'route': ['p2', 'e4', 'i9', 'x7', 'p1', 'c1']}
1769742374.9652436,RECEIVED,5d9e5430-e185-429a-bd2e-1fa4741e8362,d9049454-215f-4afc-a579-6683ca724095,c2,c5,27,p2,?,surb={'id': '8c7c7794-4cd5-4af7-b4d1-f007025e2602', 'route': ['p2', 'e6', 'i12', 'x8', 'p2', 'c2']}
