timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755940.186347,CREATED,48bbec21-d560-48e9-8a2c-b40b3d5b6c9c,acb0d925-cae6-4eae-85cd-7e7700ea0ea9,c2,c4,26,?,?,surb={'id': '5a6d81d1-c01a-436a-a973-184c2a8a526b', 'route': ['p1', 'e10', 'i4', 'x5', 'p2', 'c2']}
1769755940.9427164,RECEIVED,e1697065-c9d5-4478-9121-05d936e25474,7b26fd39-2f14-4ce4-9ad5-152a5333b715,c4,c2,27,p2,?,surb={'id': 'e5251815-aa15-459e-ac58-080c2ada0a41', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c4']}
1769755940.9493034,RECEIVED,081c3ceb-67b9-4732-b6cc-1fd31c8ca789,094fe861-2d5f-401f-9bfd-5ee9a0383ed6,c3,c2,27,p2,?,surb={'id': '96685524-2531-4699-9b4c-9e60936bac99', 'route': ['p2', 'e6', 'i4', 'x10', 'p3', 'c3']}
1769755940.9730024,RECEIVED,ade3c26d-0c99-4eb7-8490-805a5dc0e3d0,ac5cbee5-1016-49d1-bf82-f2f45e22b389,c4,c2,25,p2,?,surb={'id': '9730544b-c729-4424-8cbf-a8e521de2c6b', 'route': ['p2', 'e1', 'i10', 'x2', 'p1', 'c4']}
1769755941.005635,SENT,140cfa43-f052-4947-9949-973e18db1b7c,79877f78-c8a4-48e4-a181-a949c93b91b5,c2,c4,3388,?,p2,
1769755941.0057666,CREATED,7e5b493e-0c89-4a4b-82b5-ccc9c42e37e4,229f0db4-a994-41b7-9427-6be9d8170a42,c2,c4,27,?,?,surb={'id': '1cc8a60e-317a-491d-b754-ee5541816522', 'route': ['p1', 'e2', 'i9', 'x7', 'p2', 'c2']}
1769755941.1023352,RECEIVED,82c714d4-9451-4f36-831e-02179afa1c6d,d1201a9c-9bc3-4a9f-96c8-6364bead1eac,c3,c2,27,p2,?,surb={'id': '01a93ab2-295a-41ef-938c-152cd9ca2100', 'route': ['p2', 'e9', 'i5', 'x4', 'p3', 'c3']}
1769755941.3562975,RECEIVED,c46bb3f9-cc3d-46f8-a4b3-b3aff6c70376,f520b055-5e75-43d1-820a-e292a1cbba10,c3,c2,27,p2,?,surb={'id': 'c329d523-3b54-4b8a-b9e5-1bcaaa74cef8', 'route': ['p2', 'e11', 'i10', 'x4', 'p3', 'c3']}
1769755941.4616926,RECEIVED,9cfc92c3-9ce6-42a1-9fe7-3fd594327511,2418b315-6296-4871-ac1b-f1e6d2360e16,c3,c2,27,p2,?,surb={'id': 'b123f56c-b7c5-42c3-b3cc-6bbf6a2a0eda', 'route': ['p2', 'e4', 'i2', 'x12', 'p3', 'c3']}
1769755941.4836724,RECEIVED,2bed486b-2a9d-4c24-add8-b5a8dae70847,9b900f87-4760-43b2-a318-d8fefb3d99a9,c4,c2,26,p2,?,surb={'id': 'f3403fa5-29a0-41c1-befb-b1dcfc44b6e7', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c4']}
1769755941.545426,RECEIVED,e65f83d7-5c2e-4526-a89e-7efcbb19a3e7,803705d0-a3a3-417c-9ad3-bb83b0bac959,c3,c2,27,p2,?,surb={'id': '54da28f2-22a7-4c90-bc91-a5b87f8767cd', 'route': ['p2', 'e3', 'i3', 'x3', 'p3', 'c3']}
1769755941.6348107,RECEIVED,d5a3dfb5-8e7d-45ac-895f-c81fbe7781aa,ce6e272a-07a3-4b32-8f7e-842155ad365c,c3,c2,27,p2,?,surb={'id': 'de08ca04-9b5b-44dc-84ce-aa914c21f656', 'route': ['p2', 'e4', 'i4', 'x9', 'p3', 'c3']}
1769755941.6653345,SENT,756e17c9-389c-4609-a6de-d600b595b4a1,e3f49942-efe0-4687-ad26-2999f95900ee,c2,c4,3364,?,p2,
1769755941.6654682,CREATED,dce3500c-8913-4e6b-a251-9c1dac432e91,87ad5866-91fd-411e-aed0-a6a8b7cdc557,c2,c4,27,?,?,surb={'id': 'e217afc9-e313-4348-a34b-c3773fd868f2', 'route': ['p1', 'e8', 'i3', 'x7', 'p2', 'c2']}
1769755941.8457506,RECEIVED,8c5f5b90-8cba-4753-b296-2634773364e8,bfae5e5b-be0c-451b-8151-6f78783bfbe3,c3,c2,27,p2,?,surb={'id': '45b3c166-8eee-458b-9f34-f53600004505', 'route': ['p2', 'e11', 'i10', 'x11', 'p3', 'c3']}
1769755941.8721347,SENT,7a1b8822-0b7a-4045-a0d2-05ec3f5c7755,3c28f487-f332-4118-b7e4-63ada163bc16,c2,c4,3379,?,p2,
1769755941.872269,CREATED,acf88387-92af-474d-8173-d51b5ed8b219,673c8779-b942-4444-9276-2e6560302e7f,c2,c4,27,?,?,surb={'id': '5b69bddd-49d1-42c1-9012-83a983f2f236', 'route': ['p1', 'e1', 'i6', 'x6', 'p2', 'c2']}
1769755942.0018113,RECEIVED,3811c3c1-9d45-4857-ada0-37cc39e195e7,3d816d79-517a-41b6-961f-9da23c06db29,c3,c2,27,p2,?,surb={'id': '5d19944f-3277-4fbf-b60e-544eb659d0b3', 'route': ['p2', 'e7', 'i8', 'x2', 'p3', 'c3']}
1769755942.049008,RECEIVED,19dbecfe-7849-4990-ad4b-55cf8f9753ce,e699c965-125b-4011-a0fc-37ce1978ed83,c3,c2,27,p2,?,surb={'id': '65d26acf-1a04-4455-b2d3-2ffc5a08af5a', 'route': ['p2', 'e1', 'i2', 'x9', 'p3', 'c3']}
1769755942.2860267,RECEIVED,d49ea1d0-fdc5-4a4f-b1ba-3296de9b6b57,47927faa-c129-408b-8788-0398113654c2,c4,c2,27,p2,?,surb={'id': '3f4b4940-eb36-4242-b47c-d6bb36884184', 'route': ['p2', 'e4', 'i5', 'x9', 'p1', 'c4']}
1769755942.3659897,RECEIVED,63ab2336-6381-431c-b54c-89f3238647c8,4bc83c79-cc07-430e-ada5-74ade8c4e792,c3,c2,26,p2,?,surb={'id': '2a639b94-0fa4-4328-aeb9-342e696ab399', 'route': ['p2', 'e12', 'i9', 'x3', 'p3', 'c3']}
1769755942.419369,SENT,6bb6ba6e-d722-4772-ad46-66f5e9552729,1c482149-167e-475f-b810-2dc5f639fd88,c2,c4,3395,?,p2,
1769755942.4195008,CREATED,7f9c6d0d-a624-4008-afca-b91a67c19128,d3a6f8e1-bb18-400a-8e83-f5424bf411e4,c2,c4,27,?,?,surb={'id': '3f6b6534-7aca-497d-b244-0da11459b34e', 'route': ['p1', 'e1', 'i7', 'x11', 'p2', 'c2']}
1769755942.536748,RECEIVED,cd26535f-e5e5-4960-9aab-bf35e5c04feb,949bc2d6-237d-4440-9813-476c9be19451,c3,c2,27,p2,?,surb={'id': '5d7fcaeb-ebb1-4903-b04e-35439bf64e02', 'route': ['p2', 'e2', 'i12', 'x12', 'p3', 'c3']}
1769755942.8014524,RECEIVED,25cc287f-2c52-43e1-95ce-ccff4095c26e,6da151ae-0d66-46f4-98f8-b1dfdce52859,c4,c2,27,p2,?,surb={'id': 'd7d7d46b-3c67-4818-b944-b0c70d13065e', 'route': ['p2', 'e11', 'i12', 'x1', 'p1', 'c4']}
1769755942.8844867,SENT,a0cb68a6-4282-4858-9045-aa5107c2a75c,80634950-a8d9-404e-96b4-f57670fcb627,c2,c4,3384,?,p2,
