timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495707.8486052,CREATED,d4f8a78e-a3b7-4c29-a89c-87e52c5cf0b2,2c877dc8-9342-40a5-8a58-4ca7581a7b04,c4,c3,27,?,?,surb={'id': 'b8d37d86-c241-4ed5-9dff-09c2dd6f4847', 'route': ['p3', 'e12', 'i5', 'x11', 'p1', 'c4']}
1769495707.931408,RECEIVED,8c1fda69-e4ec-4eb1-8138-c043447a6f61,4635cfa2-e5b4-420b-acbc-81e0bf9fdb5c,c3,c4,27,p1,?,surb={'id': '80a0bb3a-16ee-41a2-a47b-2f337b33bd67', 'route': ['p1', 'e8', 'i2', 'x4', 'p3', 'c3']}
1769495708.0349503,RECEIVED,c32eda9f-45ca-4507-a478-f5f97ab00f4a,d4ca0e5d-e719-41f2-a73b-82dab1c0919b,c3,c4,27,p1,?,surb={'id': '7c9a04e5-6363-4643-b270-2211bd4445ff', 'route': ['p1', 'e4', 'i7', 'x7', 'p3', 'c3']}
1769495708.4401965,SENT,180e4aea-ff84-4acf-8343-91c15f633994,55339829-a336-421a-9817-dff098b5ea02,c4,c3,3393,?,p1,
1769495708.4402883,CREATED,736030f7-09b6-44fc-81ca-cfd95fc71eb4,fb59c256-d1a2-4d83-b950-f7d1519a4320,c4,c3,27,?,?,surb={'id': 'eb88705e-a10c-490f-92b3-752797519b3b', 'route': ['p3', 'e1', 'i1', 'x3', 'p1', 'c4']}
1769495708.9347434,SENT,e045dbfb-42a3-436f-9042-e6636424f9ee,cf2bed50-aa83-4648-a7fd-c1cf9f3aa9c7,c4,c3,3400,?,p1,
1769495708.934891,CREATED,f2456223-a6fc-48a1-a580-6df3e8dd2597,9c458646-eeba-4479-b20b-f87b188c1334,c4,c3,27,?,?,surb={'id': 'b0e72079-c29f-4b6e-943a-b16cf978a429', 'route': ['p3', 'e10', 'i11', 'x10', 'p1', 'c4']}
1769495708.997139,RECEIVED,1ba2cfa8-2d7e-4910-8a85-b0634010cfd2,1686bdb6-7188-4fbd-ab39-63962fc3ac9e,c3,c4,27,p1,?,surb={'id': 'c8f00b5f-6fe6-4c90-8f27-2ebe1251c395', 'route': ['p1', 'e12', 'i12', 'x1', 'p3', 'c3']}
1769495709.6590173,SENT,1d019d9d-e71c-4262-80a9-a69fe0d04698,50273f9e-1d10-42ed-b35c-3663ce6fcde4,c4,c3,3379,?,p1,
1769495709.6591933,CREATED,892d7252-607b-4b7e-9787-b30f093d1e49,1c8c2e7b-758d-48a4-9cf1-a54937c14997,c4,c3,27,?,?,surb={'id': '020bbaa4-5763-41a1-a9e1-3c02d7f59041', 'route': ['p3', 'e1', 'i1', 'x11', 'p1', 'c4']}
1769495709.7533011,SENT,5ab4f649-b5bd-4e0b-ab2e-0fce3187426f,5c1da55d-7030-4690-a7e1-10d0bc881357,c4,c3,3388,?,p1,
1769495709.7534518,CREATED,3e004d7f-4c94-4ddc-92b9-e9477f5e1a28,b8704e44-f056-4b92-a81a-cebedc4ae430,c4,c3,27,?,?,surb={'id': '38934b03-c70f-4365-bcea-4f539a458cc0', 'route': ['p3', 'e11', 'i11', 'x8', 'p1', 'c4']}
1769495709.9465024,RECEIVED,c58a27d8-c9d4-4820-b2b0-564a21f566f4,44be322a-51b3-4dd9-966f-abc56de45e09,c3,c4,26,p1,?,surb={'id': 'e5f3ef84-6438-4174-95e6-86ac85dcab76', 'route': ['p1', 'e3', 'i11', 'x2', 'p3', 'c3']}
1769495710.0603123,RECEIVED,ad8250dc-ca2a-438f-800c-3147defe9627,a108383e-7034-4c86-9d3b-cf4d5f52e359,c3,c4,27,p1,?,surb={'id': '19108982-c89d-4092-8357-79fa5821ba97', 'route': ['p1', 'e12', 'i2', 'x6', 'p3', 'c3']}
1769495710.2926242,SENT,1c6f6f9d-1308-4f58-a463-e785bc4ed3ed,560b47ab-d2d4-45da-b3c1-fc50ce49e257,c4,c3,3380,?,p1,
1769495710.2927482,CREATED,b9ed459d-bf76-4d84-a520-e2a16c2bcc37,a69a552f-3c10-4839-91ec-57b3d98bcb7c,c4,c3,26,?,?,surb={'id': '0b061ad5-7673-429b-95e0-3a88bed8323a', 'route': ['p3', 'e3', 'i11', 'x3', 'p1', 'c4']}
1769495710.3333414,RECEIVED,a8e4a8b7-823e-4db7-b95a-464c3f8f3c56,93347f70-76fd-4f8f-9269-a3842c4349fc,c3,c4,27,p1,?,surb={'id': 'f0cb4604-23b1-4068-92fc-0d9c1d382219', 'route': ['p1', 'e10', 'i3', 'x12', 'p3', 'c3']}
1769495710.341282,RECEIVED,d6b95c6f-8584-4345-8e55-7d5a60ea6d48,b3160847-58ca-43db-a9f9-3adef7d02e0a,c3,c4,26,p1,?,surb={'id': '90e7833c-0b76-421f-a48f-ae42e71092a6', 'route': ['p1', 'e7', 'i2', 'x4', 'p3', 'c3']}
1769495710.4805024,SENT,f14c8573-9090-4e88-a28c-e63c992e33de,142cc7aa-1b5b-4b05-8e2f-86d7d86a7809,c4,c3,3379,?,p1,
1769495710.480651,CREATED,0140b25b-404e-4e9d-970c-8ac4e878d42b,12b25eb9-9061-4f74-be50-126b8e8aae24,c4,c3,27,?,?,surb={'id': 'f27b4231-3956-4ae8-b89e-09b9f65448ef', 'route': ['p3', 'e4', 'i10', 'x10', 'p1', 'c4']}
1769495710.5733154,RECEIVED,e7c5b0c5-f16d-4653-8ae7-30836342bf93,826cc76d-9049-458e-9728-86ea5f8ae4da,c3,c4,26,p1,?,surb={'id': 'a0cf6143-96e6-4f9b-abb1-aca993faff8a', 'route': ['p1', 'e8', 'i1', 'x12', 'p3', 'c3']}
1769495710.6708252,RECEIVED,9b901906-ae48-49ea-8ef5-eaaf99f7ce37,30d54066-491e-4e36-a3e5-9b80f4f95be5,c3,c4,26,p1,?,surb={'id': '58c4937a-a152-4a10-acb0-7f3dfcf43609', 'route': ['p1', 'e12', 'i6', 'x8', 'p3', 'c3']}
1769495710.6836412,RECEIVED,9b65e6d5-86d5-4c43-8f36-0ceec3e3c997,a66b500a-7414-4731-973f-0ed484b04e73,c3,c4,27,p1,?,surb={'id': 'b84b11bc-d6fa-42da-aa7e-18209bac0a17', 'route': ['p1', 'e9', 'i8', 'x12', 'p3', 'c3']}
1769495710.7865057,RECEIVED,1fb9cc99-f479-484c-8b33-1a1214e7873f,7df3615e-a332-42f6-9f70-274d145a76f6,c3,c4,27,p1,?,surb={'id': '7a19fc94-3828-4cf7-bfc6-12d19d2f4424', 'route': ['p1', 'e2', 'i6', 'x7', 'p3', 'c3']}
1769495712.3099802,RECEIVED,c17178c2-75ad-4e95-a6f2-2434ae916009,fe903ac7-168e-4bfd-a7f0-dc029860e8c5,c3,c4,27,p1,?,surb={'id': '584a23aa-17fb-4465-bc9a-769667046bd6', 'route': ['p1', 'e11', 'i5', 'x2', 'p3', 'c3']}
1769495712.3531504,RECEIVED,dc1888b9-872d-4252-80a8-5593c9b20066,4ae72db1-9b6e-4a68-8a62-42e41759472e,c3,c4,27,p1,?,surb={'id': 'bb25a225-0110-4930-9a66-42f097dc75eb', 'route': ['p1', 'e1', 'i3', 'x1', 'p3', 'c3']}
1769495712.3816986,SENT,177dce1d-570c-41b0-9e4b-33e276045814,c58555f3-4532-4955-acfa-b4ce893f5833,c4,c3,3375,?,p1,
1769495712.3818445,CREATED,f0a8cef0-b7ac-4354-b30f-dfd886e178f9,9851b052-2a85-41ea-9c08-4f204be5db5f,c4,c3,27,?,?,surb={'id': 'd7bb79b4-b3d5-41d9-a48e-f8f482b6c968', 'route': ['p3', 'e3', 'i12', 'x3', 'p1', 'c4']}
1769495712.4843543,RECEIVED,9440c189-7842-4c29-8054-5bb54446a0e2,7eaa1785-9762-45f7-ab60-7353c7d03c8d,c3,c4,27,p1,?,surb={'id': '58c9172d-2ec6-47e9-a8c9-690fe3183939', 'route': ['p1', 'e12', 'i7', 'x9', 'p3', 'c3']}
1769495712.5163236,SENT,5c060510-4464-4190-a661-f84dffdca858,28ba300a-6789-4672-a293-e7d1b8b3be5b,c4,c3,3400,?,p1,
1769495712.5164711,CREATED,5a5444a0-d013-4383-974e-bd62905a4c99,34f59f39-27f9-4347-98c2-7be4ceb55883,c4,c3,27,?,?,surb={'id': '54f81114-0e59-40a7-9929-69e7f620d49e', 'route': ['p3', 'e3', 'i10', 'x7', 'p1', 'c4']}
1769495712.5378428,SENT,481db420-64f3-4220-8792-9dcf724c6453,2df97392-f0b0-4710-af57-e28a4cd58ca0,c4,c3,3368,?,p1,
