timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760263.883472,RECEIVED,b0d201ea-a1bc-4fa7-9434-0b421954ce55,f6fb8194-2434-4f63-b29e-ac3981b441b8,c1,c5,26,p2,?,surb={'id': 'da9c52e3-eb10-4f6a-bdbd-70356ef56f54', 'route': ['p2', 'e5', 'i4', 'x5', 'p1', 'c1']}
1769760264.3885417,RECEIVED,ca7076a5-61e5-4724-9f07-39463233d94a,77ddd5d4-28af-4174-be64-49529f9bd691,c1,c5,27,p2,?,surb={'id': '6744c4b4-974f-4a76-bea9-a7c3d7b9c83b', 'route': ['p2', 'e5', 'i5', 'x7', 'p1', 'c1']}
1769760264.5422864,RECEIVED,37c8d1f3-7838-4bd3-ab62-c929d512d318,c6ed3fae-434a-49fc-b81b-8a1a79cd10ec,c1,c5,27,p2,?,surb={'id': '6141f75c-2ca5-40f7-8f16-243d4aafa028', 'route': ['p2', 'e11', 'i4', 'x7', 'p1', 'c1']}
1769760264.6828477,RECEIVED,63af815e-89cb-4287-8635-7c69e0553251,72180729-dda2-4923-80a6-acd7ee2d962e,c1,c5,26,p2,?,surb={'id': '08032002-42a8-4db3-b01b-bab8938ccaae', 'route': ['p2', 'e11', 'i3', 'x9', 'p1', 'c1']}
1769760265.0400286,SENT,49daa38c-e88e-4c15-b12f-ed0e31881750,3f5ed492-366f-4d13-8eb3-ab85a6ee1ed0,c5,c4,3401,?,p2,
1769760265.0401938,CREATED,ea478dbf-76de-4163-8922-e9c6cd92dedb,4a358198-2d73-43b4-830f-e07f9f429f57,c5,c4,27,?,?,surb={'id': '1eb37243-f9d3-4433-a873-b91f09387eb6', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c5']}
1769760265.126482,RECEIVED,b824fc4e-0baa-46a0-8f4e-7366aa1151bf,989b43f9-3128-41f3-a580-1659a356c22e,c1,c5,27,p2,?,surb={'id': '2019731d-6f4e-4ef9-abd6-d31b1e245f6d', 'route': ['p2', 'e8', 'i5', 'x6', 'p1', 'c1']}
1769760265.919823,SENT,0d665b57-85da-4fa8-a4b9-22ea1fb20243,03731db1-bc9e-4507-8eab-3a43e30ea24c,c5,c4,3383,?,p2,
1769760265.9199839,CREATED,cb108b43-daf3-46c0-981f-5fccdd3cfca4,cc6058d8-5779-48ca-bc1f-236dbfc24cde,c5,c4,27,?,?,surb={'id': '42b0ad8b-4c7d-4300-b450-44d4a5e937d5', 'route': ['p1', 'e10', 'i12', 'x5', 'p2', 'c5']}
1769760266.2673724,SENT,ff73cb94-1691-4b57-b801-7ce6fa1cf614,ca55b338-be11-4e5e-a198-54ad684853ba,c5,c4,3360,?,p2,
1769760266.267518,CREATED,200c5164-4902-4809-a7bd-a9c83c5a2284,99a78668-3631-4941-b10d-254a012213d7,c5,c4,27,?,?,surb={'id': '6b9db82d-0c99-41f5-ba96-e549c2f24dec', 'route': ['p1', 'e5', 'i1', 'x12', 'p2', 'c5']}
1769760266.338451,SENT,9b47e5bf-a64e-427f-b09e-685d9f2cef6f,bb193da1-8050-4fe3-bcd6-759ace1cd4ac,c5,c4,3383,?,p2,
1769760266.3386004,CREATED,4d0c64f5-3d06-47fd-8efc-76187db3bd83,9104042b-c7f1-4583-a5d2-e22d049aceb0,c5,c4,27,?,?,surb={'id': 'd89d921d-da4c-440c-ac40-02e2c78f8973', 'route': ['p1', 'e8', 'i3', 'x2', 'p2', 'c5']}
1769760266.4275548,RECEIVED,a9774d76-3a7b-4577-863c-9e124d80ca57,c3c3fcc4-3642-43f5-afc4-98091f3a5357,c1,c5,27,p2,?,surb={'id': 'b3a94167-87f0-4316-b5dd-5704b2553305', 'route': ['p2', 'e6', 'i10', 'x2', 'p1', 'c1']}
1769760266.5366948,SENT,485e06eb-298d-4908-bb49-4addf97a7018,64a64f18-8981-4012-9e0c-37edda0652d2,c5,c4,3359,?,p2,
