timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760260.7187445,CREATED,2f7c5674-9aab-4c02-ac1f-2238a4942a8a,8be4fd67-6341-4e76-b6c0-c5c12aa8d341,c1,c5,27,?,?,surb={'id': 'f8ce49c5-5b3d-4adb-aa4f-ebd7e4cbd669', 'route': ['p2', 'e7', 'i1', 'x11', 'p1', 'c1']}
1769760260.8973253,RECEIVED,12db21d0-709e-4507-9e07-f1437bf21fd2,9469bb71-f2f1-4d86-a290-573b8a21375a,c3,c1,26,p1,?,surb={'id': '96892671-dd48-4e24-aa34-0f042594a82c', 'route': ['p1', 'e9', 'i3', 'x12', 'p3', 'c3']}
1769760260.924281,RECEIVED,b7f34370-f959-4c13-a367-775c487a64f0,b47c32af-e4ae-4807-824e-5a917db58558,c3,c1,27,p1,?,surb={'id': '671891ca-1441-4d0f-b7da-4fe4a0b802fd', 'route': ['p1', 'e6', 'i1', 'x11', 'p3', 'c3']}
1769760261.244812,SENT,68120c62-6327-46e8-826a-fa68397a834c,4642c172-c5a9-45a8-92fa-927bcc431d35,c1,c5,3364,?,p1,
1769760261.244962,CREATED,263347c1-7e8c-4b79-97bb-9fa0e1c06c1c,c8bcc1ca-fc9f-4db5-88d5-2f23b7be64fe,c1,c5,26,?,?,surb={'id': 'bf824bce-04d6-45c6-8824-000484d4f97c', 'route': ['p2', 'e10', 'i4', 'x8', 'p1', 'c1']}
1769760261.2730627,SENT,50cdd715-9b2a-4336-86ad-ea779df42098,2aafb964-f8c1-4026-89b9-8b0b2f4a7dc4,c1,c5,3377,?,p1,
1769760261.2732158,CREATED,6aac2d28-510c-4742-a7ac-996a48a3cc51,696bf55f-23bd-44fb-8db7-3742853e1701,c1,c5,27,?,?,surb={'id': 'a37b8198-abb5-4228-a60a-1f6580c40ddd', 'route': ['p2', 'e6', 'i9', 'x7', 'p1', 'c1']}
1769760261.3631935,SENT,f8998749-f58f-4734-915e-ca7725bbaa52,004dbbeb-451e-4c0d-a607-8a159a358cc2,c1,c5,3380,?,p1,
1769760261.3633249,CREATED,e5e36345-3b60-44bf-973a-6fea3a3f36c3,7abff2be-e6b1-4eff-9da6-9f1c40a3be13,c1,c5,27,?,?,surb={'id': '2522052b-bfd7-4cb5-af35-8a63298c4c63', 'route': ['p2', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769760261.3697035,RECEIVED,4419f88d-eceb-4bd6-86aa-a02bfa6b63d4,f5cf03a2-531d-4993-8d28-021387c0220d,c4,c1,26,p1,?,surb={'id': 'a9799990-8182-4d62-819e-f74b2a16c13e', 'route': ['p1', 'e1', 'i2', 'x1', 'p1', 'c4']}
1769760261.4534721,RECEIVED,1deffd1a-efc5-4070-9901-62806c9ae1ac,9911b1d2-3056-43c1-9b58-0be1350577ed,c4,c1,26,p1,?,surb={'id': '5f3d8d90-3ac9-4b1f-badb-a636aaecc3ea', 'route': ['p1', 'e6', 'i11', 'x10', 'p1', 'c4']}
1769760261.5782702,SENT,07e1c46e-afab-4357-b8d8-8ec9449f49b9,869f3285-b7f4-44dc-a709-170d61457a74,c1,c5,3397,?,p1,
