timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769751623.828179,RECEIVED,42e065c6-7cb0-420c-8c93-cf22b65ac9e6,cacfabc8-2844-4a40-aaca-d57802385d93,c2,c4,27,p1,?,surb={'id': 'd110fb90-945f-4eb6-814c-aa9ac01e5b6c', 'route': ['p1', 'e1', 'i10', 'x10', 'p2', 'c2']}
1769751623.8493974,SENT,f51cb8bd-ce00-4237-b2fe-3f0351774474,248fc53e-185b-4fe9-a22f-689e93a67bc6,c4,c5,3379,?,p1,
1769751623.8495262,CREATED,fce29357-f878-4b1f-a47f-ca6f17a94b20,083112f3-325e-4d64-9c94-834f38dae096,c4,c5,27,?,?,surb={'id': '69d2d0e6-00ef-4026-8b3b-3fcf54dde04f', 'route': ['p2', 'e11', 'i5', 'x4', 'p1', 'c4']}
1769751623.8613648,SENT,8dfb65ab-914e-4362-8448-5f11b8c96159,4fcdf5c2-05cf-4c94-8cb1-552fe02a3abf,c4,c5,3375,?,p1,
1769751623.8615043,CREATED,ef18b2bf-b7c7-4c1a-8544-fa7a24c948f6,fc1abae5-d9f8-4b35-b4c7-25f1b7424204,c4,c5,27,?,?,surb={'id': '401181a4-b0c6-4d97-86b9-ec0c4205e419', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769751623.8887749,SENT,66c7a0e5-c71c-48ea-87a3-b6cc3778a000,0fa3cff1-8867-4866-aac2-0e02e0f8974c,c4,c5,3400,?,p1,
1769751623.8889067,CREATED,6bcfc1d6-5da3-450c-88a8-baa7a00e2425,fc1abae5-d9f8-4b35-b4c7-25f1b7424204,c4,c5,27,?,?,surb={'id': '401181a4-b0c6-4d97-86b9-ec0c4205e419', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769751623.91773,RECEIVED,4768fa28-ea06-498b-8aa0-326d19a0ef67,7974011b-7a07-42ab-8a25-d0d279e802e6,c2,c4,27,p1,?,surb={'id': 'c7741d1a-5e37-45a0-846d-b8bf0a9d8dc7', 'route': ['p1', 'e6', 'i12', 'x2', 'p2', 'c2']}
1769751624.135732,RECEIVED,92a13785-6538-4c3b-bfa0-113436a0efb1,88173625-1083-49f9-874b-37a884102f66,c5,c4,27,p1,?,surb={'id': '0d416b94-b25a-449c-905e-d6b0a4591d6c', 'route': ['p1', 'e9', 'i5', 'x2', 'p2', 'c5']}
1769751624.1584294,RECEIVED,72a64ac0-8e3e-413f-aafd-42f3d011a433,1ce7b7e0-9b20-4709-93c5-be03fb2cef8d,c2,c4,26,p1,?,surb={'id': '13a08ef4-06d3-40ff-b411-6e459fc661d3', 'route': ['p1', 'e1', 'i3', 'x9', 'p2', 'c2']}
