timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443270.0174253,RECEIVED,78766e1b-113e-4ea2-8989-24e57227e646,bb5c01b6-77b4-4c31-9c01-ad47cd487a14,c1,c5,27,p2,?,surb={'id': 'a5eb3ecd-6666-4bcc-ade8-a5614f2a7233', 'route': ['p2', 'e8', 'i12', 'x11', 'p1', 'c1']}
1769443270.1888192,RECEIVED,57ff492d-f227-4f1a-96c5-f08fea4941a0,4c56eb4a-6f08-41c9-a791-97e13ade1ffb,c4,c5,27,p2,?,surb={'id': '240a425f-6199-4f45-bf3c-33155c6bccb3', 'route': ['p2', 'e5', 'i7', 'x12', 'p1', 'c4']}
1769443270.2424226,SENT,c96bb0b3-dd5b-456c-851b-b380d954a1e7,9a728177-7156-47f8-8948-b18eed063271,c5,c4,3412,?,p2,
1769443270.2425544,CREATED,fef63e5f-b7b2-4e66-9a71-8edf94277504,c0a32320-020f-4ada-bd51-0911febdb455,c5,c4,27,?,?,surb={'id': '9b67c76c-1d4d-49c7-bb4d-ad2a16cdccf9', 'route': ['p1', 'e11', 'i12', 'x9', 'p2', 'c5']}
1769443270.2559938,SENT,3d2504cd-fd98-447d-ae6a-35f2e44856e7,7c3d634e-a198-49b8-b21f-374a7d1e7757,c5,c4,3367,?,p2,
1769443270.2561595,CREATED,92330821-ed13-44b9-bc10-e1a4d23b54c0,89e4a708-b6b9-4ba4-b193-61610f7c21c1,c5,c4,27,?,?,surb={'id': 'dce9363a-965c-4dac-bf99-46bb29d3f180', 'route': ['p1', 'e11', 'i6', 'x8', 'p2', 'c5']}
1769443270.3054054,SENT,92e90359-3f12-4d21-a423-6fac26625d93,97170eec-189c-4d97-b588-36ddcc467fb2,c5,c4,3382,?,p2,
1769443270.3055546,CREATED,a3ac415e-3b59-43c7-9be4-7e22cf3dd740,3d3e2c85-174a-4e9b-9b5e-d23c6a5b2bf2,c5,c4,27,?,?,surb={'id': 'fcc9db22-3266-43b2-b948-0f5c53cd6077', 'route': ['p1', 'e8', 'i9', 'x3', 'p2', 'c5']}
1769443270.5519497,RECEIVED,e0e486da-8f0d-4077-aa9d-9a9f4b1f9fe8,1c52696d-8c58-4fa8-a914-53c1e2ae6d6d,c1,c5,25,p2,?,surb={'id': 'bc484da7-a229-4aa7-98d7-ff2b2a17bd65', 'route': ['p2', 'e1', 'i8', 'x6', 'p1', 'c1']}
1769443271.0379972,RECEIVED,4b1f3291-47a8-4843-98f8-19b10e038fc5,3479c636-4fae-4ef9-b6b5-1d9a491828fc,c2,c5,27,p2,?,surb={'id': 'be84d377-addf-4f29-bd07-c57c8268b638', 'route': ['p2', 'e8', 'i3', 'x7', 'p2', 'c2']}
