timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443271.790774,CREATED,c670f6e2-2a0e-4137-832c-5168e6c1901d,be9f7e90-0627-44b8-8f0a-6b700de50562,c2,c5,27,?,?,surb={'id': '0180f0b4-1790-4739-bbdc-53be63e9f169', 'route': ['p2', 'e6', 'i2', 'x3', 'p2', 'c2']}
1769443271.8018274,SENT,ffb5c478-aa04-427f-bf06-089fa76f5f34,6f04bea1-8704-472b-8abb-5259f0b5106b,c2,c5,3367,?,p2,
1769443271.8020349,CREATED,7adecafe-4d96-4538-97e3-a06de9737471,fdee1266-9fa2-44fb-b856-5e8b63de27e2,c2,c5,27,?,?,surb={'id': '98366ea5-8309-46b3-a4c7-f84f448055ed', 'route': ['p2', 'e6', 'i4', 'x10', 'p2', 'c2']}
1769443272.069787,SENT,94473229-d8ba-4909-9651-44340f9b9592,fcce5d0a-3183-482e-91cd-0d2aca169fe3,c2,c5,3391,?,p2,
1769443272.0699205,CREATED,284ecf73-c0e9-46d0-86db-45d5ce6c264f,d1ad81f7-eaa9-4853-9694-64867da0738d,c2,c5,27,?,?,surb={'id': '6c965ca5-806b-496b-b948-06d44aeaa5c2', 'route': ['p2', 'e10', 'i11', 'x9', 'p2', 'c2']}
1769443272.1148722,SENT,22825f6f-e6b3-484a-8dad-44343c015b0e,6c1acb6a-1b0d-455f-bdfd-37b0f0395cb1,c2,c5,3400,?,p2,
1769443272.1150057,CREATED,7835962a-ac83-41e4-a8f0-3de888865880,ccd56c76-078e-45bb-83d4-3408da2ac0bc,c2,c5,27,?,?,surb={'id': '17b757a3-665b-4190-9d87-de30fb5e4f1c', 'route': ['p2', 'e11', 'i1', 'x10', 'p2', 'c2']}
1769443272.3014803,RECEIVED,af26a7fe-4724-46fe-8002-a57a6baf82a3,a884a1de-0d6e-42c8-895e-515f05748ee1,c3,c2,27,p2,?,surb={'id': 'ad2a5947-532a-40f1-8745-d506226c4dc7', 'route': ['p2', 'e3', 'i10', 'x12', 'p3', 'c3']}
1769443272.3776917,SENT,ea6bd5ca-991a-4aef-8dbf-3f69f3f4db0e,54e670d0-cb13-45e0-a8be-a524f533c911,c2,c5,3359,?,p2,
1769443272.3778446,CREATED,e5d48cba-9efd-4eb1-9500-cfe8497f6130,d7c9b9e1-7432-4841-abcf-bd387b9ce130,c2,c5,27,?,?,surb={'id': 'a792449d-19c7-4eed-a7d2-b93b704670b9', 'route': ['p2', 'e6', 'i11', 'x8', 'p2', 'c2']}
1769443272.6364758,RECEIVED,a329fa1a-8e6b-4e12-b1f9-fcb6f0f6f29c,ff5d2ed3-a3c1-486a-9f23-b8faa9f456ba,c3,c2,27,p2,?,surb={'id': '38a1d775-e7f1-4b3a-a506-2ae0434b9915', 'route': ['p2', 'e10', 'i8', 'x1', 'p3', 'c3']}
1769443272.694368,SENT,c068a86e-00bf-43bc-827f-9003eefaaee2,1362f65e-d23c-46f3-b9b7-f72beabe1568,c2,c5,3377,?,p2,
1769443272.694521,CREATED,118c52fa-e340-42f4-b0f0-ce3ea472a44c,bceae004-71fc-4d9d-a8b9-5fc246a8039d,c2,c5,27,?,?,surb={'id': '8e18a402-c057-4988-a8cd-f563edd1234a', 'route': ['p2', 'e6', 'i2', 'x7', 'p2', 'c2']}
1769443273.2333527,RECEIVED,53ed8752-056a-49da-8ab8-58e3160557c0,539ee6f0-0fc0-4d32-ad9f-a7dbc5f1519c,c3,c2,27,p2,?,surb={'id': '87be8e58-db93-46d6-9ec8-bfdec248c755', 'route': ['p2', 'e5', 'i7', 'x4', 'p3', 'c3']}
1769443273.2433553,SENT,098d152e-d88a-4f0f-b514-336d8331147f,a9126024-3631-4c3f-b6d5-5bcd8c172c19,c2,c5,3371,?,p2,
1769443273.2435052,CREATED,8c6e7d81-ab2f-4dd5-b8a1-1af7a8f7f2f2,30c228cb-6b64-498f-af1c-1fcd32806dc9,c2,c5,27,?,?,surb={'id': '3ebfb3b8-6063-417e-9474-73d91280d210', 'route': ['p2', 'e5', 'i9', 'x5', 'p2', 'c2']}
1769443273.296443,SENT,287b051e-6d61-4998-abdc-b8c4db6ddd03,a8504e10-1490-4969-a46d-8fa8ee34a322,c2,c5,3399,?,p2,
1769443273.2965975,CREATED,f0de13e4-7f79-4714-afda-d5edf8b8c8ee,3a49fb24-e02a-40be-954b-ff89c655aeca,c2,c5,27,?,?,surb={'id': 'c2ebf509-ef64-432e-9ef1-c2264ad53d41', 'route': ['p2', 'e5', 'i2', 'x11', 'p2', 'c2']}
1769443273.4297497,SENT,90004329-fdd6-471e-86f1-4776eaadcea4,18d66f24-7f85-4e20-8486-ba48fa86a715,c2,c5,3363,?,p2,
1769443273.4299822,CREATED,a6250175-694c-412f-b2a2-4621ec678366,cebaa307-b98d-4843-be7f-bb14848238cc,c2,c5,27,?,?,surb={'id': '2711aaf5-b1e7-485c-a030-4f239a611a14', 'route': ['p2', 'e5', 'i6', 'x4', 'p2', 'c2']}
1769443273.6432266,SENT,84e9f245-016d-487d-a739-9e4e7023b762,a874205f-fc5e-4475-af28-51bb9e6831d4,c2,c5,3405,?,p2,
1769443273.643376,CREATED,d71c1f02-b108-40f2-a25e-21cba0231646,1a9341ab-f94f-4dfd-8027-d5f06cfcb82b,c2,c5,27,?,?,surb={'id': '5cefe344-b0fa-497a-ac92-cc0b41170c80', 'route': ['p2', 'e12', 'i6', 'x7', 'p2', 'c2']}
1769443273.799913,SENT,ca707235-486f-4cbf-aaa9-6796bd8e4bd2,c397a3af-c246-446b-a02d-eda9da3f6c58,c2,c5,3393,?,p2,
1769443273.8001115,CREATED,a9e2af72-da02-4abb-a1ea-f27bd97a7a17,c0e0f2d5-34a0-4cba-a593-2ae749352f70,c2,c5,27,?,?,surb={'id': '75769f01-3676-40fd-ae3d-6cc2ffd1db16', 'route': ['p2', 'e5', 'i10', 'x1', 'p2', 'c2']}
1769443273.9156363,RECEIVED,0f610e6c-8308-43f3-876b-f84921fec23a,2ff4a780-38ba-41a8-9fdd-fcae590099a7,c3,c2,27,p2,?,surb={'id': 'cc0247e3-9191-42ba-a55b-36e7aa3c2ab5', 'route': ['p2', 'e3', 'i4', 'x10', 'p3', 'c3']}
1769443274.7577739,RECEIVED,871e98be-1b39-4475-8ddb-0dfcbb64ea28,d5c3fd1e-4ac4-4ef6-b8d3-de9e94656178,c3,c2,27,p2,?,surb={'id': 'e57422f1-1ff1-4a37-88a2-9efc99d451d5', 'route': ['p2', 'e7', 'i6', 'x7', 'p3', 'c3']}
1769443274.9002678,RECEIVED,c5f84e04-2ff9-48b7-b24a-3d956b3048b0,1130a3d4-d5b2-432a-a125-cabc4ebb6577,c3,c2,26,p2,?,surb={'id': '1eba49c4-49ed-4093-987c-c81271077aaa', 'route': ['p2', 'e1', 'i1', 'x8', 'p3', 'c3']}
1769443275.6993823,SENT,47ee1445-8bfc-49f5-be43-2025cbcad4c5,45915c40-167d-41d2-8a98-dc435fcdb62a,c2,c5,3387,?,p2,
1769443275.699553,CREATED,267739bb-a320-4386-b63e-03a25fbafa41,aa8f27ac-6722-4ef3-b0dc-4321e4008ebd,c2,c5,27,?,?,surb={'id': '448320e4-b66e-4761-ae9e-e05d4caaa326', 'route': ['p2', 'e1', 'i10', 'x8', 'p2', 'c2']}
