timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393810.0393715,SENT,7c63c94f-466c-448f-a5d5-89bc1b51cf3c,6700ccbb-8146-4f13-9161-df561d93a723,c5,c2,3384,?,p2,
1769393810.0395164,CREATED,eab97129-e183-401a-8889-7dd4fc4c2c14,1e624d18-4a42-4e06-8ca7-5ebada82e4b9,c5,c2,27,?,?,surb={'id': 'a49c3dae-b0d1-4c7a-940c-fd19b05f41e9', 'route': ['p2', 'e11', 'i1', 'x4', 'p2', 'c5']}
1769393810.279591,SENT,656ab6d3-ddcb-4a8e-9f53-39efd792021d,500185d5-a8b9-47a6-a242-e1fbd396113b,c5,c2,3363,?,p2,
1769393810.2799103,CREATED,90670bf0-cd22-4e05-9e74-ffcc470fc35c,9bee32ba-dbbe-4b16-899a-1935756bd862,c5,c2,26,?,?,surb={'id': '0b485ab7-d444-4e01-86bd-003d77c38ef9', 'route': ['p2', 'e10', 'i11', 'x5', 'p2', 'c5']}
1769393810.3065436,RECEIVED,96106268-6f6c-424f-b5d6-0fdb42be251d,a223dda0-7fb7-4e83-8747-8509af52904c,c2,c5,27,p2,?,surb={'id': '5a5c35c1-f9bf-40eb-bc22-fb6301e0f8b0', 'route': ['p2', 'e8', 'i4', 'x4', 'p2', 'c2']}
1769393810.355314,RECEIVED,f50eaf05-e492-4d7e-b7cf-bce6b23a1658,478fdec0-3d9e-4fd7-93ed-37e7c2f88382,c2,c5,27,p2,?,surb={'id': 'acb7b235-9460-48c1-9d4c-f70049abe892', 'route': ['p2', 'e9', 'i1', 'x2', 'p2', 'c2']}
1769393810.4731061,SENT,064cad33-1d69-4b80-9cba-d931d7a337c7,9055e0c0-eabf-4f13-81f1-ba6e5b074bfb,c5,c2,3396,?,p2,
1769393810.4732687,CREATED,65da18aa-35cc-40e8-85c8-cc3e629931ee,9bee32ba-dbbe-4b16-899a-1935756bd862,c5,c2,26,?,?,surb={'id': '0b485ab7-d444-4e01-86bd-003d77c38ef9', 'route': ['p2', 'e10', 'i11', 'x5', 'p2', 'c5']}
1769393811.0038395,RECEIVED,0cfbb9cb-6663-4ace-959d-4893ee3a7174,03221b09-6b4a-4ed7-bfa6-292226aa9610,c2,c5,27,p2,?,surb={'id': 'd72e7d31-6420-4bcb-bc7b-40c229c805c7', 'route': ['p2', 'e5', 'i4', 'x7', 'p2', 'c2']}
1769393811.2583153,RECEIVED,739b2987-673b-4843-86ea-570f34590ae8,8d07b3bd-380e-492e-a156-e7a78c425218,c2,c5,27,p2,?,surb={'id': '36b021ad-a86c-4cd8-b36d-4f124aaf3359', 'route': ['p2', 'e6', 'i5', 'x10', 'p2', 'c2']}
