timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393810.5148883,RECEIVED,135d69fc-e99b-4a14-ada3-ee0e37e258ff,e4864216-8c88-4fc4-8772-42b62ba1a78d,c1,c3,27,p3,?,surb={'id': '76e44dbb-3c10-40ae-966f-c93b546862b5', 'route': ['p3', 'e2', 'i2', 'x10', 'p1', 'c1']}
1769393810.8019557,SENT,bc9ba20f-4788-4201-bccb-c5f2e8ba029b,c60c0789-12cf-498e-9821-42a599b4571f,c3,c1,3392,?,p3,
1769393810.8021293,CREATED,df9137b8-3e3e-443f-89c1-2a7afd2f5da2,e3fb6104-1529-4118-9135-2059fd632ba6,c3,c1,27,?,?,surb={'id': 'a67f9981-274e-41f2-8f14-07356ca49dc7', 'route': ['p1', 'e5', 'i10', 'x7', 'p3', 'c3']}
1769393811.2443492,RECEIVED,167dbbd4-02d9-4718-b16a-c94706c082e4,fb006bf3-e153-4b98-9213-01486a4b0542,c1,c3,27,p3,?,surb={'id': '537f5e49-3bad-4b89-8bb4-13f27f9237b0', 'route': ['p3', 'e11', 'i5', 'x5', 'p1', 'c1']}
1769393811.4105265,SENT,c7e1849e-7bee-4ef1-bb11-ea802816af3b,ada4969d-0b60-4a81-b5fc-01c5fa2673db,c3,c1,3393,?,p3,
1769393811.4106755,CREATED,8a209e4c-0151-45ef-8252-246d43dec200,e3fb6104-1529-4118-9135-2059fd632ba6,c3,c1,27,?,?,surb={'id': 'a67f9981-274e-41f2-8f14-07356ca49dc7', 'route': ['p1', 'e5', 'i10', 'x7', 'p3', 'c3']}
1769393811.4321935,RECEIVED,8bb6f698-5472-4472-9722-ccc95496691e,68e5bb00-93aa-4891-a0d2-8fc6710d4e54,c1,c3,27,p3,?,surb={'id': 'd5336221-6ee1-4d92-9387-d390bfbaa62e', 'route': ['p3', 'e5', 'i7', 'x8', 'p1', 'c1']}
1769393811.5876436,RECEIVED,79ed42ca-df27-46ef-a1fd-fdb93db950c6,94dc5876-1b03-46b1-975e-f5fe8bd08c98,c1,c3,27,p3,?,surb={'id': 'f3ddedeb-1b23-46e2-90a5-7871227368c6', 'route': ['p3', 'e9', 'i10', 'x4', 'p1', 'c1']}
1769393811.6918476,RECEIVED,ac05aad1-aa6b-415d-96d2-40c382492faf,1296f376-981d-4ab2-81ba-f3624203455a,c1,c3,27,p3,?,surb={'id': 'eda1ea20-3403-4ca5-bdce-810412ddec0f', 'route': ['p3', 'e9', 'i9', 'x1', 'p1', 'c1']}
1769393811.7233977,SENT,74b9210d-cb25-4078-b89b-c17431baa0c9,e1f0a5e8-7cf9-4d8c-b3a1-582f124cf351,c3,c1,3383,?,p3,
