timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740520.2082722,RECEIVED,6bb716cd-6406-48ca-bf9a-ea30c92367e6,08e3b1c4-8951-4f14-81c0-32d8564dd6d6,c1,c2,27,p2,?,surb={'id': '5722be93-65d2-4b9e-be13-8859be0319fc', 'route': ['p2', 'e11', 'i4', 'x12', 'p1', 'c1']}
1769740520.244896,RECEIVED,13876120-ad06-4026-9673-39cdf0308f5c,2d8b9a94-6d33-4d78-abf2-cd9d235fa24d,c5,c2,27,p2,?,surb={'id': '100e8de0-4fb9-448c-996a-a1b17495718f', 'route': ['p2', 'e9', 'i9', 'x12', 'p2', 'c5']}
1769740520.449691,RECEIVED,210104a6-dc7a-4f20-904b-722eface5538,f944cd47-98bf-48ba-ae8b-169b85dbde86,c3,c2,27,p2,?,surb={'id': '2e8a1fb5-5757-4784-a105-88c402381098', 'route': ['p2', 'e1', 'i6', 'x9', 'p3', 'c3']}
1769740520.4853702,RECEIVED,f670a03f-df4e-4e25-b1b7-868a5791e360,0ef6a66b-8d10-4bc7-811f-732af28075b1,c3,c2,26,p2,?,surb={'id': '0ff9952c-7e00-4d76-bcc5-fd247e865647', 'route': ['p2', 'e7', 'i2', 'x8', 'p3', 'c3']}
1769740520.511894,RECEIVED,2b3b8a00-58c1-43de-a614-8db212ca4af2,084a3da2-fea4-40d1-abac-f49c7c8b2110,c4,c2,27,p2,?,surb={'id': '3571f165-a130-4bc1-9fa2-fdd12daa9744', 'route': ['p2', 'e1', 'i3', 'x11', 'p1', 'c4']}
1769740520.5178597,RECEIVED,47c5777d-1382-45fd-bf74-c53a2b06308f,de85d770-73c0-4a10-86f3-b9e891836b72,c3,c2,27,p2,?,surb={'id': '3e50d650-5c98-4672-a8be-b1efa0f30794', 'route': ['p2', 'e2', 'i3', 'x2', 'p3', 'c3']}
1769740520.532488,RECEIVED,e32dd04f-38b5-41be-a493-6d07640c379b,b3ac381e-23d5-4351-a9be-beb9200691da,c3,c2,27,p2,?,surb={'id': '53cd83ef-cd5d-4912-ab2d-91c15911c5ff', 'route': ['p2', 'e6', 'i4', 'x9', 'p3', 'c3']}
1769740520.581269,RECEIVED,abc71812-08df-4580-87ad-6029949f386a,cb2f3666-e718-4ad0-8fdc-3a7caddc6fae,c5,c2,27,p2,?,surb={'id': 'f253c40d-3496-4ac1-a79e-bc62f96d04f5', 'route': ['p2', 'e9', 'i12', 'x6', 'p2', 'c5']}
1769740520.7206326,RECEIVED,888baf36-b8d2-406b-a205-a675b09b933c,084a3da2-fea4-40d1-abac-f49c7c8b2110,c4,c2,27,p2,?,surb={'id': '3571f165-a130-4bc1-9fa2-fdd12daa9744', 'route': ['p2', 'e1', 'i3', 'x11', 'p1', 'c4']}
1769740520.748314,SENT,f88098dd-a769-4536-b847-707bb91d052e,424b401c-be0c-4752-b0cc-d5617aa29bad,c2,c1,3384,?,p2,
