timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453144.1192408,CREATED,60a8fda6-d78b-4e38-880f-ca02f515b95c,b47f5003-2269-4fe4-ba98-a74f464c4186,c4,c2,27,?,?,surb={'id': '1ceb7311-149b-4155-a84c-ec3a5839306a', 'route': ['p2', 'e7', 'i9', 'x10', 'p1', 'c4']}
1769453144.2966247,RECEIVED,ed83015d-2f7d-4bc4-ad03-a9331a73d1ad,3abf2376-eddb-49b9-b971-e4c1cc7a6bbf,c5,c4,27,p1,?,surb={'id': 'cb297756-e8c5-43d4-9a03-02af3464992f', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c5']}
1769453144.320373,RECEIVED,f187a3d9-e83e-463e-a837-9262831bc2d8,3abf2376-eddb-49b9-b971-e4c1cc7a6bbf,c5,c4,27,p1,?,surb={'id': 'cb297756-e8c5-43d4-9a03-02af3464992f', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c5']}
1769453144.3428774,SENT,12a36a89-beb9-4d2e-87ab-735efae81318,47d5fca6-86e2-46fe-bd3e-7dec7b636969,c4,c2,3361,?,p1,
1769453144.3430235,CREATED,159b45ad-bdfb-49b6-9fe1-4881bfc14ce3,b47f5003-2269-4fe4-ba98-a74f464c4186,c4,c2,27,?,?,surb={'id': '1ceb7311-149b-4155-a84c-ec3a5839306a', 'route': ['p2', 'e7', 'i9', 'x10', 'p1', 'c4']}
1769453145.0618455,SENT,41b92f6a-d9f1-45e9-83d2-7b79660a346e,af64aaf1-603d-42b6-bb2f-ec15c0ce628e,c4,c2,3392,?,p1,
1769453145.0619977,CREATED,4fc555e1-745c-4c98-9321-50697e88fa60,2642a40e-275e-4c4f-8f97-e8f59aa90fcd,c4,c2,27,?,?,surb={'id': 'fdee21a0-8928-454a-8e30-7dbf6c41dab5', 'route': ['p2', 'e2', 'i11', 'x7', 'p1', 'c4']}
1769453145.5860138,RECEIVED,9c71d810-1730-4ea8-a0ae-8bddafe42fa3,df2e61f0-b1bd-4794-81fd-d7d49c067fed,c5,c4,27,p1,?,surb={'id': 'b26e1314-43df-4540-91fc-49578a6b172b', 'route': ['p1', 'e10', 'i1', 'x4', 'p2', 'c5']}
1769453145.8359785,RECEIVED,60edc156-3bab-48e6-8be7-9cbc87ea19a2,fe289aaa-bf84-4ad7-8de5-b106d04c4c83,c5,c4,27,p1,?,surb={'id': '6be53fe9-42b4-4303-962f-20cd6ef88aa3', 'route': ['p1', 'e10', 'i11', 'x4', 'p2', 'c5']}
1769453146.2490926,RECEIVED,77e45736-8f6c-4096-af36-b59bc49105bf,a97869a1-e6fa-46fe-9bcd-8501477cdecb,c5,c4,27,p1,?,surb={'id': 'e5360997-b754-4d6e-87e5-458f3969dba5', 'route': ['p1', 'e8', 'i7', 'x10', 'p2', 'c5']}
1769453146.613157,SENT,de9b8a43-d9b9-4f8e-afef-aef54170d808,3ca44391-b945-4653-be75-304d4af6e85e,c4,c2,3409,?,p1,
1769453146.6133013,CREATED,6ddad5d3-40c7-49b2-adac-e30aa9039d74,2642a40e-275e-4c4f-8f97-e8f59aa90fcd,c4,c2,27,?,?,surb={'id': 'fdee21a0-8928-454a-8e30-7dbf6c41dab5', 'route': ['p2', 'e2', 'i11', 'x7', 'p1', 'c4']}
1769453146.798356,SENT,967ac3fb-baa7-4825-af4b-d4bc2a9e5e41,daf99f93-ae6c-418b-ae6e-85dcb7500772,c4,c2,3391,?,p1,
1769453146.798505,CREATED,91b3c156-2745-4ce8-b197-62e679c1cd2d,e8d3ef07-805c-439b-acae-bd36c3c6ad25,c4,c2,27,?,?,surb={'id': '267f3d98-7410-4524-8d09-d9f06ce4a675', 'route': ['p2', 'e11', 'i10', 'x2', 'p1', 'c4']}
1769453146.8243806,RECEIVED,f05307b2-0c87-40ce-822b-565c85aa2da3,7a2fa5ac-cf2b-4c7f-ac46-fe7476cd0835,c5,c4,26,p1,?,surb={'id': '513f03bd-810c-4d33-b2a5-8f26467d45ce', 'route': ['p1', 'e11', 'i2', 'x2', 'p2', 'c5']}
1769453146.8893578,SENT,2af2cb5d-4498-432f-aa7e-6758cff72920,1c1df344-ec32-443c-8c0a-67eef85fc0e7,c4,c2,3394,?,p1,
1769453146.88942,CREATED,c692d2b7-c32a-4ed5-a127-cc1ea7cb4aff,e8d3ef07-805c-439b-acae-bd36c3c6ad25,c4,c2,27,?,?,surb={'id': '267f3d98-7410-4524-8d09-d9f06ce4a675', 'route': ['p2', 'e11', 'i10', 'x2', 'p1', 'c4']}
1769453146.9011252,RECEIVED,79896e49-611e-40e3-849f-f3815eabfe43,fe289aaa-bf84-4ad7-8de5-b106d04c4c83,c5,c4,27,p1,?,surb={'id': '6be53fe9-42b4-4303-962f-20cd6ef88aa3', 'route': ['p1', 'e10', 'i11', 'x4', 'p2', 'c5']}
1769453146.9982963,RECEIVED,5ad173c8-6384-458b-bb81-316d5ba3b3e5,ea83def8-e8b6-47bd-89a5-649c560a621a,c5,c4,27,p1,?,surb={'id': 'bfae5a56-6bf8-4006-839f-43ef50898726', 'route': ['p1', 'e5', 'i1', 'x1', 'p2', 'c5']}
1769453147.2238054,RECEIVED,09e9a8a3-f433-4c77-b77d-bd0bd1feeda0,ea83def8-e8b6-47bd-89a5-649c560a621a,c5,c4,27,p1,?,surb={'id': 'bfae5a56-6bf8-4006-839f-43ef50898726', 'route': ['p1', 'e5', 'i1', 'x1', 'p2', 'c5']}
1769453147.3636637,SENT,4c6a36bb-e371-456c-b20f-6826778ea812,4d0da758-ed5e-412a-b34c-acffa3241bd8,c4,c2,3384,?,p1,
1769453147.3638165,CREATED,07fe55c9-4d75-4ff8-bf1b-76c028187e4e,11315676-2fe4-4856-9e32-be7b639d6122,c4,c2,27,?,?,surb={'id': 'cbdd3448-537b-4c6a-aaa6-52b86f5b2bbd', 'route': ['p2', 'e11', 'i9', 'x3', 'p1', 'c4']}
1769453147.543352,RECEIVED,811a79dd-7967-447d-a1f5-e4f81006cd6c,468276bb-9c82-4219-80ea-ca9be644bf25,c5,c4,27,p1,?,surb={'id': 'fa3f3b87-b2d1-4890-9e36-f48ea9e923a4', 'route': ['p1', 'e12', 'i8', 'x9', 'p2', 'c5']}
1769453147.5682168,RECEIVED,8591013d-e23f-4db6-9674-4751ab6c1036,468276bb-9c82-4219-80ea-ca9be644bf25,c5,c4,27,p1,?,surb={'id': 'fa3f3b87-b2d1-4890-9e36-f48ea9e923a4', 'route': ['p1', 'e12', 'i8', 'x9', 'p2', 'c5']}
