timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391343.5927904,RECEIVED,d5e3584f-efe0-4032-a7cd-1c387c6781e2,39b9c2f9-b8e8-4e65-9727-aa1c217c9ef7,c5,c4,27,p1,?,surb={'id': '14601684-2e20-4204-a79f-b62f0c7551aa', 'route': ['p1', 'e4', 'i4', 'x6', 'p2', 'c5']}
1769391343.6059635,RECEIVED,3a3de01d-2147-4628-bdef-b5da956fe1eb,baae8554-cd49-47da-8dce-411b87de99ea,c2,c4,27,p1,?,surb={'id': '55a4370e-8878-47f1-8440-8817921b817d', 'route': ['p1', 'e3', 'i2', 'x8', 'p2', 'c2']}
1769391343.7555845,SENT,95dcf37c-32b8-4231-a7ed-bb0b107642fb,10d63dba-85f6-4ab9-82fd-bdcbe449e44d,c4,c5,3401,?,p1,
1769391343.755729,CREATED,917d8372-7aa0-4c42-a748-be10d6877203,4c9c2f31-41d3-4bdd-a614-b7d104d20c53,c4,c5,27,?,?,surb={'id': 'b5bfb226-43bd-40cf-91f0-56927bd56a23', 'route': ['p2', 'e4', 'i7', 'x6', 'p1', 'c4']}
1769391343.84522,RECEIVED,c6535089-db87-4713-a0c3-d1995b178ff1,2b4fb501-857d-4d3c-8ffe-6c166e3b3b60,c2,c4,26,p1,?,surb={'id': 'c32bbec0-147b-4fba-9484-7bccb134f93f', 'route': ['p1', 'e9', 'i8', 'x4', 'p2', 'c2']}
1769391344.0735,SENT,18e23de1-78f1-4536-b589-b15cef1fa859,b19b76ab-9a2c-457d-8fe5-1aeb0c0db68b,c4,c5,3380,?,p1,
1769391344.0736456,CREATED,8e9a8fe9-fcef-4314-b337-5f190a75359d,a676d2bc-3eb2-4edf-8c63-4c6618afe756,c4,c5,27,?,?,surb={'id': '5c345d1e-d8ce-456e-9e7d-2ba7d2398ec9', 'route': ['p2', 'e8', 'i2', 'x7', 'p1', 'c4']}
1769391344.2004242,SENT,b4eb7a51-2886-4302-a3cc-83c2ed36f293,074cde80-82ef-4fd9-bb93-4787c2cbf014,c4,c5,3372,?,p1,
1769391344.2005723,CREATED,3c418f4e-534b-42ce-95f3-a40181e29fad,cd9ad967-bbe3-44ac-971a-3aa644702c5b,c4,c5,27,?,?,surb={'id': '9899d0d6-a59b-4593-ba5d-138eb9fa50b8', 'route': ['p2', 'e12', 'i6', 'x6', 'p1', 'c4']}
1769391344.2229517,RECEIVED,c97a2f89-69cf-4201-9d2c-f58b1f180e05,88090005-1433-4553-81f8-f3daae742b41,c5,c4,27,p1,?,surb={'id': 'bbab8ea0-b57e-4d83-8f43-db08d19ce256', 'route': ['p1', 'e10', 'i1', 'x11', 'p2', 'c5']}
1769391344.2534397,SENT,509126b9-c09d-4319-ba2b-ebde7aa0144e,f709030b-10e3-4500-9ebe-9a981c9f2349,c4,c5,3390,?,p1,
