timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759641.8748405,CREATED,07ec0523-5471-475d-844e-1794823e5ede,87ae89a3-f308-4db3-a403-9553ee608518,c5,c1,27,?,?,surb={'id': '72b466de-9563-4787-8afe-ebc5ce4889e9', 'route': ['p1', 'e7', 'i12', 'x5', 'p2', 'c5']}
1769759642.0463753,RECEIVED,446d3bf3-011c-4616-ab86-40b4ce830b83,bd0d6cd7-3b98-4053-96e0-46a1eb85d588,c4,c5,27,p2,?,surb={'id': 'a9e5fc8e-edfb-4a9c-a904-69cb8304d838', 'route': ['p2', 'e11', 'i5', 'x12', 'p1', 'c4']}
1769759642.0532303,SENT,c4a2cb1b-c2b4-4fe9-aaf0-405ae477128f,c105bee8-9690-4c38-9bd7-5221f13cd851,c5,c1,3376,?,p2,
1769759642.053379,CREATED,7f9b40c1-76d8-4db4-a412-b5fa9d103807,fd64a7e7-6044-4c1d-88f2-eed40bc8a92c,c5,c1,27,?,?,surb={'id': '1fa2e4bc-029a-44e8-8508-3269ec95dfa1', 'route': ['p1', 'e7', 'i11', 'x8', 'p2', 'c5']}
1769759642.2116137,RECEIVED,5341da09-6f27-43cb-ad67-bb88ab4cd9cf,ec707a4b-8553-495f-8c7b-350f5d7bb4a5,c2,c5,27,p2,?,surb={'id': 'b431aac2-fe28-4e92-9e1e-ce7dbc2798a1', 'route': ['p2', 'e1', 'i1', 'x12', 'p2', 'c2']}
1769759642.288716,SENT,2a64afe0-5114-4abd-8226-b2da9abddcf8,365e3b0a-867a-429b-8cc3-06a333f7cb84,c5,c1,3393,?,p2,
1769759642.2888477,CREATED,5c1cb964-c855-4c0a-9ec1-0cdaf51a9d6c,53b68ad7-bff2-4f18-ae96-ce1491aa3e35,c5,c1,27,?,?,surb={'id': '3f21cb2b-508c-4f9d-8161-9bccf0add209', 'route': ['p1', 'e11', 'i1', 'x11', 'p2', 'c5']}
1769759642.3552663,RECEIVED,d37cf47b-f12a-4919-a9b3-7d5ad829c9f7,e5bef6cc-e08c-4089-9739-b7f5c58f6029,c4,c5,27,p2,?,surb={'id': '056eb9ba-7132-472a-a3b7-a2e6c09d909a', 'route': ['p2', 'e9', 'i3', 'x9', 'p1', 'c4']}
1769759642.429174,RECEIVED,6a0fdc8e-7cdc-42c1-b597-8d1e5eea7967,18473912-5101-4481-9ef2-69ee678913ba,c2,c5,27,p2,?,surb={'id': '6ae19c41-dbe3-43fd-bbbf-2887292e907b', 'route': ['p2', 'e5', 'i2', 'x10', 'p2', 'c2']}
1769759642.6724162,RECEIVED,e9e6e9f4-1d64-46d4-9fe2-7c21613d06de,7dfd82c7-773a-4151-82cd-609454fac2d4,c2,c5,27,p2,?,surb={'id': 'acba6528-59da-45ee-bbe3-b5bbb309cea7', 'route': ['p2', 'e5', 'i10', 'x4', 'p2', 'c2']}
