timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753475.7724984,SENT,b08f4771-12e7-428c-90ed-5a5de42025e9,cc8cefda-3979-47d9-b8e1-bde65672e571,c3,c1,3366,?,p3,
1769753475.7726297,CREATED,4fea6fa3-68a3-4fb9-acc3-1365150ca1ff,42cab779-4e11-4d0e-a30d-051e59d7866a,c3,c1,27,?,?,surb={'id': '15495351-426d-4043-a068-361dd490a82d', 'route': ['p1', 'e10', 'i4', 'x1', 'p3', 'c3']}
1769753476.1008844,SENT,59740bc0-6c02-471b-b5a2-5c357150b161,c7d50557-2ea3-4e80-b37a-83d7595a2d50,c3,c1,3377,?,p3,
1769753476.101132,CREATED,d0f564bb-bc6f-4d5a-a85a-5a191de44430,262e992a-9b9f-49bb-b5b5-02ddb123ac61,c3,c1,27,?,?,surb={'id': 'a152da34-48c7-4063-aab3-25d254e3c22a', 'route': ['p1', 'e5', 'i3', 'x6', 'p3', 'c3']}
1769753476.135465,RECEIVED,ed115be9-59a0-4ffe-afd6-49245253596e,2a5b9237-fab1-4d26-bb15-3a647d870615,c2,c3,27,p3,?,surb={'id': 'b8ce46ec-6cb4-4e95-880f-5d13749e777d', 'route': ['p3', 'e9', 'i4', 'x9', 'p2', 'c2']}
1769753476.2179015,RECEIVED,01c28284-b82d-4198-884d-8127671fe28b,6222a651-c410-404e-9ecc-c4c0a8b35fe8,c2,c3,27,p3,?,surb={'id': '59c13243-f00b-43e4-b30a-02862cb2b436', 'route': ['p3', 'e7', 'i9', 'x10', 'p2', 'c2']}
1769753476.8123698,RECEIVED,8554c084-8379-4d2f-87a0-8717579e95db,55c2459e-5c6a-4db2-8ce8-5639302bce09,c2,c3,27,p3,?,surb={'id': '14974128-3909-4a2f-960a-93f844294064', 'route': ['p3', 'e3', 'i4', 'x2', 'p2', 'c2']}
1769753477.3207667,SENT,05be9f4e-d6cd-450b-af24-6d61bc0c01f4,1ef4471b-f661-4c26-b9c1-ff90244a75a3,c3,c1,3391,?,p3,
1769753477.32093,CREATED,4610a079-ddd3-48a3-b699-7ddb78e6ac95,232706fb-95d7-41de-8b38-a5f67b82f93d,c3,c1,27,?,?,surb={'id': '00459c5b-6840-453a-93d4-4ee64eabe5dc', 'route': ['p1', 'e4', 'i7', 'x11', 'p3', 'c3']}
1769753477.419719,SENT,8f2a8850-9a93-4b6c-b293-a0d108d3a070,90aa0777-387a-43c1-b382-d3d419066b11,c3,c1,3387,?,p3,
1769753477.4198513,CREATED,eb1caca7-544a-466a-8f92-f857c8105aed,13207b0c-649e-4048-b7cc-a1f65d0eab89,c3,c1,27,?,?,surb={'id': '066077e5-7bdc-4a5b-854c-36fec6eb2cd5', 'route': ['p1', 'e10', 'i6', 'x10', 'p3', 'c3']}
1769753477.4483407,RECEIVED,a51f1ef8-9b73-44d1-8f5a-624df6c9c4de,c885870f-fb79-4657-ab89-13471eed65aa,c2,c3,27,p3,?,surb={'id': 'e9a0b31f-05c4-4a3c-8193-bb67ff28bf72', 'route': ['p3', 'e9', 'i5', 'x12', 'p2', 'c2']}
1769753477.5834699,SENT,e0e1ac27-7017-47f3-9f71-b1848c33b096,34590ef0-17d2-4843-9ccf-e1d6caf04e2c,c3,c1,3391,?,p3,
1769753477.5836036,CREATED,bc2879a7-6344-4968-96eb-e0b4aacbd4be,674a5318-7cb4-4850-84cd-17b20ffb1428,c3,c1,27,?,?,surb={'id': 'c8ff45a3-309f-472d-b9c1-095753045f09', 'route': ['p1', 'e6', 'i4', 'x12', 'p3', 'c3']}
1769753477.7883453,SENT,b3b33a82-a03e-4a54-8eb9-ba3dae265a72,5a36fa35-dbf9-42c4-85f0-caa686c6e0ff,c3,c1,3360,?,p3,
