timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482748.1521943,RECEIVED,54a574e1-c003-4185-8895-223d5a440bec,6cbb2dbd-b860-45ba-9a19-b666c96eb499,c3,c5,27,p2,?,surb={'id': 'd2ecafdd-1767-4db8-8dc7-cf6165e0973e', 'route': ['p2', 'e5', 'i4', 'x9', 'p3', 'c3']}
1769482748.1856384,RECEIVED,24db1fc5-36ae-4b43-9920-c85484ab7f18,3ca98026-0890-48e2-8e44-7ca353e6e686,c4,c5,27,p2,?,surb={'id': '117ce74b-ea03-4fb3-bb8b-0a0533632a63', 'route': ['p2', 'e11', 'i5', 'x3', 'p1', 'c4']}
1769482748.3274894,RECEIVED,6b81cc57-b5a8-4e87-b058-4101c5ef030a,08e6ff84-705f-4447-9614-56afc30aaa32,c4,c5,26,p2,?,surb={'id': 'd2f90fcc-390d-4973-83e0-e415a4bb23d9', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c4']}
1769482748.3538969,RECEIVED,3e20def4-8af2-461f-ad1b-5c374324c529,d4302302-69f2-45a3-b817-0d4322a6a60d,c4,c5,27,p2,?,surb={'id': 'd627f84c-bc69-4844-94c0-f0e3c68bb332', 'route': ['p2', 'e10', 'i8', 'x8', 'p1', 'c4']}
1769482748.3663633,RECEIVED,1da17398-2cb1-4784-b8b4-8ff1afc12181,92c96f38-73d1-4f30-9fa9-9c70391342f2,c3,c5,26,p2,?,surb={'id': '8f2967f8-2e3a-4398-ab05-48a0fb0c5293', 'route': ['p2', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769482748.3924978,SENT,5d84326e-0773-44c8-809a-e29b2f1e276f,db5095af-1fb5-4540-87d0-f52c6a834ade,c5,c3,3400,?,p2,
1769482748.392652,CREATED,aedcd6ab-8449-4fd4-a234-9da89e2ed2a7,c811e84b-6fab-4cdd-b64e-d1957f5cca75,c5,c3,27,?,?,surb={'id': 'a51a7883-5fce-49b9-b421-6a07a801d056', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c5']}
1769482748.3952448,RECEIVED,4b6208e2-ed3f-4222-965e-ecdd65e24d59,0fae17d7-2826-42e5-b75f-41bd42df2211,c1,c5,27,p2,?,surb={'id': '6018c352-abc3-478b-9860-97162a6e4b48', 'route': ['p2', 'e4', 'i12', 'x7', 'p1', 'c1']}
1769482748.518284,RECEIVED,6c33b8db-1cd8-4d73-9424-4196bea3069e,6cc45870-28f5-408e-8a48-7a659e1f5fc6,c1,c5,27,p2,?,surb={'id': '55af1fb3-caef-4463-8519-d2d94ddc7200', 'route': ['p2', 'e3', 'i10', 'x8', 'p1', 'c1']}
1769482748.5649402,RECEIVED,74a7507d-4415-4cb8-aa52-56cfd5e0283c,6cbb2dbd-b860-45ba-9a19-b666c96eb499,c3,c5,27,p2,?,surb={'id': 'd2ecafdd-1767-4db8-8dc7-cf6165e0973e', 'route': ['p2', 'e5', 'i4', 'x9', 'p3', 'c3']}
