timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769756559.6696184,CREATED,cdd26421-3ce4-43d2-a6e8-fbfd7c58f2e5,aa4a1fad-1047-453f-949c-7789b570fedb,c2,c1,27,?,?,surb={'id': '216edc43-adb7-4a7e-80fd-956cec364100', 'route': ['p1', 'e12', 'i3', 'x6', 'p2', 'c2']}
1769756559.8844295,RECEIVED,e6f6dfc2-540e-470e-ad1e-6ab4fd624a93,2e5c7d1f-2851-4897-9f18-14217e29018e,c5,c2,27,p2,?,surb={'id': '6c74f522-1f07-4b43-935d-aaf33f762afa', 'route': ['p2', 'e9', 'i9', 'x4', 'p2', 'c5']}
1769756559.889653,RECEIVED,771567c9-bc6e-4200-9df0-032bf26ba729,87ec4bed-bf14-4598-a860-b3744a29253c,c5,c2,27,p2,?,surb={'id': '92a8bf8a-5459-4201-81ca-97f4d88b9022', 'route': ['p2', 'e5', 'i2', 'x8', 'p2', 'c5']}
1769756559.9802284,SENT,b5aba669-ca37-4068-a198-da6149f99070,cd840251-bcfe-4120-926e-bd90534b0fa0,c2,c1,3371,?,p2,
1769756559.980361,CREATED,04f8c219-5d6a-4db1-aadd-9de0459018b4,832d8d2c-437d-48a9-9852-cf086e4d1f6e,c2,c1,27,?,?,surb={'id': '0fd22378-3aee-44df-b489-e821f29c1ba7', 'route': ['p1', 'e1', 'i6', 'x1', 'p2', 'c2']}
1769756560.2214699,RECEIVED,1fae9f23-228c-4e0e-88c9-243ddcf5cb07,e27f0f04-0e50-412c-84af-aa551f8114f9,c5,c2,27,p2,?,surb={'id': '8718c41f-cfa9-46b9-b668-4d904879f451', 'route': ['p2', 'e1', 'i5', 'x7', 'p2', 'c5']}
1769756560.2842488,RECEIVED,10fc132f-01a6-47d3-a880-9632eaa35a77,884efb57-9735-4f4e-9d4e-0c7e2bc05253,c5,c2,27,p2,?,surb={'id': '3a28846a-b125-4f3f-b288-b6b2a6c75ac1', 'route': ['p2', 'e1', 'i4', 'x7', 'p2', 'c5']}
1769756560.562139,RECEIVED,d6fb77ac-7119-48d8-af62-eca4e7b66a72,387a42da-04cc-4ade-94ac-0c14c29ccda1,c5,c2,26,p2,?,surb={'id': '9609fffd-97fc-4d45-829d-ec98f547336d', 'route': ['p2', 'e8', 'i12', 'x9', 'p2', 'c5']}
1769756560.90476,SENT,fd7e2636-f517-467c-ae97-d16c49bf2b0a,e5a20066-8d32-4c78-b349-20177f950c56,c2,c1,3400,?,p2,
1769756560.9048884,CREATED,2c861bd6-88b4-4d79-bbcc-bda69f20e4c5,a59ff740-b52d-44e4-87f8-d96791d05fde,c2,c1,26,?,?,surb={'id': '382e6382-1735-496f-9abe-712b9973a06a', 'route': ['p1', 'e4', 'i12', 'x8', 'p2', 'c2']}
1769756560.9340634,RECEIVED,69174cc1-af47-4f37-a184-d2c99bf7d3d8,4a8f861f-0432-4bf2-a7b6-ab501c2b3455,c5,c2,26,p2,?,surb={'id': 'ef15f7c8-c0d9-4b68-a9ec-f875b51023fb', 'route': ['p2', 'e5', 'i12', 'x5', 'p2', 'c5']}
1769756561.0157702,SENT,d5dff5f1-d376-418e-9d4c-b7d6b4fc8e08,769e8ad2-9a41-44f0-bf85-7965cd261be0,c2,c1,3379,?,p2,
1769756561.0159004,CREATED,f644db66-a3bb-46aa-88b6-17f11cad38ae,a4e44338-d82d-4ab5-9547-d5f8c09ecfca,c2,c1,27,?,?,surb={'id': '5aa2f635-e9a1-4751-b299-116c221fb0b3', 'route': ['p1', 'e5', 'i3', 'x12', 'p2', 'c2']}
