timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763345.150999,CREATED,7e6d58bf-0589-4a14-bcba-aa101c5ef6de,0296fcb0-3763-4289-8edb-907da18ab6b7,c4,c3,27,?,?,surb={'id': 'c3f65c43-cb71-432e-9f6f-c1f87370e98d', 'route': ['p3', 'e11', 'i7', 'x8', 'p1', 'c4']}
1769763345.5396621,SENT,fecd6ad1-bcd0-46c8-adea-965fbf06db07,1f3678d2-ee29-4192-898b-a0bc6e07ab2d,c4,c3,3401,?,p1,
1769763345.5398135,CREATED,feba9c02-5efb-40ea-950a-2d1b3a59d3b3,fdc6edf7-89bb-45d9-9ff9-b7cce6290b80,c4,c3,27,?,?,surb={'id': 'e8bb01dd-2df7-40bc-ae77-0668ffe279fe', 'route': ['p3', 'e3', 'i7', 'x11', 'p1', 'c4']}
1769763345.6088817,RECEIVED,0927e572-5961-49c8-8a8f-32104e4eb1a0,c8a8c69e-572f-4db0-a1d0-91f1342591ec,c2,c4,27,p1,?,surb={'id': 'd66dfdfe-c2c0-44d0-85e7-438ac3e9558c', 'route': ['p1', 'e7', 'i3', 'x7', 'p2', 'c2']}
1769763345.7514675,RECEIVED,0a184990-450b-422b-b789-4c528b22b1f3,50dc92ab-dc7f-4fd5-ae7c-37d66bd727a3,c2,c4,27,p1,?,surb={'id': 'f219b5ff-7b13-4db4-a6c1-583dd97ac0b8', 'route': ['p1', 'e11', 'i10', 'x5', 'p2', 'c2']}
1769763345.7978523,SENT,a1277c74-1e09-4226-bcbe-9163ddba4475,603ec11a-976e-4aa0-b7ba-5811c6bd8e17,c4,c3,3383,?,p1,
1769763345.7979858,CREATED,663f3d8a-7ad5-4007-b9ee-dbb55556c140,dc19cfaf-e760-468a-8cf8-53ded6daa053,c4,c3,27,?,?,surb={'id': 'a6024c41-0369-4f43-a68a-ffe3383f1295', 'route': ['p3', 'e9', 'i2', 'x4', 'p1', 'c4']}
1769763345.8946223,SENT,43f5068d-a73f-47cb-a4e3-f1e1994f8109,a9f51cec-e19a-4250-8b9b-07fa15683ca4,c4,c3,3368,?,p1,
1769763345.894847,CREATED,0f86f95f-bf11-40c0-9bea-289ab79da314,1ff3b456-8a9a-408b-b356-ae93dfef1e1d,c4,c3,27,?,?,surb={'id': 'cddde8c5-898f-4967-92f6-9ed217fdf92f', 'route': ['p3', 'e12', 'i8', 'x7', 'p1', 'c4']}
1769763345.9643376,RECEIVED,ef939c5d-e43a-445d-9146-1d169fc82b0d,ed2de2b9-a1ae-4ad1-b607-b7762d534f01,c2,c4,27,p1,?,surb={'id': '9ff67cfc-8e1b-44e5-8bbc-cd2db38f95d9', 'route': ['p1', 'e1', 'i9', 'x7', 'p2', 'c2']}
1769763346.0882063,SENT,834f1d42-bba7-4a56-b1ec-0221a881ca6c,23cdf78d-aa7b-4018-986f-2fe652b6151e,c4,c3,3380,?,p1,
1769763346.0883405,CREATED,c60df2d8-9621-4ceb-84f9-b55e1dcd26be,fcb5b340-780c-4912-a2b4-cf50ea45ad04,c4,c3,27,?,?,surb={'id': '5747e623-e34f-4c95-ba09-1adb9e5996b3', 'route': ['p3', 'e8', 'i6', 'x3', 'p1', 'c4']}
1769763346.1207783,SENT,2385f20f-dfc6-4a2a-8f5a-d6c72d2ff6b0,70931570-4f26-4c36-a718-1aedcecbe067,c4,c3,3359,?,p1,
1769763346.1209123,CREATED,5fa38475-f019-45fe-8d12-e31a3f675920,66c74522-bc3b-419a-8ab4-95dbb05516e1,c4,c3,27,?,?,surb={'id': '7b67887e-9f4d-404c-939f-a701c2eb6ea6', 'route': ['p3', 'e1', 'i7', 'x9', 'p1', 'c4']}
1769763346.2295742,SENT,9c8d1e9b-220d-4eb1-9424-7583121ea650,04d9aa80-aa08-48c4-b040-e997dda5485c,c4,c3,3388,?,p1,
