timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443887.0999823,RECEIVED,3389649f-0e47-436b-9a83-6cddc3d0f8c5,c7c12556-9e7f-4bea-b8d4-56b06fc62488,c2,c3,27,p3,?,surb={'id': '537cd6db-c612-45e6-b1b9-31166231e911', 'route': ['p3', 'e5', 'i6', 'x7', 'p2', 'c2']}
1769443887.1249583,SENT,b142906d-bd53-46b8-8489-e244c459c53c,9e903156-b4c1-46ee-976b-d4dda80dc721,c3,DROP,2036,?,p3,
1769443887.125539,CREATED,35214b2e-8a8d-4b50-8ee4-ffa0c70a03ab,9331c499-3643-494d-b5c2-bdc3faba9adc,c3,DROP,27,?,?,
1769443887.2011304,RECEIVED,db976efd-7c9c-4626-b0ac-672687f7d062,32887d52-8e27-423b-8bc3-6f2f81aa8ff4,c1,c3,27,p3,?,surb={'id': '79c57f81-ea34-4c35-a905-12b5b6c68e09', 'route': ['p3', 'e12', 'i4', 'x4', 'p1', 'c1']}
1769443887.3475974,SENT,8363c879-4edf-45fb-acde-a7c8c15c7fbb,922d924a-31bf-4943-8f78-87c1b26b06dd,c3,DROP,2015,?,p3,
1769443887.3479946,CREATED,dea2b939-9e00-4063-a242-a5d526ec4955,28a49932-2260-4a62-9d33-78faa6cd10e7,c3,DROP,26,?,?,
1769443887.4984872,RECEIVED,e3701e97-8679-4e2b-844c-c8aada39da92,63c65ff9-149c-4b78-a238-942600edadcb,c1,c3,27,p3,?,surb={'id': '7dd0380a-3d57-4143-8f8f-df23d2f155a7', 'route': ['p3', 'e1', 'i9', 'x3', 'p1', 'c1']}
1769443887.5316272,RECEIVED,0903658b-7b89-436d-ae21-bbdf85c12249,546930fd-aa07-4428-a194-9b63d0a0e7ce,c2,c3,26,p3,?,surb={'id': 'ef06292f-25df-4bec-a474-4e3784413abe', 'route': ['p3', 'e12', 'i9', 'x5', 'p2', 'c2']}
1769443887.633799,RECEIVED,ffd69d07-63c6-4193-ab08-6697c16ae33b,d70c3c73-59b4-4ed4-99e8-6ff6c632dcf3,c2,c3,27,p3,?,surb={'id': '9b4ccb93-49d2-43d2-bc2d-604e5651213b', 'route': ['p3', 'e7', 'i7', 'x7', 'p2', 'c2']}
1769443887.7066855,RECEIVED,81d86456-a137-452a-930a-fda089552dbc,a482db42-6566-45a2-91c1-127539e39077,c2,c3,26,p3,?,surb={'id': '9c16f9b5-a54a-45a3-b2c6-fb8be56f97db', 'route': ['p3', 'e9', 'i1', 'x10', 'p2', 'c2']}
1769443887.7308698,RECEIVED,6c5b4213-51da-4a58-8b25-99d2b4cd1071,c66afbee-8a38-4b68-abee-8bfe5a1937e7,c1,c3,26,p3,?,surb={'id': 'da9b4902-aa00-41f5-a12b-8589ce550aa8', 'route': ['p3', 'e7', 'i12', 'x9', 'p1', 'c1']}
1769443888.155277,SENT,cfa3c0f3-9a69-4774-b032-131d09d364fc,06ed5898-0aa5-477d-a72b-91984b22c40c,c3,c5,3380,?,p3,
1769443888.1554234,CREATED,cecc4cbc-6000-42f3-8cac-aa3a75894d0b,1574c3dc-4a4b-4f7c-aa2f-b51c252d4952,c3,c5,27,?,?,surb={'id': 'fe1a9b8f-9015-458d-8b35-4533f8444116', 'route': ['p2', 'e6', 'i5', 'x6', 'p3', 'c3']}
1769443888.222124,RECEIVED,05b65055-a61e-474c-ae1d-a70ba98ee85c,a8d47d67-7fa3-4437-a303-9cea809bbc67,c1,c3,26,p3,?,surb={'id': '30816ed3-ecc5-4237-9363-28bdcfba0b2a', 'route': ['p3', 'e12', 'i7', 'x6', 'p1', 'c1']}
1769443888.290785,SENT,93131b86-5b2c-43ec-b9b1-56ee3aa08263,d966fd97-c424-4215-897a-b8c72cf94762,c3,c5,3385,?,p3,
1769443888.2909343,CREATED,b0574df9-ea5c-4ff0-b086-9afa09daa83e,b8d1e7eb-4e82-482f-b3e7-b567eef0e449,c3,c5,27,?,?,surb={'id': '769185a8-bc2e-4edd-bb3e-ae64660ca560', 'route': ['p2', 'e4', 'i5', 'x4', 'p3', 'c3']}
