timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443890.1547413,RECEIVED,abeccd56-ff93-4f17-8b4b-a8418e63a02a,348688f5-023e-474e-973f-589b0859f08a,c5,c4,26,p1,?,surb={'id': 'be4cd897-8d7c-489a-a9a7-e87091afbf24', 'route': ['p1', 'e5', 'i5', 'x9', 'p2', 'c5']}
1769443890.2362535,RECEIVED,d0365df3-d694-4bfb-a019-9a092984d14d,7e36b2b9-1f3a-45d6-84ce-f0679bda19d9,c5,c4,27,p1,?,surb={'id': '5f732063-d1e8-4d9f-87c6-755ca69bcd00', 'route': ['p1', 'e1', 'i12', 'x11', 'p2', 'c5']}
1769443890.4806514,SENT,c57600d5-b3b8-483d-bb1f-6e29e661df33,58b8f118-a38a-4cf9-8c5d-5befd492c7c9,c4,c5,3392,?,p1,
1769443890.4807355,CREATED,93cea2ac-23e8-44e1-8387-515bded95a54,c4aab904-93e9-4f15-8fd9-ac9581638e60,c4,c5,26,?,?,surb={'id': 'e82a283d-bdb4-4001-9287-a571d83b6428', 'route': ['p2', 'e1', 'i8', 'x2', 'p1', 'c4']}
1769443890.6338675,RECEIVED,82bf20ec-278b-4f2c-ba8c-4f06d25115ac,945b01f0-1a1f-453c-a1e1-7f341cbe9197,c5,c4,26,p1,?,surb={'id': '2756583f-0700-4e91-9c7d-ad52c86b5d11', 'route': ['p1', 'e12', 'i12', 'x3', 'p2', 'c5']}
1769443890.6560776,SENT,81d58517-ad88-43c4-98ed-2c49773efe07,f5c1d7e4-4e5c-4d21-bad1-64cfb656a290,c4,c5,3399,?,p1,
1769443890.6562307,CREATED,98ff501a-25db-43bd-83a7-0bb5c1d93388,5b86bd5a-b9f4-483b-b590-2a97795671ad,c4,c5,26,?,?,surb={'id': 'e905d3eb-dde0-484a-8e02-a84fe0bd62a1', 'route': ['p2', 'e4', 'i10', 'x11', 'p1', 'c4']}
1769443890.6897054,SENT,bc5d2336-a1ae-4e21-bd85-95d8c5d6bc91,9d2961a7-d26e-4a42-851e-6ad9df245e01,c4,c5,3392,?,p1,
1769443890.6898558,CREATED,5973643a-f4fd-4b29-8924-258db1786e6e,d4bd3559-81e9-46c9-a93e-43d33e281da9,c4,c5,27,?,?,surb={'id': '896f597d-a1a4-4ada-88f8-457a57f055cb', 'route': ['p2', 'e1', 'i11', 'x11', 'p1', 'c4']}
1769443891.2298512,RECEIVED,21c2ff6a-8756-42d4-bb6d-02c89ff5732d,a22d4dbb-7518-4a6e-880b-0c32e478815c,c5,c4,27,p1,?,surb={'id': '69fdc77d-1616-403b-9995-bde53ec0e72d', 'route': ['p1', 'e4', 'i8', 'x3', 'p2', 'c5']}
1769443891.274081,RECEIVED,1737aae2-7fa2-4cca-9754-91ab2301bad1,1b720cf1-e003-46c3-ba18-049fb9f739e6,c5,c4,27,p1,?,surb={'id': '05fda379-8fd2-4f21-8f7b-96e89b21e603', 'route': ['p1', 'e10', 'i6', 'x5', 'p2', 'c5']}
1769443891.3469317,SENT,5eabd052-3f94-45be-b782-d9f5e56716c5,8afa3715-f901-4dc5-a860-b9e7ba31c6ea,c4,c5,3374,?,p1,
