timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443885.881357,CREATED,21c2ff6a-8756-42d4-bb6d-02c89ff5732d,a22d4dbb-7518-4a6e-880b-0c32e478815c,c5,c4,27,?,?,surb={'id': '69fdc77d-1616-403b-9995-bde53ec0e72d', 'route': ['p1', 'e4', 'i8', 'x3', 'p2', 'c5']}
1769443886.069777,SENT,71521cba-e19d-4e19-88a5-026b5283c961,bbeededf-f0cc-453c-bc48-3a0588572631,c5,c4,3396,?,p2,
1769443886.0699422,CREATED,ac846cca-c15b-4c88-8560-0e60c919559e,16e6aca7-791c-467a-8b63-efb7db70db8d,c5,c4,27,?,?,surb={'id': 'd2cb3ae6-a803-45ca-a6d0-596d743d9c5a', 'route': ['p1', 'e5', 'i11', 'x11', 'p2', 'c5']}
1769443886.1487417,SENT,b203fc52-c3ad-49c6-8000-023c7643ddbe,cdaa42ce-23ae-4b1d-a06e-fcb414fa57ba,c5,c4,3375,?,p2,
1769443886.1488984,CREATED,08d025b0-cf80-4467-95ac-1a2f1fc841ce,2fd86b24-4b34-48f4-964e-cef4035146a5,c5,c4,27,?,?,surb={'id': '014364d3-5f5e-4e9c-85e8-440bd943048c', 'route': ['p1', 'e6', 'i4', 'x4', 'p2', 'c5']}
1769443886.2409916,RECEIVED,19054c9b-739d-4431-a9e1-9467c8dc6b92,4ffe3d3d-22cd-4d85-9ded-234d06a901a8,c4,c5,26,p2,?,surb={'id': '67662f88-7040-4df0-95d1-5ddf79cab929', 'route': ['p2', 'e11', 'i6', 'x8', 'p1', 'c4']}
1769443886.3122094,SENT,9372b0dc-1621-44bf-8817-b6c25294088a,89b47b71-1c1b-4872-beb1-c2a669f9c090,c5,c4,3388,?,p2,
1769443886.3123574,CREATED,1e553433-f41f-4704-88d3-96f866d063d0,31d13f34-807c-4699-b761-85e9ec25923a,c5,c4,27,?,?,surb={'id': 'b497ef5c-73e4-48d8-af89-0746a54189ea', 'route': ['p1', 'e11', 'i9', 'x3', 'p2', 'c5']}
1769443886.4638433,RECEIVED,f4c1e675-d1fd-410b-85a6-6e51102d94d0,6c36c264-b322-48f9-861a-01460a7bb500,c4,c5,27,p2,?,surb={'id': '0696005f-7ea7-4b37-aa11-2d07f42437e3', 'route': ['p2', 'e8', 'i3', 'x6', 'p1', 'c4']}
1769443886.7992086,RECEIVED,46d4bbc0-47d1-40f1-bd03-0993b12148fb,0402d9af-41c1-4d5c-95a2-878fe7426348,c3,c5,27,p2,?,surb={'id': 'c11319c2-9eb8-42ec-8cf4-041d728586a1', 'route': ['p2', 'e7', 'i9', 'x8', 'p3', 'c3']}
1769443886.8985853,RECEIVED,88d533bc-aa7d-4213-8f4d-f5c179788745,21a2f3f2-b837-460f-919f-715b9e824e6c,c4,c5,27,p2,?,surb={'id': '15ac39e2-c503-4c12-a082-ca1b5d862b95', 'route': ['p2', 'e4', 'i6', 'x12', 'p1', 'c4']}
1769443887.1956716,SENT,a403f706-ecff-4bee-afe9-51eca06c76ec,50ed5f50-e122-4d8a-a7f2-30440f2d1bc7,c5,c4,3383,?,p2,
1769443887.1958134,CREATED,fecfafe0-20cf-4a47-b0b2-e6da7244e9d0,c2d88852-a8c1-4013-a06c-88a36b5eb8ad,c5,c4,27,?,?,surb={'id': 'a6302215-ed32-44ec-9998-7bf437dcfd61', 'route': ['p1', 'e7', 'i8', 'x12', 'p2', 'c5']}
1769443887.2170694,RECEIVED,4ad64073-8209-4fbf-93c3-2d5ec8cb5937,5fc32742-0610-4722-b1f1-58ae21ee5c23,c4,c5,27,p2,?,surb={'id': 'e5776c34-88c3-45a1-8552-7f0bbd41303e', 'route': ['p2', 'e1', 'i9', 'x4', 'p1', 'c4']}
1769443887.2816465,RECEIVED,ffc36454-cfdc-4089-90ec-1bb0afd106f6,3a3996b0-a032-4467-8b33-f0ae91ea7952,c3,c5,27,p2,?,surb={'id': '5c42260c-0150-4745-8f0f-475e7991c145', 'route': ['p2', 'e11', 'i4', 'x3', 'p3', 'c3']}
1769443887.3346443,SENT,1cba7834-c5a1-41fc-ab1e-8e2aec7277ed,5b0476e9-7383-45b8-b073-647d10802940,c5,c4,3380,?,p2,
1769443887.334792,CREATED,20efe384-ad49-4e32-bc32-1f9504840f65,02bdf7c1-b201-41cd-b9d5-7a736ec14db6,c5,c4,27,?,?,surb={'id': 'dcab66dd-077e-4874-b064-bddb1852270e', 'route': ['p1', 'e1', 'i1', 'x5', 'p2', 'c5']}
1769443887.4352589,RECEIVED,cc0d8b2f-5cf5-4e5d-aa17-0f57f0c25c65,52ecc2e8-dc5e-4d6a-82ce-7796cd591145,c3,c5,27,p2,?,surb={'id': '9b8e6858-7e71-4e33-b092-065c1713ce9a', 'route': ['p2', 'e8', 'i7', 'x4', 'p3', 'c3']}
1769443887.4742112,RECEIVED,b7c855b7-e410-45db-86d9-9dd322c4af80,98ccbcc9-1aca-41cb-b607-e55e17b79af9,c4,c5,27,p2,?,surb={'id': 'd12f5db0-ab20-4a7e-b6d6-c8a9f4e80958', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769443887.8482537,SENT,f62ae866-8559-4ee5-8eaa-28098c367d3b,d140e105-58ad-4c17-bcdf-dec50535040c,c5,c4,3360,?,p2,
1769443887.848396,CREATED,f9866714-a8fb-4160-8822-f8c51aeb8aa9,13807b84-315b-45b8-b996-d393f1d44383,c5,c4,26,?,?,surb={'id': 'cbb71767-ccfb-429e-bdaa-8e7383f63dac', 'route': ['p1', 'e1', 'i12', 'x8', 'p2', 'c5']}
1769443887.9410174,RECEIVED,6fdb9d47-573c-4359-8234-c8903edd2215,04eea575-b92f-4f8a-89c6-317f14ccfe4e,c3,c5,27,p2,?,surb={'id': '02e11f88-7510-472d-af71-af91cb6004e2', 'route': ['p2', 'e5', 'i4', 'x3', 'p3', 'c3']}
1769443888.0604188,RECEIVED,75dd8ab0-129f-4550-a62a-56defc12426e,423a1597-a657-4bb1-859d-b39f5d5c1407,c4,c5,27,p2,?,surb={'id': '6ebbc2c8-106e-4872-a635-8d48c8bdf84f', 'route': ['p2', 'e1', 'i10', 'x6', 'p1', 'c4']}
1769443888.0826385,RECEIVED,6ef19732-3b74-4f3e-9c55-44b956d94430,5366c748-177f-41ec-a4f0-27afcf76deea,c3,c5,25,p2,?,surb={'id': 'af59880a-cd12-4240-a0ec-66e7cfd976ed', 'route': ['p2', 'e9', 'i8', 'x12', 'p3', 'c3']}
1769443888.1091075,SENT,788cd886-8ec8-4fd4-8485-e7852959b258,2197e8dd-6539-4035-93dd-3d0a7c136381,c5,c4,3367,?,p2,
1769443888.1092672,CREATED,14795a8b-4639-4866-922a-94a584b5aebe,62e0de4c-01d3-490a-853a-5629201655be,c5,c4,26,?,?,surb={'id': '283215c5-41ca-4087-9e83-bedb38cdebb9', 'route': ['p1', 'e2', 'i6', 'x7', 'p2', 'c5']}
1769443888.2985194,SENT,6a2e82b1-09db-47a3-af8f-a8cbf03f783f,afe2256b-5fdf-4ee6-bedc-0ee8b1146f68,c5,c4,3371,?,p2,
1769443888.298671,CREATED,859850c3-26ad-480b-9734-a16da77d39f8,508e9aeb-847d-4e31-9218-b25fcba92a96,c5,c4,27,?,?,surb={'id': '905398b5-2c14-4c44-82c8-6196ceada093', 'route': ['p1', 'e4', 'i11', 'x8', 'p2', 'c5']}
1769443888.320555,RECEIVED,1a8c1277-73ac-4f8e-bcef-452e8f6bc80c,2cc20073-5957-4d8e-874f-609a12b986c9,c4,c5,27,p2,?,surb={'id': 'c7010a3c-804b-480f-9359-6d2d2e4476f4', 'route': ['p2', 'e6', 'i10', 'x10', 'p1', 'c4']}
1769443888.444003,RECEIVED,09c27de1-8598-4304-b327-057369341f11,537c0b8e-c876-4fdf-8c49-043f3e10eb83,c4,c5,27,p2,?,surb={'id': '0100789f-9ea8-437f-82ca-c4d42150077f', 'route': ['p2', 'e10', 'i8', 'x10', 'p1', 'c4']}
1769443888.5549405,RECEIVED,774fa945-3995-4f8d-95e6-ddc970a1b1fc,06aa81e6-47ee-4d9e-8351-6f76746d4a1b,c3,c5,27,p2,?,surb={'id': '8f1c082b-9639-4064-a07a-93bcebb3314f', 'route': ['p2', 'e8', 'i3', 'x6', 'p3', 'c3']}
1769443888.5622954,SENT,a7dfed67-53b6-4c26-82bf-3f78339a17e5,766ce911-045f-488c-8242-0ec5e3d2c414,c5,c4,3377,?,p2,
1769443888.5624444,CREATED,abeccd56-ff93-4f17-8b4b-a8418e63a02a,348688f5-023e-474e-973f-589b0859f08a,c5,c4,26,?,?,surb={'id': 'be4cd897-8d7c-489a-a9a7-e87091afbf24', 'route': ['p1', 'e5', 'i5', 'x9', 'p2', 'c5']}
1769443888.709646,SENT,45530f11-dceb-4838-8f4f-3f7c2277ea23,5dcfad01-a217-4867-b011-08a57fa47cc6,c5,c4,3392,?,p2,
1769443888.709794,CREATED,d0365df3-d694-4bfb-a019-9a092984d14d,7e36b2b9-1f3a-45d6-84ce-f0679bda19d9,c5,c4,27,?,?,surb={'id': '5f732063-d1e8-4d9f-87c6-755ca69bcd00', 'route': ['p1', 'e1', 'i12', 'x11', 'p2', 'c5']}
1769443888.7543466,RECEIVED,0fc9b463-2205-4d61-81fb-4b23c44172b4,de093358-72a8-4438-bee2-f76d2985410b,c4,c5,27,p2,?,surb={'id': 'c2a581c9-d810-4c84-8c61-6a2468aa57a7', 'route': ['p2', 'e2', 'i9', 'x10', 'p1', 'c4']}
