timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504958.2516508,RECEIVED,0c0928a4-a3d2-48e5-a38e-80414a0aa3a5,4d64078c-2a9b-4c3d-a10d-29f7674a87b7,c3,c5,27,p2,?,surb={'id': '593c6498-a626-4dd0-988d-b655b8a71b04', 'route': ['p2', 'e10', 'i12', 'x6', 'p3', 'c3']}
1769504958.6254113,RECEIVED,224da7d9-de5c-4d3f-bf57-6242cb2302b7,85baa40e-bfbf-4b00-9cf3-81ff00285495,c4,c5,26,p2,?,surb={'id': '68aba558-45a4-4a37-b2b8-11e9d1d1c1f5', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769504958.7552881,RECEIVED,0efa5000-af17-4d6c-8518-56b4a17b3321,4952fa67-2376-4877-ae1c-50cc39617a48,c4,c5,26,p2,?,surb={'id': 'e9167896-511f-4d9f-a8f1-69b984edabae', 'route': ['p2', 'e6', 'i3', 'x6', 'p1', 'c4']}
1769504958.826372,SENT,2bec0160-86a3-4780-a80a-62caa80a5015,e9777f54-fe8e-4b36-99a5-994500b169e2,c5,c3,3371,?,p2,
1769504958.8265195,CREATED,f263f295-65e9-4b9c-8050-dd4ec494785d,36da240d-efc5-4361-9afc-d47bb1036d3d,c5,c3,27,?,?,surb={'id': 'c98674ea-997b-46d2-94ed-f72891b02dbe', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
1769504958.8808508,SENT,49d21470-1de0-4a9d-8c6b-4673907f5e8c,6903eaa0-4f71-49ad-ba0b-2550c4bad8f1,c5,c3,3376,?,p2,
1769504958.8810003,CREATED,d574c05e-8d46-46d4-87e3-efbbccf745bd,37ec72ed-38a0-4047-a19b-6621f65f09ee,c5,c3,27,?,?,surb={'id': '05f164ad-feec-4ee9-9d5a-38a396a28417', 'route': ['p3', 'e5', 'i2', 'x1', 'p2', 'c5']}
1769504958.899617,RECEIVED,f92ce4c2-4d6b-4aa0-a07c-7fd1570fa7f4,ff146492-f8b9-4747-91e4-2abb54d2d789,c4,c5,27,p2,?,surb={'id': '464e23cc-004b-4978-8c77-0b3ff93efccd', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769504959.038896,SENT,b4de9704-ee57-4215-aca6-8a4fdb8952ab,410cec58-f225-4ed0-b755-f81ae04fba4d,c5,c3,3375,?,p2,
1769504959.039041,CREATED,60896b63-d4fb-45da-b5bd-fffec1a920b7,37ec72ed-38a0-4047-a19b-6621f65f09ee,c5,c3,27,?,?,surb={'id': '05f164ad-feec-4ee9-9d5a-38a396a28417', 'route': ['p3', 'e5', 'i2', 'x1', 'p2', 'c5']}
1769504959.0867097,RECEIVED,d6269f54-bc27-4c3d-ac8e-ff14c72eff10,9270e299-88b0-4aab-8191-59e49a6123b6,c4,c5,27,p2,?,surb={'id': '6b70979e-7301-482e-837c-f93c5ebb59d0', 'route': ['p2', 'e2', 'i1', 'x6', 'p1', 'c4']}
1769504959.1864038,RECEIVED,628280b5-f6aa-4c2e-8ea0-005c18703da2,704cb7cf-e747-4e72-bd88-081a56aec63f,c4,c5,26,p2,?,surb={'id': 'cd071d23-cff9-46be-92d8-a9439b9d3940', 'route': ['p2', 'e7', 'i7', 'x1', 'p1', 'c4']}
1769504959.2429037,RECEIVED,2460c121-42da-4206-a3d3-239f0c9b1089,b7282d40-6648-4024-b7d2-31e840755c8a,c3,c5,27,p2,?,surb={'id': '6f9d28d3-7a8f-43b5-8a54-b43a33b105eb', 'route': ['p2', 'e4', 'i9', 'x10', 'p3', 'c3']}
1769504959.6027339,RECEIVED,c337b45c-1020-4c91-9450-7b1c97b1cb52,b133c36d-62a7-4369-b5f9-7db2c574789c,c4,c5,27,p2,?,surb={'id': 'c202b83e-c137-4e73-9f82-ad8ec393c04d', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c4']}
1769504959.6547341,RECEIVED,42a62e69-9d7e-4caf-b643-fd392a9d6e30,ff146492-f8b9-4747-91e4-2abb54d2d789,c4,c5,27,p2,?,surb={'id': '464e23cc-004b-4978-8c77-0b3ff93efccd', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769504959.8816755,SENT,6e7d6b05-6fbb-4d6a-b2ea-ba126220b2dc,4c9cf9e4-972d-4f25-9b15-03a3e40af0f7,c5,c3,3385,?,p2,
1769504959.881825,CREATED,35e5df6a-1b42-4913-bb70-f6178af58d60,ccbd003e-92b0-46d4-9197-3f7bb38d7066,c5,c3,27,?,?,surb={'id': 'a2dd57d4-41ee-4898-9089-aa3e9bd6d156', 'route': ['p3', 'e12', 'i2', 'x1', 'p2', 'c5']}
1769504960.0903265,SENT,d6214699-b0b0-4c9d-a7e5-e2752579eac7,696347b6-01f7-4b50-ae81-dcf23cf9cab5,c5,c3,3396,?,p2,
1769504960.0905032,CREATED,c1a36c9d-4bf7-4922-8d39-3de0a89d2164,ccbd003e-92b0-46d4-9197-3f7bb38d7066,c5,c3,27,?,?,surb={'id': 'a2dd57d4-41ee-4898-9089-aa3e9bd6d156', 'route': ['p3', 'e12', 'i2', 'x1', 'p2', 'c5']}
1769504960.1281667,RECEIVED,18ea5082-1a84-442d-af8c-1ba686ca27f2,ddcf0108-56de-4217-8630-3c17cdc3681e,c3,c5,27,p2,?,surb={'id': '8659935f-6fd2-44b9-81ad-2ee38888d375', 'route': ['p2', 'e9', 'i9', 'x9', 'p3', 'c3']}
1769504960.1333992,RECEIVED,dc072f02-d4f7-4e17-9f99-4c260c8c0490,ddcf0108-56de-4217-8630-3c17cdc3681e,c3,c5,27,p2,?,surb={'id': '8659935f-6fd2-44b9-81ad-2ee38888d375', 'route': ['p2', 'e9', 'i9', 'x9', 'p3', 'c3']}
1769504960.1812842,RECEIVED,3725e536-509c-406f-a8c5-50bdae3d078d,85baa40e-bfbf-4b00-9cf3-81ff00285495,c4,c5,26,p2,?,surb={'id': '68aba558-45a4-4a37-b2b8-11e9d1d1c1f5', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769504960.5779843,RECEIVED,6645f9e4-075d-49f9-ad6c-d0ae1659c0cf,b7282d40-6648-4024-b7d2-31e840755c8a,c3,c5,27,p2,?,surb={'id': '6f9d28d3-7a8f-43b5-8a54-b43a33b105eb', 'route': ['p2', 'e4', 'i9', 'x10', 'p3', 'c3']}
1769504960.7144043,RECEIVED,9f115362-b071-4c36-8fe7-2e605b13c48e,2ffd635f-ebf9-40c6-be6a-fb590af751c3,c3,c5,26,p2,?,surb={'id': 'd49555cd-93ff-46b7-b5a3-781a994889c1', 'route': ['p2', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769504960.7485461,RECEIVED,cc8e6b41-2f36-4717-a7a0-d34c2bef8cda,9270e299-88b0-4aab-8191-59e49a6123b6,c4,c5,27,p2,?,surb={'id': '6b70979e-7301-482e-837c-f93c5ebb59d0', 'route': ['p2', 'e2', 'i1', 'x6', 'p1', 'c4']}
1769504960.8942492,SENT,eec6851e-0cb4-4ff3-88ae-058b13f06c36,f22034d5-dfa9-410d-9c41-acc937228327,c5,c3,3401,?,p2,
1769504960.8944006,CREATED,047d77fb-9b64-4a4a-bc29-cadfecece52c,68bf4181-5e87-4be8-b64d-15b1285c9932,c5,c3,27,?,?,surb={'id': '732e972f-88da-4fdc-aadc-092292d4aa47', 'route': ['p3', 'e9', 'i6', 'x10', 'p2', 'c5']}
1769504960.947135,RECEIVED,4d20234f-e7df-47b8-81ea-65be578c7be9,2ffd635f-ebf9-40c6-be6a-fb590af751c3,c3,c5,26,p2,?,surb={'id': 'd49555cd-93ff-46b7-b5a3-781a994889c1', 'route': ['p2', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769504960.9666557,RECEIVED,3747d342-6d84-4d4f-94fe-f0f558d7f344,8c235650-1a27-40e5-b0d6-6734a1b5cc2c,c4,c5,26,p2,?,surb={'id': 'bf9fea4d-d2a2-4e0d-be7c-643e6dc3328c', 'route': ['p2', 'e4', 'i8', 'x9', 'p1', 'c4']}
1769504961.1054,RECEIVED,09967d15-aef8-48e0-a656-bd647991b838,783efad0-6b17-473a-a294-0bbfe7c45671,c4,c5,26,p2,?,surb={'id': 'd2d87cca-8274-43e7-8193-cd46881694f5', 'route': ['p2', 'e12', 'i7', 'x5', 'p1', 'c4']}
1769504961.1635413,RECEIVED,89324c8f-3cfa-4425-a150-9cf496b4f199,21bf00ba-cbc5-4b60-9bfe-02190cc5576d,c4,c5,27,p2,?,surb={'id': 'f0893dc2-f892-4bad-bfb6-544d0418d51a', 'route': ['p2', 'e11', 'i4', 'x10', 'p1', 'c4']}
1769504961.4952507,RECEIVED,19007631-791f-4d44-8e46-3ecb4efed0c3,c70e6050-e1e2-43d5-8599-3fd7f9a59977,c4,c5,27,p2,?,surb={'id': 'a0e0eae7-1cba-4534-bb02-c083fda1882b', 'route': ['p2', 'e9', 'i12', 'x5', 'p1', 'c4']}
1769504961.633127,RECEIVED,df23e75d-6ad6-4513-8990-239628bdd6ec,b133c36d-62a7-4369-b5f9-7db2c574789c,c4,c5,27,p2,?,surb={'id': 'c202b83e-c137-4e73-9f82-ad8ec393c04d', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c4']}
