timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744223.6907694,CREATED,58bc230d-c43c-4ea8-aa65-00962968fcda,09bdaad0-ac80-4a89-8ec3-16353060e928,c3,c1,27,?,?,surb={'id': 'df9774b3-e67d-47cd-b160-2f9b885a58ad', 'route': ['p1', 'e6', 'i8', 'x2', 'p3', 'c3']}
1769744223.931509,RECEIVED,d89d3944-ae5d-4e7c-a981-fe13ee071e7a,1c676af9-2ac7-4665-88aa-64629ff9e5eb,c1,c3,27,p3,?,surb={'id': '780c3519-ab3e-422d-a440-83e06282633a', 'route': ['p3', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769744223.9974566,RECEIVED,03156899-1989-40b9-aa17-eb11864f1a36,1c676af9-2ac7-4665-88aa-64629ff9e5eb,c1,c3,27,p3,?,surb={'id': '780c3519-ab3e-422d-a440-83e06282633a', 'route': ['p3', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769744224.2784624,SENT,b3fe6381-148a-487d-907f-697e9ac0e3f3,ad277aa4-eb74-4888-86db-c67c66ff8dbd,c3,c1,3380,?,p3,
1769744224.2785952,CREATED,938d1ac7-a59d-469f-a210-fc2bdea2f6c8,460e945d-0e22-403b-ade3-1d1134faffa7,c3,c1,27,?,?,surb={'id': 'ee62837e-0888-4467-8a5e-656ea89472c8', 'route': ['p1', 'e4', 'i9', 'x12', 'p3', 'c3']}
1769744224.3454316,RECEIVED,123a2264-3943-48d9-b0b2-8ff946a7f42e,abd71b2f-0cba-4d01-9f7e-d67c4ba9095d,c1,c3,27,p3,?,surb={'id': 'd2205e94-c898-483f-85d3-1f77eb0d6a24', 'route': ['p3', 'e12', 'i1', 'x8', 'p1', 'c1']}
1769744224.7109423,SENT,3ac8e418-9e43-4e71-b19a-b9d2a9ebd43e,c4a39e28-c620-451f-bf58-8caa9a67ae12,c3,c1,3385,?,p3,
1769744224.711082,CREATED,39e44109-f1fe-429e-b79c-37487f8c0dbb,460e945d-0e22-403b-ade3-1d1134faffa7,c3,c1,27,?,?,surb={'id': 'ee62837e-0888-4467-8a5e-656ea89472c8', 'route': ['p1', 'e4', 'i9', 'x12', 'p3', 'c3']}
1769744224.912083,RECEIVED,2d2da99b-ea2f-4952-af4e-48a74fd00495,c1d8c16f-b9af-4b67-b8ca-58accd34cd47,c1,c3,27,p3,?,surb={'id': 'e7577094-abac-428d-8ac5-329779c9ec37', 'route': ['p3', 'e11', 'i2', 'x7', 'p1', 'c1']}
1769744224.9614637,RECEIVED,6f59ab49-8db9-4272-a989-c907c76890ce,abd71b2f-0cba-4d01-9f7e-d67c4ba9095d,c1,c3,27,p3,?,surb={'id': 'd2205e94-c898-483f-85d3-1f77eb0d6a24', 'route': ['p3', 'e12', 'i1', 'x8', 'p1', 'c1']}
1769744224.9745429,RECEIVED,7e5f11f7-3216-4706-a94e-3eb85b80a58e,c1d8c16f-b9af-4b67-b8ca-58accd34cd47,c1,c3,27,p3,?,surb={'id': 'e7577094-abac-428d-8ac5-329779c9ec37', 'route': ['p3', 'e11', 'i2', 'x7', 'p1', 'c1']}
1769744225.7706208,RECEIVED,8245961c-055f-4c33-967e-d6241083f2b5,302808d1-c621-4c2f-8630-530ba5d0f813,c1,c3,26,p3,?,surb={'id': 'b6e388d6-7528-4887-825b-0da6d94f14c6', 'route': ['p3', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769744225.9141998,RECEIVED,2a5b3e6f-4c9f-4dad-963c-418c123f2a7c,302808d1-c621-4c2f-8630-530ba5d0f813,c1,c3,26,p3,?,surb={'id': 'b6e388d6-7528-4887-825b-0da6d94f14c6', 'route': ['p3', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769744225.927226,SENT,54e3cd54-6193-4fc9-9b7b-fcb7d62e4a31,159f2e5c-5a8a-42ca-bfc3-0aad10faa5c0,c3,c1,3392,?,p3,
1769744225.927361,CREATED,003a7fa7-1dcd-46ce-a889-69b496c87b33,f307eef7-abd7-47d2-8afd-9ea3adc6c2ba,c3,c1,27,?,?,surb={'id': '832a35b2-d4b2-46ca-8cd5-fb542e0a67b3', 'route': ['p1', 'e1', 'i11', 'x5', 'p3', 'c3']}
1769744226.3699892,SENT,66a7efa7-b92c-45ed-b3b3-4507b2933219,9af81ede-5307-4248-895d-66bf63a11a93,c3,c1,3379,?,p3,
