timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467937.4106207,SENT,09559b6b-32ac-47cb-9252-bfe5ebb96c71,4420d907-f034-49bf-9375-0ebd5a9ee412,c1,c2,3396,?,p1,
1769467937.41081,CREATED,5ee8f046-e49c-4fdf-90b4-12e18eb66437,44e8a973-b5eb-49a8-a1f2-e44c03c52d34,c1,c2,27,?,?,surb={'id': '625ccfc2-d2d3-475e-a17a-46475dac0c92', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769468101.3337507,SENT,47f31962-1e55-4148-814e-d464dcfbe23c,5d1b3bdd-56d5-484b-80ef-e17814f99431,c1,c2,3387,?,p1,
1769468101.3338861,CREATED,b0393ed6-147d-42a0-ac0b-17055b250e8e,65d03c0d-da10-44e8-9472-214938cbdf39,c1,c2,27,?,?,surb={'id': '968a427a-ef64-48bf-a18b-78cda8a32513', 'route': ['p2', 'e11', 'i8', 'x12', 'p1', 'c1']}
1769468101.4616625,RECEIVED,c3e194e3-6e35-4126-89b1-be790ee542f8,c62f767f-6955-4e38-8800-1ea725ed3986,c3,c1,27,p1,?,surb={'id': '90d32db9-1050-485c-8355-714848cf5959', 'route': ['p1', 'e11', 'i12', 'x10', 'p3', 'c3']}
1769468101.5852175,RECEIVED,bc2a4e4a-dbcd-45ba-a898-92a66ea0655c,602d0b7c-9e3a-4db9-99c7-8719e6394b07,c3,c1,27,p1,?,surb={'id': '59ad31be-4308-464f-9ace-4560b74d169a', 'route': ['p1', 'e4', 'i8', 'x11', 'p3', 'c3']}
1769468101.5977914,SENT,56802ddd-03d8-4822-a2e2-9dac57dde870,2564fbdd-3904-425d-9afb-98da9c677573,c1,c2,3378,?,p1,
1769468101.5979085,CREATED,fbb546b8-9a3b-464f-a320-05c6b5569ecb,8747e972-745c-43be-b4eb-6901b089c16b,c1,c2,27,?,?,surb={'id': 'd40833ce-d2c4-41e9-9561-d421aab88c15', 'route': ['p2', 'e9', 'i9', 'x2', 'p1', 'c1']}
1769468101.690902,RECEIVED,542b612a-9f00-4c47-974d-5e64ff3b8336,602d0b7c-9e3a-4db9-99c7-8719e6394b07,c3,c1,27,p1,?,surb={'id': '59ad31be-4308-464f-9ace-4560b74d169a', 'route': ['p1', 'e4', 'i8', 'x11', 'p3', 'c3']}
1769468101.973339,SENT,c3aae056-7738-4854-b9ee-5c3d8cf5de32,65be7878-3b3a-4194-8528-2adb6582618c,c1,c2,3360,?,p1,
1769468101.973426,CREATED,82f3f301-f794-484f-a666-9631334c1122,8747e972-745c-43be-b4eb-6901b089c16b,c1,c2,27,?,?,surb={'id': 'd40833ce-d2c4-41e9-9561-d421aab88c15', 'route': ['p2', 'e9', 'i9', 'x2', 'p1', 'c1']}
1769468102.030747,SENT,f491defb-26ac-4594-a224-a926dd4a1862,0a3a1de7-07d5-4426-a94c-094dcb497a27,c1,c2,3391,?,p1,
1769468102.0308332,CREATED,2ce1273d-c9b3-44e8-8e61-c6e479a73d9f,ccb02d5a-a1d5-4211-a6e5-bf2ca90255b9,c1,c2,27,?,?,surb={'id': '70772c22-9b38-439a-8227-b06a7c708e42', 'route': ['p2', 'e2', 'i10', 'x11', 'p1', 'c1']}
1769468102.2194233,RECEIVED,7e56176f-4cfb-4d52-8175-a77ebf63bccb,288d3dfc-ea17-412d-9a11-dee5d15eb9ff,c3,c1,27,p1,?,surb={'id': 'bbe2146e-0cb5-49eb-90bb-d33bebf97a97', 'route': ['p1', 'e11', 'i12', 'x8', 'p3', 'c3']}
1769468102.3166552,RECEIVED,cfbf0333-c70e-47db-a111-3a5557b03648,569ebfac-b9ff-428a-9bc2-a45a66748965,c3,c1,26,p1,?,surb={'id': '76a96e1f-69af-440b-8f10-dd8bb9824951', 'route': ['p1', 'e5', 'i6', 'x10', 'p3', 'c3']}
1769468102.319645,SENT,dd6b0ffe-e8b7-44be-9fe2-635a3a6b171f,fa94a572-ed03-47ff-a364-0cf1325dc942,c1,c2,3398,?,p1,
1769468102.3197205,CREATED,0c69be4a-6ceb-4571-b9c4-676299c5ae6b,ccb02d5a-a1d5-4211-a6e5-bf2ca90255b9,c1,c2,27,?,?,surb={'id': '70772c22-9b38-439a-8227-b06a7c708e42', 'route': ['p2', 'e2', 'i10', 'x11', 'p1', 'c1']}
1769468102.354193,SENT,f7feaa3d-182f-4459-bf4e-ac03b274df0e,70ca795b-08bd-4c07-97cf-839c91b51a15,c1,c2,3376,?,p1,
1769468102.3542707,CREATED,ca7960a0-4e1a-495c-bba9-f8c8a75cba95,c7468a23-ac63-467c-8f89-ce44d54e1ac4,c1,c2,27,?,?,surb={'id': '5775d521-bcae-4e7e-904c-1e473e60fd4b', 'route': ['p2', 'e5', 'i6', 'x2', 'p1', 'c1']}
1769468102.8922377,SENT,b47a044b-e7c2-4ff4-a0ec-2512a91c25de,e05f8161-8bcf-45b8-a81e-b33f2479450a,c1,c2,3380,?,p1,
1769468102.892338,CREATED,9a0395ca-1831-4a14-a5f4-0e319056b6b3,c7468a23-ac63-467c-8f89-ce44d54e1ac4,c1,c2,27,?,?,surb={'id': '5775d521-bcae-4e7e-904c-1e473e60fd4b', 'route': ['p2', 'e5', 'i6', 'x2', 'p1', 'c1']}
1769468103.1191926,RECEIVED,6837b473-8198-46cf-8649-cf496bf5d767,c62f767f-6955-4e38-8800-1ea725ed3986,c3,c1,27,p1,?,surb={'id': '90d32db9-1050-485c-8355-714848cf5959', 'route': ['p1', 'e11', 'i12', 'x10', 'p3', 'c3']}
1769468103.1548731,RECEIVED,60062f28-bd04-4f1d-b019-36eae17b0364,4b02e3de-7bdc-4dc1-8116-895e219a07e8,c3,c1,27,p1,?,surb={'id': 'adfb9c52-d40e-4206-89dc-a4f668416fb3', 'route': ['p1', 'e10', 'i9', 'x10', 'p3', 'c3']}
1769468103.3838406,SENT,90117d31-332c-498d-8f61-b3b817c21432,99df6396-ef01-4945-928e-9870afeea1cb,c1,c2,3397,?,p1,
1769468103.383919,CREATED,8f898b8d-1ff2-4b15-bb96-45496aab2977,cd9049a2-7bcc-421e-9d24-dcddf56c049e,c1,c2,26,?,?,surb={'id': '286078fd-d0cc-4b97-9849-e65f3d584309', 'route': ['p2', 'e7', 'i6', 'x5', 'p1', 'c1']}
1769468103.4686894,SENT,4d912b64-aad8-4c4e-82f5-302306b768ac,b3af89ff-49d1-4bcd-a628-9056ce6832d8,c1,c2,3351,?,p1,
1769468103.468768,CREATED,c621f138-6b0c-4631-aed3-99e766e06355,cd9049a2-7bcc-421e-9d24-dcddf56c049e,c1,c2,26,?,?,surb={'id': '286078fd-d0cc-4b97-9849-e65f3d584309', 'route': ['p2', 'e7', 'i6', 'x5', 'p1', 'c1']}
1769468103.620427,RECEIVED,9accee43-0eeb-4ab0-8fcc-870720dbe70f,4b02e3de-7bdc-4dc1-8116-895e219a07e8,c3,c1,27,p1,?,surb={'id': 'adfb9c52-d40e-4206-89dc-a4f668416fb3', 'route': ['p1', 'e10', 'i9', 'x10', 'p3', 'c3']}
1769468103.6896837,SENT,a4c059eb-b876-4176-94b7-af87780cf54f,9e9a5489-fc91-4be7-a4b4-e37975e7acd8,c1,c2,3369,?,p1,
1769468103.6897645,CREATED,80c374d2-eb1b-4c98-a19a-e5dd01c43f5a,cd5da6cd-ff01-4c8c-b573-aa5695fb407f,c1,c2,26,?,?,surb={'id': '7df78445-ab88-4f74-9baa-26728fe352b5', 'route': ['p2', 'e6', 'i1', 'x5', 'p1', 'c1']}
1769468103.7130373,SENT,88cf0280-534f-4129-b5da-5900c9ae4ead,71b6ba82-bad6-49e3-b4c5-6049531899f2,c1,c2,3380,?,p1,
1769468103.7131362,CREATED,f62bdc89-8c80-4ec4-86aa-a3dc319b9576,cd5da6cd-ff01-4c8c-b573-aa5695fb407f,c1,c2,26,?,?,surb={'id': '7df78445-ab88-4f74-9baa-26728fe352b5', 'route': ['p2', 'e6', 'i1', 'x5', 'p1', 'c1']}
1769468103.882211,RECEIVED,54bb75a9-2661-406f-a17a-90a291da5325,d7e38771-b568-4bdd-b705-33c924c52337,c3,c1,27,p1,?,surb={'id': '99a56f06-0072-42f6-8706-63f2ac24f03c', 'route': ['p1', 'e10', 'i4', 'x7', 'p3', 'c3']}
1769468103.929458,SENT,089db49a-9e26-4c92-8cdf-381aa4c7efbb,dc474a1d-ed86-47eb-a54c-a06415b8e328,c1,c2,3399,?,p1,
1769468103.9295828,CREATED,cf7e3c6d-9473-456e-85e6-0ce63b346af1,822f661a-3da5-4a72-a1f4-ee7b1ac71fb0,c1,c2,27,?,?,surb={'id': '69524046-8d0a-41cf-8835-79781dea6a20', 'route': ['p2', 'e12', 'i12', 'x12', 'p1', 'c1']}
1769468104.0910246,RECEIVED,00a58266-2da7-4834-9349-b7e46bd36e5b,5381c2de-c1a8-4d3e-a8c5-9715732e236a,c3,c1,26,p1,?,surb={'id': 'f5d1f834-2549-48d8-92e3-2aabbdef0de5', 'route': ['p1', 'e2', 'i7', 'x5', 'p3', 'c3']}
1769468104.6558397,RECEIVED,304bef14-3f7b-4fbd-8920-c4867b73f075,5381c2de-c1a8-4d3e-a8c5-9715732e236a,c3,c1,26,p1,?,surb={'id': 'f5d1f834-2549-48d8-92e3-2aabbdef0de5', 'route': ['p1', 'e2', 'i7', 'x5', 'p3', 'c3']}
1769468105.3109236,SENT,0014acd1-f349-437d-b52c-851b573b7be0,8024427b-218f-4187-b52b-d45be06929d2,c1,c2,3416,?,p1,
1769468105.3110845,CREATED,bddc3852-54e1-4358-a55b-56de22974665,822f661a-3da5-4a72-a1f4-ee7b1ac71fb0,c1,c2,27,?,?,surb={'id': '69524046-8d0a-41cf-8835-79781dea6a20', 'route': ['p2', 'e12', 'i12', 'x12', 'p1', 'c1']}
1769468105.4167128,SENT,a1d31cea-69b3-4d1b-98f2-ab64a4de73e5,09efa3df-2eb7-41fb-afc0-4b793d8758fd,c1,c2,3395,?,p1,
1769468105.4168723,CREATED,34f5c495-e044-4d17-8061-b865b1a523f5,365fb8c0-e3eb-4ff4-a0a6-8755064ec609,c1,c2,27,?,?,surb={'id': '374840a8-7317-4c53-a347-66bff7a65e51', 'route': ['p2', 'e1', 'i9', 'x10', 'p1', 'c1']}
1769468105.6784348,SENT,88622f40-ff62-4fe6-82fc-0a8bb830d0b7,9136216a-945e-4dbe-8672-136bf6c2e97e,c1,c2,3384,?,p1,
1769468105.6785994,CREATED,863d6c8f-d3d2-41c4-bf5d-1f1e7835e278,365fb8c0-e3eb-4ff4-a0a6-8755064ec609,c1,c2,27,?,?,surb={'id': '374840a8-7317-4c53-a347-66bff7a65e51', 'route': ['p2', 'e1', 'i9', 'x10', 'p1', 'c1']}
1769468105.8118064,RECEIVED,8d661f9f-f297-49a9-92ba-e39d7cab47d5,be3ec05b-6099-4f06-9e78-589058e83ed1,c3,c1,27,p1,?,surb={'id': '78ef9e2f-5d4b-4a46-9a23-7c0a723f5235', 'route': ['p1', 'e8', 'i2', 'x12', 'p3', 'c3']}
1769468105.853619,SENT,9fba2114-8484-49d9-ab87-6b8ae859f791,1d66043c-467f-4583-8c98-f37d7fe9911b,c1,c2,3376,?,p1,
1769468105.8537705,CREATED,d24fb0b7-fb41-42d0-bf64-31ddf7b056b5,a4036af6-5de0-494b-8901-a5f8a249065e,c1,c2,27,?,?,surb={'id': '1b1943d3-2f2c-4844-bade-4b5afd316a5e', 'route': ['p2', 'e6', 'i3', 'x8', 'p1', 'c1']}
1769468105.8993275,SENT,636757ae-5964-4a88-902d-650c0e77db5d,5d7b9a0d-6a7f-46aa-b7b2-bce92459bbbc,c1,c2,3387,?,p1,
1769468105.8994875,CREATED,55624fcf-6443-427c-8aee-1b2a02632d57,a4036af6-5de0-494b-8901-a5f8a249065e,c1,c2,27,?,?,surb={'id': '1b1943d3-2f2c-4844-bade-4b5afd316a5e', 'route': ['p2', 'e6', 'i3', 'x8', 'p1', 'c1']}
1769468105.9593136,RECEIVED,86ae7548-318b-4cfd-b60c-54363a89a85a,6ec174ae-17fb-4e3a-af25-d64b1a068737,c3,c1,27,p1,?,surb={'id': '76b296aa-016d-4744-8b33-8632ac70f0d2', 'route': ['p1', 'e11', 'i12', 'x1', 'p3', 'c3']}
1769468106.0204823,SENT,5089595c-042e-4327-a7c8-d01447c4d2f8,faab3d08-212b-469a-80a3-060514d75648,c1,c2,3407,?,p1,
1769468106.0206327,CREATED,767ace5a-ce8c-4d8f-8f80-f0b2920cf689,d57e65a9-8723-4a20-a5cb-d9621257f38f,c1,c2,27,?,?,surb={'id': '221cabab-1985-48a4-835b-3e5c22bf07c9', 'route': ['p2', 'e5', 'i1', 'x12', 'p1', 'c1']}
1769468106.4075127,SENT,8725fb1e-329b-4f2c-87f2-56dba4cc5282,c83868bf-328f-4659-b589-260131c7d59d,c1,c2,3392,?,p1,
1769468106.4076505,CREATED,ac3e29a1-2146-4912-af86-026973413d99,d57e65a9-8723-4a20-a5cb-d9621257f38f,c1,c2,27,?,?,surb={'id': '221cabab-1985-48a4-835b-3e5c22bf07c9', 'route': ['p2', 'e5', 'i1', 'x12', 'p1', 'c1']}
1769468106.5906456,RECEIVED,d034be25-fd5f-4ad7-b08b-d422321c5722,c07ee3db-8cfd-42fd-ac6c-cdd0be0d0ad1,c3,c1,26,p1,?,surb={'id': 'f8cb150c-7d7a-4f5c-a49f-016d1109dd9e', 'route': ['p1', 'e11', 'i5', 'x6', 'p3', 'c3']}
1769468106.6536043,RECEIVED,2e482075-7f03-43c7-acd0-7457d15bb70f,d7e38771-b568-4bdd-b705-33c924c52337,c3,c1,27,p1,?,surb={'id': '99a56f06-0072-42f6-8706-63f2ac24f03c', 'route': ['p1', 'e10', 'i4', 'x7', 'p3', 'c3']}
1769468106.7954805,SENT,a2075559-8b39-4fc6-a48f-eba3c81727a6,482d72aa-a048-4bf4-b144-1bbc1585fbcc,c1,c2,3384,?,p1,
1769468106.7956157,CREATED,b50c5432-f54b-436f-9885-fd6ef321f8a5,84f04648-e900-4554-b48d-b492fdf67b1b,c1,c2,27,?,?,surb={'id': 'e1e46a2f-9aa6-436b-860f-3cddad5dc40d', 'route': ['p2', 'e7', 'i8', 'x10', 'p1', 'c1']}
1769468107.1595335,RECEIVED,9f62115d-1d58-4f79-9b21-53c93a51fd84,f6dc4334-f1db-4ba6-a041-8d09ff846b47,c3,c1,27,p1,?,surb={'id': '399d698c-4956-4d24-9169-b13874171a95', 'route': ['p1', 'e5', 'i8', 'x5', 'p3', 'c3']}
1769468107.2853594,SENT,f483dec1-1902-4db6-88ef-0c4b80c2d575,9352c667-9c2f-41dd-ae2d-e0ddcf8717c1,c1,c2,3377,?,p1,
1769468107.2855425,CREATED,9bec96de-8d8b-4ace-bf60-87fd893bc576,84f04648-e900-4554-b48d-b492fdf67b1b,c1,c2,27,?,?,surb={'id': 'e1e46a2f-9aa6-436b-860f-3cddad5dc40d', 'route': ['p2', 'e7', 'i8', 'x10', 'p1', 'c1']}
1769468107.3475986,RECEIVED,45f6b7c1-da06-4937-a570-13e0ed21d401,6ec174ae-17fb-4e3a-af25-d64b1a068737,c3,c1,27,p1,?,surb={'id': '76b296aa-016d-4744-8b33-8632ac70f0d2', 'route': ['p1', 'e11', 'i12', 'x1', 'p3', 'c3']}
1769468107.4503348,RECEIVED,4fda2c51-a51f-4ff4-975f-84b502832de6,be3ec05b-6099-4f06-9e78-589058e83ed1,c3,c1,27,p1,?,surb={'id': '78ef9e2f-5d4b-4a46-9a23-7c0a723f5235', 'route': ['p1', 'e8', 'i2', 'x12', 'p3', 'c3']}
1769468107.7261288,SENT,08c2de59-f6d0-4ff0-aeda-fdab4b055dc1,6dbb6a19-ebe8-4dad-8383-954984ebbda4,c1,c2,3391,?,p1,
1769468107.726281,CREATED,e27b97af-8176-4aeb-a813-254f4ca765ae,070602c2-c188-4244-81bf-75836df9020d,c1,c2,27,?,?,surb={'id': 'cc3866db-bade-40a5-96dd-27159e6f3d78', 'route': ['p2', 'e3', 'i12', 'x8', 'p1', 'c1']}
1769468107.8620281,RECEIVED,2e2ab2e4-be96-4697-8600-3fb75ef03928,c07ee3db-8cfd-42fd-ac6c-cdd0be0d0ad1,c3,c1,26,p1,?,surb={'id': 'f8cb150c-7d7a-4f5c-a49f-016d1109dd9e', 'route': ['p1', 'e11', 'i5', 'x6', 'p3', 'c3']}
1769468108.121011,SENT,0ca2c30f-8bc7-426c-a757-4466abbf9ee1,89f53e4a-ca9f-47e8-aa7d-5142158d165d,c1,c2,3399,?,p1,
1769468108.1212077,CREATED,7d153c2d-effb-4756-80ed-6c76c0a91243,070602c2-c188-4244-81bf-75836df9020d,c1,c2,27,?,?,surb={'id': 'cc3866db-bade-40a5-96dd-27159e6f3d78', 'route': ['p2', 'e3', 'i12', 'x8', 'p1', 'c1']}
1769468108.3171182,RECEIVED,92d94bca-b82d-4feb-bf54-6fff40072df5,4cac5de1-9b02-4b56-8c87-7cf45757f01c,c3,c1,27,p1,?,surb={'id': 'ed4390c9-ddcd-4a6e-b5eb-c65212838239', 'route': ['p1', 'e2', 'i3', 'x3', 'p3', 'c3']}
1769468108.343536,RECEIVED,57f08d81-8910-468f-9d24-42dc348fcef6,c8caf5db-93b3-49f4-8b85-45efb894182a,c3,c1,26,p1,?,surb={'id': '91309b70-217b-4903-ab51-7b5eaff59267', 'route': ['p1', 'e12', 'i10', 'x9', 'p3', 'c3']}
1769468108.6335797,SENT,06bdfab6-d4e1-478a-97f6-26ed3a024873,51f55226-6046-4a3e-922a-17251164e757,c1,c2,3392,?,p1,
1769468108.6337361,CREATED,da7b31d3-8403-4d08-bc4a-7c8865201cfc,de8cabec-384a-4799-9149-585154c1e453,c1,c2,27,?,?,surb={'id': 'd327b6d3-ce59-49d3-b26b-eea413ac8d72', 'route': ['p2', 'e3', 'i8', 'x8', 'p1', 'c1']}
1769468108.751426,SENT,0e9d125e-40eb-4b2e-b916-ab5ff6cf690d,6c727d49-1d7c-4f72-80d8-f4ea3b248cf7,c1,c2,3378,?,p1,
1769468108.7515376,CREATED,c540cb10-915c-4b6e-98c4-b185fe8e1b3e,de8cabec-384a-4799-9149-585154c1e453,c1,c2,27,?,?,surb={'id': 'd327b6d3-ce59-49d3-b26b-eea413ac8d72', 'route': ['p2', 'e3', 'i8', 'x8', 'p1', 'c1']}
1769468108.8608222,SENT,b945b0ab-f943-47d5-84f9-11e55e5c3b56,5c3e88c4-6f12-42eb-8649-0cbdb7c3239e,c1,c2,3375,?,p1,
1769468108.8609266,CREATED,34fee2e4-0375-4f11-a876-1ea90767cb86,2c9c71a7-afb7-4a33-83be-24419d2a6d35,c1,c2,26,?,?,surb={'id': '73691259-821e-4242-aace-14127aa02f3e', 'route': ['p2', 'e2', 'i8', 'x3', 'p1', 'c1']}
1769468108.8964307,SENT,cf589495-d624-4176-9cb2-2e8ed73a0bb9,f5e8432b-c34c-40d4-b987-0ea1c0fc8d62,c1,c2,3359,?,p1,
1769468108.8965368,CREATED,e70c020b-17f9-4434-a590-3d57875a7404,2c9c71a7-afb7-4a33-83be-24419d2a6d35,c1,c2,26,?,?,surb={'id': '73691259-821e-4242-aace-14127aa02f3e', 'route': ['p2', 'e2', 'i8', 'x3', 'p1', 'c1']}
1769468108.9429436,RECEIVED,a3d4863c-9c4d-40e2-a347-f7bc7f12ce88,da73dc70-0f43-4022-8583-fffaeeecb665,c3,c1,27,p1,?,surb={'id': '6c814abe-6835-4bfc-aae1-f41b4cba42c3', 'route': ['p1', 'e12', 'i8', 'x3', 'p3', 'c3']}
1769468109.0944607,SENT,8a48da18-f69d-4262-a7b7-0030cbf821e9,2ce226a2-cef7-4999-bf20-173abaa004ef,c1,c2,3416,?,p1,
1769468109.0946128,CREATED,8d7cfbf2-df83-46aa-befa-0e633da82783,de405504-63ab-49be-b105-91da0b48312d,c1,c2,27,?,?,surb={'id': '7ebd08e7-a396-4391-a367-148d5ff4bacd', 'route': ['p2', 'e11', 'i11', 'x12', 'p1', 'c1']}
1769468109.2241879,RECEIVED,22268a1d-d867-4785-8546-346147c92ecb,da73dc70-0f43-4022-8583-fffaeeecb665,c3,c1,27,p1,?,surb={'id': '6c814abe-6835-4bfc-aae1-f41b4cba42c3', 'route': ['p1', 'e12', 'i8', 'x3', 'p3', 'c3']}
1769468109.3433616,RECEIVED,7fd4f97e-3dd1-4fbd-b3e7-d20125cea569,4cac5de1-9b02-4b56-8c87-7cf45757f01c,c3,c1,27,p1,?,surb={'id': 'ed4390c9-ddcd-4a6e-b5eb-c65212838239', 'route': ['p1', 'e2', 'i3', 'x3', 'p3', 'c3']}
1769468109.399241,SENT,4c6ef469-8d66-487c-a2a9-00163c63d0cf,9539f29a-1bca-464e-a596-089b86a62f1d,c1,c2,3400,?,p1,
1769468109.4002502,CREATED,f8f429f7-c693-463b-858f-95caee2c9722,de405504-63ab-49be-b105-91da0b48312d,c1,c2,27,?,?,surb={'id': '7ebd08e7-a396-4391-a367-148d5ff4bacd', 'route': ['p2', 'e11', 'i11', 'x12', 'p1', 'c1']}
1769468109.7483091,SENT,66e60563-c125-4a96-85ad-d4f1064354f5,80cf44d1-051e-4e2c-877e-a508c8b25d80,c1,c2,3359,?,p1,
1769468109.7484124,CREATED,be23410f-e6d3-4a41-bc4d-4c7501c7f4d6,e62c6357-bd89-4b7e-aae7-853cc3588912,c1,c2,27,?,?,surb={'id': '080c86dc-1b9e-4bc7-a002-65e407432946', 'route': ['p2', 'e10', 'i6', 'x7', 'p1', 'c1']}
1769468109.7695293,SENT,a333a57a-47db-463f-85a0-d450576963d4,3eccbac7-e745-4b06-851b-a0a354498409,c1,c2,3360,?,p1,
1769468109.7696328,CREATED,aec15924-fa10-4961-9dea-3167c52419e0,e62c6357-bd89-4b7e-aae7-853cc3588912,c1,c2,27,?,?,surb={'id': '080c86dc-1b9e-4bc7-a002-65e407432946', 'route': ['p2', 'e10', 'i6', 'x7', 'p1', 'c1']}
1769468109.9700327,RECEIVED,b821a5bc-85ec-4f48-9181-f2e17b5f15ef,a0d89492-2f23-47e3-92b3-78d46759f2a3,c3,c1,27,p1,?,surb={'id': '67bacc55-89eb-4c2f-929d-98cc2691898e', 'route': ['p1', 'e7', 'i9', 'x1', 'p3', 'c3']}
1769468110.6092772,SENT,346ae8db-5f06-4689-88ab-4e787d12a3fe,61b1a8ff-46c7-41c4-954a-15b9465975d3,c1,c2,3376,?,p1,
1769468110.609413,CREATED,c0d5458a-8769-4994-8ea3-53a5133da8a6,7ecb93f0-9d33-465d-8147-1b336bfbb44a,c1,c2,27,?,?,surb={'id': 'e66d46ea-ab4c-428e-b39e-5fb35ef92f4f', 'route': ['p2', 'e2', 'i7', 'x5', 'p1', 'c1']}
1769468110.7710729,SENT,f099f890-8279-4553-8a32-7701c63fd6fc,22e57f89-f0c4-4045-b4ef-0d64037dc226,c1,c2,3383,?,p1,
1769468110.7711413,CREATED,b119bc38-ee24-47a3-8684-f001131d2b7f,7ecb93f0-9d33-465d-8147-1b336bfbb44a,c1,c2,27,?,?,surb={'id': 'e66d46ea-ab4c-428e-b39e-5fb35ef92f4f', 'route': ['p2', 'e2', 'i7', 'x5', 'p1', 'c1']}
1769468110.942592,SENT,056cf3d5-19cc-492b-a309-fccc99f849f5,82bf23cf-2569-4076-8fab-c1393cd0994f,c1,c2,3381,?,p1,
1769468110.942749,CREATED,564952db-3665-4c27-a56a-baff59b61108,a142da2a-052c-4458-8cfd-fbb2c34aea44,c1,c2,27,?,?,surb={'id': 'b779d519-e67e-4961-bf3e-08ff49d5d862', 'route': ['p2', 'e2', 'i12', 'x6', 'p1', 'c1']}
1769468110.9848218,RECEIVED,d92b7f6e-1aaa-4d8e-add5-73669f9d659a,34b809a0-98b5-4d57-90db-592c5af3a460,c3,c1,27,p1,?,surb={'id': 'f8c65aee-976e-4a17-99a6-d53736e11230', 'route': ['p1', 'e4', 'i3', 'x12', 'p3', 'c3']}
1769468111.0079403,SENT,f820f67e-14e8-4c44-81ed-fb7fb79582dd,7c633551-9737-447b-aeaf-3a823c75bf75,c1,c2,3388,?,p1,
1769468111.0081995,CREATED,62fabc20-f3f8-48a9-bdfe-c91242a9f768,a142da2a-052c-4458-8cfd-fbb2c34aea44,c1,c2,27,?,?,surb={'id': 'b779d519-e67e-4961-bf3e-08ff49d5d862', 'route': ['p2', 'e2', 'i12', 'x6', 'p1', 'c1']}
1769468111.0717604,RECEIVED,dcf77b14-fd5c-49c7-93e3-6ccf3c6a2a3e,de8643fa-a136-4a6f-aa11-ae22d061bd86,c3,c1,27,p1,?,surb={'id': 'a4c3e73e-19b1-42c4-b5ff-a285777fd7ed', 'route': ['p1', 'e7', 'i7', 'x11', 'p3', 'c3']}
1769468111.370834,SENT,f980561e-07d4-4109-a871-146b486543a0,c3fedc98-5703-425f-b8f1-e444c626a76e,c1,c2,3393,?,p1,
1769468111.3709087,CREATED,349aaf57-1f7e-415c-979b-a629e35e1680,ec69cc59-f4ee-47dc-a0b2-b4ce267aaeef,c1,c2,27,?,?,surb={'id': '2b48c099-d9fd-49a7-a57e-50a39c265678', 'route': ['p2', 'e12', 'i7', 'x4', 'p1', 'c1']}
1769468111.4157321,SENT,5496ec17-2312-4cfc-b28b-80575a23ff4a,387d9569-63bb-4de6-9748-57d4a12adc67,c1,c2,3359,?,p1,
1769468111.4158173,CREATED,5859b923-b2f8-4a7d-80b4-40cce9f34528,ec69cc59-f4ee-47dc-a0b2-b4ce267aaeef,c1,c2,27,?,?,surb={'id': '2b48c099-d9fd-49a7-a57e-50a39c265678', 'route': ['p2', 'e12', 'i7', 'x4', 'p1', 'c1']}
1769468111.4163036,RECEIVED,642dc9b7-5d59-4429-8c83-ef4bd660cfe2,c90bf754-840b-4bcf-bcde-52f3a7a45033,c3,c1,27,p1,?,surb={'id': '9e781d8d-82ea-4897-bd1c-d04e7fd34154', 'route': ['p1', 'e12', 'i7', 'x7', 'p3', 'c3']}
1769468111.5002697,SENT,f621da4b-4d27-4e1c-a5dc-57624014fdf0,16e91d44-4f53-430a-9a4d-7cf6faef35e7,c1,c2,3389,?,p1,
1769468111.5004077,CREATED,070ecb72-229f-496d-ae32-2a595fbc7b44,e004c2e4-3727-4394-881e-3b66ff782437,c1,c2,27,?,?,surb={'id': '932bcfca-ce4a-4644-9d1a-cdfa195ac839', 'route': ['p2', 'e7', 'i12', 'x2', 'p1', 'c1']}
1769468111.623931,SENT,d5e650b5-eb5d-4c90-9528-045d864456a2,980387b5-96a9-4009-ae6f-a0892f6af01e,c1,c2,3408,?,p1,
1769468111.6240025,CREATED,32b5b851-16e9-4c87-9448-fe6ccb14a808,e004c2e4-3727-4394-881e-3b66ff782437,c1,c2,27,?,?,surb={'id': '932bcfca-ce4a-4644-9d1a-cdfa195ac839', 'route': ['p2', 'e7', 'i12', 'x2', 'p1', 'c1']}
1769468111.7272408,SENT,f5a1a2ff-d200-47cb-bb01-e81edd42b465,e22e2ff3-7d53-4432-959e-c57028774b1f,c1,c2,3389,?,p1,
1769468111.7273147,CREATED,dab2cb89-a729-402a-bd4d-780db3b24c8b,c29ab07f-25dd-4c87-b3f4-e0fbf7454a93,c1,c2,27,?,?,surb={'id': '5d580301-4c83-4ee7-825b-3bc6007fdcb2', 'route': ['p2', 'e7', 'i8', 'x12', 'p1', 'c1']}
1769468111.7422557,RECEIVED,7b70e01c-22c4-4287-bb83-f5424ce52f89,082eada7-3e6a-4773-ac82-4a8d63dd7409,c3,c1,27,p1,?,surb={'id': 'bbef4f85-3d91-43a8-ada0-284e850c61ce', 'route': ['p1', 'e2', 'i2', 'x4', 'p3', 'c3']}
