timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467944.3591597,RECEIVED,783301ef-9c54-4606-aeee-f0b9d051d4d7,6ebe892d-d9c4-4d29-91eb-23af57e91eb1,c1,c2,27,p2,?,surb={'id': 'acb6865e-9289-4a9f-ad6a-0f972ff8c9b3', 'route': ['p2', 'e8', 'i3', 'x10', 'p1', 'c1']}
1769467944.456126,RECEIVED,9af067cb-071c-4437-96c8-a9b8a228e14e,95b3fe8d-92be-4224-9783-2c6140ae7d78,c5,c2,27,p2,?,surb={'id': '9de5b0cc-ad16-4341-9c94-c9cef5010d68', 'route': ['p2', 'e5', 'i1', 'x7', 'p2', 'c5']}
1769467944.6164217,RECEIVED,301b3f9a-506b-455f-ba4e-070eb093a50f,081bce1d-b1b4-4640-80dc-11876b9e8a52,c1,c2,27,p2,?,surb={'id': '41460d55-b7ae-4b55-b5c0-d5ea20b3fffe', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769467944.691525,RECEIVED,d231a087-6db1-4159-91aa-1ac2fb74f5cc,d7e1771e-9c10-4603-83a0-8b60f9fc9330,c5,c2,26,p2,?,surb={'id': 'ade14ab4-d760-4403-8e94-062d81662a8b', 'route': ['p2', 'e3', 'i6', 'x7', 'p2', 'c5']}
1769467944.701297,RECEIVED,14c65250-1f2c-4d19-a36b-53d2306b66bf,ee8e61ee-f918-42cf-a1df-72ad77c8fe68,c5,c2,27,p2,?,surb={'id': 'b5d94c44-a5e3-43d6-8c36-c04951f70b88', 'route': ['p2', 'e2', 'i2', 'x12', 'p2', 'c5']}
1769467944.806566,RECEIVED,322f1726-ab74-4368-b1bf-b40fa0991d9b,9c0eceed-e807-4727-a1df-2bdc5fb2349c,c1,c2,27,p2,?,surb={'id': '9be74bee-cf85-48ce-936c-9f535dedab82', 'route': ['p2', 'e4', 'i12', 'x4', 'p1', 'c1']}
1769467944.9484746,SENT,cb4c44e0-85c5-43b3-870b-4d248382b28a,0c196e39-e6ff-4712-abc2-0308631950d9,c2,c4,3398,?,p2,
1769467944.9503977,CREATED,1f848dd8-4c89-4a06-8b4d-607d8119546a,d18d41d6-1ae4-40a5-9ff5-1ef70d240034,c2,c4,27,?,?,surb={'id': '40b0ae36-479b-4e6c-861e-74c688a01ddc', 'route': ['p1', 'e4', 'i10', 'x1', 'p2', 'c2']}
1769467944.9687972,RECEIVED,fb3a3533-7195-483f-8adc-959a98f2444c,c8698a40-2fc8-4212-8b7b-1a7d5a6cd25d,c1,c2,27,p2,?,surb={'id': 'be8a302c-160f-4efd-994e-d88a45348e96', 'route': ['p2', 'e3', 'i7', 'x3', 'p1', 'c1']}
1769467945.0587735,RECEIVED,286329bc-ab0a-49ad-8d21-d10da9335d73,7ee02379-51f7-455a-9c1e-961247b54cbd,c5,c2,27,p2,?,surb={'id': '4755ea49-fd5b-4c40-9b2f-8965cdd2759f', 'route': ['p2', 'e10', 'i5', 'x5', 'p2', 'c5']}
1769467945.1884806,RECEIVED,51e3af5c-c3bb-4680-bf26-5d3215f6225f,fefaccba-de57-4322-8d6f-ae0f0332e194,c5,c2,27,p2,?,surb={'id': '7f376de7-5763-44d1-bf21-9ee1efc5d6f9', 'route': ['p2', 'e11', 'i3', 'x2', 'p2', 'c5']}
1769467945.201472,RECEIVED,5894cdaf-4116-4e34-bb7b-cb43772872c2,081bce1d-b1b4-4640-80dc-11876b9e8a52,c1,c2,27,p2,?,surb={'id': '41460d55-b7ae-4b55-b5c0-d5ea20b3fffe', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769467945.243726,SENT,a7d75818-2b8f-456d-bb1f-ba93eef0cea9,f5ce0c38-12d9-4e53-9d85-b3834cc20f42,c2,c4,3383,?,p2,
1769467945.244027,CREATED,453955b5-2f56-4326-9db2-f1ca3055bf33,d57ccb9b-98b7-4ed9-9f98-5727db3be935,c2,c4,27,?,?,surb={'id': '27c046c4-1d4d-4204-a537-a44cd8ea54d5', 'route': ['p1', 'e3', 'i7', 'x4', 'p2', 'c2']}
1769467945.3418722,RECEIVED,b79d3a2a-81a4-4e49-b89c-6450bf9296bf,321be3ae-1eef-456e-ac98-045d7c9f49df,c5,c2,27,p2,?,surb={'id': '7ff506ae-3db7-43bd-96ec-8d2f3a140900', 'route': ['p2', 'e11', 'i6', 'x4', 'p2', 'c5']}
1769467945.5301762,SENT,9a39302a-03b4-4513-9a79-a9eb62df7ff8,7e523f92-6e6b-45cb-9df6-d8c4bc4faeb6,c2,c4,3370,?,p2,
1769467945.5303276,CREATED,c4638704-d562-491d-925f-4dd5bf9c695e,d57ccb9b-98b7-4ed9-9f98-5727db3be935,c2,c4,27,?,?,surb={'id': '27c046c4-1d4d-4204-a537-a44cd8ea54d5', 'route': ['p1', 'e3', 'i7', 'x4', 'p2', 'c2']}
1769467945.7901514,RECEIVED,e2962c6c-af73-4f86-8ad4-1af9b18ca85a,9c764f21-dc4f-40b2-9a9f-b669750f0dcd,c1,c2,27,p2,?,surb={'id': '830c939a-1397-4659-b415-bcebe1b96222', 'route': ['p2', 'e5', 'i1', 'x7', 'p1', 'c1']}
1769467945.844402,SENT,96634bbb-06ab-46c4-b858-8a3ce986bb2b,a4d83ffb-34a3-4243-aced-ab85d2e16132,c2,c4,3369,?,p2,
1769467945.8445494,CREATED,b2563d76-44c0-49b7-b285-733e7d0bca28,0d18ddb8-6040-4621-8929-db7ac88cfa6d,c2,c4,26,?,?,surb={'id': '138017eb-9f01-4f4a-88b5-d43482395f19', 'route': ['p1', 'e9', 'i5', 'x10', 'p2', 'c2']}
1769467946.0190022,RECEIVED,5d92c248-2f6c-430e-9d25-76d29a5f74da,d7e1771e-9c10-4603-83a0-8b60f9fc9330,c5,c2,26,p2,?,surb={'id': 'ade14ab4-d760-4403-8e94-062d81662a8b', 'route': ['p2', 'e3', 'i6', 'x7', 'p2', 'c5']}
1769467946.1750832,RECEIVED,7f87fd68-6a50-4e7e-ab61-1d7990129dd9,4c38b911-82ea-4621-958f-fc1ccc912186,c1,c2,27,p2,?,surb={'id': 'e26e0be0-d604-424b-bcd8-2257f0f3cadd', 'route': ['p2', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769467946.1790032,RECEIVED,489bfb9d-4fbf-4134-85e2-e180b2837cee,9c0eceed-e807-4727-a1df-2bdc5fb2349c,c1,c2,27,p2,?,surb={'id': '9be74bee-cf85-48ce-936c-9f535dedab82', 'route': ['p2', 'e4', 'i12', 'x4', 'p1', 'c1']}
