timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467945.6432228,RECEIVED,8830516a-9360-43c0-9f85-f6d218f18e2c,913c40f6-ec86-4d91-acb9-b0cf96802c9f,c4,c3,26,p3,?,surb={'id': '5df13765-10dd-47be-8bd5-3e4b0b4c4dd2', 'route': ['p3', 'e12', 'i4', 'x4', 'p1', 'c4']}
1769467945.931175,SENT,63ef03f1-1371-4c5f-bc62-c18bbec79f56,ba153479-0c5e-407c-b69d-8de8d2a6bdb5,c3,c1,3388,?,p3,
1769467945.9313395,CREATED,ef939c64-8e22-4ffd-bb03-1f3982394799,58aaf5a0-ac34-422f-992b-11ea330360ba,c3,c1,27,?,?,surb={'id': '75946bde-17e1-4ae3-b69f-8167d9533002', 'route': ['p1', 'e5', 'i7', 'x12', 'p3', 'c3']}
1769467946.1020133,RECEIVED,9057abd3-5663-4c16-93ec-f6c01e570190,913c40f6-ec86-4d91-acb9-b0cf96802c9f,c4,c3,26,p3,?,surb={'id': '5df13765-10dd-47be-8bd5-3e4b0b4c4dd2', 'route': ['p3', 'e12', 'i4', 'x4', 'p1', 'c4']}
1769467946.700726,RECEIVED,305eed18-1120-47ed-b555-e5768665b990,7064e95b-5d42-4df8-8359-d350f743379d,c4,c3,27,p3,?,surb={'id': 'f1a110e6-48f4-42e2-bb0b-e035eb1f1bb6', 'route': ['p3', 'e7', 'i8', 'x10', 'p1', 'c4']}
1769467946.7375102,SENT,7b7cdbd6-c668-4d93-848f-2f4eabbdcc22,131b3619-6b15-42b3-b735-2bb0b2aac3ca,c3,c1,3383,?,p3,
1769467946.7376587,CREATED,5b434d0e-1af0-4da9-9aa4-96df5a9ae6db,a42a0256-a85c-4897-8302-2c5f3b8b90b9,c3,c1,27,?,?,surb={'id': '172f9c64-2d05-4ce6-be7b-92d90345a5f2', 'route': ['p1', 'e3', 'i9', 'x10', 'p3', 'c3']}
1769467946.782248,RECEIVED,8dcd86a7-2a71-4b1d-9b93-8533da76c04b,b072e36a-f31a-4d3f-be12-352140e21c9f,c4,c3,26,p3,?,surb={'id': 'b50f2bfd-af98-47cd-8feb-909d3c07c967', 'route': ['p3', 'e10', 'i1', 'x6', 'p1', 'c4']}
1769467946.846624,RECEIVED,8dd36012-5a01-41cc-86a3-da49d046e813,f8105f36-e2ce-48b4-8d79-6bddda4c05ec,c4,c3,27,p3,?,surb={'id': 'bf61bd39-08d0-407c-953f-c7d34fb54fa2', 'route': ['p3', 'e5', 'i4', 'x2', 'p1', 'c4']}
1769467947.5793333,SENT,627358e7-39a9-4658-8120-418b234fc063,cd4a6d4e-b8b9-4485-903c-b5f0a8fdda24,c3,c1,3376,?,p3,
1769467947.5794964,CREATED,21e3282c-b622-4dbf-a8f5-1d2d593d00e8,a42a0256-a85c-4897-8302-2c5f3b8b90b9,c3,c1,27,?,?,surb={'id': '172f9c64-2d05-4ce6-be7b-92d90345a5f2', 'route': ['p1', 'e3', 'i9', 'x10', 'p3', 'c3']}
1769467947.5981016,RECEIVED,85afe8c1-316b-44ce-b511-df0f3e37b39b,5757ba18-ff21-4687-aeab-f39f586b3bee,c4,c3,27,p3,?,surb={'id': '060b38e2-a87f-4d87-a24a-5e66a449c929', 'route': ['p3', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769467947.6347253,SENT,5c042bc7-f986-4075-bdd9-1391e16fc41a,ebe090e0-6585-4f94-a359-cbe7dd7179c1,c3,c1,3363,?,p3,
1769467947.6349013,CREATED,2ea8cff8-6b27-4968-ba24-a1930f09b1cb,faf543dc-c515-4c81-9d6e-f99d4ffe5f08,c3,c1,26,?,?,surb={'id': '49af1e69-6c21-4446-b4a2-1ca04d5a9ae1', 'route': ['p1', 'e4', 'i3', 'x1', 'p3', 'c3']}
1769467947.813958,RECEIVED,7a121838-dcf3-4e13-9b96-7d6d8e397a63,61c88215-fc2b-4f52-81dc-b5e495d5db10,c4,c3,27,p3,?,surb={'id': '2047812e-899c-40eb-8808-deff3aacf816', 'route': ['p3', 'e11', 'i3', 'x3', 'p1', 'c4']}
1769467947.8277164,RECEIVED,62c6611a-f001-40fb-b4b1-95f98b3f7bbc,61c88215-fc2b-4f52-81dc-b5e495d5db10,c4,c3,27,p3,?,surb={'id': '2047812e-899c-40eb-8808-deff3aacf816', 'route': ['p3', 'e11', 'i3', 'x3', 'p1', 'c4']}
1769467947.9151204,RECEIVED,015c3d68-e8f6-4795-ad09-5290882d1a8a,5757ba18-ff21-4687-aeab-f39f586b3bee,c4,c3,27,p3,?,surb={'id': '060b38e2-a87f-4d87-a24a-5e66a449c929', 'route': ['p3', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769467948.2593117,SENT,a7f21265-8f6a-4076-ac88-ccafad5eeef7,039d7ed6-76f9-419d-b2fd-c9988419b00c,c3,c1,3388,?,p3,
1769467948.2594638,CREATED,d5b70392-da5f-4425-ad69-cccde8443593,faf543dc-c515-4c81-9d6e-f99d4ffe5f08,c3,c1,26,?,?,surb={'id': '49af1e69-6c21-4446-b4a2-1ca04d5a9ae1', 'route': ['p1', 'e4', 'i3', 'x1', 'p3', 'c3']}
1769467948.6085136,SENT,eed83ea9-6a2f-4925-9f5c-b41d47bdb452,6eb8352a-d7ce-478b-88a0-5a926ae6f944,c3,c1,3371,?,p3,
1769467948.608668,CREATED,18f6bb1c-73fa-4105-8ca1-430e65629a6c,dd8aa837-4d9f-4f0d-b959-2d4713b978a6,c3,c1,27,?,?,surb={'id': '9cc068aa-30c4-450d-bc6f-c1c0422a7821', 'route': ['p1', 'e5', 'i7', 'x11', 'p3', 'c3']}
1769467948.6699722,SENT,30b2093a-5708-4e1d-9fb7-cdb47a4044bf,debbc157-dd77-4fad-9734-35ee0fbece86,c3,c1,3397,?,p3,
1769467948.6701517,CREATED,c49bbd91-ec23-499d-8b00-0eb4c2dae830,dd8aa837-4d9f-4f0d-b959-2d4713b978a6,c3,c1,27,?,?,surb={'id': '9cc068aa-30c4-450d-bc6f-c1c0422a7821', 'route': ['p1', 'e5', 'i7', 'x11', 'p3', 'c3']}
1769467948.7871826,RECEIVED,8151b634-b02e-407f-a9aa-3b551ced68d2,1f9d8512-a652-44a2-8682-25ec9e5e29cf,c4,c3,27,p3,?,surb={'id': 'a00fe2a4-4102-407e-a5e2-4ca837545464', 'route': ['p3', 'e12', 'i6', 'x5', 'p1', 'c4']}
1769467948.9535246,RECEIVED,4923d1c7-db54-4f06-8f97-b9d4f48095b7,1f9d8512-a652-44a2-8682-25ec9e5e29cf,c4,c3,27,p3,?,surb={'id': 'a00fe2a4-4102-407e-a5e2-4ca837545464', 'route': ['p3', 'e12', 'i6', 'x5', 'p1', 'c4']}
1769467949.032333,SENT,9f4b94d5-0876-4542-9147-0a3d64415c00,6bb18ac1-1a61-4090-82c4-0671139f1582,c3,c1,3364,?,p3,
1769467949.0324924,CREATED,fbc824ea-9458-4b53-8f8b-2e90f00dc6c4,41837205-eb9a-4576-9ae2-2014d36bd089,c3,c1,27,?,?,surb={'id': 'c9cd9cca-6540-4cd7-8207-f891eb1f92fb', 'route': ['p1', 'e7', 'i4', 'x1', 'p3', 'c3']}
1769467949.261817,SENT,4a44f5db-a8bc-4fc8-86ec-602b8f53414b,ab13c8bb-6404-4061-84c6-20f45687e693,c3,c1,3379,?,p3,
