timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769450664.9379861,SENT,087729b9-b10a-430a-b327-091c90111dac,60cdcd92-3ed7-4ada-8acc-1485bc72d98e,c3,DROP,2015,?,p3,
1769450664.9381654,CREATED,c9bbf9b6-19b2-4df2-8019-be5bee931756,c7185022-3fa2-4fd9-b4ac-84badb637c40,c3,DROP,27,?,?,
1769450665.6498256,SENT,cb56f947-efc6-4409-a1af-cc7f583f2204,a2d136c9-fa0a-4dce-9e1f-863f3efbdcac,c3,c1,3365,?,p3,
1769450665.6499984,CREATED,549d2fda-6003-46a6-8f7e-d01507ed2510,ae4327f1-d01f-4b20-b8f1-45b030604ce3,c3,c1,27,?,?,surb={'id': '69381063-9771-430f-9cf6-de87f3d7c6f9', 'route': ['p1', 'e7', 'i5', 'x7', 'p3', 'c3']}
1769450790.8546796,RECEIVED,e805586d-f254-4bf8-831b-eaafba0419fa,7ab1e668-ad73-4363-b051-0ea22164bc74,c5,c3,27,p3,?,surb={'id': '4bf99494-d93f-4e56-9755-bb137e248f8a', 'route': ['p3', 'e4', 'i5', 'x10', 'p2', 'c5']}
1769450790.8801942,SENT,6b0109b4-81dd-4d5b-ad21-1684a8a4a6cf,e9e6aede-b0f9-486d-953d-7fa94927682a,c3,c1,3360,?,p3,
1769450790.8802876,CREATED,416685f9-4f26-43b3-b86b-50257bcd2ba0,9d39ea55-1cf8-4085-b687-c153ee8f8fbe,c3,c1,26,?,?,surb={'id': 'ca1e0a55-ebde-48c9-921f-29f0546cdf3a', 'route': ['p1', 'e4', 'i10', 'x3', 'p3', 'c3']}
1769450791.2444327,RECEIVED,c2265068-be04-4e59-b44a-2d2eab342da0,b020ec11-a7f2-4959-bfbc-9463cf6e100c,c5,c3,27,p3,?,surb={'id': '9768fd40-e0ab-47d4-87d5-85200e250cc9', 'route': ['p3', 'e11', 'i4', 'x12', 'p2', 'c5']}
1769450791.3061702,RECEIVED,93380b85-1e2f-4e2b-b3de-a8b93791f3a2,8355ab90-6ce1-4ddf-bc40-a77176d4a1e0,c5,c3,26,p3,?,surb={'id': '191def41-a9c4-42ca-884a-d2bbef6b57db', 'route': ['p3', 'e6', 'i11', 'x11', 'p2', 'c5']}
1769450791.4045863,RECEIVED,405867f5-a8ee-4aaa-a0ba-1ba932ab5503,efc21d4d-a836-42d4-b23a-abfd816e8781,c5,c3,27,p3,?,surb={'id': 'a2790e40-723f-4c7f-ae08-acb73348867f', 'route': ['p3', 'e2', 'i3', 'x7', 'p2', 'c5']}
1769450791.5045006,RECEIVED,500f5d2a-0e3c-4184-818f-52bdcf2544ad,26ce9591-33b2-4539-a595-dc66936fa992,c5,c3,26,p3,?,surb={'id': '8eb1895f-4f9a-4f03-b842-ce72a46d9fbe', 'route': ['p3', 'e9', 'i1', 'x7', 'p2', 'c5']}
1769450791.5926862,SENT,afb151f3-4ce3-4a73-a689-101a86d6336e,9476ae4a-5474-42b0-b22c-b3ccebc16b33,c3,c1,3390,?,p3,
1769450791.5928144,CREATED,aafeb87c-81df-457c-b370-3b7e66ff6f33,1e736c50-3a71-4271-9d23-c698d87057c6,c3,c1,27,?,?,surb={'id': '080b7afb-4c08-4014-acae-b2de7c2937b8', 'route': ['p1', 'e9', 'i8', 'x11', 'p3', 'c3']}
1769450791.6397078,RECEIVED,d5161b37-e5da-422a-8eb0-9549633c9f38,9e6b0213-098d-4bd6-8647-3a1a3db539fc,c5,c3,27,p3,?,surb={'id': 'a9970639-a727-4584-b7c1-1683789fb8f3', 'route': ['p3', 'e4', 'i3', 'x10', 'p2', 'c5']}
1769450791.7162907,RECEIVED,88d3bf14-2e68-4d16-a42b-5510dd7f2a4d,38552a7a-0abe-44d9-b968-0f19d8f02100,c5,c3,27,p3,?,surb={'id': '54ee9179-37fc-4f48-9b8e-b7546f7d492a', 'route': ['p3', 'e11', 'i4', 'x3', 'p2', 'c5']}
1769450791.7497697,SENT,26429394-dfc4-4917-a467-ed07ba4d310c,70513a0e-11b4-442f-9620-eefd2eef25f4,c3,c1,3396,?,p3,
1769450791.7498422,CREATED,c98d596a-ff8a-4f41-80e3-3eb066540f98,ae83a68c-98b8-407e-bb0c-b5182891fb6d,c3,c1,26,?,?,surb={'id': '15892798-93d0-4227-81be-f57ba1cbab4b', 'route': ['p1', 'e4', 'i11', 'x11', 'p3', 'c3']}
1769450791.8636878,SENT,b54fc457-ba27-4f96-b84f-f39fc3fd75b3,72ebdd9c-893c-4178-84c1-e7fe121c7054,c3,c1,3358,?,p3,
1769450791.8639247,CREATED,a832879c-b4dd-41ec-83bc-0275918d4020,11268ea1-1498-4718-87ee-9cae0678186b,c3,c1,27,?,?,surb={'id': '73448abf-212f-47f6-902a-8e1188e8267a', 'route': ['p1', 'e2', 'i3', 'x11', 'p3', 'c3']}
1769450791.9745262,SENT,f87fed7a-6a6d-473a-9094-2d982b40cae5,ce73a1e5-82b8-4262-a695-dbc2873f4be8,c3,DROP,2016,?,p3,
1769450791.974646,CREATED,c1e6a07c-771d-4811-af6a-0598961c3a6e,17b5e17b-2fc9-4011-a7b7-da879f980c0b,c3,DROP,26,?,?,
1769450791.9879148,RECEIVED,57481d3f-b3c9-4037-915b-55349fd00203,54ae5da2-4f4f-4bef-98dc-6eba33da6c56,c5,c3,26,p3,?,surb={'id': '45487f03-9b1a-4662-be28-d3d0141a5a66', 'route': ['p3', 'e8', 'i9', 'x9', 'p2', 'c5']}
1769450792.0195096,SENT,97162ac5-ff75-49c5-a67d-a8f542f6c948,f925a03c-b430-4eae-a938-520414d7f760,c3,DROP,2027,?,p3,
1769450792.0195923,CREATED,e6922587-82fc-424a-acfe-f24dd3db723b,1274b008-7245-408d-9347-f91b226a8380,c3,DROP,27,?,?,
1769450792.163032,RECEIVED,77641887-1b75-4f90-94e2-923ea3fdb7fa,e6dcac5b-4343-4a3d-94b3-400fe9a25545,c5,c3,27,p3,?,surb={'id': '02d41525-cfa0-4f3f-bd75-4a15f3f099e6', 'route': ['p3', 'e10', 'i5', 'x5', 'p2', 'c5']}
1769450792.2756755,RECEIVED,f5ee14c2-935d-40e6-bdbc-1bb936b454c3,38d4a777-c518-48f1-9979-d31bbf07a967,c5,c3,27,p3,?,surb={'id': '2113e7c7-8ea1-4fff-98d1-bf17856a0af9', 'route': ['p3', 'e5', 'i11', 'x2', 'p2', 'c5']}
1769450792.474917,RECEIVED,130a4ebd-89df-4b56-b0a3-a10f9722f504,6dc9d1e8-2d8b-450b-bd27-25c0f4321331,c5,c3,26,p3,?,surb={'id': '9daa7487-250b-4556-a62d-7e9c8b40420e', 'route': ['p3', 'e2', 'i1', 'x8', 'p2', 'c5']}
1769450792.5540085,SENT,e5f35d66-b04b-41e4-85fc-acf9417db6db,9ecc2a3c-b6e6-4515-b4bc-6d8654647573,c3,c1,3388,?,p3,
1769450792.5541258,CREATED,4e1476ff-7db7-4e3e-8311-ab2e8d423aca,83a25389-1081-48b9-a198-fbecb2fc38af,c3,c1,27,?,?,surb={'id': '33c035d8-af5d-4f44-840e-86bc00c678f2', 'route': ['p1', 'e2', 'i3', 'x5', 'p3', 'c3']}
1769450792.6303062,RECEIVED,33fe4299-4663-4f5a-80f3-7a80a9469c18,3fb2e62e-9525-4ae7-870a-51614bc5a6bc,c5,c3,27,p3,?,surb={'id': '0f3cfb70-ce83-4c33-8bce-a70e1621b84e', 'route': ['p3', 'e6', 'i10', 'x7', 'p2', 'c5']}
1769450792.812518,SENT,8ce69fe5-ee3f-42ae-9766-a412ea5dc770,2f6ddcbe-ec5f-4ed6-894f-ffa719ca413e,c3,c1,3388,?,p3,
1769450792.812638,CREATED,b0535a04-fcda-48a1-aa36-4020d4623a6a,6c20fa1d-105c-4742-9319-043254765d33,c3,c1,26,?,?,surb={'id': '4b428c7b-366e-4c4c-b47a-28974f574324', 'route': ['p1', 'e2', 'i8', 'x4', 'p3', 'c3']}
1769450792.8823338,RECEIVED,54bc0fda-86bf-4939-b004-ccbee5d1269b,7c244ec0-f6b6-4e6f-8b89-62b55cae550e,c5,c3,27,p3,?,surb={'id': '520c9e9d-752f-4fa5-8b6c-f233e539f441', 'route': ['p3', 'e11', 'i4', 'x5', 'p2', 'c5']}
1769450792.8913324,SENT,5ae4021c-edc3-43c5-bb62-9bcdac159755,d92c6f00-e780-4349-8ed0-7e66ee48f351,c3,c1,3400,?,p3,
1769450792.8919096,CREATED,b2bc1f2a-2343-4843-930e-203ca881cdfc,b1cafb30-b4b3-47a6-9a1b-61caef6b1ef5,c3,c1,27,?,?,surb={'id': '742f3e2e-0140-4692-a163-7926953435ba', 'route': ['p1', 'e8', 'i10', 'x10', 'p3', 'c3']}
1769450793.3068914,SENT,9de021e4-59a8-4694-97be-d3ccba4b4e70,32fdbe88-1732-4f5b-b605-3750559e077b,c3,DROP,2032,?,p3,
1769450793.3069656,CREATED,23ea83d3-a2d0-417f-956f-6cd92f5f0726,ed1ffcfc-8b60-4a6e-b5b4-5bee1cea5049,c3,DROP,27,?,?,
1769450793.603645,SENT,dbe85a2a-3ffd-4479-84c0-f42277a673d4,60d43697-98a3-49cd-8328-f7408317ccd3,c3,DROP,2032,?,p3,
1769450793.6037223,CREATED,49cc9b5f-4be1-4d65-8b8f-d6a15957db6b,745e3a5c-a7d8-4c62-b3c5-fd11fd8475bc,c3,DROP,27,?,?,
1769450793.724018,RECEIVED,f7b6c500-2cbf-42ab-a4d6-60558f869d6e,476fd475-8413-4b67-9fa2-8173731a149f,c5,c3,27,p3,?,surb={'id': '4c218102-86b9-4045-8527-e2cee871a0cc', 'route': ['p3', 'e2', 'i6', 'x12', 'p2', 'c5']}
1769450793.9714592,RECEIVED,89c9d8a6-3648-426d-85cc-9e866baff119,9068a9ce-87dd-41d8-a75d-309339b75433,c5,c3,26,p3,?,surb={'id': '9413d86f-a0f0-4415-8cab-77c1d27ad77a', 'route': ['p3', 'e2', 'i6', 'x11', 'p2', 'c5']}
1769450794.0204127,RECEIVED,6139b22c-090b-4b10-b018-f07dca81ef14,c18adda0-37ef-42cc-9739-9d371381fecb,c5,c3,25,p3,?,surb={'id': 'e42ecc27-0224-4314-b3d3-69a146c995ed', 'route': ['p3', 'e2', 'i1', 'x8', 'p2', 'c5']}
1769450794.6133828,RECEIVED,3d4e8822-670b-49ab-9b92-c2e805dba3ba,d8414056-a07d-421b-9679-785cf6173bd2,c5,c3,27,p3,?,surb={'id': '4e1b0528-2d0a-432a-bb8f-d8798bab1390', 'route': ['p3', 'e10', 'i6', 'x1', 'p2', 'c5']}
1769450794.921578,SENT,bc139e02-38a6-49a2-ac9c-d8cc4894f3f3,315e4fe8-aa96-40ba-a099-03f2720dd81c,c3,c1,3384,?,p3,
1769450794.9216383,CREATED,a70d6d1f-2f91-46e3-bd23-85d64fa255f0,9310bd8e-1845-43e2-ba0c-73dd4bfd19e7,c3,c1,26,?,?,surb={'id': '5255c01a-1735-492d-8363-09bcc980745b', 'route': ['p1', 'e6', 'i10', 'x5', 'p3', 'c3']}
1769450795.0146081,RECEIVED,50aebaa0-0667-4e3e-833a-f88db210af9f,79ac87b9-a48c-49f8-87b3-3352446754fa,c5,c3,27,p3,?,surb={'id': 'ae4bc746-5999-4c75-82f4-5754341fbc3a', 'route': ['p3', 'e6', 'i8', 'x10', 'p2', 'c5']}
1769450795.0807772,RECEIVED,e2df2f57-f186-4753-986a-21640797adfb,e52e1c8f-b7a6-45a2-8b61-50ff00a61d2d,c5,c3,26,p3,?,surb={'id': '6371e058-585e-444a-9029-b1345ae08ac3', 'route': ['p3', 'e4', 'i3', 'x6', 'p2', 'c5']}
1769450795.178072,RECEIVED,f346ab04-5026-4607-adbd-19a37a63b6de,babb19e8-a02c-48e6-a21e-c3abd37c40bf,c5,c3,27,p3,?,surb={'id': '6004a107-8491-4374-bff6-3b1065beb12e', 'route': ['p3', 'e9', 'i6', 'x4', 'p2', 'c5']}
1769450795.4729016,RECEIVED,fe80d511-0d8c-43d5-bf77-12e4ac2371f2,344bcc36-a1c8-4048-9d79-557d5afee647,c5,c3,27,p3,?,surb={'id': 'f5f21600-a452-457e-89c9-7fc93ae8ae48', 'route': ['p3', 'e5', 'i11', 'x12', 'p2', 'c5']}
1769450795.794387,RECEIVED,cb569c99-2e3b-4e38-ba8d-cec7b8c69539,a8666afe-fb99-4486-a11b-9b1397af2bed,c5,c3,27,p3,?,surb={'id': '0699c722-663b-4add-96fb-a91f6f6d155c', 'route': ['p3', 'e3', 'i11', 'x11', 'p2', 'c5']}
1769450796.487566,RECEIVED,536a5760-7ccf-4658-a4e4-d3dfb54f80da,354a4afb-af7a-4742-b322-49a37cac474f,c5,c3,27,p3,?,surb={'id': '57ecd3fe-30c3-4537-8305-55f23b6d2f54', 'route': ['p3', 'e1', 'i12', 'x9', 'p2', 'c5']}
1769450796.5496457,SENT,0f281195-7ee3-45d1-b51f-f30f26d64dc2,2513bbd0-7fdf-4cd0-b050-355833be8928,c3,c1,3376,?,p3,
1769450796.5497205,CREATED,e1046026-3abb-48f8-be42-9871d40ed679,6435d794-aac7-4a9c-9d59-56a316b4b07c,c3,c1,27,?,?,surb={'id': '8c989649-27a8-4b8a-b5a3-fb721e2db012', 'route': ['p1', 'e9', 'i2', 'x1', 'p3', 'c3']}
1769450796.717394,RECEIVED,bd41aaae-67ee-405c-8f7e-76f660919a2b,0da07bfb-1b00-4b4d-8dbc-adcef1c220ca,c5,c3,27,p3,?,surb={'id': '17a282a9-6575-40db-aebd-1245107d2ce2', 'route': ['p3', 'e3', 'i1', 'x7', 'p2', 'c5']}
1769450796.7329004,RECEIVED,c3496fc5-587a-4071-9e68-fd7344a35bcd,1e2bdcc6-bc65-4b13-8c4a-8b32c43a6b2c,c5,c3,26,p3,?,surb={'id': '3eade4d2-d90e-4bdc-976c-ec0688a4a837', 'route': ['p3', 'e5', 'i9', 'x9', 'p2', 'c5']}
1769450796.8296459,RECEIVED,b6302cb0-01b1-401d-b889-4c86ba18641b,952f6a32-d1aa-4254-a67c-208158bd7cff,c5,c3,27,p3,?,surb={'id': 'b29f44e3-44c9-4b1c-9fa3-bbaa387cced8', 'route': ['p3', 'e5', 'i5', 'x12', 'p2', 'c5']}
1769450797.45034,RECEIVED,5867e7a4-bdfd-4305-a43b-af846dc53ca0,4490ec39-3673-4a32-ae90-4d7abecd3ddd,c5,c3,27,p3,?,surb={'id': '1af60eff-2b01-4c18-a94b-afb5a924686f', 'route': ['p3', 'e8', 'i7', 'x2', 'p2', 'c5']}
1769450797.7249358,RECEIVED,b761643b-4291-4e5a-a24b-d68199976f79,63cde7f1-1648-4e73-9309-cf488e1327ee,c5,c3,27,p3,?,surb={'id': 'a6fe7cc3-c918-42a2-851a-48abf1b700c8', 'route': ['p3', 'e2', 'i6', 'x7', 'p2', 'c5']}
1769450797.931422,RECEIVED,2a0f522f-7013-4db6-ab22-5e7801ced11c,343619b7-c8f0-488f-8ebe-7dc2bf3411b7,c5,c3,27,p3,?,surb={'id': '0200a038-9eb8-4ebc-88de-aa86e6fbe44e', 'route': ['p3', 'e6', 'i3', 'x7', 'p2', 'c5']}
1769450797.9664116,SENT,e94902af-d58a-4b09-b91f-7c53e35d31f7,8a45c565-786b-4e27-9c26-77e9b87a4706,c3,c1,3395,?,p3,
1769450797.9665236,CREATED,8eff721e-e579-4e7c-8f5b-f0d032c120e6,e4dae3d6-55a4-461c-b14d-68297af2f71f,c3,c1,26,?,?,surb={'id': '3becc704-c38b-4aaf-9047-69c98ec06dd9', 'route': ['p1', 'e8', 'i12', 'x11', 'p3', 'c3']}
1769450798.0724392,SENT,4ac17e67-241d-4c77-b912-cfffc66db895,795dc5c1-eec7-451b-afef-996bd16ce0f0,c3,c1,3375,?,p3,
1769450798.0725114,CREATED,ee978f82-5bab-45fa-aefd-ee193c0cf8ed,655d39d9-104c-43ba-b458-9e25d45c8200,c3,c1,27,?,?,surb={'id': '93e23d2f-7f56-4d03-9c3f-d8c82f1bdecc', 'route': ['p1', 'e3', 'i11', 'x5', 'p3', 'c3']}
1769450798.5936415,SENT,589d32ad-7a00-4756-b506-dff28289ab08,fcb349f2-25c8-4321-b89d-11f878590e96,c3,c1,3391,?,p3,
1769450798.593948,CREATED,f31f7e53-2c22-4316-b082-a5bd2c4531d4,f04b6264-aab6-4b3b-851f-9b5c7fb372a6,c3,c1,27,?,?,surb={'id': '3d508ad9-f3a2-4a06-b141-485141e54c29', 'route': ['p1', 'e9', 'i12', 'x5', 'p3', 'c3']}
1769450799.43378,SENT,b9dc674d-74c5-4de9-980a-c8e10f7fdcac,ecfcaccc-7069-4db9-86c8-f065255416e9,c3,c1,3371,?,p3,
1769450799.4339297,CREATED,d3bfcef0-baa6-4c9c-8ca8-93354f63d599,16b71f6d-bc4a-4232-90cb-0a2600821859,c3,c1,26,?,?,surb={'id': 'e7d5b283-6fa2-4e36-b24d-20822ee1c311', 'route': ['p1', 'e6', 'i7', 'x5', 'p3', 'c3']}
1769450799.5055542,SENT,09e07ea4-1623-4fc7-82bc-3346df2e06db,32918254-9791-45d8-b0c5-67f7d14d98cf,c3,c1,3405,?,p3,
1769450799.505698,CREATED,ddf8a14e-cf37-4eb7-b64c-dc8a4df2f70c,49da134d-352a-4b55-b172-190806ea70d1,c3,c1,27,?,?,surb={'id': 'a20c930d-1bb9-4eb6-836a-989fa6bc8f8d', 'route': ['p1', 'e8', 'i7', 'x11', 'p3', 'c3']}
1769450799.7294197,RECEIVED,2316420c-1021-40c3-86d2-a02a44a23539,7fd5301d-b11d-48d3-bd79-27e3102007d7,c5,c3,27,p3,?,surb={'id': '7fd2f633-ca29-472b-8096-31ac47c757b6', 'route': ['p3', 'e5', 'i1', 'x3', 'p2', 'c5']}
1769450799.9005346,SENT,b0d0d2a2-3f74-46f5-8d68-e084d48c0368,657add31-87dc-48b7-beda-4c41af2ff06b,c3,c1,3364,?,p3,
1769450799.9006658,CREATED,3acd6339-1513-4d21-8c32-93a19f96688e,da042229-3018-412b-85f0-c9da3fd2f7b5,c3,c1,27,?,?,surb={'id': 'cbcd6099-83a5-4218-8489-46d793aaf614', 'route': ['p1', 'e4', 'i4', 'x7', 'p3', 'c3']}
1769450799.9415948,SENT,e606125b-2f6d-4c84-ab4e-6563c2a7fa90,3ad08bce-a546-48a7-b97b-72d5a0bf3bc4,c3,c1,3367,?,p3,
1769450799.9417262,CREATED,c234108b-8389-46c9-8b22-ac2f269f8e32,6e78cc2c-ff97-42a5-99f2-061dd6418e5e,c3,c1,27,?,?,surb={'id': 'dc2d8ba9-782a-40d8-8b39-7a4565b38c7c', 'route': ['p1', 'e9', 'i5', 'x3', 'p3', 'c3']}
1769450800.309903,SENT,4f9a6bc6-66bf-4e05-b934-35cc6277f9e7,ce178fa4-b312-4bdc-9790-55ed393ddc07,c3,c1,3393,?,p3,
1769450800.3101022,CREATED,667db373-fba0-43c2-96f4-147e85bad9ca,1d55fb01-76a5-4459-9c11-7380155bb9c7,c3,c1,27,?,?,surb={'id': 'bf273cd4-e9df-4f32-8439-94dbf9ff842f', 'route': ['p1', 'e4', 'i11', 'x2', 'p3', 'c3']}
1769450800.694823,RECEIVED,9b00f73f-fca8-41b0-9009-7ae5433e3c7c,e8cddb47-bac3-4250-80f6-0bf75358e307,c5,c3,27,p3,?,surb={'id': 'd397a0e8-620f-42cb-a338-bcde61157862', 'route': ['p3', 'e5', 'i6', 'x11', 'p2', 'c5']}
1769450800.7857401,SENT,7b02e4c3-972d-48be-93e9-6d1a3d35e8dd,d3dc5f3f-0608-42b8-808a-a765af39947a,c3,c1,3377,?,p3,
1769450800.7858872,CREATED,88426548-545a-4d9b-88ad-d49a027e8c62,4be99948-207b-4f59-9511-83b56fa3804c,c3,c1,27,?,?,surb={'id': 'a97e2ee2-6bda-4b1c-b028-a5514bc6f9e8', 'route': ['p1', 'e8', 'i9', 'x9', 'p3', 'c3']}
1769450801.9443982,RECEIVED,2fd18bf3-fb1f-48c2-91a4-641d6df77a40,474d7dbc-7d92-45ab-9bb7-d72de6fad6cf,c5,c3,27,p3,?,surb={'id': '75fb1311-2ee6-4198-9ed1-d43bfbbc93e0', 'route': ['p3', 'e10', 'i2', 'x11', 'p2', 'c5']}
1769450802.0122836,SENT,a81e2b91-61ef-4483-81b1-10f38833e56f,e2c61b9b-4ea2-4492-a700-5d685ef69e9f,c3,c1,3383,?,p3,
1769450802.0124156,CREATED,86e9e096-fb4c-4e57-90ef-aaa19792648a,525da3e0-ea80-4a07-b8a4-2d92b06b3590,c3,c1,27,?,?,surb={'id': '181c173c-b466-4725-9528-25fda8f8b565', 'route': ['p1', 'e9', 'i2', 'x12', 'p3', 'c3']}
1769450802.0927353,RECEIVED,98e73fd5-c54f-42a0-acf4-91363282be36,350f1550-e66c-412c-99fb-27481a6cc117,c5,c3,27,p3,?,surb={'id': '045c32bc-77ee-4ce5-b399-290bdb0d2d12', 'route': ['p3', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769450802.1104708,SENT,1a89daca-d28f-4a1c-bcbd-4e0a9df42130,1df3ef40-3844-464c-93f9-6e0e515f1f1c,c3,c1,3359,?,p3,
1769450802.1106033,CREATED,a4da86d0-0208-471b-a3cf-0408d7093b43,0d6245a2-8875-4aa1-9e8a-155f2bb3db99,c3,c1,27,?,?,surb={'id': '01dd1591-58f4-4899-826b-757fea6e4e46', 'route': ['p1', 'e7', 'i8', 'x12', 'p3', 'c3']}
1769450802.1784809,RECEIVED,c3e474a2-b7f9-49c3-bad5-ce7b2fbdaf07,1e54cc33-c52f-4739-a496-4e86991f5e45,c5,c3,27,p3,?,surb={'id': 'fae46263-b370-40ed-a7d2-4688fbdc9930', 'route': ['p3', 'e3', 'i7', 'x6', 'p2', 'c5']}
1769450802.268166,SENT,87de053f-f85f-4b7c-8ad8-9db6a19ce33d,da4e1de7-a55c-43b1-a957-2cea5571625a,c3,c1,3361,?,p3,
1769450802.268307,CREATED,1e84783c-cbfe-4d4b-a66a-6f5d641fb6ce,f94d210e-0afe-4f3b-8c1c-216d01456c80,c3,c1,27,?,?,surb={'id': '04b0ce28-1cb3-4c94-b34d-f615d97df8a4', 'route': ['p1', 'e3', 'i9', 'x2', 'p3', 'c3']}
1769450802.3067648,SENT,46b64748-733d-493a-b99e-a70fe3559ea4,f70254ad-2a86-48f4-9b6b-b9bbe79e3705,c3,c1,3360,?,p3,
1769450802.3068984,CREATED,ee652f5c-0794-42d1-9d3a-5474f0052b28,2fdae0f3-0d26-49b9-af52-1ad49572a38d,c3,c1,26,?,?,surb={'id': '552e23bf-5592-45b9-826a-c8213bfd78fe', 'route': ['p1', 'e2', 'i6', 'x9', 'p3', 'c3']}
1769450802.3601933,SENT,11f74c68-7e73-4da3-b73a-04850c8cd1b5,2c54c157-dca9-4db6-8935-acddfc069cd9,c3,c1,3359,?,p3,
1769450802.3603287,CREATED,e91719f9-90b2-4334-8abc-5b98a390197e,a17882b4-64f3-47de-a8d2-00fc6d8d7df2,c3,c1,25,?,?,surb={'id': '978fd0f7-cbe0-45f2-89e9-f16305caf633', 'route': ['p1', 'e2', 'i1', 'x10', 'p3', 'c3']}
1769450802.756421,RECEIVED,f2d2c1e2-b06d-4a94-a759-021bb4751826,51c05725-8815-4a6a-9ee0-9d53bfdc0179,c5,c3,26,p3,?,surb={'id': '81078b85-9118-4fd9-bb67-1fda70032083', 'route': ['p3', 'e8', 'i10', 'x8', 'p2', 'c5']}
1769450802.9837198,SENT,faf4107e-296f-4fd1-8fee-e1c092ab622a,a1c2d1b2-b731-48e8-88ea-d41911762424,c3,c1,3367,?,p3,
1769450802.9838288,CREATED,ff4bc2b9-a303-40c5-8797-7daf696eaa36,95c74257-d916-44a0-a2e9-3dba86c66d4b,c3,c1,27,?,?,surb={'id': 'd04fb975-2434-41ac-b767-4cc355bcc674', 'route': ['p1', 'e9', 'i2', 'x6', 'p3', 'c3']}
1769450803.0004761,SENT,fa4cac4b-c1dc-4b9d-92fa-3db1746d4f87,d023c3bb-c133-48d3-8ed3-753b7b4a6482,c3,c1,3357,?,p3,
1769450803.000581,CREATED,a5357bd2-755a-467b-b100-aefcacdca350,b511a4a2-b66b-4246-86c4-41010d2050f8,c3,c1,27,?,?,surb={'id': '4a51d859-3b77-4c4c-ad51-77a9e85f0dc3', 'route': ['p1', 'e1', 'i11', 'x5', 'p3', 'c3']}
1769450803.3146307,SENT,751b67aa-d620-4479-8f73-48ee4dbe1f03,96fc2d6a-f286-42d9-8f34-30e0db3dcb48,c3,c1,3400,?,p3,
1769450803.3147652,CREATED,1d1f75eb-dee0-43b1-a2b5-93ee91b7c18a,a9cad2ee-680e-4957-a01d-1801a081d148,c3,c1,27,?,?,surb={'id': '35203520-bc12-4f4c-8a06-68eaaf8857ef', 'route': ['p1', 'e12', 'i5', 'x2', 'p3', 'c3']}
1769450803.412201,SENT,33179599-eca3-45ac-8905-3760f2f847c4,f3518089-4d99-4310-b0bb-b7db1cb5af07,c3,c1,3361,?,p3,
1769450803.4123356,CREATED,cfa2d9b8-2c1c-4fdc-b626-ad069bcf58bd,12fcb4d3-0807-4460-9b0c-447f58f085e0,c3,c1,27,?,?,surb={'id': '778eb2fd-7f2d-4f60-aa42-05572bc97751', 'route': ['p1', 'e10', 'i11', 'x1', 'p3', 'c3']}
1769450803.821096,RECEIVED,881ebf13-fb96-4c99-94cd-24d709c131a1,7444281e-10c0-484a-8b33-6867bdb2745c,c5,c3,27,p3,?,surb={'id': 'e9f125b0-5597-49b3-9a1b-c616aa3d3b44', 'route': ['p3', 'e9', 'i2', 'x3', 'p2', 'c5']}
1769450804.191291,SENT,13089f33-6b46-47fd-845b-741afe15b5fd,d4cca46a-b485-498b-b214-a9c08cac70d9,c3,c1,3355,?,p3,
1769450804.1913922,CREATED,85728e29-3d0d-420f-98f7-3b01b007523e,72420b9f-9670-440f-aa25-cd5d75813b82,c3,c1,26,?,?,surb={'id': '816d0008-9853-4a9a-8abe-23c604a95924', 'route': ['p1', 'e6', 'i4', 'x4', 'p3', 'c3']}
1769450804.3045306,RECEIVED,174196ee-763b-40e1-9b2e-34b2a8ada83a,5ace419b-8354-42f1-a2d5-ac631e55bd88,c5,c3,27,p3,?,surb={'id': '0279bdda-0c49-40b9-90b7-698869989e24', 'route': ['p3', 'e3', 'i10', 'x1', 'p2', 'c5']}
1769450804.3636606,RECEIVED,2c4e79ea-66f4-4a9b-a8fd-b0d369cebaab,2d076cef-9da7-4fd0-84d4-cf9ec64ebb4e,c5,c3,27,p3,?,surb={'id': '40685e32-5784-4a45-9abf-bfb7539b491e', 'route': ['p3', 'e11', 'i6', 'x5', 'p2', 'c5']}
1769450804.8039567,SENT,91c92c1e-55e4-436f-94f4-d54751002673,97ac14b4-dd35-4401-943a-8308e4de6fd1,c3,c1,3376,?,p3,
1769450804.804119,CREATED,d0b3f950-4bbc-4d4b-9bd4-58cb4463dd91,1c090add-214d-4fb5-bde8-eeb58e9988b9,c3,c1,27,?,?,surb={'id': '464b1ca4-61b6-444c-b421-64b7b289f8df', 'route': ['p1', 'e4', 'i11', 'x4', 'p3', 'c3']}
1769450804.8185537,RECEIVED,f0433d64-2a95-4919-b968-974f73f014cc,9b03282f-885c-4a9b-8f8a-5957821422cb,c5,c3,27,p3,?,surb={'id': '94a73eb9-195a-41c7-9727-71398593c56a', 'route': ['p3', 'e2', 'i10', 'x3', 'p2', 'c5']}
1769450804.9961157,SENT,3d685c39-7825-429b-9227-22e88d81dc3d,ddee52f1-e28e-473b-bf6e-5a3412b3a962,c3,c1,3376,?,p3,
