timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731269.242882,CREATED,e8f80183-82cf-4831-ab70-38436e22386c,a02b3891-c38e-4088-85e5-e2afa0ed679e,c2,c1,27,?,?,surb={'id': 'b75706ad-8a87-4f42-9d21-ca5247abae9f', 'route': ['p1', 'e3', 'i4', 'x1', 'p2', 'c2']}
1769731269.5802155,RECEIVED,0ad162e5-6e07-4629-b0c8-677c3e775db3,57703ae8-caed-48d4-97b8-14516bbf2d86,c4,c2,25,p2,?,surb={'id': 'b458a47f-aef0-45d0-acb5-5153bf4ea67b', 'route': ['p2', 'e3', 'i10', 'x11', 'p1', 'c4']}
1769731269.6198874,RECEIVED,663662b8-c168-45ab-9076-9770b8d322de,43fd5017-0ea6-4735-9dda-fc6cb681c6ed,c1,c2,27,p2,?,surb={'id': '50646c97-7522-441b-b63f-e57435fa183c', 'route': ['p2', 'e2', 'i7', 'x8', 'p1', 'c1']}
1769731269.632667,RECEIVED,b0da1df6-7138-459c-970e-629cd0ebfc33,2e16c9c4-9aca-4417-82c6-499a2061204b,c1,c2,27,p2,?,surb={'id': 'fdc83f53-0ff9-4750-ba43-78b00c42ac44', 'route': ['p2', 'e4', 'i11', 'x9', 'p1', 'c1']}
1769731269.6493678,SENT,f98173e6-ece8-497b-8455-52c760cadfe6,40a44895-3b17-4764-9239-c788a1061b37,c2,c1,3375,?,p2,
1769731269.6494997,CREATED,8f2b853c-e1e2-42a7-aa90-eaef951fe2b9,44e5ca93-2c0f-4bad-bddf-61f6c3bf727a,c2,c1,27,?,?,surb={'id': '5c5a0127-a100-4fe7-9d6a-d66e06fe8daa', 'route': ['p1', 'e5', 'i12', 'x5', 'p2', 'c2']}
1769731269.914691,SENT,f46465f0-fff7-4925-8f0a-76ae16253ce3,ca670d96-ce1c-4d95-a001-7720be3c9284,c2,c1,3392,?,p2,
1769731269.9148252,CREATED,0c7f5b61-3da6-40fb-955d-d439535af047,3c25622c-e09b-4656-a0a5-3e992cc62480,c2,c1,27,?,?,surb={'id': '2c0ac787-27d6-4377-9cdf-da5a772be0d7', 'route': ['p1', 'e4', 'i4', 'x12', 'p2', 'c2']}
1769731269.9234352,SENT,59ccc2f5-9cce-4d67-971a-8262b14e581c,2692a920-f384-4635-b643-e224dcd09d7b,c2,c1,3398,?,p2,
1769731269.9235704,CREATED,0d961199-22a6-4a6e-aaaa-4e923bd7bdea,ee9bda07-45bb-4ab3-89e9-539b911382d6,c2,c1,27,?,?,surb={'id': '2b0c6030-3b2e-444a-9c9f-aa0209f81fc8', 'route': ['p1', 'e10', 'i12', 'x8', 'p2', 'c2']}
1769731270.0518663,SENT,92471a80-922d-447e-83ad-e66e273bad2c,a2e97cad-96fe-4330-8cb1-1cbd82e77003,c2,c1,3379,?,p2,
1769731270.0519888,CREATED,d3188449-69ad-4142-8094-d861bdd23dd1,8f5b067a-0a2e-4c25-9752-c3c0d90b40a3,c2,c1,27,?,?,surb={'id': 'bf056831-e8d2-43a9-b848-63e7f9405b4c', 'route': ['p1', 'e3', 'i3', 'x10', 'p2', 'c2']}
