timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749779.287512,SENT,87a6aea4-32f0-4380-b747-8cf76a55a554,f8a64057-3fd6-4b7f-9460-91d300e31599,c4,c5,3392,?,p1,
1769749779.2876265,CREATED,6a9e163c-5118-4281-9155-aadfb069d751,cd116466-a174-488b-baa3-432533ea3ab0,c4,c5,26,?,?,surb={'id': '5b8bb65d-d007-410e-9241-1490530c5f34', 'route': ['p2', 'e10', 'i6', 'x7', 'p1', 'c4']}
1769749779.483448,RECEIVED,326333c4-445f-439c-96d9-67473b3b53f3,3feeea1e-de3b-4b99-8ebb-a175040bd05d,c2,c4,26,p1,?,surb={'id': '02f45ac7-03c2-4334-a66d-ac7ff8d06c51', 'route': ['p1', 'e10', 'i8', 'x4', 'p2', 'c2']}
1769749779.5944514,SENT,6a4d325a-bd30-4d14-85cf-33530f3198d5,f8c6776a-98ba-4289-a701-2df40159232c,c4,c5,3369,?,p1,
1769749779.59462,CREATED,22542571-2c19-4567-972e-b64a59394fc2,cfd39c66-3cd2-479a-8e61-57cde1265ac9,c4,c5,26,?,?,surb={'id': '13920a85-9b11-486f-8908-b9ed1215533a', 'route': ['p2', 'e8', 'i2', 'x8', 'p1', 'c4']}
1769749779.876139,RECEIVED,6b83b028-8bd3-486e-aebd-97d3ac217373,b27bf72c-cd5b-4d17-933e-32b3f6e7178d,c2,c4,26,p1,?,surb={'id': '18e786db-8a62-4b0e-bb0d-661cacf35466', 'route': ['p1', 'e5', 'i3', 'x1', 'p2', 'c2']}
1769749779.9060745,SENT,e2c3ffd6-c831-48c9-9f0a-ee435751019f,a5cec1dd-0733-411f-a8e1-7ab17526d843,c4,c5,3394,?,p1,
1769749779.9062161,CREATED,2c418365-0cc1-431e-bb1a-f18b99b17d0d,68cbe6fe-8390-473f-aacf-2994af1ce268,c4,c5,27,?,?,surb={'id': '7f89b086-299c-47e3-9eca-f19b58c13ea9', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c4']}
1769749780.0403666,SENT,9322dd3b-0935-469f-9062-125ef208153a,be8fb626-c7fc-40df-9c18-777f6c58ccf8,c4,c5,3383,?,p1,
1769749780.0404987,CREATED,2cb81ea8-6f53-458f-97e1-db888caff28e,562bb285-00f4-42ff-a573-be46484d7e3d,c4,c5,27,?,?,surb={'id': '3a9a02f4-67d9-4f18-abfc-9ea65705569d', 'route': ['p2', 'e12', 'i8', 'x8', 'p1', 'c4']}
1769749780.244125,RECEIVED,8712ec9a-f3fc-4821-8aad-f94bcca1126c,cb283115-a0fa-4497-8a8b-ee34fe1daefe,c2,c4,27,p1,?,surb={'id': '224a93e5-89db-4cd7-903e-4b92809f85b5', 'route': ['p1', 'e5', 'i5', 'x12', 'p2', 'c2']}
1769749780.4292665,SENT,c628e9ea-e939-4f1e-9790-d1f144e0f8fc,7f9e62b5-f487-42b2-a008-53d8847fade5,c4,c5,3387,?,p1,
1769749780.4294128,CREATED,e2f4a93b-13cb-477d-877d-ad3f4981cfe1,5130039d-8fd3-4dda-a4b3-6d75b8d6db74,c4,c5,27,?,?,surb={'id': '93cfa264-6bc6-4b32-9dbb-54efbb1b4f63', 'route': ['p2', 'e8', 'i8', 'x9', 'p1', 'c4']}
1769749780.5552974,SENT,d487cf41-0b36-463c-a491-6716e62e5b4f,69be2e7e-94db-4e75-bc20-b2759dc860d2,c4,c5,3362,?,p1,
1769749780.5554554,CREATED,7de70227-1222-44e8-8b05-2d64a2051649,67d3d726-8eee-43ee-ac1c-489436c53bb7,c4,c5,27,?,?,surb={'id': 'a2c9b110-f5e5-4ac5-a96f-83e49fcf0fd8', 'route': ['p2', 'e12', 'i8', 'x2', 'p1', 'c4']}
1769749780.6444147,SENT,09797747-6d49-4e0b-a800-448e0d25c17d,c83f5e9f-81ac-4ab1-b3c2-7f42352aa447,c4,c5,3389,?,p1,
1769749780.6445658,CREATED,93850d1a-4875-4611-9b05-b772faec9818,aef1adea-0c10-431d-9ede-70a8824238c5,c4,c5,27,?,?,surb={'id': 'f3989cdf-9f5e-449c-82b6-4f453e0c37e9', 'route': ['p2', 'e7', 'i2', 'x9', 'p1', 'c4']}
1769749781.1118405,RECEIVED,4fc712f6-44b3-4d0a-8511-12c43eccc940,a644e7e2-c53e-491d-9318-afc0340205cd,c2,c4,27,p1,?,surb={'id': '884b9fdf-a593-4c73-8c94-561fecc5f490', 'route': ['p1', 'e7', 'i11', 'x8', 'p2', 'c2']}
1769749781.2111077,RECEIVED,f26c27c6-af04-45f1-ab79-9fc84a3814ce,11cf6d4b-60b8-4103-a74c-02657600e2e1,c2,c4,26,p1,?,surb={'id': '851b6b79-277e-42a0-88ef-b32df1f1ed1b', 'route': ['p1', 'e3', 'i6', 'x9', 'p2', 'c2']}
1769749781.2774506,SENT,b0c0a87a-235a-49a3-aafd-a9ae3dc57d86,c777a5be-64ac-4232-9734-fd4b490c47a0,c4,c5,3376,?,p1,
