timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749774.5422573,RECEIVED,faa10cb0-7d2c-43e5-89d2-27d139ecc052,ac74021e-d4c2-410f-8135-614b65c1c062,c4,c5,27,p2,?,surb={'id': 'f3b4e996-53b9-4d49-8fd0-a2581960a611', 'route': ['p2', 'e12', 'i11', 'x6', 'p1', 'c4']}
1769749774.6831162,RECEIVED,4c096223-320f-4f77-943e-606d8cd011ea,5bb125e7-6bb3-4d7b-84ce-28df400cd97c,c4,c5,27,p2,?,surb={'id': '48ff3049-a198-4227-a014-fce8dbc43018', 'route': ['p2', 'e9', 'i10', 'x12', 'p1', 'c4']}
1769749774.7986035,RECEIVED,44035149-f119-4287-87be-b8d4025a2ad7,b96b9ac6-92df-432c-a3ba-870220b31f03,c4,c5,27,p2,?,surb={'id': '46336aa0-76c0-4d4b-80bf-053439165d55', 'route': ['p2', 'e4', 'i3', 'x7', 'p1', 'c4']}
1769749774.8423002,SENT,93138e71-5d9b-4aa9-b5ee-6c1f3ca709b6,f493e80a-d6cd-4805-af33-b2ecced9ade3,c5,c2,3393,?,p2,
1769749774.8424466,CREATED,2f34241e-ba5a-4faa-862c-46fe739fde90,da963df9-cffa-4553-a59c-48a9ebe743ae,c5,c2,27,?,?,surb={'id': '3195e736-2dea-4332-9ecc-9825a386af7d', 'route': ['p2', 'e3', 'i10', 'x12', 'p2', 'c5']}
1769749774.876399,RECEIVED,4f20a018-2f21-4dd3-9977-f26a032a23b3,2ed859ed-b7ed-4333-beea-48af5428eee2,c4,c5,27,p2,?,surb={'id': '40fc0076-ff4f-4663-94aa-2be2ebfdc56e', 'route': ['p2', 'e6', 'i12', 'x8', 'p1', 'c4']}
1769749775.0088391,SENT,bab5478b-7065-4a24-9b7a-f2859e6036f5,3c0050f5-f766-44bf-8659-a3ad0f428d8b,c5,c2,3379,?,p2,
1769749775.008979,CREATED,bbb8f300-4328-4fec-a2b5-8cb4a91f18f9,6a3fd021-d123-4767-b8f4-858da3d99def,c5,c2,26,?,?,surb={'id': '709bbf38-fc08-4d22-8164-80d98a76ddd7', 'route': ['p2', 'e7', 'i3', 'x8', 'p2', 'c5']}
1769749775.3660746,SENT,39e3faab-2cd0-41cc-a46f-bf3d8f2a2762,985f9575-8912-4409-8aef-bca6880b6fda,c5,c2,3400,?,p2,
1769749775.366227,CREATED,3c69677b-63a2-40df-b408-37591c64b3c5,67a210fe-a640-487e-9034-f206f35c3ac3,c5,c2,27,?,?,surb={'id': '060382e7-63af-4643-b50b-c23f8d2e1971', 'route': ['p2', 'e3', 'i1', 'x10', 'p2', 'c5']}
1769749775.5083923,RECEIVED,e25967f0-1e93-49e7-9676-90f9a006ef86,43411ea0-f003-4471-97b2-36028012857a,c1,c5,27,p2,?,surb={'id': 'd52a88de-f983-45f5-8d23-334a1d4ee7f2', 'route': ['p2', 'e7', 'i11', 'x10', 'p1', 'c1']}
1769749775.5241268,RECEIVED,e8a5fd5c-f84a-4815-a918-687213bee6da,4c7aff6d-03eb-4c38-b26f-2232d653d96a,c4,c5,27,p2,?,surb={'id': '913fb191-4188-4f81-bbc8-e0ffeba58b4e', 'route': ['p2', 'e3', 'i3', 'x9', 'p1', 'c4']}
1769749775.54741,RECEIVED,2d90bab6-d096-4dbb-abda-9010a6e69c32,a7b69285-d989-47e6-89c4-4d121d74b5d6,c4,c5,27,p2,?,surb={'id': '0a984b8b-a228-428c-a1d9-047192c855b6', 'route': ['p2', 'e4', 'i9', 'x7', 'p1', 'c4']}
1769749775.8041387,RECEIVED,414b5aff-15e5-4258-946d-6192596787cc,d8971e5d-38fe-487c-b2d0-a29811bfd1c0,c1,c5,27,p2,?,surb={'id': '9afd38cd-167a-4024-ab5f-4e97d4c9bf76', 'route': ['p2', 'e11', 'i4', 'x9', 'p1', 'c1']}
1769749775.8170607,SENT,97600ed7-2d3c-4a2e-9313-abf692cfe577,1e3f86fc-652d-4635-a76c-000514ef6296,c5,c2,3398,?,p2,
1769749775.8172019,CREATED,1b4ae91d-883c-4b83-8ae8-2844e4bd1e7a,c83735bd-c561-47c1-a556-c04f52f9f2c2,c5,c2,27,?,?,surb={'id': 'f7ed262b-d0d4-4483-8ee6-600bd9f4bf46', 'route': ['p2', 'e4', 'i10', 'x3', 'p2', 'c5']}
1769749776.130747,RECEIVED,6de58246-6c73-46e2-a0e2-c51d5c984570,cb8262e8-8f24-42af-9530-5e3530576df4,c4,c5,26,p2,?,surb={'id': '1151b8f3-88b3-48cb-af4c-76ce9a268739', 'route': ['p2', 'e2', 'i11', 'x6', 'p1', 'c4']}
1769749776.1662335,SENT,6cbb76b7-76ef-4d1e-8725-e84ac15bee6b,b6320392-6854-4600-a35c-af59f2a4e37c,c5,c2,3367,?,p2,
1769749776.166375,CREATED,ccdf2a01-3cfd-4f90-8751-62b51a1e9871,c34bc545-bab1-4130-ab87-8765b62d3ceb,c5,c2,27,?,?,surb={'id': '5675a8fe-656d-4347-948a-52213e1001ec', 'route': ['p2', 'e6', 'i9', 'x6', 'p2', 'c5']}
1769749776.2934825,RECEIVED,37080106-4bd6-4068-82c2-ed0ca9ee4388,7ec8e90e-6889-48d7-8d16-832517918124,c1,c5,26,p2,?,surb={'id': '0d8b7846-5f4f-4b67-afb9-fb9183bea58c', 'route': ['p2', 'e4', 'i6', 'x6', 'p1', 'c1']}
1769749776.3358717,RECEIVED,b308dea2-cea4-4e06-968d-920768a2c2d0,8c386511-e662-4fac-8f72-f81fab3e2eff,c4,c5,26,p2,?,surb={'id': '56ca2c07-52d0-4790-b6f4-497a9c928f9e', 'route': ['p2', 'e7', 'i5', 'x4', 'p1', 'c4']}
1769749776.4827962,RECEIVED,8e85fc2a-0775-4f5d-825b-c0a62d2ce94e,f26c0ef8-6ae2-42d0-8dfe-6b927133792e,c4,c5,27,p2,?,surb={'id': '5e9938e5-2c1f-4aba-91d1-1c8d29b5e191', 'route': ['p2', 'e5', 'i10', 'x5', 'p1', 'c4']}
1769749776.4996362,SENT,2530f60f-b1a7-4042-992c-fbee36d08921,f264ffb5-84b0-4f7a-885f-44f339553922,c5,DROP,2016,?,p2,
1769749776.4997547,CREATED,3943c506-45d6-494f-970d-f88640b31e41,4172ca3d-c52e-425c-b747-e156a4fe2b20,c5,DROP,27,?,?,
1769749776.6926527,SENT,82ee75af-1a8f-45a7-bccc-c7462480d0bb,71a643ee-bc83-4ce2-a1a0-02361242460f,c5,c2,3392,?,p2,
1769749776.692806,CREATED,a45d91e5-4720-4b4a-bff1-271a839cdad3,b2cd0bc5-eb92-43fd-bd77-3001fa84549b,c5,c2,27,?,?,surb={'id': '899ec694-b646-4d40-ab2e-32f44bb5e9f5', 'route': ['p2', 'e2', 'i5', 'x11', 'p2', 'c5']}
1769749776.7270331,RECEIVED,6406989e-868b-4f6a-9697-c1da49a42cc1,cbedbabd-3678-4766-a9d3-ca20ddd510d4,c1,c5,26,p2,?,surb={'id': '2ef15f9a-bec3-43d7-ae12-61aeb496f4bc', 'route': ['p2', 'e7', 'i11', 'x9', 'p1', 'c1']}
1769749776.7857957,SENT,06359b52-f493-4468-844b-bcbbc619254e,27e562c2-3387-4f9f-a59f-186d1a9b5087,c5,c2,3387,?,p2,
1769749776.7859251,CREATED,53f69c3b-70cb-4c00-866a-80f6db7ca0ac,9c9f62b3-1e71-4da7-b2dc-3204a131ec41,c5,c2,27,?,?,surb={'id': 'b5417f03-e208-42fc-a960-8818a3ba82ec', 'route': ['p2', 'e1', 'i7', 'x7', 'p2', 'c5']}
1769749776.7933729,RECEIVED,aba4547b-e8d2-44fa-a521-fbef92f108f6,1dd2608d-85a1-499a-8a67-02215274ae81,c1,c5,27,p2,?,surb={'id': '8b63b5c5-70d6-460f-8843-725a5d0adc28', 'route': ['p2', 'e10', 'i4', 'x3', 'p1', 'c1']}
1769749776.844565,SENT,bfd42825-6a37-409d-bd3e-e977afdd8348,8d04d30e-ebf3-4f3f-b591-8aece2dd7f51,c5,DROP,2036,?,p2,
1769749776.8446805,CREATED,788ca92e-87fa-4ade-98a3-a63e5a67b489,de4542b8-8566-46c0-8e2b-0295fa755a49,c5,DROP,27,?,?,
1769749776.861181,RECEIVED,32b745ed-2d24-434c-92b9-20a35dc93546,dbd2c005-48d5-42e3-a617-4176cb9c1b63,c1,c5,27,p2,?,surb={'id': '20d717a2-4b07-413b-baa9-56426a6dae97', 'route': ['p2', 'e9', 'i11', 'x4', 'p1', 'c1']}
1769749776.9141958,RECEIVED,e38e3a79-a122-45a3-96f1-b6a21c598470,bd47475e-cc56-4ca0-a3ff-f8f033f0bd95,c4,c5,27,p2,?,surb={'id': 'd36fc542-0293-49df-9004-58491ef9b8a6', 'route': ['p2', 'e10', 'i7', 'x10', 'p1', 'c4']}
1769749776.9765599,RECEIVED,d9b63aeb-9c0d-4405-9753-d93d11d0811d,2b2b755c-0426-4728-bac1-1f448346880f,c1,c5,27,p2,?,surb={'id': '7256a28b-8c32-47a1-b5c2-d42a2ed81bb5', 'route': ['p2', 'e12', 'i12', 'x5', 'p1', 'c1']}
1769749777.2450342,RECEIVED,91c20755-9dd0-4ee9-826a-46166c440b84,ba974d59-e955-469e-9ff6-2783fca8d2aa,c1,c5,27,p2,?,surb={'id': '9f1ca27e-fa28-45fb-ac55-a5efd95d537e', 'route': ['p2', 'e10', 'i12', 'x11', 'p1', 'c1']}
1769749777.2535393,SENT,f1cb2941-7600-472e-9ed1-10da84d319e2,24ece225-c4c3-4732-a8c7-eacac23921bd,c5,DROP,2024,?,p2,
1769749777.2536597,CREATED,eeaf5066-f114-4403-b119-1e003864f82b,d70b214d-69d3-4f4d-b3ab-66bfa2a6ee67,c5,DROP,26,?,?,
1769749777.549117,SENT,bd907c13-918f-45da-b1c2-758c05cf1b45,d4055286-26be-4df6-acd8-caa4c4d1d06c,c5,c2,3358,?,p2,
1769749777.549252,CREATED,137f9dd9-f94e-4432-b6c7-ae34280730ca,2bea9b42-1edc-4f9e-babf-d44b01bed580,c5,c2,26,?,?,surb={'id': '023805dc-7921-4061-b502-0a6902fc92fd', 'route': ['p2', 'e4', 'i5', 'x12', 'p2', 'c5']}
1769749777.6505675,RECEIVED,f3bc5031-b906-4f69-9eff-46e778a1a5cd,8299df05-8110-4378-af8c-9ab7910da103,c1,c5,27,p2,?,surb={'id': '29788c61-1730-41fc-b939-0c461f5407c3', 'route': ['p2', 'e10', 'i6', 'x2', 'p1', 'c1']}
1769749777.9381537,RECEIVED,37cba891-5a97-462d-a3e3-6de490c66d51,3395fc1f-36b4-4f04-8745-7b52fb1accbf,c1,c5,25,p2,?,surb={'id': '0e863988-b8d9-430f-94d1-a49e392e1418', 'route': ['p2', 'e1', 'i1', 'x8', 'p1', 'c1']}
