timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755327.5310712,RECEIVED,dd1f192f-d482-41f1-bcb5-e84fbcf35f32,93bac17e-1813-4223-b151-db3a7a32c4e6,c3,c5,27,p2,?,surb={'id': 'b4f6cc6f-5a2b-44cd-81c9-c57be69159e2', 'route': ['p2', 'e9', 'i2', 'x1', 'p3', 'c3']}
1769755327.558986,RECEIVED,a06f047d-77a4-4eac-86a8-7843170cbb28,2456f3eb-2687-4750-8804-a7f490b13599,c3,c5,27,p2,?,surb={'id': '43bab00e-6e45-4ac6-95d9-f3dedeb716d9', 'route': ['p2', 'e4', 'i8', 'x12', 'p3', 'c3']}
1769755328.1869047,RECEIVED,6755cfd1-7bf3-4f60-a760-fbc5a36e3c38,c999e9f8-8eff-4508-aad6-8b78cc631bf1,c3,c5,27,p2,?,surb={'id': 'e6320f66-d8d9-470d-98af-2b7dba2d33c6', 'route': ['p2', 'e8', 'i3', 'x6', 'p3', 'c3']}
1769755328.5249438,RECEIVED,7b903258-085e-400d-85f7-c30899635432,93bac17e-1813-4223-b151-db3a7a32c4e6,c3,c5,27,p2,?,surb={'id': 'b4f6cc6f-5a2b-44cd-81c9-c57be69159e2', 'route': ['p2', 'e9', 'i2', 'x1', 'p3', 'c3']}
1769755328.5820718,SENT,17a6a870-de83-4175-8a0b-3adc9269e44e,92178cc0-0821-4dab-bab1-c5ce07b28250,c5,c3,3367,?,p2,
1769755328.58221,CREATED,1491d7d3-7169-490d-81e8-38e84100160d,5e8f11d6-a2df-4ef4-914e-63cd60f8dc84,c5,c3,26,?,?,surb={'id': '87224311-6b24-44c7-8c09-128ceaf6199f', 'route': ['p3', 'e12', 'i8', 'x8', 'p2', 'c5']}
1769755328.6257749,RECEIVED,bb59c34a-1f47-4159-b766-f7fb6ab32331,712f7919-37ac-45a4-bf82-056461f32607,c3,c5,26,p2,?,surb={'id': '00fb3ec8-ff70-4f2e-850f-16416b2e0c53', 'route': ['p2', 'e6', 'i1', 'x8', 'p3', 'c3']}
1769755328.6669898,SENT,77a571d2-fff0-4a74-948d-83542c89d76d,08c4a3d9-35e3-4ed5-9cea-2455753a00de,c5,c3,3365,?,p2,
1769755328.6671612,CREATED,421fdf45-2a93-456f-a609-8433402e2319,5e8f11d6-a2df-4ef4-914e-63cd60f8dc84,c5,c3,26,?,?,surb={'id': '87224311-6b24-44c7-8c09-128ceaf6199f', 'route': ['p3', 'e12', 'i8', 'x8', 'p2', 'c5']}
1769755328.8949716,SENT,f65b40c7-28ba-432e-aa4c-f5c2bff5edd7,cf1fcee1-6ef2-4aee-8ee2-bc1f810d0f3f,c5,c3,3392,?,p2,
1769755328.8951316,CREATED,d09ef259-fe18-4e3d-87b3-548ce8c921e5,89740c7a-4b6b-4fe8-8d50-c419f68b1d4a,c5,c3,27,?,?,surb={'id': '62fe5c45-2c56-4af4-b591-3337bbbe32bc', 'route': ['p3', 'e3', 'i12', 'x7', 'p2', 'c5']}
1769755328.9968603,RECEIVED,387db3c4-fa2a-46ce-9a02-074d7d30a4a1,4d877b46-f40b-4beb-96ea-15119330c782,c3,c5,27,p2,?,surb={'id': '085c2460-2434-4852-85f2-8a0c43fdedac', 'route': ['p2', 'e1', 'i1', 'x11', 'p3', 'c3']}
1769755329.1882236,RECEIVED,646e956a-bb6f-4d35-88d0-40196d26a5cf,4b31f13d-f06b-4791-8b0f-ec4a93bc3c1d,c3,c5,26,p2,?,surb={'id': '7b39b3ff-bc0e-41c8-85fc-efe0c5837bf6', 'route': ['p2', 'e10', 'i1', 'x1', 'p3', 'c3']}
1769755329.2811005,SENT,d0ba63b6-d2e6-4cbc-baca-43b619975257,7cf01720-dea8-4bd3-ac01-efcc13f26295,c5,c3,3371,?,p2,
1769755329.2812357,CREATED,b462a2f1-4912-4c8d-8f54-6aee643a230c,89740c7a-4b6b-4fe8-8d50-c419f68b1d4a,c5,c3,27,?,?,surb={'id': '62fe5c45-2c56-4af4-b591-3337bbbe32bc', 'route': ['p3', 'e3', 'i12', 'x7', 'p2', 'c5']}
1769755329.441577,RECEIVED,b5b50db2-a0a9-4274-a53c-58dcd1229bba,4b31f13d-f06b-4791-8b0f-ec4a93bc3c1d,c3,c5,26,p2,?,surb={'id': '7b39b3ff-bc0e-41c8-85fc-efe0c5837bf6', 'route': ['p2', 'e10', 'i1', 'x1', 'p3', 'c3']}
1769755329.4632127,SENT,ac5f1067-6d59-404c-ae02-4d29006878d7,7a016fc4-8550-4049-becd-31e7ce6d9fff,c5,c3,3391,?,p2,
1769755329.463349,CREATED,5f00b330-8955-4635-a967-ab24cf7c57b9,61be095e-c99f-48ec-ab4e-174539ed6c03,c5,c3,27,?,?,surb={'id': 'ea02f075-459f-41ce-b6dc-0bbe1945b7e3', 'route': ['p3', 'e12', 'i10', 'x9', 'p2', 'c5']}
1769755329.8279057,SENT,a9800025-ac6f-4aa3-8b23-aa17468caaaa,496e5613-860d-4621-9580-bb483b2e9419,c5,c3,3393,?,p2,
1769755329.8280141,CREATED,24f5d5f5-d719-4e6f-a458-d166d422f598,61be095e-c99f-48ec-ab4e-174539ed6c03,c5,c3,27,?,?,surb={'id': 'ea02f075-459f-41ce-b6dc-0bbe1945b7e3', 'route': ['p3', 'e12', 'i10', 'x9', 'p2', 'c5']}
1769755330.1018462,RECEIVED,1583ac80-ddda-4654-9619-b5c70ddcc885,ce30153c-1882-4e77-ac3d-46aec8fe1823,c3,c5,27,p2,?,surb={'id': '6a72b68e-ddfd-4417-a7db-e03956c14cd8', 'route': ['p2', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769755330.2392418,SENT,93fb560b-3d1f-454c-badd-2bd967748f9f,40d1c173-081a-46b4-b108-4f93fa9030bd,c5,c3,3381,?,p2,
